benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
db-shootout,6695306582,0,0,0,0,2140148160,2364478552,13,4,400,917,12170657141,1777085183656,36437930173339
db-shootout,6666240853,0,0,0,0,8347394784,10711873336,14,1,130,1047,18868370835,1777085183656,36437930173339
db-shootout,5860882324,0,0,0,0,-4844127488,5867745848,16,2,258,1305,25535211833,1777085183656,36437930173339
db-shootout,5336835326,0,0,0,0,5109315744,10977061592,17,1,73,1378,31396529474,1777085183656,36437930173339
db-shootout,5325869674,0,0,0,0,-5225762856,5751298736,19,2,139,1517,36733778829,1777085183656,36437930173339
db-shootout,5728190611,0,0,0,0,6098508784,11849807520,20,1,70,1587,42060094619,1777085183656,36437930173339
db-shootout,5543483946,0,0,0,0,-5015482168,6834325352,22,2,122,1709,47788714686,1777085183656,36437930173339
db-shootout,5712898767,0,0,0,0,5497310448,12331635800,23,1,63,1772,53332861973,1777085183656,36437930173339
db-shootout,5312862471,0,0,0,0,-5439613664,6892022136,25,2,112,1884,59046365725,1777085183656,36437930173339
db-shootout,5342511331,0,0,0,0,5352786344,12244808480,26,1,52,1936,64359734836,1777085183656,36437930173339
db-shootout,5365425090,0,0,0,0,-5060783280,7184025200,28,2,102,2038,69702671883,1777085183656,36437930173339
db-shootout,5552951024,0,0,0,0,-6310036184,873989016,30,2,108,2146,75068685185,1777085183656,36437930173339
db-shootout,5393948417,0,0,0,0,7185240424,8059229440,31,1,44,2190,80622095563,1777085183656,36437930173339
db-shootout,5258202504,0,0,0,0,-6197646184,1861583256,33,2,107,2297,86016545220,1777085183656,36437930173339
db-shootout,5401530405,0,0,0,0,6482376096,8343959352,34,1,50,2347,91275212226,1777085183656,36437930173339
db-shootout,5058303675,0,0,0,0,-6329094264,2014865088,36,2,101,2448,96677152573,1777085183656,36437930173339
db-shootout,5213161966,0,0,0,0,6121645312,8136510400,37,1,50,2498,101736005334,1777085183656,36437930173339
db-shootout,5182424705,0,0,0,0,-5767686176,2368824224,39,2,108,2606,106949624119,1777085183656,36437930173339
db-shootout,5302871625,0,0,0,0,6119572056,8488396280,40,1,52,2658,112132430772,1777085183656,36437930173339
db-shootout,5164111346,0,0,0,0,-5708485016,2779911264,42,2,103,2761,117435685168,1777085183656,36437930173339
db-shootout,5205327795,0,0,0,0,5665187888,8445099152,43,1,49,2810,122600183735,1777085183656,36437930173339
db-shootout,5286191628,0,0,0,0,-5577225912,2867873240,45,2,108,2918,127805913382,1777085183656,36437930173339
db-shootout,5237366082,0,0,0,0,5753250192,8621123432,46,1,52,2970,133092454375,1777085183656,36437930173339
db-shootout,5193278116,0,0,0,0,-5502099768,3119023664,48,2,104,3074,138330248659,1777085183656,36437930173339
db-shootout,5251203053,0,0,0,0,5595196936,8714220600,49,1,53,3127,143523996263,1777085183656,36437930173339
db-shootout,5324158340,0,0,0,0,-5273247760,3440972840,51,2,105,3232,148775592147,1777085183656,36437930173339
db-shootout,5127785705,0,0,0,0,5169734856,8610707696,52,1,54,3286,154100158102,1777085183656,36437930173339
db-shootout,5012641468,0,0,0,0,-5319076280,3291631416,54,2,109,3395,159228351558,1777085183656,36437930173339
db-shootout,5407372292,0,0,0,0,5797463488,9089094904,55,1,48,3443,164241399242,1777085183656,36437930173339
db-shootout,5556233689,0,0,0,0,-4803807600,4285287304,57,2,99,3542,169649318624,1777085183656,36437930173339
db-shootout,4885903581,0,0,0,0,4521416096,8806703400,58,1,53,3595,175206035934,1777085183656,36437930173339
db-shootout,5252570203,0,0,0,0,-4775147216,4031556184,60,2,90,3685,180092340896,1777085183656,36437930173339
db-shootout,5120290399,0,0,0,0,4891729392,8923285576,61,1,54,3739,185345351436,1777085183656,36437930173339
db-shootout,5447923675,0,0,0,0,-4746852792,4176432784,63,2,100,3839,190466220956,1777085183656,36437930173339
db-shootout,5347951152,0,0,0,0,5376416536,9552849320,64,1,56,3895,195914514416,1777085183656,36437930173339
db-shootout,5381880106,0,0,0,0,-4944122320,4608727000,66,2,97,3992,201262822988,1777085183656,36437930173339
db-shootout,5116066374,0,0,0,0,4708855544,9317582544,67,1,54,4046,206645070597,1777085183656,36437930173339
db-shootout,5215609682,0,0,0,0,-4949551664,4368030880,69,2,93,4139,211761452412,1777085183656,36437930173339
db-shootout,5239359951,0,0,0,0,5208585360,9576616240,70,1,56,4195,216977446586,1777085183656,36437930173339
db-shootout,5310003706,0,0,0,0,-4797876432,4778739808,72,2,98,4293,222217216913,1777085183656,36437930173339
db-shootout,5672593116,0,0,0,0,6075588456,10854328264,73,1,54,4347,227527772685,1777085183656,36437930173339
db-shootout,5384765838,0,0,0,0,-5361738264,5492590000,75,2,95,4442,233200760958,1777085183656,36437930173339
db-shootout,5263795733,0,0,0,0,5101419352,10602397960,76,1,52,4494,238586006833,1777085183656,36437930173339
db-shootout,5264742249,0,0,0,0,-5033141264,5569256696,78,2,97,4591,243850162595,1777085183656,36437930173339
db-shootout,5214194732,0,0,0,0,5334071584,10903328280,79,1,51,4642,249115298884,1777085183656,36437930173339
db-shootout,5025226587,0,0,0,0,-5554710232,5348618048,81,2,96,4738,254329837229,1777085183656,36437930173339
db-shootout,5349022100,0,0,0,0,5362898192,10711516240,82,1,54,4792,259356692309,1777085183656,36437930173339
db-shootout,5189685294,0,0,0,0,-5158564256,5561340592,84,2,92,4884,264706062518,1777085183656,36437930173339
db-shootout,5064547957,0,0,0,0,4940541152,10501881744,85,1,55,4939,269896104411,1777085183656,36437930173339
db-shootout,5153487780,0,0,0,0,-5100268240,5401613504,87,2,102,5041,274960997922,1777085183656,36437930173339
db-shootout,5021644923,0,0,0,0,5008012088,10409625592,88,1,52,5093,280114853360,1777085183656,36437930173339
db-shootout,5335085841,0,0,0,0,-4716957288,5692668304,90,2,98,5191,285136842608,1777085183656,36437930173339
db-shootout,5014226765,0,0,0,0,4881723440,10574391744,91,1,53,5244,290472422924,1777085183656,36437930173339
db-shootout,5043334831,0,0,0,0,-5224907744,5349484000,93,2,100,5344,295486991575,1777085183656,36437930173339
db-shootout,5128815954,0,0,0,0,4857798152,10207282152,94,1,51,5395,300530673151,1777085183656,36437930173339
db-shootout,5264150606,0,0,0,0,-4654533064,5552749088,96,2,93,5488,305659813769,1777085183656,36437930173339
db-shootout,5025203658,0,0,0,0,4864553304,10417302392,97,1,53,5541,310924305660,1777085183656,36437930173339
db-shootout,6478095464,0,0,0,0,-4478261040,5939041352,99,2,98,5639,315950294339,1777085183656,36437930173339
db-shootout,5513723549,0,0,0,0,5528497992,11467539344,100,1,60,5699,322428803366,1777085183656,36437930173339
db-shootout,5401804733,0,0,0,0,-5033498312,6434041032,102,2,98,5797,327942890750,1777085183656,36437930173339
db-shootout,5243107383,0,0,0,0,5106310632,11540351664,103,1,54,5851,333344991896,1777085183656,36437930173339
db-shootout,5258306341,0,0,0,0,-5235477496,6313262776,105,2,91,5942,338588519719,1777085183656,36437930173339
db-shootout,5449368544,0,0,0,0,5696550632,12009813408,106,1,53,5995,343847105510,1777085183656,36437930173339
db-shootout,5279527790,0,0,0,0,-5265046440,6744766968,108,2,99,6094,349296758729,1777085183656,36437930173339
db-shootout,5619826379,0,0,0,0,4897483024,11642249992,109,1,53,6147,354576631087,1777085183656,36437930173339
db-shootout,5558959332,0,0,0,0,-4360952176,7281297816,111,2,97,6244,360196782457,1777085183656,36437930173339
db-shootout,5448026964,0,0,0,0,-6705581816,575716000,113,2,122,6366,365756043454,1777085183656,36437930173339
db-shootout,5330813769,0,0,0,0,7192438576,7768154576,114,1,47,6413,371204336401,1777085183656,36437930173339
db-shootout,5038124770,0,0,0,0,-6998479024,769675552,116,2,112,6525,376535422289,1777085183656,36437930173339
db-shootout,5274009593,0,0,0,0,6753932776,7523608328,117,1,43,6568,381573785846,1777085183656,36437930173339
db-shootout,5419866647,0,0,0,0,-6100218016,1423390312,119,2,113,6681,386848097729,1777085183656,36437930173339
db-shootout,5145774180,0,0,0,0,6358794128,7782184440,120,1,48,6729,392268295984,1777085183656,36437930173339
db-shootout,5352551811,0,0,0,0,-6040416432,1741768008,122,2,110,6839,397414443653,1777085183656,36437930173339
db-shootout,5321595098,0,0,0,0,6404204576,8145972584,123,1,50,6889,402767390857,1777085183656,36437930173339
db-shootout,5338812730,0,0,0,0,-5894356656,2251615928,125,2,110,6999,408089225470,1777085183656,36437930173339
db-shootout,5048774132,0,0,0,0,5827208176,8078824104,126,1,50,7049,413428246633,1777085183656,36437930173339
db-shootout,5561183832,0,0,0,0,-5258921920,2819902184,128,2,110,7159,418477247705,1777085183656,36437930173339
db-shootout,5395002019,0,0,0,0,6038500992,8858403176,129,1,49,7208,424038717591,1777085183656,36437930173339
db-shootout,5545461844,0,0,0,0,-5348538072,3509865104,131,2,110,7318,429434051821,1777085183656,36437930173339
db-shootout,5273878841,0,0,0,0,5421134816,8930999920,132,1,47,7365,434979727383,1777085183656,36437930173339
db-shootout,5420152670,0,0,0,0,-4689862368,4241137552,134,2,102,7467,440253908731,1777085183656,36437930173339
db-shootout,5307465157,0,0,0,0,5118162568,9359300120,135,1,50,7517,445674271730,1777085183656,36437930173339
db-shootout,5335869299,0,0,0,0,-4915830200,4443469920,137,2,92,7609,450981976055,1777085183656,36437930173339
db-shootout,5476849982,0,0,0,0,5647128288,10090598208,138,1,52,7661,456318157274,1777085183656,36437930173339
db-shootout,5518544975,0,0,0,0,-4897092064,5193506144,140,2,93,7754,461795231425,1777085183656,36437930173339
db-shootout,5231307742,0,0,0,0,5089651056,10283157200,141,1,57,7811,467314055682,1777085183656,36437930173339
db-shootout,5213811857,0,0,0,0,-5208156880,5075000320,143,2,96,7907,472545681893,1777085183656,36437930173339
db-shootout,5065851340,0,0,0,0,4983243552,10058243872,144,1,53,7960,477759752406,1777085183656,36437930173339
db-shootout,5043849256,0,0,0,0,-5303796144,4754447728,146,2,91,8051,482825921394,1777085183656,36437930173339
db-shootout,5500009888,0,0,0,0,6073769352,10828217080,147,1,51,8102,487870032069,1777085183656,36437930173339
db-shootout,5290701003,0,0,0,0,-5191080488,5637136592,149,2,97,8199,493370290994,1777085183656,36437930173339
db-shootout,5346275052,0,0,0,0,5442770064,11079906656,150,1,53,8252,498661220926,1777085183656,36437930173339
db-shootout,5146152958,0,0,0,0,-5467516040,5612390616,152,2,93,8345,504007738598,1777085183656,36437930173339
db-shootout,5162963824,0,0,0,0,5183443136,10795833752,153,1,50,8395,509154095033,1777085183656,36437930173339
db-shootout,5434089137,0,0,0,0,-4740999424,6063222936,155,2,96,8491,514317304566,1777085183656,36437930173339
db-shootout,5120870453,0,0,0,0,4934385360,10997608296,156,1,58,8549,519751677115,1777085183656,36437930173339
db-shootout,5918934130,0,0,0,0,-5369459912,5628148384,158,2,99,8648,524872855565,1777085183656,36437930173339
db-shootout,5365180589,0,0,0,0,5831879272,11468416264,159,1,53,8701,530792059361,1777085183656,36437930173339
db-shootout,5354199767,0,0,0,0,-5177093448,6299711424,161,2,101,8802,536157489452,1777085183656,36437930173339
db-shootout,5209073117,0,0,0,0,5218836512,11518547936,162,1,54,8856,541511920109,1777085183656,36437930173339
db-shootout,5097010336,0,0,0,0,-5343900960,6174646976,164,2,93,8949,546721214610,1777085183656,36437930173339
db-shootout,5704433790,0,0,0,0,5922370760,12097017736,165,1,55,9004,551818450803,1777085183656,36437930173339
db-shootout,5640723004,0,0,0,0,-5648327280,6448690456,167,2,91,9095,557523128553,1777085183656,36437930173339
db-shootout,4783827170,0,0,0,0,4656083568,11104774024,168,1,54,9149,563164114418,1777085183656,36437930173339
db-shootout,6079422885,0,0,0,0,-4588468584,6516305440,170,2,90,9239,567948240026,1777085183656,36437930173339
db-shootout,5473391648,0,0,0,0,4599770072,11116075512,171,1,55,9294,574028002457,1777085183656,36437930173339
db-shootout,5355869879,0,0,0,0,-4555787624,6560287888,173,2,98,9392,579501608878,1777085183656,36437930173339
db-shootout,5188216574,0,0,0,0,5233417672,11793705560,174,1,55,9447,584857755869,1777085183656,36437930173339
db-shootout,5311198137,0,0,0,0,-4880284200,6913421360,176,2,102,9549,590046210739,1777085183656,36437930173339
db-shootout,5357431330,0,0,0,0,5032080856,11945502216,177,1,58,9607,595357622441,1777085183656,36437930173339
db-shootout,5178353839,0,0,0,0,-5242114160,6711776664,179,2,97,9704,600715307194,1777085183656,36437930173339
db-shootout,5325383638,0,0,0,0,5409935824,12121712488,180,1,51,9755,605893882502,1777085183656,36437930173339
db-shootout,5382957852,0,0,0,0,-5141069096,6980643392,182,2,111,9866,611219491168,1777085183656,36437930173339
db-shootout,5189020405,0,0,0,0,5167420512,12148063904,183,1,51,9917,616602736061,1777085183656,36437930173339
