benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
dec-tree,7969923858,0,0,0,0,305585368,457183912,9,4,510,764,8472811355,1777087669742,38924016173333
dec-tree,1883693456,0,0,0,0,1652555776,2109739688,9,0,0,764,16445099278,1777087669742,38924016173333
dec-tree,1521775221,0,0,0,0,1677721600,3787461288,9,0,0,764,18329164056,1777087669742,38924016173333
dec-tree,1320912264,0,0,0,0,-2061717360,1725743928,10,1,114,878,19851319038,1777087669742,38924016173333
dec-tree,1295086324,0,0,0,0,-500744928,1224999000,11,1,115,993,21172440480,1777087669742,38924016173333
dec-tree,1047591176,0,0,0,0,1702887424,2944663640,11,0,0,993,22467927750,1777087669742,38924016173333
dec-tree,1040119034,0,0,0,0,1660944384,4622385240,11,0,0,993,23515845154,1777087669742,38924016173333
dec-tree,1366550749,0,0,0,0,1702887424,6333661272,11,0,0,993,24556266305,1777087669742,38924016173333
dec-tree,1277155018,0,0,0,0,1652555776,7986217048,11,0,0,993,25923090686,1777087669742,38924016173333
dec-tree,1322832096,0,0,0,0,1635778560,9630384216,11,0,0,993,27200579969,1777087669742,38924016173333
dec-tree,1392792041,0,0,0,0,-8879498320,759274504,12,1,163,1156,28523693703,1777087669742,38924016173333
dec-tree,919216754,0,0,0,0,1619001344,2378275848,12,0,0,1156,29916807735,1777087669742,38924016173333
dec-tree,898636169,0,0,0,0,1635778560,4014054408,12,0,0,1156,30836266899,1777087669742,38924016173333
dec-tree,894822264,0,0,0,0,1644167168,5658221576,12,0,0,1156,31735078384,1777087669742,38924016173333
dec-tree,875227266,0,0,0,0,1610612736,7268834312,12,0,0,1156,32630150844,1777087669742,38924016173333
dec-tree,857711226,0,0,0,0,1635778560,8904612872,12,0,0,1156,33505636636,1777087669742,38924016173333
dec-tree,871862274,0,0,0,0,1627389952,10532002824,12,0,0,1156,34363615109,1777087669742,38924016173333
dec-tree,1123771695,0,0,0,0,-9069974624,1462028200,13,1,201,1357,35235804488,1777087669742,38924016173333
dec-tree,858130440,0,0,0,0,1619001344,3081029544,13,0,0,1357,36359723457,1777087669742,38924016173333
dec-tree,839422975,0,0,0,0,1635778560,4716808104,13,0,0,1357,37218009550,1777087669742,38924016173333
dec-tree,839752260,0,0,0,0,1627389952,6344198056,13,0,0,1357,38057603687,1777087669742,38924016173333
dec-tree,815209349,0,0,0,0,1635778560,7979976616,13,0,0,1357,38897556086,1777087669742,38924016173333
dec-tree,844321056,0,0,0,0,1610612736,9590589352,13,0,0,1357,39713001091,1777087669742,38924016173333
dec-tree,1082312396,0,0,0,0,-9121211104,469378248,14,1,220,1577,40557585146,1777087669742,38924016173333
dec-tree,839185963,0,0,0,0,1627389952,2096768200,14,0,0,1577,41640072528,1777087669742,38924016173333
dec-tree,842008583,0,0,0,0,1627389952,3724158152,14,0,0,1577,42479444025,1777087669742,38924016173333
dec-tree,814262838,0,0,0,0,1627389952,5351548104,14,0,0,1577,43321676201,1777087669742,38924016173333
dec-tree,807639320,0,0,0,0,1635778560,6987326664,14,0,0,1577,44136120079,1777087669742,38924016173333
dec-tree,841283845,0,0,0,0,1635778560,8623105224,14,0,0,1577,44943913295,1777087669742,38924016173333
dec-tree,839127503,0,0,0,0,1627389952,10250495176,14,0,0,1577,45785414567,1777087669742,38924016173333
dec-tree,1020000584,0,0,0,0,-9229948048,1020547128,15,1,214,1791,46624689722,1777087669742,38924016173333
dec-tree,811968459,0,0,0,0,1619001344,2639548472,15,0,0,1791,47644867931,1777087669742,38924016173333
dec-tree,814370442,0,0,0,0,1627389952,4266938424,15,0,0,1791,48456964538,1777087669742,38924016173333
dec-tree,818570462,0,0,0,0,1627389952,5894328376,15,0,0,1791,49271472893,1777087669742,38924016173333
dec-tree,1139789354,0,0,0,0,-4097464000,1796864376,16,1,201,1992,50090209129,1777087669742,38924016173333
dec-tree,854253685,0,0,0,0,1627389952,3424254328,16,0,0,1992,51230214582,1777087669742,38924016173333
dec-tree,851787521,0,0,0,0,1627389952,5051644280,16,0,0,1992,52084626549,1777087669742,38924016173333
dec-tree,870265195,0,0,0,0,1610612736,6662257016,16,0,0,1992,52936556846,1777087669742,38924016173333
dec-tree,762532490,0,0,0,0,1619001344,8281258360,16,0,0,1992,53807014134,1777087669742,38924016173333
dec-tree,781921301,0,0,0,0,1635778560,9917036920,16,0,0,1992,54569736947,1777087669742,38924016173333
dec-tree,1047945306,0,0,0,0,-9264944088,652092832,17,1,212,2204,55351859680,1777087669742,38924016173333
dec-tree,804297575,0,0,0,0,1627389952,2279482784,17,0,0,2204,56400024159,1777087669742,38924016173333
dec-tree,846288378,0,0,0,0,1610612736,3890095520,17,0,0,2204,57204462736,1777087669742,38924016173333
dec-tree,784084185,0,0,0,0,1635778560,5525874080,17,0,0,2204,58050923842,1777087669742,38924016173333
dec-tree,791453702,0,0,0,0,1619001344,7144875424,17,0,0,2204,58835169788,1777087669742,38924016173333
dec-tree,773731076,0,0,0,0,1619001344,8763876768,17,0,0,2204,59626791705,1777087669742,38924016173333
dec-tree,809713427,0,0,0,0,1627389952,10391266720,17,0,0,2204,60400730785,1777087669742,38924016173333
dec-tree,989448974,0,0,0,0,-9375932048,1015334672,18,1,201,2405,61210586717,1777087669742,38924016173333
