benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
dotty,12376659129,0,0,0,0,-121295368,206959816,5,5,662,662,1305076801,1777093767445,45021719173339
dotty,4497810368,0,0,0,0,-101854480,105105336,6,1,478,1140,14440322936,1777093767445,45021719173339
dotty,2904174545,0,0,0,0,226492416,331597752,6,0,0,1140,19704193706,1777093767445,45021719173339
dotty,2552455308,0,0,0,0,226492416,558090168,6,0,0,1140,23328008639,1777093767445,45021719173339
dotty,2379617944,0,0,0,0,226492416,784582584,6,0,0,1140,26601378595,1777093767445,45021719173339
dotty,2600945734,0,0,0,0,-569891616,214690968,7,1,685,1825,29723648812,1777093767445,45021719173339
dotty,1992546412,0,0,0,0,-1552840,213138128,8,1,216,2041,33038900983,1777093767445,45021719173339
dotty,1583050171,0,0,0,0,218103808,431241936,8,0,0,2041,35756039781,1777093767445,45021719173339
dotty,1421553398,0,0,0,0,218103808,649345744,8,0,0,2041,38058182223,1777093767445,45021719173339
dotty,1390499929,0,0,0,0,218103808,867449552,8,0,0,2041,40203397787,1777093767445,45021719173339
dotty,1494523312,0,0,0,0,218103808,1085553360,8,0,0,2041,42313200957,1777093767445,45021719173339
dotty,1411280388,0,0,0,0,209715200,1295268560,8,0,0,2041,44522659720,1777093767445,45021719173339
dotty,1371700772,0,0,0,0,209715200,1513372368,8,0,0,2041,46642761583,1777093767445,45021719173339
dotty,1332772194,0,0,0,0,218103808,1731476176,8,0,0,2041,48725440808,1777093767445,45021719173339
dotty,1357290163,0,0,0,0,218103808,1949579984,8,0,0,2041,50771041642,1777093767445,45021719173339
dotty,1272235901,0,0,0,0,209715200,2159295184,8,0,0,2041,52838355715,1777093767445,45021719173339
dotty,1325966298,0,0,0,0,-1945778272,221905520,9,1,231,2272,54818743336,1777093767445,45021719173339
dotty,1132767350,0,0,0,0,218103808,440009328,9,0,0,2272,56857491174,1777093767445,45021719173339
