benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
finagle-http,14722017615,0,0,0,0,1958342760,2117091368,6,5,634,669,2470904065,1777086437571,37691845173328
finagle-http,7031490319,0,0,0,0,3858759680,6001016872,6,0,0,669,17198560234,1777086437571,37691845173328
finagle-http,4993912668,0,0,0,0,3858759680,9884942376,6,0,0,669,24233244951,1777086437571,37691845173328
finagle-http,4687463186,0,0,0,0,-6368267952,3550228856,7,1,428,1097,29228749384,1777086437571,37691845173328
finagle-http,4226375106,0,0,0,0,3867148288,7450931576,7,0,0,1097,33920683154,1777086437571,37691845173328
finagle-http,4635666916,0,0,0,0,-6341360240,1134737160,8,1,397,1494,38150186014,1777086437571,37691845173328
finagle-http,4225777048,0,0,0,0,3858759680,5027051272,8,0,0,1494,42790840059,1777086437571,37691845173328
finagle-http,4209251884,0,0,0,0,3850371072,8910976776,8,0,0,1494,47019289768,1777086437571,37691845173328
finagle-http,4622285539,0,0,0,0,-6391308136,2553223072,9,1,418,1912,51232310767,1777086437571,37691845173328
finagle-http,4219760564,0,0,0,0,3858759680,6453925792,9,0,0,1912,55860541982,1777086437571,37691845173328
finagle-http,4738312350,0,0,0,0,-6402082552,85397672,10,1,435,2347,60081748341,1777086437571,37691845173328
finagle-http,4279826939,0,0,0,0,3883925504,4002877608,10,0,0,2347,64822528804,1777086437571,37691845173328
finagle-http,4341935661,0,0,0,0,3858759680,7895191720,10,0,0,2347,69104465164,1777086437571,37691845173328
finagle-http,4676866692,0,0,0,0,-6374949344,1553796808,11,1,398,2745,73448629383,1777086437571,37691845173328
finagle-http,4328006325,0,0,0,0,3867148288,5446110920,11,0,0,2745,78127947899,1777086437571,37691845173328
finagle-http,4334566970,0,0,0,0,3858759680,9330036424,11,0,0,2745,82458461233,1777086437571,37691845173328
finagle-http,4720459129,0,0,0,0,-6382523176,2972679072,12,1,488,3233,86794566751,1777086437571,37691845173328
finagle-http,4331253133,0,0,0,0,3858759680,6864993184,12,0,0,3233,91517393292,1777086437571,37691845173328
finagle-http,4846058846,0,0,0,0,-6383717728,506441280,13,1,545,3778,95850651433,1777086437571,37691845173328
finagle-http,4259746114,0,0,0,0,3858759680,4398755392,13,0,0,3778,100697839562,1777086437571,37691845173328
finagle-http,4300202280,0,0,0,0,3858759680,8291069504,13,0,0,3778,104959897579,1777086437571,37691845173328
finagle-http,4766377637,0,0,0,0,-6409308008,1906927320,14,1,533,4311,109261824023,1777086437571,37691845173328
finagle-http,4299856707,0,0,0,0,3858759680,5790852824,14,0,0,4311,114030912907,1777086437571,37691845173328
finagle-http,4326164564,0,0,0,0,3850371072,9674778328,14,0,0,4311,118332908239,1777086437571,37691845173328
finagle-http,4725766008,0,0,0,0,-6383724608,3324608152,15,1,538,4849,122661036278,1777086437571,37691845173328
finagle-http,4325700470,0,0,0,0,3858759680,7208533656,15,0,0,4849,127388778330,1777086437571,37691845173328
finagle-http,4806345912,0,0,0,0,-6408735824,833352264,16,1,525,5374,131717529406,1777086437571,37691845173328
finagle-http,4244029943,0,0,0,0,3858759680,4717277768,16,0,0,5374,136525818059,1777086437571,37691845173328
finagle-http,4298983495,0,0,0,0,3850371072,8601203272,16,0,0,5374,140771557667,1777086437571,37691845173328
finagle-http,4400603897,0,0,0,0,-6408543720,2226213984,17,1,142,5516,145072880381,1777086437571,37691845173328
finagle-http,4291851196,0,0,0,0,3850371072,6101750880,17,0,0,5516,149475489813,1777086437571,37691845173328
finagle-http,4320992320,0,0,0,0,3850371072,9985676384,17,0,0,5516,153769945682,1777086437571,37691845173328
finagle-http,4357464202,0,0,0,0,-6409063176,3610167640,18,1,105,5621,158093166638,1777086437571,37691845173328
finagle-http,4325364168,0,0,0,0,3858759680,7494093144,18,0,0,5621,162451910255,1777086437571,37691845173328
finagle-http,4374874129,0,0,0,0,-6417309288,1101949680,19,1,108,5729,166778999753,1777086437571,37691845173328
finagle-http,4291793027,0,0,0,0,3867148288,5002652400,19,0,0,5729,171157861407,1777086437571,37691845173328
finagle-http,4288135587,0,0,0,0,3850371072,8886577904,19,0,0,5729,175451483531,1777086437571,37691845173328
finagle-http,4377761158,0,0,0,0,-6400307664,2511436064,20,1,109,5838,179740928879,1777086437571,37691845173328
finagle-http,4348669731,0,0,0,0,3875536896,6403750176,20,0,0,5838,184121119597,1777086437571,37691845173328
finagle-http,4330726424,0,0,0,0,3841982464,10262509856,20,0,0,5838,188471807250,1777086437571,37691845173328
finagle-http,4352904459,0,0,0,0,-6383357824,3904317856,21,1,51,5889,192804719642,1777086437571,37691845173328
finagle-http,4344160301,0,0,0,0,3833593856,7754688928,21,0,0,5889,197159241702,1777086437571,37691845173328
finagle-http,4377115690,0,0,0,0,-6409132688,1370722064,22,1,51,5940,201505184911,1777086437571,37691845173328
finagle-http,4332655322,0,0,0,0,3850371064,5237870344,22,0,0,5940,205883886070,1777086437571,37691845173328
finagle-http,4356797469,0,0,0,0,3833593856,9096630024,22,0,0,5940,210218708287,1777086437571,37691845173328
finagle-http,4360870667,0,0,0,0,-6400457568,2712949672,23,1,51,5991,214577589303,1777086437571,37691845173328
finagle-http,4342361755,0,0,0,0,3850371072,6580097960,23,0,0,5991,218940302427,1777086437571,37691845173328
finagle-http,4393467392,0,0,0,0,-6408976464,196287320,24,1,49,6040,223285323010,1777086437571,37691845173328
finagle-http,4330346051,0,0,0,0,3841982464,4055047000,24,0,0,6040,227680251100,1777086437571,37691845173328
finagle-http,4335381441,0,0,0,0,3858759672,7930583888,24,0,0,6040,232012157074,1777086437571,37691845173328
finagle-http,4355430461,0,0,0,0,-6425622784,1530126928,25,1,49,6089,236349231185,1777086437571,37691845173328
finagle-http,4338953884,0,0,0,0,3867148288,5414052432,25,0,0,6089,240705708545,1777086437571,37691845173328
finagle-http,4362681994,0,0,0,0,3850371072,9281200720,25,0,0,6089,245045901448,1777086437571,37691845173328
finagle-http,4363138111,0,0,0,0,-6425651848,2880714696,26,1,47,6136,249410447735,1777086437571,37691845173328
finagle-http,4378776993,0,0,0,0,3867148288,6764640200,26,0,0,6136,253774782156,1777086437571,37691845173328
finagle-http,4370897366,0,0,0,0,-6434012992,355793032,27,1,49,6185,258156243759,1777086437571,37691845173328
finagle-http,4357423253,0,0,0,0,3850371072,4231329928,27,0,0,6185,262528846671,1777086437571,37691845173328
finagle-http,4358436968,0,0,0,0,3858759680,8115255432,27,0,0,6185,266887367584,1777086437571,37691845173328
finagle-http,4370141184,0,0,0,0,-6400499584,1731533064,28,1,50,6235,271247448321,1777086437571,37691845173328
finagle-http,4342539479,0,0,0,0,3850371072,5598681352,28,0,0,6235,275618855659,1777086437571,37691845173328
finagle-http,4337200581,0,0,0,0,3850371072,9465829640,28,0,0,6235,279962604276,1777086437571,37691845173328
finagle-http,4356138372,0,0,0,0,-6417284432,3073711032,29,1,49,6284,284302926976,1777086437571,37691845173328
