benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
fj-kmeans,5147010768,0,0,0,0,5262580392,5766996344,6,6,268,268,1171686849,1777083972662,35226936173343
fj-kmeans,4665301201,0,0,0,0,-61229648,5722543912,7,1,50,318,6372299752,1777083972662,35226936173343
fj-kmeans,3863730273,0,0,0,0,-66070680,5656473232,8,1,51,369,11038871190,1777083972662,35226936173343
fj-kmeans,3852632337,0,0,0,0,-74382760,5582090472,9,1,47,416,14903930738,1777083972662,35226936173343
fj-kmeans,3866107379,0,0,0,0,-60630328,5521460144,10,1,53,469,18757758269,1777083972662,35226936173343
fj-kmeans,3867976600,0,0,0,0,-74428176,5447031968,11,1,47,516,22625845046,1777083972662,35226936173343
fj-kmeans,3852600690,0,0,0,0,-66423344,5380608624,12,1,48,564,26495093032,1777083972662,35226936173343
fj-kmeans,3852841314,0,0,0,0,-60616432,5319992192,13,1,50,614,30348921306,1777083972662,35226936173343
fj-kmeans,3856439741,0,0,0,0,-74619304,5245372888,14,1,48,662,34202899731,1777083972662,35226936173343
fj-kmeans,3852891496,0,0,0,0,-57711104,5187661784,15,1,48,710,38060737250,1777083972662,35226936173343
fj-kmeans,3843062911,0,0,0,0,-67187808,5120473976,16,1,46,756,41914864265,1777083972662,35226936173343
fj-kmeans,3850796058,0,0,0,0,-68896696,5051577280,17,1,48,804,45759436092,1777083972662,35226936173343
fj-kmeans,3852135376,0,0,0,0,-57465744,4994111536,18,1,53,857,49611650314,1777083972662,35226936173343
fj-kmeans,3853552257,0,0,0,0,-83496520,4910615016,19,1,50,907,53465233106,1777083972662,35226936173343
fj-kmeans,3846034075,0,0,0,0,-43868256,4866746760,20,1,54,961,57320170242,1777083972662,35226936173343
fj-kmeans,3851759472,0,0,0,0,-66408464,4800338296,21,1,49,1010,61167170007,1777083972662,35226936173343
fj-kmeans,3846483251,0,0,0,0,-74561448,4725776848,22,1,52,1062,65020035962,1777083972662,35226936173343
