benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
future-genetic,2948592439,0,0,0,0,-19736400,174301056,2,2,93,93,756030897,1777080899447,32153721173334
future-genetic,2316237190,0,0,0,0,746453528,1013029272,3,1,46,139,3818294792,1777080899447,32153721173334
future-genetic,2650448710,0,0,0,0,1619001344,2632030616,3,0,0,139,6135057862,1777080899447,32153721173334
future-genetic,2642080251,0,0,0,0,1627389952,4259420568,3,0,0,139,8785946861,1777080899447,32153721173334
future-genetic,2460774857,0,0,0,0,1619001344,5878421912,3,0,0,139,11428548996,1777080899447,32153721173334
future-genetic,2545068724,0,0,0,0,1627389952,7505811864,3,0,0,139,13889921122,1777080899447,32153721173334
future-genetic,2516228258,0,0,0,0,1619001344,9124813208,3,0,0,139,16435493028,1777080899447,32153721173334
future-genetic,2480564551,0,0,0,0,-8648547368,476265840,4,1,59,198,18952106929,1777080899447,32153721173334
future-genetic,2100445715,0,0,0,0,1619001344,2095267184,4,0,0,198,21433095172,1777080899447,32153721173334
future-genetic,2085635033,0,0,0,0,1619001344,3714268528,4,0,0,198,23533927987,1777080899447,32153721173334
future-genetic,2080615116,0,0,0,0,1627389952,5341658480,4,0,0,198,25620064274,1777080899447,32153721173334
future-genetic,2171247380,0,0,0,0,1627389952,6969048432,4,0,0,198,27701331885,1777080899447,32153721173334
future-genetic,2170993397,0,0,0,0,1627389952,8596438384,4,0,0,198,29873018128,1777080899447,32153721173334
future-genetic,2102155941,0,0,0,0,1619001344,10215439728,4,0,0,198,32044381379,1777080899447,32153721173334
future-genetic,2159426546,0,0,0,0,-8657041640,1558398088,5,1,60,258,34147036240,1777080899447,32153721173334
future-genetic,2121380816,0,0,0,0,1627389952,3185788040,5,0,0,258,36306840403,1777080899447,32153721173334
future-genetic,2121873528,0,0,0,0,1619001344,4804789384,5,0,0,258,38428618291,1777080899447,32153721173334
future-genetic,2096315718,0,0,0,0,1627389952,6432179336,5,0,0,258,40550868870,1777080899447,32153721173334
future-genetic,2129093511,0,0,0,0,1619001344,8051180680,5,0,0,258,42647501571,1777080899447,32153721173334
future-genetic,2137551097,0,0,0,0,1610612736,9661793416,5,0,0,258,44776886183,1777080899447,32153721173334
future-genetic,2208751464,0,0,0,0,-8640058960,1021734456,6,1,65,323,46914742490,1777080899447,32153721173334
future-genetic,2099615841,0,0,0,0,1619001344,2640735800,6,0,0,323,49123812469,1777080899447,32153721173334
future-genetic,2097993358,0,0,0,0,1627389952,4268125752,6,0,0,323,51223759229,1777080899447,32153721173334
future-genetic,2063499168,0,0,0,0,1619001344,5887127096,6,0,0,323,53322085218,1777080899447,32153721173334
future-genetic,2128466012,0,0,0,0,1627389952,7514517048,6,0,0,323,55386014592,1777080899447,32153721173334
future-genetic,2106871444,0,0,0,0,1619001344,9133518392,6,0,0,323,57514836066,1777080899447,32153721173334
future-genetic,2159517451,0,0,0,0,-8640331376,493187016,7,1,66,389,59622127649,1777080899447,32153721173334
future-genetic,2063670845,0,0,0,0,1619001344,2112188360,7,0,0,389,61782025950,1777080899447,32153721173334
future-genetic,2082323972,0,0,0,0,1619001344,3731189704,7,0,0,389,63846114968,1777080899447,32153721173334
future-genetic,2078649916,0,0,0,0,1627389952,5358579656,7,0,0,389,65928821788,1777080899447,32153721173334
future-genetic,2198438513,0,0,0,0,1610612736,6969192392,7,0,0,389,68007794729,1777080899447,32153721173334
future-genetic,2182684948,0,0,0,0,1635778560,8604970952,7,0,0,389,70206566060,1777080899447,32153721173334
future-genetic,2192413146,0,0,0,0,1610612736,10215583688,7,0,0,389,72389624944,1777080899447,32153721173334
future-genetic,2208819561,0,0,0,0,-8640507312,1575076376,8,1,66,455,74582378737,1777080899447,32153721173334
future-genetic,2139882709,0,0,0,0,1619001344,3194077720,8,0,0,455,76791512096,1777080899447,32153721173334
future-genetic,2163512718,0,0,0,0,1619001344,4813079064,8,0,0,455,78931700268,1777080899447,32153721173334
future-genetic,2130987813,0,0,0,0,1627389952,6440469016,8,0,0,455,81095482233,1777080899447,32153721173334
future-genetic,2209164280,0,0,0,0,1627389952,8067858968,8,0,0,455,83226787136,1777080899447,32153721173334
