benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
log-regression,10289724450,0,0,0,0,2996863272,3147218600,11,6,491,748,8436476704,1777091926651,43180925173311
log-regression,2079210365,0,0,0,0,-1646804984,1500413616,12,1,80,828,18730890033,1777091926651,43180925173311
log-regression,1627359522,0,0,0,0,-1003881848,496531768,14,2,129,957,20810622408,1777091926651,43180925173311
log-regression,1492862389,0,0,0,0,3145728000,3650648376,14,0,0,957,22438823789,1777091926651,43180925173311
log-regression,1547356059,0,0,0,0,3061841920,6712490296,14,0,0,957,23932125894,1777091926651,43180925173311
log-regression,1757014436,0,0,0,0,3070230528,9782720824,14,0,0,957,25480334076,1777091926651,43180925173311
log-regression,1757331717,0,0,0,0,-9083033032,699687792,15,1,100,1057,27237732003,1777091926651,43180925173311
log-regression,1246390132,0,0,0,0,3045064704,3744752496,15,0,0,1057,28995381554,1777091926651,43180925173311
log-regression,1139860914,0,0,0,0,3061841920,6806594416,15,0,0,1057,30242142346,1777091926651,43180925173311
log-regression,1134902332,0,0,0,0,3045064704,9851659120,15,0,0,1057,31382342361,1777091926651,43180925173311
log-regression,1277161483,0,0,0,0,-9214506464,637152656,16,1,99,1156,32517608327,1777091926651,43180925173311
log-regression,1103882462,0,0,0,0,3045064704,3682217360,16,0,0,1156,33795206640,1777091926651,43180925173311
log-regression,1115373568,0,0,0,0,3053453312,6735670672,16,0,0,1156,34899389276,1777091926651,43180925173311
log-regression,1115149122,0,0,0,0,3061841920,9797512592,16,0,0,1156,36015034121,1777091926651,43180925173311
log-regression,1268859046,0,0,0,0,-9366858152,430654440,17,1,120,1276,37130443678,1777091926651,43180925173311
log-regression,1137598121,0,0,0,0,3036676096,3467330536,17,0,0,1276,38399819093,1777091926651,43180925173311
log-regression,1106427181,0,0,0,0,3061841920,6529172456,17,0,0,1276,39537909035,1777091926651,43180925173311
log-regression,1073758118,0,0,0,0,3036676096,9565848552,17,0,0,1276,40644572113,1777091926651,43180925173311
log-regression,1090887185,0,0,0,0,3061841920,12627690472,17,0,0,1276,41718574333,1777091926651,43180925173311
log-regression,1185655769,0,0,0,0,-9464562576,3163127896,18,1,108,1384,42809701961,1777091926651,43180925173311
log-regression,1046730994,0,0,0,0,3045064704,6208192600,18,0,0,1384,43995608818,1777091926651,43180925173311
log-regression,1057549719,0,0,0,0,3078619136,9286811736,18,0,0,1384,45042595507,1777091926651,43180925173311
log-regression,1091581851,0,0,0,0,3036676096,12323487832,18,0,0,1384,46100453984,1777091926651,43180925173311
log-regression,1215723136,0,0,0,0,-9469088336,2854399496,19,1,105,1489,47192410474,1777091926651,43180925173311
log-regression,1161618351,0,0,0,0,3053453312,5907852808,19,0,0,1489,48408361977,1777091926651,43180925173311
log-regression,1097980321,0,0,0,0,3053453312,8961306120,19,0,0,1489,49570313486,1777091926651,43180925173311
log-regression,1093283611,0,0,0,0,3045064704,12006370824,19,0,0,1489,50668530357,1777091926651,43180925173311
log-regression,1225958749,0,0,0,0,-9513820872,2492549952,20,1,120,1609,51762057997,1777091926651,43180925173311
log-regression,1095816285,0,0,0,0,3045064704,5537614656,20,0,0,1609,52988289302,1777091926651,43180925173311
log-regression,1099868300,0,0,0,0,3053453312,8591067968,20,0,0,1609,54084345673,1777091926651,43180925173311
log-regression,1100758376,0,0,0,0,3053453312,11644521280,20,0,0,1609,55184538887,1777091926651,43180925173311
log-regression,1168818151,0,0,0,0,-9471043960,2173477320,21,1,126,1735,56285562113,1777091926651,43180925173311
log-regression,1012024751,0,0,0,0,3036676096,5210153416,21,0,0,1735,57454615044,1777091926651,43180925173311
