benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
mnemonics,5281164626,0,0,0,0,4851505216,5045542672,3,3,95,95,765718721,1777093159139,44413413173344
mnemonics,5466716560,0,0,0,0,-2850822984,2245051336,4,1,53,148,6435047377,1777093159139,44413413173344
mnemonics,3137920029,0,0,0,0,7423918080,9710912456,4,0,0,148,12175534324,1777093159139,44413413173344
mnemonics,3190883552,0,0,0,0,-2874843424,6878012072,5,1,46,194,15592310946,1777093159139,44413413173344
mnemonics,3190634111,0,0,0,0,-2869637592,4058706128,6,1,50,244,19062365008,1777093159139,44413413173344
mnemonics,3193396723,0,0,0,0,-2851098512,1249550656,7,1,53,297,22522848591,1777093159139,44413413173344
mnemonics,3139319169,0,0,0,0,7423918080,8715411776,7,0,0,297,25986337304,1777093159139,44413413173344
mnemonics,3189406014,0,0,0,0,-2874938160,5882416656,8,1,45,342,29402015524,1777093159139,44413413173344
mnemonics,3190033971,0,0,0,0,-2860642384,3072105920,9,1,48,390,32863281274,1777093159139,44413413173344
mnemonics,3190344515,0,0,0,0,-2851507152,270930416,10,1,54,444,36321453023,1777093159139,44413413173344
mnemonics,3144652218,0,0,0,0,7415529472,7736791536,10,0,0,444,39779333494,1777093159139,44413413173344
mnemonics,3191679230,0,0,0,0,-2866082592,4921040592,11,1,50,494,43201627727,1777093159139,44413413173344
mnemonics,3192215773,0,0,0,0,-2852703344,2110280288,12,1,52,546,46663273126,1777093159139,44413413173344
mnemonics,3142737806,0,0,0,0,7423918080,9576141408,12,0,0,546,50126892861,1777093159139,44413413173344
mnemonics,3191344999,0,0,0,0,-2873434856,6744649592,13,1,47,593,53546028254,1777093159139,44413413173344
mnemonics,3197913849,0,0,0,0,-2861361480,3933619760,14,1,47,640,57014957172,1777093159139,44413413173344
mnemonics,3194676593,0,0,0,0,-2859364072,1116198728,15,1,54,694,60482696547,1777093159139,44413413173344
mnemonics,3142508933,0,0,0,0,7423918080,8590448456,15,0,0,694,63945909554,1777093159139,44413413173344
mnemonics,3188108189,0,0,0,0,-2875869744,5756521752,16,1,46,740,67361366883,1777093159139,44413413173344
mnemonics,3180226469,0,0,0,0,-2868984344,2937869056,17,1,44,784,70817278801,1777093159139,44413413173344
mnemonics,3180658717,0,0,0,0,-2859101528,129099176,18,1,43,827,74267578878,1777093159139,44413413173344
mnemonics,3143345489,0,0,0,0,7423918080,7594960296,18,0,0,827,77714879809,1777093159139,44413413173344
mnemonics,3176434827,0,0,0,0,-2864978792,4771924544,19,1,38,865,81133737915,1777093159139,44413413173344
mnemonics,3180546225,0,0,0,0,-2862782432,1951085152,20,1,38,903,84579770459,1777093159139,44413413173344
mnemonics,3137583217,0,0,0,0,7415529472,9416946272,20,0,0,903,88031003697,1777093159139,44413413173344
mnemonics,3173209028,0,0,0,0,-2866193720,6592695592,21,1,35,938,91443612782,1777093159139,44413413173344
mnemonics,3176805059,0,0,0,0,-2860056136,3774582496,22,1,41,979,94891271077,1777093159139,44413413173344
mnemonics,3195243745,0,0,0,0,-2858714704,957810832,23,1,40,1019,98338571663,1777093159139,44413413173344
mnemonics,3142445923,0,0,0,0,7415529472,8423671952,23,0,0,1019,101796927606,1777093159139,44413413173344
mnemonics,3176804464,0,0,0,0,-2876054704,5597948896,24,1,36,1055,105214173788,1777093159139,44413413173344
mnemonics,3177521905,0,0,0,0,-2859426872,2780465064,25,1,38,1093,108660579730,1777093159139,44413413173344
mnemonics,3142114504,0,0,0,0,7423918080,10246326184,25,0,0,1093,112106105160,1777093159139,44413413173344
mnemonics,3181795723,0,0,0,0,-2882680904,7405588320,26,1,43,1136,115523154932,1777093159139,44413413173344
mnemonics,3177693375,0,0,0,0,-2862278576,4593641392,27,1,37,1173,118981252460,1777093159139,44413413173344
mnemonics,3180198365,0,0,0,0,-2859090960,1776493472,28,1,39,1212,122428345203,1777093159139,44413413173344
mnemonics,3139583586,0,0,0,0,7415529472,9242354592,28,0,0,1212,125878569025,1777093159139,44413413173344
mnemonics,3177022340,0,0,0,0,-2865456992,6418840640,29,1,36,1248,129292349091,1777093159139,44413413173344
