benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
movie-lens,20336324221,0,0,0,0,6386578000,7206140752,15,8,879,1497,13998333132,1777082121962,33376236173324
movie-lens,13437499451,0,0,0,0,8904061544,16110202296,19,4,337,1834,34336968119,1777082121962,33376236173324
movie-lens,13376637564,0,0,0,0,-1348790080,14761412216,31,12,691,2525,47774668460,1777082121962,33376236173324
movie-lens,12365288954,0,0,0,0,1765213696,16526625912,40,9,642,3167,61151469061,1777082121962,33376236173324
movie-lens,12687697134,0,0,0,0,-3548612440,12978013472,55,15,890,4057,73517016270,1777082121962,33376236173324
movie-lens,11722746743,0,0,0,0,3533069048,16511082520,65,10,546,4603,86204902109,1777082121962,33376236173324
movie-lens,11779288864,0,0,0,0,-1775949520,14735133000,76,11,674,5277,97927913309,1777082121962,33376236173324
movie-lens,12040088746,0,0,0,0,-813391224,13921741776,86,10,840,6117,109707452310,1777082121962,33376236173324
movie-lens,12194707208,0,0,0,0,1809377584,15731119360,100,14,916,7033,121747694740,1777082121962,33376236173324
movie-lens,16826365468,1,1,165,165,-7655410984,8075708376,110,10,615,7648,133942555876,1777082121962,33376236173324
movie-lens,11952229002,1,0,0,165,5898333816,13974042192,118,8,525,8173,150769075634,1777082121962,33376236173324
movie-lens,11872355791,1,0,0,165,780384928,14754427120,127,9,557,8730,162721470118,1777082121962,33376236173324
movie-lens,14913392334,2,1,154,319,-13894817984,859609136,137,10,680,9410,174593995930,1777082121962,33376236173324
movie-lens,11206353933,2,0,0,319,7626493088,8486102224,139,2,134,9544,189507542313,1777082121962,33376236173324
movie-lens,11256737140,2,0,0,319,-4119557320,4366544904,145,6,296,9840,200714029996,1777082121962,33376236173324
movie-lens,11177468710,2,0,0,319,4111250152,8477795056,148,3,159,9999,211970919955,1777082121962,33376236173324
movie-lens,11209845336,2,0,0,319,-5242372424,3235422632,152,4,216,10215,223148536816,1777082121962,33376236173324
movie-lens,11275377710,2,0,0,319,2782995464,6018418096,156,4,202,10417,234358561179,1777082121962,33376236173324
movie-lens,11181517447,2,0,0,319,-4249286376,1769131720,161,5,253,10670,245634258505,1777082121962,33376236173324
movie-lens,11031174235,2,0,0,319,3749006512,5518138232,165,4,201,10871,256815904239,1777082121962,33376236173324
movie-lens,11057080695,2,0,0,319,3065827048,8583965280,169,4,208,11079,267847192504,1777082121962,33376236173324
movie-lens,11090405711,2,0,0,319,-5407043856,3176921424,173,4,230,11309,278904485444,1777082121962,33376236173324
movie-lens,11020291520,2,0,0,319,2667994832,5844916256,176,3,170,11479,289995152917,1777082121962,33376236173324
movie-lens,11091947050,2,0,0,319,2218426688,8063342944,179,3,163,11642,301015596173,1777082121962,33376236173324
movie-lens,11207933438,2,0,0,319,-6560337352,1503005592,183,4,218,11860,312107687533,1777082121962,33376236173324
movie-lens,11092498043,2,0,0,319,1673418600,3176424192,186,3,170,12030,323315733833,1777082121962,33376236173324
movie-lens,10877770029,2,0,0,319,1465453280,4641877472,189,3,164,12194,334408383925,1777082121962,33376236173324
movie-lens,11018032847,2,0,0,319,1308005312,5949882784,192,3,171,12365,345286275539,1777082121962,33376236173324
movie-lens,11016827577,2,0,0,319,627384072,6577266856,196,4,201,12566,356304485454,1777082121962,33376236173324
movie-lens,10942889797,2,0,0,319,1754692056,8331958912,199,3,170,12736,367321412637,1777082121962,33376236173324
movie-lens,11063227574,2,0,0,319,494975984,8826934896,202,3,170,12906,378264414282,1777082121962,33376236173324
movie-lens,11062045856,2,0,0,319,388187456,9215122352,206,4,215,13121,389327759380,1777082121962,33376236173324
