benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
naive-bayes,15556511345,0,0,0,0,7928421128,8078396112,24,19,1379,1640,9134568341,1777088884379,40138653173335
naive-bayes,1859535575,0,0,0,0,3389047512,11467443624,25,1,108,1748,24693345027,1777088884379,40138653173335
naive-bayes,1605724150,0,0,0,0,-6350156808,5117286816,27,2,157,1905,26553266561,1777088884379,40138653173335
naive-bayes,1541201900,0,0,0,0,3334528760,8451815576,28,1,78,1983,28159428052,1777088884379,40138653173335
naive-bayes,1759684777,0,0,0,0,-6358584240,2093231336,30,2,166,2149,29700898160,1777088884379,40138653173335
naive-bayes,1564778217,0,0,0,0,3334766136,5427997472,31,1,79,2228,31460921232,1777088884379,40138653173335
naive-bayes,1487697931,0,0,0,0,3338372536,8766370008,32,1,80,2308,33026147085,1777088884379,40138653173335
naive-bayes,1558540085,0,0,0,0,-6446704472,2319665536,34,2,159,2467,34514173765,1777088884379,40138653173335
naive-bayes,1452484596,0,0,0,0,3289187216,5608852752,35,1,82,2549,36073060425,1777088884379,40138653173335
naive-bayes,1393227986,0,0,0,0,3316881616,8925734368,36,1,80,2629,37525755338,1777088884379,40138653173335
naive-bayes,1555793806,0,0,0,0,-6685123992,2240610376,38,2,172,2801,38919243640,1777088884379,40138653173335
naive-bayes,1436478454,0,0,0,0,2847378456,5087988832,39,1,64,2865,40475313942,1777088884379,40138653173335
naive-bayes,1390119217,0,0,0,0,2743557488,7831546320,40,1,57,2922,41912047257,1777088884379,40138653173335
naive-bayes,1367458981,0,0,0,0,2743110816,10574657136,41,1,54,2976,43302355574,1777088884379,40138653173335
naive-bayes,1524285290,0,0,0,0,-6073458112,4501199024,43,2,109,3085,44669996574,1777088884379,40138653173335
naive-bayes,1345297913,0,0,0,0,2720773520,7221972544,44,1,58,3143,46194470797,1777088884379,40138653173335
naive-bayes,1347531273,0,0,0,0,2760142176,9982114720,45,1,54,3197,47539969968,1777088884379,40138653173335
naive-bayes,1416439937,0,0,0,0,-7557391464,2424723256,47,2,109,3306,48887675362,1777088884379,40138653173335
naive-bayes,1367333502,0,0,0,0,2725631352,5150354608,48,1,60,3366,50304261149,1777088884379,40138653173335
naive-bayes,1387840525,0,0,0,0,2734802056,7885156664,49,1,54,3420,51671766341,1777088884379,40138653173335
naive-bayes,1389372793,0,0,0,0,2743200200,10628356864,50,1,56,3476,53059742269,1777088884379,40138653173335
naive-bayes,1453982068,0,0,0,0,-7508035256,3120321608,52,2,120,3596,54449285017,1777088884379,40138653173335
naive-bayes,1355990976,0,0,0,0,2726605912,5846927520,53,1,56,3652,55903545651,1777088884379,40138653173335
naive-bayes,1360076894,0,0,0,0,2726392632,8573320152,54,1,55,3707,57259716978,1777088884379,40138653173335
naive-bayes,1360424734,0,0,0,0,2726264008,11299584160,55,1,54,3761,58619963747,1777088884379,40138653173335
naive-bayes,1465026502,0,0,0,0,-7566405184,3733178976,57,2,110,3871,59980510721,1777088884379,40138653173335
naive-bayes,1340546767,0,0,0,0,2734814184,6467993160,58,1,60,3931,61445657959,1777088884379,40138653173335
naive-bayes,1366969546,0,0,0,0,2726548312,9194541472,59,1,61,3992,62786362596,1777088884379,40138653173335
naive-bayes,1348867800,0,0,0,0,2751472112,11946013584,60,1,58,4050,64153522964,1777088884379,40138653173335
naive-bayes,1416145089,0,0,0,0,-7549757616,4396255968,62,2,119,4169,65502570342,1777088884379,40138653173335
naive-bayes,1352227113,0,0,0,0,2717971656,7114227624,63,1,56,4225,66918847356,1777088884379,40138653173335
naive-bayes,1388750422,0,0,0,0,2726565688,9840793312,64,1,58,4283,68271229206,1777088884379,40138653173335
naive-bayes,1398940398,0,0,0,0,-7558368912,2282424400,66,2,119,4402,69660106522,1777088884379,40138653173335
naive-bayes,1372587346,0,0,0,0,2718298856,5000723256,67,1,55,4457,71059163018,1777088884379,40138653173335
naive-bayes,1328326917,0,0,0,0,2726474856,7727198112,68,1,54,4511,72431922849,1777088884379,40138653173335
naive-bayes,1319806634,0,0,0,0,2701102472,10428300584,69,1,54,4565,73760413334,1777088884379,40138653173335
naive-bayes,1395651509,0,0,0,0,-7549732992,2878567592,71,2,114,4679,75080380923,1777088884379,40138653173335
naive-bayes,1353568899,0,0,0,0,2709787432,5588355024,72,1,58,4737,76476153894,1777088884379,40138653173335
naive-bayes,1344599891,0,0,0,0,2718015152,8306370176,73,1,54,4791,77829851079,1777088884379,40138653173335
naive-bayes,1323058937,0,0,0,0,2709541128,11015911304,74,1,63,4854,79174573723,1777088884379,40138653173335
naive-bayes,1411557114,0,0,0,0,-7583326320,3432584984,76,2,116,4970,80497759537,1777088884379,40138653173335
naive-bayes,1344308425,0,0,0,0,2718274376,6150859360,77,1,57,5027,81909429799,1777088884379,40138653173335
naive-bayes,1342724602,0,0,0,0,2701022184,8851881544,78,1,59,5086,83253915901,1777088884379,40138653173335
naive-bayes,1333455765,0,0,0,0,2709715928,11561597472,79,1,57,5143,84596788397,1777088884379,40138653173335
naive-bayes,1412735741,0,0,0,0,-7541547768,4020049704,81,2,125,5268,85930362070,1777088884379,40138653173335
naive-bayes,1352140456,0,0,0,0,2718217400,6738267104,82,1,60,5328,87343253877,1777088884379,40138653173335
naive-bayes,1320941131,0,0,0,0,2709513464,9447780568,83,1,54,5382,88695509898,1777088884379,40138653173335
naive-bayes,1403907054,0,0,0,0,-7558506648,1889273920,85,2,121,5503,90016599372,1777088884379,40138653173335
naive-bayes,1327605273,0,0,0,0,2710091928,4599365848,86,1,61,5564,91420676914,1777088884379,40138653173335
naive-bayes,1316629970,0,0,0,0,2718062320,7317428168,87,1,67,5631,92748534948,1777088884379,40138653173335
naive-bayes,1341398035,0,0,0,0,2717938760,10035366928,88,1,62,5693,94065274840,1777088884379,40138653173335
naive-bayes,1396918783,0,0,0,0,-7541375720,2493991208,90,2,138,5831,95406844921,1777088884379,40138653173335
naive-bayes,1316287501,0,0,0,0,2709750776,5203741984,91,1,70,5901,96803963941,1777088884379,40138653173335
naive-bayes,1345902891,0,0,0,0,2726400672,7930142656,92,1,69,5970,98120398650,1777088884379,40138653173335
naive-bayes,1313468666,0,0,0,0,2718000880,10648143536,93,1,65,6035,99466442287,1777088884379,40138653173335
naive-bayes,1419467988,0,0,0,0,-7575122544,3073020992,95,2,130,6165,100780064307,1777088884379,40138653173335
naive-bayes,1307834236,0,0,0,0,2735157424,5808178416,96,1,70,6235,102199680898,1777088884379,40138653173335
naive-bayes,1338394321,0,0,0,0,2709572920,8517751336,97,1,67,6302,103507650651,1777088884379,40138653173335
naive-bayes,1294174842,0,0,0,0,2718038664,11235790000,98,1,59,6361,104846163262,1777088884379,40138653173335
naive-bayes,1380867561,0,0,0,0,-7583456664,3652333336,100,2,137,6498,106140486102,1777088884379,40138653173335
naive-bayes,1322780228,0,0,0,0,2726587168,6378920504,101,1,69,6567,107521493923,1777088884379,40138653173335
naive-bayes,1318886097,0,0,0,0,2717927040,9096847544,102,1,67,6634,108844383556,1777088884379,40138653173335
naive-bayes,1336127911,0,0,0,0,2701145904,11797993448,103,1,68,6702,110163405017,1777088884379,40138653173335
naive-bayes,1381379377,0,0,0,0,-7549755888,4248237560,105,2,143,6845,111499634824,1777088884379,40138653173335
naive-bayes,1322165696,0,0,0,0,2718161744,6966399304,106,1,68,6913,112881136259,1777088884379,40138653173335
naive-bayes,1306748583,0,0,0,0,2709486616,9675885920,107,1,67,6980,114203435703,1777088884379,40138653173335
naive-bayes,1383230724,0,0,0,0,-7575297480,2100588440,109,2,125,7105,115510328711,1777088884379,40138653173335
naive-bayes,1322294471,0,0,0,0,2726880464,4827468904,110,1,73,7178,116893678958,1777088884379,40138653173335
naive-bayes,1321712269,0,0,0,0,2701252280,7528721184,111,1,70,7248,118216162725,1777088884379,40138653173335
naive-bayes,1306604362,0,0,0,0,2692836216,10221557400,112,1,69,7317,119537993340,1777088884379,40138653173335
naive-bayes,1414835077,0,0,0,0,-7566516176,2655041224,114,2,138,7455,120844704650,1777088884379,40138653173335
naive-bayes,1302547317,0,0,0,0,2718082344,5373123568,115,1,69,7524,122259660588,1777088884379,40138653173335
naive-bayes,1320113392,0,0,0,0,2701275496,8074399064,116,1,70,7594,123562332045,1777088884379,40138653173335
naive-bayes,1308288012,0,0,0,0,2734716800,10809115864,117,1,70,7664,124882590510,1777088884379,40138653173335
naive-bayes,1473313847,0,0,0,0,-7583379232,3225736632,119,2,136,7800,126191012156,1777088884379,40138653173335
naive-bayes,1307492989,0,0,0,0,2701399000,5927135632,120,1,72,7872,127664457450,1777088884379,40138653173335
naive-bayes,1348691119,0,0,0,0,2718082144,8645217776,121,1,74,7946,128972047946,1777088884379,40138653173335
naive-bayes,1323020546,0,0,0,0,2726287336,11371505112,122,1,67,8013,130320893974,1777088884379,40138653173335
naive-bayes,1434085105,0,0,0,0,-7566638896,3804866216,124,2,138,8151,131644055285,1777088884379,40138653173335
naive-bayes,1369564146,0,0,0,0,2709841440,6514707656,125,1,67,8218,133078276767,1777088884379,40138653173335
naive-bayes,1297648762,0,0,0,0,2734681728,9249389384,126,1,63,8281,134447984742,1777088884379,40138653173335
naive-bayes,1322446530,0,0,0,0,2701205632,11950595016,127,1,68,8349,135745869773,1777088884379,40138653173335
naive-bayes,1380974841,0,0,0,0,-7574911104,4375683912,129,2,145,8494,137068426803,1777088884379,40138653173335
naive-bayes,1326274956,0,0,0,0,2709703968,7085387880,130,1,70,8564,138449492994,1777088884379,40138653173335
naive-bayes,1322112287,0,0,0,0,2726442504,9811830384,131,1,70,8634,139775870707,1777088884379,40138653173335
naive-bayes,1387673357,0,0,0,0,-7549712104,2262118280,133,2,141,8775,141098070661,1777088884379,40138653173335
naive-bayes,1310016090,0,0,0,0,2717912440,4980030720,134,1,72,8847,142485889674,1777088884379,40138653173335
naive-bayes,1333163124,0,0,0,0,2701375864,7681406584,135,1,78,8925,143796021897,1777088884379,40138653173335
naive-bayes,1299482017,0,0,0,0,2726381480,10407788064,136,1,69,8994,145129277270,1777088884379,40138653173335
naive-bayes,1374748516,0,0,0,0,-7575023432,2832764632,138,2,141,9135,146428891937,1777088884379,40138653173335
naive-bayes,1299883271,0,0,0,0,2718107232,5550871864,139,1,75,9210,147803727874,1777088884379,40138653173335
naive-bayes,1412936208,0,0,0,0,2709623144,8260495008,140,1,74,9284,149103704777,1777088884379,40138653173335
naive-bayes,1315510746,0,0,0,0,2701206912,10961701920,141,1,65,9349,150516724252,1777088884379,40138653173335
naive-bayes,1450706729,0,0,0,0,-7574923744,3386778176,143,2,136,9485,151832356486,1777088884379,40138653173335
naive-bayes,1316372586,0,0,0,0,2726557040,6113335216,144,1,64,9549,153283183854,1777088884379,40138653173335
naive-bayes,1308894192,0,0,0,0,2709527464,8822862680,145,1,72,9621,154599647545,1777088884379,40138653173335
naive-bayes,1318941755,0,0,0,0,2709620184,11532482864,146,1,67,9688,155908660317,1777088884379,40138653173335
naive-bayes,1372008699,0,0,0,0,-7574940360,3957542504,148,2,137,9825,157227711706,1777088884379,40138653173335
