benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
neo4j-analytics,6741228601,0,0,0,0,-1049926016,2318100096,19,2,120,2280,25471810830,1777085807968,37062242173325
neo4j-analytics,2554971622,0,0,0,0,2097152000,4415252096,19,0,0,2280,32214598413,1777085807968,37062242173325
neo4j-analytics,2429909626,0,0,0,0,2088763392,6504015488,19,0,0,2280,34769987658,1777085807968,37062242173325
neo4j-analytics,1975985582,0,0,0,0,-4178191224,2325824264,20,1,80,2360,37200192411,1777085807968,37062242173325
neo4j-analytics,1742940636,0,0,0,0,2088763392,4414587656,20,0,0,2360,39176465924,1777085807968,37062242173325
neo4j-analytics,1805412991,0,0,0,0,2097152000,6511739656,20,0,0,2360,40919702613,1777085807968,37062242173325
neo4j-analytics,2265595635,0,0,0,0,2088763392,8600503048,20,0,0,2360,42725444389,1777085807968,37062242173325
neo4j-analytics,2325764619,0,0,0,0,2088763392,10689266440,20,0,0,2360,44991310074,1777085807968,37062242173325
neo4j-analytics,1862223679,0,0,0,0,-8177259320,2512007120,21,1,91,2451,47317340058,1777085807968,37062242173325
neo4j-analytics,1731817311,0,0,0,0,2080374784,4592381904,21,0,0,2451,49179853691,1777085807968,37062242173325
neo4j-analytics,1843139252,0,0,0,0,2088763392,6681145296,21,0,0,2451,50911953589,1777085807968,37062242173325
neo4j-analytics,1781781831,0,0,0,0,2080374784,8761520080,21,0,0,2451,52755395598,1777085807968,37062242173325
neo4j-analytics,1838101952,0,0,0,0,2088763392,10850283472,21,0,0,2451,54537451481,1777085807968,37062242173325
neo4j-analytics,1888832891,0,0,0,0,-8195689168,2654594304,22,1,84,2535,56375868365,1777085807968,37062242173325
neo4j-analytics,1821869948,0,0,0,0,2088763392,4743357696,22,0,0,2535,58264991277,1777085807968,37062242173325
neo4j-analytics,1802637628,0,0,0,0,2080374784,6823732480,22,0,0,2535,60087179603,1777085807968,37062242173325
neo4j-analytics,1696823519,0,0,0,0,2088763392,8912495872,22,0,0,2535,61890102132,1777085807968,37062242173325
neo4j-analytics,1818167740,0,0,0,0,-8161264280,751231592,23,1,91,2626,63587204589,1777085807968,37062242173325
neo4j-analytics,1729454401,0,0,0,0,2080374784,2831606376,23,0,0,2626,65405622903,1777085807968,37062242173325
neo4j-analytics,1717875823,0,0,0,0,2097152000,4928758376,23,0,0,2626,67135308539,1777085807968,37062242173325
neo4j-analytics,1709250813,0,0,0,0,2080374784,7009133160,23,0,0,2626,68853425037,1777085807968,37062242173325
neo4j-analytics,1726383015,0,0,0,0,2088763392,9097896552,23,0,0,2626,70562898159,1777085807968,37062242173325
neo4j-analytics,1828623217,0,0,0,0,-8170081048,927815504,24,1,88,2714,72289553188,1777085807968,37062242173325
neo4j-analytics,1725272590,0,0,0,0,2080374784,3008190288,24,0,0,2714,74118430735,1777085807968,37062242173325
neo4j-analytics,1714818827,0,0,0,0,2088763392,5096953680,24,0,0,2714,75843938970,1777085807968,37062242173325
neo4j-analytics,1715592021,0,0,0,0,2088763392,7185717072,24,0,0,2714,77559016675,1777085807968,37062242173325
neo4j-analytics,1720956442,0,0,0,0,2080374784,9266091856,24,0,0,2714,79274850211,1777085807968,37062242173325
neo4j-analytics,1786980790,0,0,0,0,-8170392464,1095699392,25,1,91,2805,80996037642,1777085807968,37062242173325
neo4j-analytics,1708862352,0,0,0,0,2088763392,3184462784,25,0,0,2805,82783280430,1777085807968,37062242173325
neo4j-analytics,1706265695,0,0,0,0,2088763392,5273226176,25,0,0,2805,84492358586,1777085807968,37062242173325
neo4j-analytics,1720511908,0,0,0,0,2088763392,7361989568,25,0,0,2805,86198862430,1777085807968,37062242173325
neo4j-analytics,1723062585,0,0,0,0,2088763392,9450752960,25,0,0,2805,87919687968,1777085807968,37062242173325
neo4j-analytics,1814211330,0,0,0,0,-8176986208,1273766752,26,1,92,2897,89643069846,1777085807968,37062242173325
neo4j-analytics,1711002252,0,0,0,0,2088763392,3362530144,26,0,0,2897,91457519194,1777085807968,37062242173325
neo4j-analytics,1709965706,0,0,0,0,2088763392,5451293536,26,0,0,2897,93168751445,1777085807968,37062242173325
neo4j-analytics,1708584332,0,0,0,0,2080374784,7531668320,26,0,0,2897,94878924603,1777085807968,37062242173325
neo4j-analytics,1718147358,0,0,0,0,2088763392,9620431712,26,0,0,2897,96587718194,1777085807968,37062242173325
neo4j-analytics,1780002969,0,0,0,0,-8172265200,1448166512,27,1,90,2987,98306085470,1777085807968,37062242173325
neo4j-analytics,1712288767,0,0,0,0,2080374784,3528541296,27,0,0,2987,100086305121,1777085807968,37062242173325
neo4j-analytics,1646993273,0,0,0,0,2088763392,5617304688,27,0,0,2987,101798788448,1777085807968,37062242173325
neo4j-analytics,1710235622,0,0,0,0,2080374784,7697679472,27,0,0,2987,103446001086,1777085807968,37062242173325
neo4j-analytics,1705692761,0,0,0,0,2088763392,9786442864,27,0,0,2987,105156434042,1777085807968,37062242173325
neo4j-analytics,1701598250,0,0,0,0,-8170496176,1615946688,28,1,91,3078,106862330622,1777085807968,37062242173325
neo4j-analytics,1722675730,0,0,0,0,2080374784,3696321472,28,0,0,3078,108564204572,1777085807968,37062242173325
neo4j-analytics,1716878363,0,0,0,0,2080374784,5776696256,28,0,0,3078,110287146644,1777085807968,37062242173325
neo4j-analytics,1704789023,0,0,0,0,2088763392,7865459648,28,0,0,3078,112004300848,1777085807968,37062242173325
neo4j-analytics,1715979673,0,0,0,0,2080374784,9945834432,28,0,0,3078,113709394755,1777085807968,37062242173325
neo4j-analytics,1800062134,0,0,0,0,-8181442224,1764392208,29,1,95,3173,115425729256,1777085807968,37062242173325
neo4j-analytics,1713284032,0,0,0,0,2080374784,3844766992,29,0,0,3173,117226136575,1777085807968,37062242173325
neo4j-analytics,1672480790,0,0,0,0,2088763392,5933530384,29,0,0,3173,118939763122,1777085807968,37062242173325
neo4j-analytics,1705383735,0,0,0,0,2080374784,8013905168,29,0,0,3173,120612511356,1777085807968,37062242173325
neo4j-analytics,1712040108,0,0,0,0,2088763392,10102668560,29,0,0,3173,122318156906,1777085807968,37062242173325
neo4j-analytics,1792755504,0,0,0,0,-8181435120,1921233440,30,1,92,3265,124030492005,1777085807968,37062242173325
neo4j-analytics,1702158285,0,0,0,0,2080374784,4001608224,30,0,0,3265,125823506008,1777085807968,37062242173325
neo4j-analytics,1714982054,0,0,0,0,2080374784,6081983008,30,0,0,3265,127525856803,1777085807968,37062242173325
neo4j-analytics,1711260010,0,0,0,0,2088763392,8170746400,30,0,0,3265,129241035279,1777085807968,37062242173325
neo4j-analytics,1708452140,0,0,0,0,2080374784,10251121184,30,0,0,3265,130952478798,1777085807968,37062242173325
neo4j-analytics,1799719330,0,0,0,0,-8199677488,2051443696,31,1,94,3359,132661118021,1777085807968,37062242173325
neo4j-analytics,1708411632,0,0,0,0,2080374784,4131818480,31,0,0,3359,134461030323,1777085807968,37062242173325
neo4j-analytics,1706753251,0,0,0,0,2088763392,6220581872,31,0,0,3359,136169625462,1777085807968,37062242173325
neo4j-analytics,1709908302,0,0,0,0,2080374784,8300956656,31,0,0,3359,137876568396,1777085807968,37062242173325
neo4j-analytics,1708742739,0,0,0,0,2088763392,10389720048,31,0,0,3359,139586661162,1777085807968,37062242173325
neo4j-analytics,1805264670,0,0,0,0,-8202704248,2187015800,32,1,97,3456,141295599443,1777085807968,37062242173325
neo4j-analytics,1713954573,0,0,0,0,2088763392,4275779192,32,0,0,3456,143101258831,1777085807968,37062242173325
neo4j-analytics,1715064344,0,0,0,0,2080374784,6356153976,32,0,0,3456,144815591001,1777085807968,37062242173325
neo4j-analytics,1709426580,0,0,0,0,2088763392,8444917368,32,0,0,3456,146530915464,1777085807968,37062242173325
neo4j-analytics,1704265766,0,0,0,0,2088763392,10533680760,32,0,0,3456,148240546679,1777085807968,37062242173325
neo4j-analytics,1806809871,0,0,0,0,-8206968768,2326711992,33,1,98,3554,149945032072,1777085807968,37062242173325
neo4j-analytics,1714316447,0,0,0,0,2080374784,4407086776,33,0,0,3554,151752053039,1777085807968,37062242173325
neo4j-analytics,1705616531,0,0,0,0,2088763392,6495850168,33,0,0,3554,153466579746,1777085807968,37062242173325
neo4j-analytics,1713754232,0,0,0,0,2088763392,8584613560,33,0,0,3554,155172398003,1777085807968,37062242173325
neo4j-analytics,1708046201,0,0,0,0,2080374784,10664988344,33,0,0,3554,156886355154,1777085807968,37062242173325
neo4j-analytics,1780139633,0,0,0,0,-8204220736,2460767608,34,1,64,3618,158594616714,1777085807968,37062242173325
neo4j-analytics,1732627046,0,0,0,0,2080374784,4541142392,34,0,0,3618,160374971196,1777085807968,37062242173325
neo4j-analytics,1719195118,0,0,0,0,2088763392,6629905784,34,0,0,3618,162107810186,1777085807968,37062242173325
neo4j-analytics,1713425850,0,0,0,0,2080374784,8710280568,34,0,0,3618,163827215219,1777085807968,37062242173325
neo4j-analytics,1710014365,0,0,0,0,2088763392,10799043960,34,0,0,3618,165540859039,1777085807968,37062242173325
neo4j-analytics,1748385760,0,0,0,0,-8211880576,2587163384,35,1,43,3661,167251080426,1777085807968,37062242173325
neo4j-analytics,1712246794,0,0,0,0,2080374784,4667538168,35,0,0,3661,168999664005,1777085807968,37062242173325
neo4j-analytics,1707631264,0,0,0,0,2088763392,6756301560,35,0,0,3661,170712093562,1777085807968,37062242173325
neo4j-analytics,1719631493,0,0,0,0,2080374784,8836676344,35,0,0,3661,172419941364,1777085807968,37062242173325
neo4j-analytics,1763136630,0,0,0,0,-8191708696,644967648,36,1,45,3706,174139723042,1777085807968,37062242173325
neo4j-analytics,1711368581,0,0,0,0,2080374784,2725342432,36,0,0,3706,175903018926,1777085807968,37062242173325
neo4j-analytics,1737598203,0,0,0,0,2088763392,4814105824,36,0,0,3706,177614546255,1777085807968,37062242173325
neo4j-analytics,1715190519,0,0,0,0,2080374784,6894480608,36,0,0,3706,179352300547,1777085807968,37062242173325
neo4j-analytics,1710685409,0,0,0,0,2088763392,8983244000,36,0,0,3706,181067655275,1777085807968,37062242173325
neo4j-analytics,1767908147,0,0,0,0,-8174370880,808873120,37,1,48,3754,182778529512,1777085807968,37062242173325
neo4j-analytics,1727049809,0,0,0,0,2080374784,2889247904,37,0,0,3754,184546590249,1777085807968,37062242173325
neo4j-analytics,1719057167,0,0,0,0,2080374784,4969622688,37,0,0,3754,186273790196,1777085807968,37062242173325
neo4j-analytics,1716713705,0,0,0,0,2088763392,7058386080,37,0,0,3754,187992998312,1777085807968,37062242173325
neo4j-analytics,1711853622,0,0,0,0,2080374784,9138760864,37,0,0,3754,189709872027,1777085807968,37062242173325
neo4j-analytics,1749597285,0,0,0,0,-8177762256,960998608,38,1,46,3800,191421885069,1777085807968,37062242173325
neo4j-analytics,1708689657,0,0,0,0,2080374784,3041373392,38,0,0,3800,193171632897,1777085807968,37062242173325
neo4j-analytics,1710295120,0,0,0,0,2088763392,5130136784,38,0,0,3800,194880475860,1777085807968,37062242173325
neo4j-analytics,1711259819,0,0,0,0,2080374784,7210511568,38,0,0,3800,196590936239,1777085807968,37062242173325
neo4j-analytics,1720457942,0,0,0,0,2088763392,9299274960,38,0,0,3800,198302352612,1777085807968,37062242173325
neo4j-analytics,1756521458,0,0,0,0,-8178285264,1120989696,39,1,46,3846,200023007816,1777085807968,37062242173325
neo4j-analytics,1720292864,0,0,0,0,2080374784,3201364480,39,0,0,3846,201779678569,1777085807968,37062242173325
neo4j-analytics,1715021119,0,0,0,0,2080374784,5281739264,39,0,0,3846,203500126225,1777085807968,37062242173325
neo4j-analytics,1709356725,0,0,0,0,2088763392,7370502656,39,0,0,3846,205215298150,1777085807968,37062242173325
neo4j-analytics,1704269334,0,0,0,0,2088763392,9459266048,39,0,0,3846,206924805058,1777085807968,37062242173325
neo4j-analytics,1745374202,0,0,0,0,-8179409328,1279856720,40,1,46,3892,208629226069,1777085807968,37062242173325
neo4j-analytics,1713630147,0,0,0,0,2080374784,3360231504,40,0,0,3892,210374756252,1777085807968,37062242173325
neo4j-analytics,1718519065,0,0,0,0,2080374784,5440606288,40,0,0,3892,212088538675,1777085807968,37062242173325
neo4j-analytics,1710839548,0,0,0,0,2088763392,7529369680,40,0,0,3892,213807212621,1777085807968,37062242173325
neo4j-analytics,1712492395,0,0,0,0,2080374784,9609744464,40,0,0,3892,215518252586,1777085807968,37062242173325
neo4j-analytics,1755613385,0,0,0,0,-8178856608,1430887856,41,1,47,3939,217230947906,1777085807968,37062242173325
neo4j-analytics,1708587346,0,0,0,0,2088763392,3519651248,41,0,0,3939,218986710936,1777085807968,37062242173325
neo4j-analytics,1709743989,0,0,0,0,2080374784,5600026032,41,0,0,3939,220695444953,1777085807968,37062242173325
neo4j-analytics,1729101277,0,0,0,0,2080374784,7680400816,41,0,0,3939,222405334432,1777085807968,37062242173325
neo4j-analytics,1709105145,0,0,0,0,2080374784,9769164208,41,0,0,3939,224134622725,1777085807968,37062242173325
neo4j-analytics,1735126067,0,0,0,0,-8178227720,1590936488,42,1,49,3988,225843886699,1777085807968,37062242173325
neo4j-analytics,1711293820,0,0,0,0,2080374784,3671311272,42,0,0,3988,227579172351,1777085807968,37062242173325
neo4j-analytics,1729218642,0,0,0,0,2080374784,5760074664,42,0,0,3988,229290643022,1777085807968,37062242173325
neo4j-analytics,1707637905,0,0,0,0,2080374784,7840449448,42,0,0,3988,231020035579,1777085807968,37062242173325
neo4j-analytics,1733110599,0,0,0,0,2080374784,9929212840,42,0,0,3988,232727957234,1777085807968,37062242173325
neo4j-analytics,1750189603,0,0,0,0,-8187951344,1741261496,43,1,50,4038,234461314776,1777085807968,37062242173325
neo4j-analytics,1714552015,0,0,0,0,2080374784,3821636280,43,0,0,4038,236211664206,1777085807968,37062242173325
neo4j-analytics,1727094310,0,0,0,0,2080374784,5910399672,43,0,0,4038,237926393557,1777085807968,37062242173325
neo4j-analytics,1739418029,0,0,0,0,2080374784,7990774456,43,0,0,4038,239653701829,1777085807968,37062242173325
