benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
par-mnemonics,4708249344,0,0,0,0,4884571896,5078609352,3,3,100,100,739051126,1777090114851,41369125173342
par-mnemonics,4375929733,0,0,0,0,-2833653928,2295287072,4,1,49,149,5807464457,1777090114851,41369125173342
par-mnemonics,2518939030,0,0,0,0,7449083904,9777925408,4,0,0,149,10430058540,1777090114851,41369125173342
par-mnemonics,2565117143,0,0,0,0,-2824859112,6986620728,5,1,49,198,13199772272,1777090114851,41369125173342
par-mnemonics,2562027211,0,0,0,0,-2835833192,4192730576,6,1,47,245,16017744444,1777090114851,41369125173342
par-mnemonics,2574227027,0,0,0,0,-2818080392,1416593224,7,1,54,299,18823328185,1777090114851,41369125173342
par-mnemonics,2519169212,0,0,0,0,7449083904,8899231560,7,0,0,299,21645029366,1777090114851,41369125173342
par-mnemonics,2571869382,0,0,0,0,-2866281016,6074893584,8,1,48,347,24416579373,1777090114851,41369125173342
par-mnemonics,2573141922,0,0,0,0,-2827551456,3289285168,9,1,51,398,27237734445,1777090114851,41369125173342
par-mnemonics,2570649558,0,0,0,0,-2825813280,497026320,10,1,54,452,30049241451,1777090114851,41369125173342
par-mnemonics,2525357985,0,0,0,0,7449083904,7988053264,10,0,0,452,32866744943,1777090114851,41369125173342
par-mnemonics,2568977840,0,0,0,0,-2849049920,5172557776,11,1,47,499,35639088402,1777090114851,41369125173342
par-mnemonics,2569302867,0,0,0,0,-2836362560,2378138256,12,1,51,550,38460213373,1777090114851,41369125173342
par-mnemonics,2628962118,0,0,0,0,7440695296,9852387984,12,0,0,550,41277788279,1777090114851,41369125173342
par-mnemonics,2570701111,0,0,0,0,-2857090264,7028852152,13,1,47,597,44164319863,1777090114851,41369125173342
par-mnemonics,2594417237,0,0,0,0,-2836246128,4234549064,14,1,50,647,46984583719,1777090114851,41369125173342
par-mnemonics,2575674065,0,0,0,0,-2825806456,1442297040,15,1,53,700,49816039670,1777090114851,41369125173342
par-mnemonics,2515270387,0,0,0,0,7449083904,8924935376,15,0,0,700,52633741404,1777090114851,41369125173342
par-mnemonics,2568021679,0,0,0,0,-2865908120,6100970296,16,1,47,747,55399210209,1777090114851,41369125173342
par-mnemonics,2564383263,0,0,0,0,-2836118168,3306795168,17,1,38,785,58218507412,1777090114851,41369125173342
par-mnemonics,2717580158,0,0,0,0,-2819462120,520887480,18,1,43,828,61024987214,1777090114851,41369125173342
par-mnemonics,2514869441,0,0,0,0,7440695296,8003525816,18,0,0,828,63986526674,1777090114851,41369125173342
par-mnemonics,2562404175,0,0,0,0,-2865231600,5180237256,19,1,38,866,66750440911,1777090114851,41369125173342
par-mnemonics,2550897830,0,0,0,0,-2834884192,2387296104,20,1,41,907,69561410962,1777090114851,41369125173342
par-mnemonics,2519110760,0,0,0,0,7449083904,9869934440,20,0,0,907,72356008938,1777090114851,41369125173342
par-mnemonics,2568275644,0,0,0,0,-2866735808,7045141672,21,1,37,944,75120582638,1777090114851,41369125173342
par-mnemonics,2563693315,0,0,0,0,-2844461104,4242623608,22,1,40,984,77938128482,1777090114851,41369125173342
par-mnemonics,2573929814,0,0,0,0,-2826104816,1458461832,23,1,44,1028,80744194719,1777090114851,41369125173342
par-mnemonics,2557693681,0,0,0,0,7440695296,8932711560,23,0,0,1028,83559275223,1777090114851,41369125173342
par-mnemonics,2560413289,0,0,0,0,-2849744880,6116521112,24,1,40,1068,86368299788,1777090114851,41369125173342
par-mnemonics,2553387271,0,0,0,0,-2843669984,3314794168,25,1,41,1109,89176518658,1777090114851,41369125173342
par-mnemonics,2554368421,0,0,0,0,-2834834064,521903144,26,1,43,1152,91975079860,1777090114851,41369125173342
par-mnemonics,2522613289,0,0,0,0,7440695296,8004541480,26,0,0,1152,94774698062,1777090114851,41369125173342
par-mnemonics,2548650366,0,0,0,0,-2865793776,5180690744,27,1,40,1192,97546390974,1777090114851,41369125173342
par-mnemonics,2555881645,0,0,0,0,-2836053656,2386580128,28,1,40,1232,100342369425,1777090114851,41369125173342
par-mnemonics,2527110202,0,0,0,0,7432306688,9860829856,28,0,0,1232,103139362568,1777090114851,41369125173342
par-mnemonics,2561609421,0,0,0,0,-2866020056,7036752840,29,1,37,1269,105914144765,1777090114851,41369125173342
par-mnemonics,2552088278,0,0,0,0,-2844543424,4234152456,30,1,38,1307,108717078660,1777090114851,41369125173342
par-mnemonics,2565349620,0,0,0,0,-2833983536,1433723352,31,1,41,1348,111511124073,1777090114851,41369125173342
par-mnemonics,3274324318,0,0,0,0,7474249728,8949916120,31,0,0,1348,114322561186,1777090114851,41369125173342
par-mnemonics,2549238818,0,0,0,0,-2849990672,6141868488,32,1,36,1384,117846757429,1777090114851,41369125173342
par-mnemonics,2558308206,0,0,0,0,-2835554888,3348256640,33,1,45,1429,120646550815,1777090114851,41369125173342
par-mnemonics,2550998945,0,0,0,0,-2833736632,548074440,34,1,42,1471,123451607216,1777090114851,41369125173342
par-mnemonics,2527576902,0,0,0,0,7432306688,8022324168,34,0,0,1471,126246412642,1777090114851,41369125173342
par-mnemonics,2566896971,0,0,0,0,-2858818720,5205448488,35,1,41,1512,129021826010,1777090114851,41369125173342
par-mnemonics,2742650028,0,0,0,0,-2827937616,2411065304,36,1,39,1551,131836489280,1777090114851,41369125173342
par-mnemonics,2528565670,0,0,0,0,7440695296,9893703640,36,0,0,1551,134826358259,1777090114851,41369125173342
par-mnemonics,2559078313,0,0,0,0,-2873694448,7061952232,37,1,38,1589,137598586350,1777090114851,41369125173342
par-mnemonics,2569333167,0,0,0,0,-2836176512,4267718760,38,1,43,1632,140400731197,1777090114851,41369125173342
par-mnemonics,2559174209,0,0,0,0,-2826005664,1475267528,39,1,40,1672,143212383023,1777090114851,41369125173342
par-mnemonics,2518982030,0,0,0,0,7432306688,8949517256,39,0,0,1672,146019731509,1777090114851,41369125173342
par-mnemonics,2563393013,0,0,0,0,-2858132160,6133328136,40,1,41,1713,148785318688,1777090114851,41369125173342
par-mnemonics,2544283057,0,0,0,0,-2835311832,3331570736,41,1,37,1750,151594254353,1777090114851,41369125173342
par-mnemonics,2553096166,0,0,0,0,-2835524792,529600376,42,1,44,1794,154381092895,1777090114851,41369125173342
par-mnemonics,2533647151,0,0,0,0,7440695296,8012238712,42,0,0,1794,157175442526,1777090114851,41369125173342
par-mnemonics,2556327454,0,0,0,0,-2857087216,5188705928,43,1,42,1836,159955668049,1777090114851,41369125173342
par-mnemonics,2548203803,0,0,0,0,-2843736048,2386912920,44,1,37,1873,162759486962,1777090114851,41369125173342
par-mnemonics,2526011782,0,0,0,0,7449083904,9869551256,44,0,0,1873,165550554451,1777090114851,41369125173342
par-mnemonics,2569895033,0,0,0,0,-2866275120,7045219176,45,1,37,1910,168323318151,1777090114851,41369125173342
par-mnemonics,2556212119,0,0,0,0,-2853056944,4234105272,46,1,40,1950,171139462826,1777090114851,41369125173342
par-mnemonics,2573536340,0,0,0,0,-2834282784,1441765528,47,1,40,1990,173941558334,1777090114851,41369125173342
par-mnemonics,2514587499,0,0,0,0,7440695296,8924403864,47,0,0,1990,176759779841,1777090114851,41369125173342
par-mnemonics,2554821083,0,0,0,0,-2857763424,6108583480,48,1,41,2031,179522706139,1777090114851,41369125173342
par-mnemonics,2556347718,0,0,0,0,-2835642696,3306495216,49,1,43,2074,182324273394,1777090114851,41369125173342
par-mnemonics,2552901521,0,0,0,0,-2843747992,504690264,50,1,39,2113,185125269003,1777090114851,41369125173342
par-mnemonics,2514735247,0,0,0,0,7440695296,7987328600,50,0,0,2113,187923683330,1777090114851,41369125173342
par-mnemonics,2554211614,0,0,0,0,-2857322288,5163560744,51,1,38,2151,190685975174,1777090114851,41369125173342
par-mnemonics,2558465968,0,0,0,0,-2843736048,2361767736,52,1,39,2190,193484351789,1777090114851,41369125173342
par-mnemonics,2512288266,0,0,0,0,7440695296,9836017464,52,0,0,2190,196284720460,1777090114851,41369125173342
par-mnemonics,2561914493,0,0,0,0,-2874666080,7003294424,53,1,37,2227,199044952307,1777090114851,41369125173342
par-mnemonics,2576413382,0,0,0,0,-2852589088,4192648376,54,1,37,2264,201857060499,1777090114851,41369125173342
par-mnemonics,2665166247,0,0,0,0,-2825909392,1408682024,55,1,42,2306,204678056141,1777090114851,41369125173342
par-mnemonics,2512426389,0,0,0,0,7440695296,8882931752,55,0,0,2306,207590226653,1777090114851,41369125173342
par-mnemonics,2560545272,0,0,0,0,-2858151336,6066723456,56,1,40,2346,210349844545,1777090114851,41369125173342
par-mnemonics,2557501401,0,0,0,0,-2843635800,3256642088,57,1,42,2388,213158248892,1777090114851,41369125173342
par-mnemonics,2549609040,0,0,0,0,-2827867424,462329096,58,1,38,2426,215957601242,1777090114851,41369125173342
par-mnemonics,2515390191,0,0,0,0,7440695296,7936578824,58,0,0,2426,218749270190,1777090114851,41369125173342
par-mnemonics,2564350166,0,0,0,0,-2856004352,5122517512,59,1,39,2465,221508608817,1777090114851,41369125173342
par-mnemonics,2600400470,0,0,0,0,-2827833872,2336626680,60,1,40,2505,224321311261,1777090114851,41369125173342
par-mnemonics,2515512955,0,0,0,0,7449083904,9819265016,60,0,0,2505,227168746689,1777090114851,41369125173342
par-mnemonics,2557768319,0,0,0,0,-2866238768,6986580680,61,1,40,2545,229931030670,1777090114851,41369125173342
par-mnemonics,2558898123,0,0,0,0,-2844204592,4184319128,62,1,38,2583,232737532769,1777090114851,41369125173342
par-mnemonics,2554369695,0,0,0,0,-2825939184,1400322984,63,1,41,2624,235544556654,1777090114851,41369125173342
par-mnemonics,2522738812,0,0,0,0,7440695296,8874572712,63,0,0,2624,238345495881,1777090114851,41369125173342
par-mnemonics,2566706417,0,0,0,0,-2857786352,6058729400,64,1,39,2663,241117445777,1777090114851,41369125173342
par-mnemonics,2564241871,0,0,0,0,-2844006976,3256665464,65,1,41,2704,243934681755,1777090114851,41369125173342
par-mnemonics,2560661837,0,0,0,0,-2844070832,454537672,66,1,38,2742,246737397008,1777090114851,41369125173342
par-mnemonics,2520403805,0,0,0,0,7432306688,7920398792,66,0,0,2742,249541762040,1777090114851,41369125173342
par-mnemonics,2562658261,0,0,0,0,-2848183424,5114158408,67,1,42,2784,252312132909,1777090114851,41369125173342
par-mnemonics,2555194423,0,0,0,0,-2844927888,2311173560,68,1,42,2826,255124507315,1777090114851,41369125173342
par-mnemonics,2516739775,0,0,0,0,7432306688,9777034680,68,0,0,2826,257922721610,1777090114851,41369125173342
par-mnemonics,2556864065,0,0,0,0,-2857542704,6961435016,69,1,37,2863,260684706308,1777090114851,41369125173342
par-mnemonics,2553669585,0,0,0,0,-2852444088,4150933968,70,1,38,2901,263486635586,1777090114851,41369125173342
par-mnemonics,2551018245,0,0,0,0,-2842619528,1350257480,71,1,43,2944,266283582533,1777090114851,41369125173342
par-mnemonics,2517263347,0,0,0,0,7449083904,8841284424,71,0,0,2944,269078553831,1777090114851,41369125173342
par-mnemonics,2553901589,0,0,0,0,-2858352728,6016486128,72,1,38,2982,271845746735,1777090114851,41369125173342
par-mnemonics,2556250915,0,0,0,0,-2835360456,3223068712,73,1,41,3023,274649443991,1777090114851,41369125173342
par-mnemonics,2554893357,0,0,0,0,-2826363408,430259736,74,1,40,3063,277445058283,1777090114851,41369125173342
par-mnemonics,2512275187,0,0,0,0,7440695296,7904509464,74,0,0,3063,280239941296,1777090114851,41369125173342
par-mnemonics,2569753451,0,0,0,0,-2865364816,5081087688,75,1,41,3104,283001589784,1777090114851,41369125173342
par-mnemonics,2554397192,0,0,0,0,-2836440280,2286590448,76,1,47,3151,285816863821,1777090114851,41369125173342
par-mnemonics,2515244246,0,0,0,0,7440695296,9769228784,76,0,0,3151,288613955256,1777090114851,41369125173342
