benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
philosophers,3034620470,0,0,0,0,398552256,592589712,3,3,141,141,745622708,1777091321950,42576224173319
philosophers,1919287414,0,0,0,0,2826960896,3419550608,3,0,0,141,3782951969,1777091321950,42576224173319
philosophers,1771931928,0,0,0,0,2726297600,6145848208,3,0,0,141,5702552072,1777091321950,42576224173319
philosophers,1909331133,0,0,0,0,2994733056,9140581264,3,0,0,141,7474925546,1777091321950,42576224173319
philosophers,1904384609,0,0,0,0,-7029583256,2110998008,4,1,69,210,9384733042,1777091321950,42576224173319
philosophers,1852922606,0,0,0,0,3363831808,5474829816,4,0,0,210,11289367815,1777091321950,42576224173319
philosophers,1515552652,0,0,0,0,3003121664,8477951480,4,0,0,210,13142580086,1777091321950,42576224173319
philosophers,1636120468,0,0,0,0,-7197669000,1280282480,5,1,75,285,14658366124,1777091321950,42576224173319
philosophers,1520079386,0,0,0,0,2977955840,4258238320,5,0,0,285,16294725085,1777091321950,42576224173319
philosophers,1663819556,0,0,0,0,3011510272,7269748592,5,0,0,285,17815062351,1777091321950,42576224173319
philosophers,1462720250,0,0,0,0,2818572288,10088320880,5,0,0,285,19479125174,1777091321950,42576224173319
philosophers,1885159762,0,0,0,0,-6886975920,3201344960,6,1,67,352,20942182261,1777091321950,42576224173319
philosophers,2062503478,0,0,0,0,3657433088,6858778048,6,0,0,352,22827730993,1777091321950,42576224173319
philosophers,1542784667,0,0,0,0,2810183680,9668961728,6,0,0,352,24890480850,1777091321950,42576224173319
philosophers,1640554302,0,0,0,0,-7096878952,2572082776,7,1,74,426,26433719033,1777091321950,42576224173319
philosophers,1610601847,0,0,0,0,3179282432,5751365208,7,0,0,426,28074499387,1777091321950,42576224173319
philosophers,1846717774,0,0,0,0,3472883712,9224248920,7,0,0,426,29685406747,1777091321950,42576224173319
philosophers,1711138433,0,0,0,0,-6979044920,2245204000,8,1,75,501,31532363947,1777091321950,42576224173319
philosophers,1804190180,0,0,0,0,3414163456,5659367456,8,0,0,501,33243795957,1777091321950,42576224173319
philosophers,1605103048,0,0,0,0,3120562176,8779929632,8,0,0,501,35048152942,1777091321950,42576224173319
philosophers,1635192608,0,0,0,0,-7121973696,1657955936,9,1,70,571,36653545121,1777091321950,42576224173319
philosophers,1523901612,0,0,0,0,2927624192,4585580128,9,0,0,571,38288938862,1777091321950,42576224173319
philosophers,1555297157,0,0,0,0,2743074816,7328654944,9,0,0,571,39813026688,1777091321950,42576224173319
philosophers,1645652393,0,0,0,0,-7222774000,105880944,10,1,77,648,41368530583,1777091321950,42576224173319
philosophers,1460974342,0,0,0,0,2843738112,2949619056,10,0,0,648,43014348554,1777091321950,42576224173319
philosophers,1673856856,0,0,0,0,3078619136,6028238192,10,0,0,648,44475510517,1777091321950,42576224173319
philosophers,1591506562,0,0,0,0,3112173568,9140411760,10,0,0,648,46149579381,1777091321950,42576224173319
philosophers,1552934542,0,0,0,0,-7356504040,1783907720,11,1,75,723,47741306212,1777091321950,42576224173319
