benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
rx-scrabble,622223649,0,0,0,0,167772160,823183056,0,0,0,0,1672161350,1777084580772,35835046173320
rx-scrabble,201949212,0,0,0,0,-650903552,180668112,1,1,64,64,2341193134,1777084580772,35835046173320
rx-scrabble,127327725,0,0,0,0,142606336,323274448,1,0,0,64,2559425897,1777084580772,35835046173320
rx-scrabble,107082098,0,0,0,0,142606336,465880784,1,0,0,64,2696945216,1777084580772,35835046173320
rx-scrabble,152293430,0,0,0,0,159383552,625264336,1,0,0,64,2812361847,1777084580772,35835046173320
rx-scrabble,118939576,0,0,0,0,142606336,767870672,1,0,0,64,2973573421,1777084580772,35835046173320
rx-scrabble,166497873,0,0,0,0,-658982424,108888248,2,1,56,120,3102796517,1777084580772,35835046173320
rx-scrabble,111515918,0,0,0,0,159383552,268271800,2,0,0,120,3274892344,1777084580772,35835046173320
rx-scrabble,109868802,0,0,0,0,142606336,410878136,2,0,0,120,3391540620,1777084580772,35835046173320
rx-scrabble,111018807,0,0,0,0,150994944,561873080,2,0,0,120,3506592863,1777084580772,35835046173320
rx-scrabble,108651936,0,0,0,0,142606336,704479416,2,0,0,120,3622587300,1777084580772,35835046173320
rx-scrabble,164687146,0,0,0,0,-665150168,39329248,3,1,52,172,3736878860,1777084580772,35835046173320
rx-scrabble,109607418,0,0,0,0,150994944,190324192,3,0,0,172,3906588312,1777084580772,35835046173320
rx-scrabble,111554779,0,0,0,0,150994944,341319136,3,0,0,172,4020509517,1777084580772,35835046173320
rx-scrabble,109347583,0,0,0,0,150994944,492314080,3,0,0,172,4136907118,1777084580772,35835046173320
rx-scrabble,107295015,0,0,0,0,142606336,634920416,3,0,0,172,4250577994,1777084580772,35835046173320
rx-scrabble,105854009,0,0,0,0,150994944,785915360,3,0,0,172,4362176886,1777084580772,35835046173320
rx-scrabble,159958008,0,0,0,0,-661713272,124202088,4,1,51,223,4472249908,1777084580772,35835046173320
rx-scrabble,108539755,0,0,0,0,150994944,275197032,4,0,0,223,4637670515,1777084580772,35835046173320
rx-scrabble,112083267,0,0,0,0,150994944,426191976,4,0,0,223,4751720069,1777084580772,35835046173320
rx-scrabble,108034304,0,0,0,0,142606336,568798312,4,0,0,223,4869291353,1777084580772,35835046173320
rx-scrabble,107326720,0,0,0,0,142606336,719793256,4,0,0,223,4982851701,1777084580772,35835046173320
rx-scrabble,163839585,0,0,0,0,-662927952,56865304,5,1,55,278,5095536031,1777084580772,35835046173320
rx-scrabble,107738484,0,0,0,0,150994944,207860248,5,0,0,278,5263762116,1777084580772,35835046173320
rx-scrabble,108148940,0,0,0,0,142606336,358855192,5,0,0,278,5375919801,1777084580772,35835046173320
rx-scrabble,107884173,0,0,0,0,142606336,501461528,5,0,0,278,5488337169,1777084580772,35835046173320
rx-scrabble,108408369,0,0,0,0,150994944,652456472,5,0,0,278,5600519184,1777084580772,35835046173320
