benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scala-doku,3256879339,0,0,0,0,251658240,554747600,0,0,0,0,930846878,1777082757408,34011682173324
scala-doku,2433477045,0,0,0,0,176160768,730908368,0,0,0,0,4193809729,1777082757408,34011682173324
scala-doku,2455261948,0,0,0,0,-663650304,67258064,1,1,86,86,6627735928,1777082757408,34011682173324
scala-doku,2300768740,0,0,0,0,176160768,243418832,1,0,0,86,9083440799,1777082757408,34011682173324
scala-doku,2294874102,0,0,0,0,176160768,419579600,1,0,0,86,11384674801,1777082757408,34011682173324
scala-doku,2292782018,0,0,0,0,176160768,595740368,1,0,0,86,13680161838,1777082757408,34011682173324
scala-doku,2287821354,0,0,0,0,176160768,771901136,1,0,0,86,15973558713,1777082757408,34011682173324
scala-doku,2347381003,0,0,0,0,-647941352,123959784,2,1,69,155,18261948364,1777082757408,34011682173324
scala-doku,2295183031,0,0,0,0,176160768,300120552,2,0,0,155,20609961482,1777082757408,34011682173324
scala-doku,2286198510,0,0,0,0,176160768,476281320,2,0,0,155,22905742112,1777082757408,34011682173324
scala-doku,2290753281,0,0,0,0,176160768,652442088,2,0,0,155,25192647298,1777082757408,34011682173324
scala-doku,2280992391,0,0,0,0,176160768,828602856,2,0,0,155,27483860750,1777082757408,34011682173324
scala-doku,2371071232,0,0,0,0,-662534936,166067920,3,1,78,233,29765313862,1777082757408,34011682173324
scala-doku,2283397040,0,0,0,0,167772160,333840080,3,0,0,233,32136847792,1777082757408,34011682173324
scala-doku,2318100701,0,0,0,0,176160768,510000848,3,0,0,233,34420740240,1777082757408,34011682173324
scala-doku,2298851634,0,0,0,0,176160768,686161616,3,0,0,233,36739270730,1777082757408,34011682173324
scala-doku,2307231259,0,0,0,0,176160768,862322384,3,0,0,233,39038627302,1777082757408,34011682173324
scala-doku,2361025961,0,0,0,0,-691634592,170687792,4,1,72,305,41346284589,1777082757408,34011682173324
scala-doku,2282172866,0,0,0,0,176160768,346848560,4,0,0,305,43707700643,1777082757408,34011682173324
scala-doku,2283486814,0,0,0,0,176160768,523009328,4,0,0,305,45990260469,1777082757408,34011682173324
scala-doku,2281502970,0,0,0,0,176160768,699170096,4,0,0,305,48274103608,1777082757408,34011682173324
scala-doku,2290112119,0,0,0,0,176160768,875330864,4,0,0,305,50555959654,1777082757408,34011682173324
scala-doku,2366649416,0,0,0,0,167772160,1043103024,4,0,0,305,52846475830,1777082757408,34011682173324
scala-doku,2363722414,0,0,0,0,176160768,1219263792,4,0,0,305,55213511547,1777082757408,34011682173324
scala-doku,2369744522,0,0,0,0,176160768,1395424560,4,0,0,305,57577611933,1777082757408,34011682173324
scala-doku,2374278484,0,0,0,0,176160768,1571585328,4,0,0,305,59947765480,1777082757408,34011682173324
scala-doku,2360744948,0,0,0,0,176160768,1747746096,4,0,0,305,62322458404,1777082757408,34011682173324
scala-doku,2380627474,0,0,0,0,176160768,1923906864,4,0,0,305,64683570610,1777082757408,34011682173324
scala-doku,2375724722,0,0,0,0,176160768,2100067632,4,0,0,305,67064544525,1777082757408,34011682173324
scala-doku,2362848802,0,0,0,0,176160768,2276228400,4,0,0,305,69440644026,1777082757408,34011682173324
scala-doku,2360362202,0,0,0,0,176160768,2452389168,4,0,0,305,71803849516,1777082757408,34011682173324
scala-doku,2370406046,0,0,0,0,176160768,2628549936,4,0,0,305,74164593407,1777082757408,34011682173324
scala-doku,2380892431,0,0,0,0,176160768,2804710704,4,0,0,305,76535413332,1777082757408,34011682173324
