benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scrabble,1008372367,0,0,0,0,-307022608,390331328,3,3,189,189,1615599212,1777079672887,30927161173334
scrabble,380385245,0,0,0,0,351074824,741406152,5,2,87,276,2631103233,1777079672887,30927161173334
scrabble,379000308,0,0,0,0,279374008,1020780160,7,2,81,357,3012053675,1777079672887,30927161173334
scrabble,426693096,0,0,0,0,851249032,1872029192,8,1,33,390,3391718390,1777079672887,30927161173334
scrabble,536509305,0,0,0,0,1946157056,3818186248,8,0,0,390,3819157805,1777079672887,30927161173334
scrabble,510069459,0,0,0,0,1937768448,5755954696,8,0,0,390,4356232390,1777079672887,30927161173334
scrabble,516404662,0,0,0,0,1946157056,7702111752,8,0,0,390,4866800771,1777079672887,30927161173334
scrabble,520873206,0,0,0,0,1937768448,9639880200,8,0,0,390,5383684729,1777079672887,30927161173334
scrabble,435289112,0,0,0,0,-8297766216,1342113984,9,1,59,449,5905158391,1777079672887,30927161173334
scrabble,290575123,0,0,0,0,1946157056,3288271040,9,0,0,449,6340955937,1777079672887,30927161173334
scrabble,287487929,0,0,0,0,1946157056,5234428096,9,0,0,449,6631997852,1777079672887,30927161173334
scrabble,288178109,0,0,0,0,1937768448,7172196544,9,0,0,449,6919958163,1777079672887,30927161173334
scrabble,285736724,0,0,0,0,1946157056,9118353600,9,0,0,449,7208596714,1777079672887,30927161173334
scrabble,344808057,0,0,0,0,-8294740288,823613312,10,1,59,508,7494872371,1777079672887,30927161173334
scrabble,294104039,0,0,0,0,1937768448,2761381760,10,0,0,508,7840292858,1777079672887,30927161173334
scrabble,294332713,0,0,0,0,1954545664,4715927424,10,0,0,508,8134847591,1777079672887,30927161173334
scrabble,282649841,0,0,0,0,1929379840,6645307264,10,0,0,508,8429674348,1777079672887,30927161173334
scrabble,288820066,0,0,0,0,1954545664,8599852928,10,0,0,508,8712822042,1777079672887,30927161173334
scrabble,347222256,0,0,0,0,-8287517232,312335696,11,1,61,569,9002144954,1777079672887,30927161173334
scrabble,290004097,0,0,0,0,1946157056,2258492752,11,0,0,569,9349812039,1777079672887,30927161173334
scrabble,284060458,0,0,0,0,1937768448,4196261200,11,0,0,569,9640229433,1777079672887,30927161173334
scrabble,286624173,0,0,0,0,1946157056,6142418256,11,0,0,569,9924744968,1777079672887,30927161173334
scrabble,288556889,0,0,0,0,1937768448,8080186704,11,0,0,569,10211859119,1777079672887,30927161173334
scrabble,289573686,0,0,0,0,1937768448,10017955152,11,0,0,569,10500852382,1777079672887,30927161173334
