benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
akka-uct,12054008254,0,0,0,0,2395492720,2690281592,13,13,1621,1621,1081891108,1777050745786,2000060173309
akka-uct,9561777804,0,0,0,0,4974377944,7673048144,15,2,320,1941,13139116796,1777050745786,2000060173309
akka-uct,8790896349,0,0,0,0,66608,7673114752,17,2,317,2258,22701307065,1777050745786,2000060173309
akka-uct,8810202452,0,0,0,0,54525952,7727640704,19,2,274,2532,31492755493,1777050745786,2000060173309
akka-uct,8854168482,0,0,0,0,356515840,8084156544,21,2,253,2785,40303611702,1777050745786,2000060173309
akka-uct,9079479371,0,0,0,0,376277360,8460433904,23,2,239,3024,49158394718,1777050745786,2000060173309
akka-uct,9333337358,0,0,0,0,381362728,8841796632,25,2,235,3259,58238311733,1777050745786,2000060173309
akka-uct,9520226755,0,0,0,0,291465320,9133261952,27,2,330,3589,67572046177,1777050745786,2000060173309
akka-uct,10382483415,0,0,0,0,474073832,9607335784,29,2,363,3952,77092709763,1777050745786,2000060173309
akka-uct,9214480494,0,0,0,0,738235168,10345570952,31,2,273,4225,87475682198,1777050745786,2000060173309
akka-uct,8880078739,0,0,0,0,257753520,10611713080,33,2,203,4428,96690592404,1777050745786,2000060173309
akka-uct,9093215009,0,0,0,0,-179758056,10440343632,35,2,200,4628,105571163797,1777050745786,2000060173309
akka-uct,9175213805,0,0,0,0,105023800,10545367432,37,2,228,4856,114664824168,1777050745786,2000060173309
akka-uct,9310387789,0,0,0,0,-6797456,10538569976,39,2,221,5077,123840359810,1777050745786,2000060173309
akka-uct,9514638952,0,0,0,0,-9960599152,586359432,42,3,344,5421,133151041935,1777050745786,2000060173309
akka-uct,9338938400,0,0,0,0,414375632,1009123672,44,2,313,5734,142665963915,1777050745786,2000060173309
akka-uct,8916723381,0,0,0,0,453009488,1462133160,46,2,262,5996,152005295810,1777050745786,2000060173309
akka-uct,8953778696,0,0,0,0,520031432,1982164592,48,2,258,6254,160922456627,1777050745786,2000060173309
akka-uct,9243404072,0,0,0,0,338638712,2320803304,50,2,237,6491,169876503003,1777050745786,2000060173309
akka-uct,9414504123,0,0,0,0,440151288,2760954592,52,2,240,6731,179120122498,1777050745786,2000060173309
akka-uct,8611535185,0,0,0,0,-270239464,2490715128,54,2,217,6948,188534835780,1777050745786,2000060173309
akka-uct,8920352065,0,0,0,0,-48562768,2442152360,56,2,219,7167,197146586888,1777050745786,2000060173309
akka-uct,9317811997,0,0,0,0,-163503648,2278648712,58,2,259,7426,206067180334,1777050745786,2000060173309
akka-uct,9042730481,0,0,0,0,338199744,2616848456,60,2,218,7644,215385307078,1777050745786,2000060173309
akka-uct,9077353511,0,0,0,0,602765968,3219614424,62,2,288,7932,224428252219,1777050745786,2000060173309
akka-uct,9131890092,0,0,0,0,360714272,3580328696,64,2,300,8232,233505840139,1777050745786,2000060173309
akka-uct,9519426449,0,0,0,0,364469136,3953186440,66,2,286,8518,242638040307,1777050745786,2000060173309
akka-uct,9077955479,0,0,0,0,-125383488,3836191560,68,2,253,8771,252157702631,1777050745786,2000060173309
akka-uct,10040030595,0,0,0,0,408585088,4244776648,70,2,266,9037,261235984843,1777050745786,2000060173309
akka-uct,9815022236,0,0,0,0,-128849656,4115926992,72,2,254,9291,271276356937,1777050745786,2000060173309
akka-uct,8459098728,0,0,0,0,-187431960,3928495032,74,2,243,9534,281091668853,1777050745786,2000060173309
akka-uct,9088750239,0,0,0,0,573729912,4502224944,76,2,222,9756,289550987836,1777050745786,2000060173309
akka-uct,9464310965,0,0,0,0,66415480,4568640424,78,2,217,9973,298640002576,1777050745786,2000060173309
akka-uct,9644118787,0,0,0,0,743987312,5312627736,80,2,319,10292,308104605599,1777050745786,2000060173309
akka-uct,9306782360,0,0,0,0,113264672,5425892408,82,2,319,10611,317748962554,1777050745786,2000060173309
akka-uct,9213209644,0,0,0,0,612106088,6037998496,84,2,250,10861,327056016552,1777050745786,2000060173309
akka-uct,8918133152,0,0,0,0,38017224,6084404328,86,2,230,11091,336269516476,1777050745786,2000060173309
akka-uct,8896386145,0,0,0,0,184551440,6277344376,88,2,242,11333,345187960045,1777050745786,2000060173309
akka-uct,9680518411,0,0,0,0,478152720,6755497096,90,2,231,11564,354084629865,1777050745786,2000060173309
akka-uct,9602391371,0,0,0,0,578850864,7334347960,92,2,308,11872,363765361324,1777050745786,2000060173309
akka-uct,9044017149,0,0,0,0,-41934784,7292413176,94,2,322,12194,373368031297,1777050745786,2000060173309
akka-uct,9538082306,0,0,0,0,603981840,7896395016,96,2,297,12491,382412313866,1777050745786,2000060173309
akka-uct,9455115661,0,0,0,0,520097824,8416492840,98,2,267,12758,391950723837,1777050745786,2000060173309
akka-uct,9383405781,0,0,0,0,363410360,8779903200,100,2,222,12980,401406137492,1777050745786,2000060173309
akka-uct,9164935781,0,0,0,0,563537016,9343440216,102,2,293,13273,410789757594,1777050745786,2000060173309
akka-uct,9049048872,0,0,0,0,448747176,9792187392,104,2,254,13527,419954951640,1777050745786,2000060173309
akka-uct,9035622538,0,0,0,0,511754632,10303942024,106,2,257,13784,429004271331,1777050745786,2000060173309
akka-uct,9015611942,0,0,0,0,327159840,10631101864,108,2,216,14000,438040146162,1777050745786,2000060173309
akka-uct,9475209849,0,0,0,0,-10010914368,620187496,111,3,347,14347,447056029573,1777050745786,2000060173309
akka-uct,9973642347,0,0,0,0,192059024,812246520,113,2,345,14692,456531499202,1777050745786,2000060173309
akka-uct,9483223682,0,0,0,0,306186256,1118432776,115,2,314,15006,466505459069,1777050745786,2000060173309
