benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
chi-square,4583404486,0,0,0,0,2665502504,3579921336,5,1,141,331,8339852317,1777052601192,3855466173314
chi-square,1359154655,0,0,0,0,2399141888,5979063224,5,0,0,331,12925318899,1777052601192,3855466173314
chi-square,1337497199,0,0,0,0,2407530496,8386593720,5,0,0,331,14284847928,1777052601192,3855466173314
chi-square,1385045322,0,0,0,0,-7459054352,927539368,6,1,201,532,15622668983,1777052601192,3855466173314
chi-square,597613152,0,0,0,0,2407530496,3335069864,6,0,0,532,17008058635,1777052601192,3855466173314
chi-square,584997045,0,0,0,0,2399141888,5734211752,6,0,0,532,17605976556,1777052601192,3855466173314
chi-square,799940915,0,0,0,0,-4294971224,1439240528,7,1,188,720,18191319105,1777052601192,3855466173314
chi-square,580393481,0,0,0,0,2424307712,3863548240,7,0,0,720,18991571489,1777052601192,3855466173314
chi-square,565591544,0,0,0,0,2399141888,6262690128,7,0,0,720,19572272046,1777052601192,3855466173314
chi-square,566959118,0,0,0,0,2407530496,8670220624,7,0,0,720,20138122309,1777052601192,3855466173314
chi-square,795105069,0,0,0,0,-7469444824,1200775800,8,1,197,917,20705290422,1777052601192,3855466173314
chi-square,561518845,0,0,0,0,2407530496,3608306296,8,0,0,917,21500718212,1777052601192,3855466173314
chi-square,560570434,0,0,0,0,2399141888,6007448184,8,0,0,917,22062468908,1777052601192,3855466173314
chi-square,557397391,0,0,0,0,2399141888,8406590072,8,0,0,917,22623223112,1777052601192,3855466173314
chi-square,771896093,0,0,0,0,-7587495936,819094136,9,1,210,1127,23180794847,1777052601192,3855466173314
chi-square,564595375,0,0,0,0,2415919104,3235013240,9,0,0,1127,23952912326,1777052601192,3855466173314
chi-square,570475045,0,0,0,0,2399141888,5634155128,9,0,0,1127,24517769928,1777052601192,3855466173314
chi-square,556550334,0,0,0,0,2407530496,8041685624,9,0,0,1127,25088424448,1777052601192,3855466173314
chi-square,780702894,0,0,0,0,-7629438976,412246648,10,1,222,1349,25645135372,1777052601192,3855466173314
chi-square,573228305,0,0,0,0,2399141888,2811388536,10,0,0,1349,26426003646,1777052601192,3855466173314
chi-square,555844155,0,0,0,0,2399141888,5210530424,10,0,0,1349,26999435320,1777052601192,3855466173314
chi-square,558931535,0,0,0,0,2407530496,7618060920,10,0,0,1349,27555517963,1777052601192,3855466173314
chi-square,555022498,0,0,0,0,2399141888,10017202808,10,0,0,1349,28114698279,1777052601192,3855466173314
chi-square,832190803,0,0,0,0,-7646216192,2370986616,11,1,236,1585,28669996597,1777052601192,3855466173314
chi-square,553911990,0,0,0,0,2407530496,4778517112,11,0,0,1585,29502383735,1777052601192,3855466173314
chi-square,555195680,0,0,0,0,2390753280,7169270392,11,0,0,1585,30056488974,1777052601192,3855466173314
chi-square,552077868,0,0,0,0,2399141888,9568412280,11,0,0,1585,30611847219,1777052601192,3855466173314
chi-square,797440849,0,0,0,0,-7662993408,1905418872,12,1,240,1825,31164113941,1777052601192,3855466173314
chi-square,551472008,0,0,0,0,2399141888,4304560760,12,0,0,1825,31961700109,1777052601192,3855466173314
chi-square,548291873,0,0,0,0,2399141888,6703702648,12,0,0,1825,32513322118,1777052601192,3855466173314
chi-square,559663912,0,0,0,0,2399141888,9102844536,12,0,0,1825,33061774700,1777052601192,3855466173314
chi-square,833289476,0,0,0,0,-7679770624,1423073912,13,1,253,2078,33621584397,1777052601192,3855466173314
chi-square,555328631,0,0,0,0,2399141888,3822215800,13,0,0,2078,34455086404,1777052601192,3855466173314
