benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
finagle-chirper,12472239556,0,0,0,0,1719854768,1817730072,5,1,446,644,3433492519,1777063607412,14861686173317
finagle-chirper,5149571650,0,0,0,0,3439329280,5265447960,5,0,0,644,15929055799,1777063607412,14861686173317
finagle-chirper,4790325678,0,0,0,0,3372220416,8646056984,5,0,0,644,21101211485,1777063607412,14861686173317
finagle-chirper,4737443553,0,0,0,0,-6765236448,1889209144,6,1,597,1241,25901851742,1777063607412,14861686173317
finagle-chirper,3907162641,0,0,0,0,3296722944,5185932088,6,0,0,1241,30646526756,1777063607412,14861686173317
finagle-chirper,3844504975,0,0,0,0,3246391296,8440711992,6,0,0,1241,34560725866,1777063607412,14861686173317
finagle-chirper,4423166633,0,0,0,0,-6904395848,1536316144,7,1,702,1943,38412236380,1777063607412,14861686173317
finagle-chirper,3674103452,0,0,0,0,3229614080,4774318832,7,0,0,1943,42842692328,1777063607412,14861686173317
finagle-chirper,3584284799,0,0,0,0,3162505216,7936824048,7,0,0,1943,46524379065,1777063607412,14861686173317
finagle-chirper,4106939516,0,0,0,0,-7038544512,898279536,8,1,548,2491,50116193171,1777063607412,14861686173317
finagle-chirper,3635236343,0,0,0,0,3137339392,4035618928,8,0,0,2491,54231048436,1777063607412,14861686173317
finagle-chirper,3540871296,0,0,0,0,3103784960,7147792496,8,0,0,2491,57873764954,1777063607412,14861686173317
finagle-chirper,3596424066,0,0,0,0,3078619136,10226411632,8,0,0,2491,61421804923,1777063607412,14861686173317
finagle-chirper,4000382812,0,0,0,0,-7062705536,3172094704,9,1,487,2978,65025381980,1777063607412,14861686173317
finagle-chirper,3467051019,0,0,0,0,3019898880,6200382192,9,0,0,2978,69032583599,1777063607412,14861686173317
finagle-chirper,3465330039,0,0,0,0,3019898880,9228669680,9,0,0,2978,72506744673,1777063607412,14861686173317
finagle-chirper,3688760144,0,0,0,0,-7185353816,2051704472,10,1,383,3361,75979318512,1777063607412,14861686173317
finagle-chirper,3446052738,0,0,0,0,3011510272,5071603352,10,0,0,3361,79674964157,1777063607412,14861686173317
finagle-chirper,3375965658,0,0,0,0,2936012800,8016004760,10,0,0,3361,83128553262,1777063607412,14861686173317
finagle-chirper,4089067986,0,0,0,0,-7276824904,739179856,11,1,688,4049,86511847139,1777063607412,14861686173317
finagle-chirper,3339946895,0,0,0,0,2944401408,3691969872,11,0,0,4049,90607720858,1777063607412,14861686173317
finagle-chirper,3302666573,0,0,0,0,2919235584,6611205456,11,0,0,4049,93955190507,1777063607412,14861686173317
finagle-chirper,3290316303,0,0,0,0,2910846976,9530441040,11,0,0,4049,97265425707,1777063607412,14861686173317
finagle-chirper,4027114119,0,0,0,0,-7310888008,2219553032,12,1,772,4821,100563187439,1777063607412,14861686173317
finagle-chirper,3218522485,0,0,0,0,2894069760,5113622792,12,0,0,4821,104597027980,1777063607412,14861686173317
finagle-chirper,3301184536,0,0,0,0,2902458368,8024469768,12,0,0,4821,107823202059,1777063607412,14861686173317
finagle-chirper,4022360790,0,0,0,0,-7335600360,697258016,13,1,823,5644,111131739928,1777063607412,14861686173317
finagle-chirper,3325268556,0,0,0,0,2910846976,3616493600,13,0,0,5644,115161059607,1777063607412,14861686173317
finagle-chirper,3186147981,0,0,0,0,2835349504,6460231712,13,0,0,5644,118493553194,1777063607412,14861686173317
finagle-chirper,3174534930,0,0,0,0,2801795072,9262026784,13,0,0,5644,121686876179,1777063607412,14861686173317
finagle-chirper,4064022136,0,0,0,0,-7394777488,1875637904,14,1,1010,6654,124868661363,1777063607412,14861686173317
finagle-chirper,3037965964,0,0,0,0,2785017856,4669044368,14,0,0,6654,128939579247,1777063607412,14861686173317
finagle-chirper,3131029126,0,0,0,0,2801795072,7470839440,14,0,0,6654,131984666877,1777063607412,14861686173317
finagle-chirper,3155853526,0,0,0,0,2776629248,10247468688,14,0,0,6654,135123739544,1777063607412,14861686173317
finagle-chirper,3712065717,0,0,0,0,-7404399776,2851457520,15,1,750,7404,138286569175,1777063607412,14861686173317
finagle-chirper,3115758493,0,0,0,0,2785017856,5636475376,15,0,0,7404,142005462053,1777063607412,14861686173317
finagle-chirper,3079339273,0,0,0,0,2743074816,8379550192,15,0,0,7404,145128337649,1777063607412,14861686173317
finagle-chirper,4121653675,0,0,0,0,-7506829488,872720704,16,1,1080,8484,148219340801,1777063607412,14861686173317
finagle-chirper,2959000323,0,0,0,0,2743074816,3615795520,16,0,0,8484,152348116756,1777063607412,14861686173317
finagle-chirper,2936086030,0,0,0,0,2717908992,6333704512,16,0,0,8484,155314067837,1777063607412,14861686173317
finagle-chirper,3036934837,0,0,0,0,2717908992,9051613504,16,0,0,8484,158256498686,1777063607412,14861686173317
finagle-chirper,3223295699,0,0,0,0,-7485153976,1566459528,17,1,258,8742,161300427538,1777063607412,14861686173317
finagle-chirper,3055185646,0,0,0,0,2743074816,4309534344,17,0,0,8742,164530976526,1777063607412,14861686173317
finagle-chirper,3048386073,0,0,0,0,2717908992,7027443336,17,0,0,8742,167592818190,1777063607412,14861686173317
finagle-chirper,3043960271,0,0,0,0,2709520384,9745352328,17,0,0,8742,170647796549,1777063607412,14861686173317
finagle-chirper,3102194738,0,0,0,0,-7492392104,2252960224,18,1,155,8897,173698485481,1777063607412,14861686173317
finagle-chirper,3011953442,0,0,0,0,2701131776,4962480608,18,0,0,8897,176807375153,1777063607412,14861686173317
finagle-chirper,3015897939,0,0,0,0,2701131776,7663612384,18,0,0,8897,179826073933,1777063607412,14861686173317
finagle-chirper,3159320196,0,0,0,0,-7528568008,143432984,19,1,149,9046,182848822647,1777063607412,14861686173317
finagle-chirper,3017089094,0,0,0,0,2709520384,2852953368,19,0,0,9046,186014526879,1777063607412,14861686173317
finagle-chirper,3015800136,0,0,0,0,2701131776,5554085144,19,0,0,9046,189038550845,1777063607412,14861686173317
finagle-chirper,3031548107,0,0,0,0,2701131776,8255216920,19,0,0,9046,192061760583,1777063607412,14861686173317
finagle-chirper,3123190580,0,0,0,0,-7531796664,723420256,20,1,151,9197,195100316227,1777063607412,14861686173317
finagle-chirper,3062203911,0,0,0,0,2709520384,3432940640,20,0,0,9197,198230290082,1777063607412,14861686173317
finagle-chirper,3049962072,0,0,0,0,2717908992,6150849632,20,0,0,9197,201298913632,1777063607412,14861686173317
finagle-chirper,3067333561,0,0,0,0,2709520384,8868758624,20,0,0,9197,204355512574,1777063607412,14861686173317
finagle-chirper,2956494291,0,0,0,0,-7621122040,1247636584,21,1,58,9255,207429777522,1777063607412,14861686173317
finagle-chirper,2915007585,0,0,0,0,2608857088,3856493672,21,0,0,9255,210392863233,1777063607412,14861686173317
finagle-chirper,2940224305,0,0,0,0,2575302656,6440184936,21,0,0,9255,213314962625,1777063607412,14861686173317
finagle-chirper,2934159585,0,0,0,0,2608857088,9049042024,21,0,0,9255,216261904835,1777063607412,14861686173317
finagle-chirper,2939908431,0,0,0,0,-7632666048,1416375976,22,1,61,9316,219202683206,1777063607412,14861686173317
finagle-chirper,2917027943,0,0,0,0,2592079872,4008455848,22,0,0,9316,222149348871,1777063607412,14861686173317
finagle-chirper,2927329219,0,0,0,0,2592079872,6608924328,22,0,0,9316,225072858000,1777063607412,14861686173317
finagle-chirper,3021088795,0,0,0,0,2566914048,9184226984,22,0,0,9316,228006983350,1777063607412,14861686173317
finagle-chirper,2897843318,0,0,0,0,-7651071184,1541544408,23,1,59,9375,231034862159,1777063607412,14861686173317
finagle-chirper,2947052698,0,0,0,0,2592079872,4133624280,23,0,0,9375,233939435142,1777063607412,14861686173317
finagle-chirper,2937297316,0,0,0,0,2592079872,6734092760,23,0,0,9375,236892875626,1777063607412,14861686173317
finagle-chirper,2957868959,0,0,0,0,2592079872,9326172632,23,0,0,9375,239836979682,1777063607412,14861686173317
finagle-chirper,2940214015,0,0,0,0,-7651359176,1674813456,24,1,60,9435,242801552177,1777063607412,14861686173317
finagle-chirper,2945654791,0,0,0,0,2600468480,4275281936,24,0,0,9435,245748573033,1777063607412,14861686173317
finagle-chirper,2895936861,0,0,0,0,2575302656,6850584592,24,0,0,9435,248701405565,1777063607412,14861686173317
finagle-chirper,2928840327,0,0,0,0,2583691264,9442664464,24,0,0,9435,251604154307,1777063607412,14861686173317
finagle-chirper,2897960458,0,0,0,0,-7666169744,1784883328,25,1,62,9497,254539770552,1777063607412,14861686173317
finagle-chirper,2863508003,0,0,0,0,2566914048,4351797376,25,0,0,9497,257444504157,1777063607412,14861686173317
finagle-chirper,2905862615,0,0,0,0,2550136832,6901934208,25,0,0,9497,260314734042,1777063607412,14861686173317
finagle-chirper,2882467921,0,0,0,0,2558525440,9460459648,25,0,0,9497,263227444391,1777063607412,14861686173317
finagle-chirper,3011936530,0,0,0,0,-7700723568,1768124688,26,1,60,9557,266116707016,1777063607412,14861686173317
