benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
gauss-mix,16223322557,0,0,0,0,2380789824,2667225032,7,3,566,759,6043425742,1777061771900,13026174173339
gauss-mix,8636716556,0,0,0,0,5976062784,8643287816,8,1,298,1057,22269210070,1777061771900,13026174173339
gauss-mix,9025809043,0,0,0,0,-7438507232,1204780584,10,2,640,1697,30906219589,1777061771900,13026174173339
gauss-mix,7525737560,0,0,0,0,5504260624,6709041208,11,1,332,2029,39932402209,1777061771900,13026174173339
gauss-mix,7737505413,0,0,0,0,5367834608,12076875816,12,1,327,2356,47458424338,1777061771900,13026174173339
gauss-mix,8371463394,0,0,0,0,-7961866240,4115009576,14,2,694,3050,55196181747,1777061771900,13026174173339
gauss-mix,7840153765,0,0,0,0,5379390568,9494400144,15,1,322,3372,63567998399,1777061771900,13026174173339
gauss-mix,7748907382,0,0,0,0,-8169668504,1324731640,17,2,476,3848,71408428853,1777061771900,13026174173339
gauss-mix,7267438633,0,0,0,0,5267070264,6591801904,18,1,115,3963,79157597957,1777061771900,13026174173339
gauss-mix,7159190031,0,0,0,0,5216299568,11808101472,19,1,130,4093,86425273735,1777061771900,13026174173339
gauss-mix,7419237711,0,0,0,0,-8151815856,3656285616,21,2,200,4293,93584683663,1777061771900,13026174173339
gauss-mix,7063371946,0,0,0,0,5251430136,8907715752,22,1,74,4367,101004242934,1777061771900,13026174173339
gauss-mix,7320680103,0,0,0,0,-8236911928,670803824,24,2,144,4511,108067860089,1777061771900,13026174173339
gauss-mix,7315233316,0,0,0,0,5268220696,5939024520,25,1,60,4571,115388769513,1777061771900,13026174173339
gauss-mix,7208601190,0,0,0,0,5207275656,11146300176,26,1,74,4645,122704189328,1777061771900,13026174173339
gauss-mix,7357542707,0,0,0,0,-8167524536,2978775640,28,2,133,4778,129913108615,1777061771900,13026174173339
gauss-mix,7243970880,0,0,0,0,5266786848,8245562488,29,1,76,4854,137270923870,1777061771900,13026174173339
gauss-mix,7258693616,0,0,0,0,5110007136,13355569624,30,1,61,4915,144515098819,1777061771900,13026174173339
gauss-mix,7279790795,0,0,0,0,-8071400688,5284168936,32,2,121,5036,151774034972,1777061771900,13026174173339
gauss-mix,7388652121,0,0,0,0,5227782320,10511951256,33,1,64,5100,159054124673,1777061771900,13026174173339
gauss-mix,7312430321,0,0,0,0,-8204367824,2307583432,35,2,127,5227,166442975333,1777061771900,13026174173339
gauss-mix,7075853734,0,0,0,0,5310412944,7617996376,36,1,69,5296,173755593121,1777061771900,13026174173339
gauss-mix,6924956660,0,0,0,0,5116382528,12734378904,37,1,69,5365,180831602587,1777061771900,13026174173339
gauss-mix,7083582627,0,0,0,0,-8111849952,4622528952,39,2,125,5490,187756730491,1777061771900,13026174173339
gauss-mix,7036177510,0,0,0,0,5276225504,9898754456,40,1,59,5549,194840527371,1777061771900,13026174173339
gauss-mix,7578794421,0,0,0,0,-8244938936,1653815520,42,2,116,5665,201876871691,1777061771900,13026174173339
gauss-mix,7248326318,0,0,0,0,5266511400,6920326920,43,1,60,5725,209455864932,1777061771900,13026174173339
