benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
page-rank,11787055697,0,0,0,0,8556981432,9512926160,5,1,83,275,8682385262,1777049517949,772223173312
page-rank,4788884390,0,0,0,0,-146800640,1795162112,10,3,688,2479,24976046515,1777049517949,772223173312
page-rank,4490224068,0,0,0,0,335567600,2737788512,16,4,700,3574,32206981745,1777049517949,772223173312
page-rank,4239697929,0,0,0,0,691646928,3889798976,21,3,550,4478,39059518381,1777049517949,772223173312
page-rank,4450476674,0,0,0,0,342239768,4844421120,26,3,591,5450,45546087137,1777049517949,772223173312
page-rank,4501475040,0,0,0,0,-136810464,5149019856,32,4,720,6610,52242918219,1777049517949,772223173312
page-rank,4281957683,0,0,0,0,562572464,5944906176,37,3,645,7654,58968231396,1777049517949,772223173312
page-rank,4315201576,0,0,0,0,338376288,6730584992,42,3,583,8575,65658876889,1777049517949,772223173312
page-rank,4496456558,0,0,0,0,690179048,7838042400,47,3,672,9652,72468715286,1777049517949,772223173312
page-rank,4837216622,0,0,0,0,-5015233552,2686376384,53,4,758,10827,79346455068,1777049517949,772223173312
page-rank,4340708763,0,0,0,0,176062368,2681558400,57,2,508,11616,86366473748,1777049517949,772223173312
page-rank,4375440459,0,0,0,0,265770280,2977173112,62,3,677,12750,93265933018,1777049517949,772223173312
page-rank,4247288793,0,0,0,0,328917600,3845101120,67,3,593,13686,99937988651,1777049517949,772223173312
page-rank,4232050295,0,0,0,0,380688976,4632867056,71,2,459,14566,106579444155,1777049517949,772223173312
page-rank,4472576878,0,0,0,0,1126175472,5808987584,76,3,661,15711,113288281025,1777049517949,772223173312
page-rank,4233714660,0,0,0,0,883889184,6326653040,82,3,572,16829,120388366363,1777049517949,772223173312
page-rank,4233899720,0,0,0,0,384627872,6932601264,87,3,632,17887,126983749152,1777049517949,772223173312
page-rank,4730826570,0,0,0,0,220204648,7450346832,93,4,864,19121,133558903610,1777049517949,772223173312
page-rank,4395971978,0,0,0,0,-3483169760,4376955936,98,3,549,19962,140567559681,1777049517949,772223173312
