benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
reactors,13382316094,0,0,0,0,2874457640,3219578160,3,3,177,177,1161991107,1777056286783,7541057173327
reactors,11155761131,0,0,0,0,5444206592,8663784752,3,0,0,177,14546760876,1777056286783,7541057173327
reactors,10647223227,0,0,0,0,-4722692280,3941092472,4,1,84,261,25702993429,1777056286783,7541057173327
reactors,9887780593,0,0,0,0,5519704064,9460796536,4,0,0,261,36350548105,1777056286783,7541057173327
reactors,10498863555,0,0,0,0,-4705863472,4754933064,5,1,84,345,46238656946,1777056286783,7541057173327
reactors,10974469157,0,0,0,0,-4720991672,33941392,6,1,86,431,56737877685,1777056286783,7541057173327
reactors,10390401709,0,0,0,0,5578424320,5612365712,6,0,0,431,67712695323,1777056286783,7541057173327
reactors,10675408058,0,0,0,0,-4717791368,894574344,8,2,581,1012,78103659734,1777056286783,7541057173327
reactors,10854669887,0,0,0,0,454528128,1349102472,11,3,402,1414,88779470240,1777056286783,7541057173327
reactors,10661804971,0,0,0,0,2361117960,3710220432,13,2,182,1596,99634665237,1777056286783,7541057173327
reactors,10689661777,0,0,0,0,680785208,4391005640,14,1,33,1629,110296925899,1777056286783,7541057173327
reactors,10799090248,0,0,0,0,-1025986240,3365019400,15,1,147,1776,120986947364,1777056286783,7541057173327
reactors,10437145381,0,0,0,0,1484783616,4849803016,16,1,26,1802,131786346684,1777056286783,7541057173327
reactors,9089367859,0,0,0,0,5511315456,10361118472,16,0,0,1802,142223794848,1777056286783,7541057173327
reactors,10734930268,0,0,0,0,-3966611928,6394506544,17,1,36,1838,151313565691,1777056286783,7541057173327
reactors,9386933054,0,0,0,0,-4342304296,2052202248,18,1,219,2057,162048783849,1777056286783,7541057173327
reactors,10446380957,0,0,0,0,5570035712,7622237960,18,0,0,2057,171436037399,1777056286783,7541057173327
reactors,10736395837,0,0,0,0,-1438646272,6183591688,19,1,30,2087,181882735902,1777056286783,7541057173327
reactors,11186948453,0,0,0,0,-4169138176,2014453512,20,1,263,2350,192619466036,1777056286783,7541057173327
reactors,10483459521,0,0,0,0,385898640,2400352152,21,1,100,2450,203806657969,1777056286783,7541057173327
