benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scala-kmeans,307639888,0,0,0,0,41943040,361897736,0,0,0,0,1055373595,1777059953573,11207847173316
scala-kmeans,212538145,0,0,0,0,25165824,387063560,0,0,0,0,1370231655,1777059953573,11207847173316
scala-kmeans,213485285,0,0,0,0,33554432,420617992,0,0,0,0,1583545437,1777059953573,11207847173316
scala-kmeans,213671957,0,0,0,0,33554432,454172424,0,0,0,0,1797744882,1777059953573,11207847173316
scala-kmeans,211982553,0,0,0,0,25165824,479338248,0,0,0,0,2012057158,1777059953573,11207847173316
scala-kmeans,220307759,0,0,0,0,33554432,512892680,0,0,0,0,2224752633,1777059953573,11207847173316
scala-kmeans,213966339,0,0,0,0,33554432,546447112,0,0,0,0,2445728400,1777059953573,11207847173316
scala-kmeans,214119220,0,0,0,0,33554432,580001544,0,0,0,0,2660284784,1777059953573,11207847173316
scala-kmeans,212908353,0,0,0,0,25165824,605167368,0,0,0,0,2874963660,1777059953573,11207847173316
scala-kmeans,211968918,0,0,0,0,33554432,638721800,0,0,0,0,3088436772,1777059953573,11207847173316
scala-kmeans,212382161,0,0,0,0,33554432,672276232,0,0,0,0,3301029273,1777059953573,11207847173316
scala-kmeans,212285560,0,0,0,0,25165824,697442056,0,0,0,0,3514011586,1777059953573,11207847173316
scala-kmeans,211255958,0,0,0,0,33554432,730996488,0,0,0,0,3726884060,1777059953573,11207847173316
scala-kmeans,211518132,0,0,0,0,33554432,764550920,0,0,0,0,3938664355,1777059953573,11207847173316
scala-kmeans,213429219,0,0,0,0,25165824,789716744,0,0,0,0,4150597419,1777059953573,11207847173316
scala-kmeans,212564263,0,0,0,0,33554432,823271176,0,0,0,0,4364493687,1777059953573,11207847173316
scala-kmeans,257382006,0,0,0,0,-793509888,29761288,1,1,46,46,4577527494,1777059953573,11207847173316
scala-kmeans,206121086,0,0,0,0,33554432,63315720,1,0,0,46,4835267929,1777059953573,11207847173316
scala-kmeans,203798058,0,0,0,0,25165824,88481544,1,0,0,46,5041779784,1777059953573,11207847173316
scala-kmeans,203464924,0,0,0,0,33554432,122035976,1,0,0,46,5245945151,1777059953573,11207847173316
scala-kmeans,201291736,0,0,0,0,33554432,155590408,1,0,0,46,5449761567,1777059953573,11207847173316
scala-kmeans,202628178,0,0,0,0,25165824,180756232,1,0,0,46,5651383085,1777059953573,11207847173316
scala-kmeans,204653557,0,0,0,0,33554432,214310664,1,0,0,46,5854370321,1777059953573,11207847173316
scala-kmeans,203885506,0,0,0,0,33554432,247865096,1,0,0,46,6059372567,1777059953573,11207847173316
scala-kmeans,204712338,0,0,0,0,33554432,281419528,1,0,0,46,6263636915,1777059953573,11207847173316
scala-kmeans,202246230,0,0,0,0,25165824,306585352,1,0,0,46,6468749418,1777059953573,11207847173316
scala-kmeans,202701927,0,0,0,0,33554432,340139784,1,0,0,46,6671368880,1777059953573,11207847173316
scala-kmeans,204029159,0,0,0,0,33554432,373694216,1,0,0,46,6874432611,1777059953573,11207847173316
scala-kmeans,202056313,0,0,0,0,25165824,398860040,1,0,0,46,7078804804,1777059953573,11207847173316
scala-kmeans,203388099,0,0,0,0,33554432,432414472,1,0,0,46,7281198951,1777059953573,11207847173316
scala-kmeans,204220464,0,0,0,0,33554432,465968904,1,0,0,46,7484940587,1777059953573,11207847173316
scala-kmeans,203087078,0,0,0,0,33554432,499523336,1,0,0,46,7689538687,1777059953573,11207847173316
scala-kmeans,203495994,0,0,0,0,25165824,524689160,1,0,0,46,7893075465,1777059953573,11207847173316
scala-kmeans,203970550,0,0,0,0,33554432,558243592,1,0,0,46,8096917425,1777059953573,11207847173316
scala-kmeans,204982888,0,0,0,0,33554432,591798024,1,0,0,46,8301212742,1777059953573,11207847173316
scala-kmeans,199247728,0,0,0,0,25165824,616963848,1,0,0,46,8506500382,1777059953573,11207847173316
scala-kmeans,204149632,0,0,0,0,33554432,650518280,1,0,0,46,8706069051,1777059953573,11207847173316
scala-kmeans,203349009,0,0,0,0,33554432,684072712,1,0,0,46,8910593956,1777059953573,11207847173316
scala-kmeans,202029969,0,0,0,0,25165824,709238536,1,0,0,46,9114285611,1777059953573,11207847173316
scala-kmeans,202710670,0,0,0,0,33554432,742792968,1,0,0,46,9316655755,1777059953573,11207847173316
scala-kmeans,201439829,0,0,0,0,33554432,776347400,1,0,0,46,9519693706,1777059953573,11207847173316
scala-kmeans,201781077,0,0,0,0,33554432,809901832,1,0,0,46,9721454442,1777059953573,11207847173316
scala-kmeans,202332671,0,0,0,0,25165824,835067656,1,0,0,46,9923556522,1777059953573,11207847173316
scala-kmeans,241150614,0,0,0,0,-785919264,49148392,2,1,49,95,10126206414,1777059953573,11207847173316
scala-kmeans,195238389,0,0,0,0,33554432,82702824,2,0,0,95,10367697707,1777059953573,11207847173316
scala-kmeans,195133177,0,0,0,0,25165824,107868648,2,0,0,95,10563247149,1777059953573,11207847173316
scala-kmeans,195590107,0,0,0,0,33554432,141423080,2,0,0,95,10758705199,1777059953573,11207847173316
scala-kmeans,195113954,0,0,0,0,33554432,174977512,2,0,0,95,10954636347,1777059953573,11207847173316
scala-kmeans,193588754,0,0,0,0,33554432,208531944,2,0,0,95,11150136827,1777059953573,11207847173316
scala-kmeans,194859126,0,0,0,0,25165824,233697768,2,0,0,95,11344059432,1777059953573,11207847173316
scala-kmeans,194426265,0,0,0,0,33554432,267252200,2,0,0,95,11539199168,1777059953573,11207847173316
scala-kmeans,193953306,0,0,0,0,33554432,300806632,2,0,0,95,11733936308,1777059953573,11207847173316
scala-kmeans,194291055,0,0,0,0,25165824,325972456,2,0,0,95,11928207742,1777059953573,11207847173316
scala-kmeans,193510124,0,0,0,0,33554432,359526888,2,0,0,95,12122787430,1777059953573,11207847173316
scala-kmeans,196145837,0,0,0,0,33554432,393081320,2,0,0,95,12316609231,1777059953573,11207847173316
scala-kmeans,195619017,0,0,0,0,33554432,426635752,2,0,0,95,12513052925,1777059953573,11207847173316
scala-kmeans,194564579,0,0,0,0,25165824,451801576,2,0,0,95,12708961491,1777059953573,11207847173316
scala-kmeans,197124481,0,0,0,0,33554432,485356008,2,0,0,95,12903856803,1777059953573,11207847173316
scala-kmeans,196233935,0,0,0,0,33554432,518910440,2,0,0,95,13101275703,1777059953573,11207847173316
scala-kmeans,194698845,0,0,0,0,25165824,544076264,2,0,0,95,13297806100,1777059953573,11207847173316
scala-kmeans,196394247,0,0,0,0,33554432,577630696,2,0,0,95,13492833195,1777059953573,11207847173316
scala-kmeans,195971377,0,0,0,0,33554432,611185128,2,0,0,95,13689548646,1777059953573,11207847173316
scala-kmeans,195645597,0,0,0,0,25165824,636350952,2,0,0,95,13885836158,1777059953573,11207847173316
scala-kmeans,194997004,0,0,0,0,33554432,669905384,2,0,0,95,14081786569,1777059953573,11207847173316
scala-kmeans,195352294,0,0,0,0,33554432,703459816,2,0,0,95,14277252553,1777059953573,11207847173316
scala-kmeans,196734034,0,0,0,0,33554432,737014248,2,0,0,95,14472946145,1777059953573,11207847173316
scala-kmeans,195281932,0,0,0,0,25165824,762180072,2,0,0,95,14669963016,1777059953573,11207847173316
scala-kmeans,196377620,0,0,0,0,33554432,795734504,2,0,0,95,14865554992,1777059953573,11207847173316
scala-kmeans,193108064,0,0,0,0,33554432,829288936,2,0,0,95,15062218184,1777059953573,11207847173316
scala-kmeans,239371321,0,0,0,0,-798795664,30493272,3,1,47,142,15255593446,1777059953573,11207847173316
scala-kmeans,206517629,0,0,0,0,33554432,64047704,3,0,0,142,15495250727,1777059953573,11207847173316
scala-kmeans,203615654,0,0,0,0,33554432,97602136,3,0,0,142,15702087109,1777059953573,11207847173316
scala-kmeans,203222430,0,0,0,0,33554432,131156568,3,0,0,142,15905986858,1777059953573,11207847173316
scala-kmeans,205952150,0,0,0,0,25165824,156322392,3,0,0,142,16109485706,1777059953573,11207847173316
scala-kmeans,205826825,0,0,0,0,33554432,189876824,3,0,0,142,16315742941,1777059953573,11207847173316
scala-kmeans,207522797,0,0,0,0,33554432,223431256,3,0,0,142,16521842713,1777059953573,11207847173316
scala-kmeans,204122969,0,0,0,0,25165824,248597080,3,0,0,142,16729653569,1777059953573,11207847173316
scala-kmeans,204217484,0,0,0,0,33554432,282151512,3,0,0,142,16934062085,1777059953573,11207847173316
scala-kmeans,208177446,0,0,0,0,33554432,315705944,3,0,0,142,17138584360,1777059953573,11207847173316
scala-kmeans,206667020,0,0,0,0,25165824,340871768,3,0,0,142,17347042182,1777059953573,11207847173316
scala-kmeans,205846808,0,0,0,0,33554432,374426200,3,0,0,142,17554037525,1777059953573,11207847173316
scala-kmeans,206043864,0,0,0,0,33554432,407980632,3,0,0,142,17760233140,1777059953573,11207847173316
scala-kmeans,207271867,0,0,0,0,33554432,441535064,3,0,0,142,17966510980,1777059953573,11207847173316
scala-kmeans,204858109,0,0,0,0,25165824,466700888,3,0,0,142,18174026058,1777059953573,11207847173316
