benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scala-stm-bench7,2331975296,0,0,0,0,390070288,575807256,1,1,197,197,758932539,1777057514973,8769247173326
scala-stm-bench7,1388985682,0,0,0,0,262944880,838752136,2,1,242,439,3093543912,1777057514973,8769247173326
scala-stm-bench7,1222619000,0,0,0,0,273460192,1112212328,3,1,198,637,4482947315,1777057514973,8769247173326
scala-stm-bench7,1388199596,0,0,0,0,264706976,1376919304,4,1,197,834,5705893074,1777057514973,8769247173326
scala-stm-bench7,1184501103,0,0,0,0,243269632,1620188936,5,1,193,1027,7094374794,1777057514973,8769247173326
scala-stm-bench7,1188552586,0,0,0,0,251203440,1871392376,6,1,202,1229,8279109304,1777057514973,8769247173326
scala-stm-bench7,1235507077,0,0,0,0,252113040,2123505416,7,1,198,1427,9467919424,1777057514973,8769247173326
scala-stm-bench7,1244567929,0,0,0,0,232559960,2356065376,8,1,199,1626,10703661552,1777057514973,8769247173326
scala-stm-bench7,1243936304,0,0,0,0,260017816,2616083192,9,1,207,1833,11948468130,1777057514973,8769247173326
scala-stm-bench7,1262445529,0,0,0,0,249811056,2865894248,10,1,193,2026,13192612782,1777057514973,8769247173326
scala-stm-bench7,1233263793,0,0,0,0,260034656,3125928904,11,1,191,2217,14455293188,1777057514973,8769247173326
scala-stm-bench7,1293194752,0,0,0,0,272278400,3398207304,12,1,189,2406,15688801678,1777057514973,8769247173326
scala-stm-bench7,1547552506,0,0,0,0,-310011968,3088195336,14,2,429,2835,16982201320,1777057514973,8769247173326
scala-stm-bench7,1260381183,0,0,0,0,314572832,3402768168,15,1,237,3072,18529966159,1777057514973,8769247173326
scala-stm-bench7,1207558340,0,0,0,0,276824032,3679592200,16,1,202,3274,19790543932,1777057514973,8769247173326
scala-stm-bench7,1218823298,0,0,0,0,298844176,3978436376,17,1,222,3496,20998304765,1777057514973,8769247173326
scala-stm-bench7,1169938303,0,0,0,0,271581168,4250017544,18,1,212,3708,22217455948,1777057514973,8769247173326
