benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
chi-square,4372875323,-1,0,0,-1,1266679808,1656750080,-1,0,0,-1,8522506291,1777098709884,49964158173311
chi-square,847267866,-1,0,0,-1,1998585856,3655335936,-1,0,0,-1,12898226199,1777098709884,49964158173311
chi-square,1117951004,-1,0,0,-1,-2808086528,847249408,-1,0,0,-1,13745817948,1777098709884,49964158173311
chi-square,743049239,-1,0,0,-1,1998585856,2845835264,-1,0,0,-1,14864183208,1777098709884,49964158173311
chi-square,632385757,-1,0,0,-1,1998585856,4844421120,-1,0,0,-1,15607637066,1777098709884,49964158173311
chi-square,886238294,-1,0,0,-1,1998585856,6843006976,-1,0,0,-1,16240356324,1777098709884,49964158173311
chi-square,1024244903,-1,0,0,-1,1996488704,8839495680,-1,0,0,-1,17127022479,1777098709884,49964158173311
chi-square,807425138,-1,0,0,-1,-6851395584,1988100096,-1,0,0,-1,18151491076,1777098709884,49964158173311
chi-square,607562855,-1,0,0,-1,1994391552,3982491648,-1,0,0,-1,18959226889,1777098709884,49964158173311
chi-square,595217847,-1,0,0,-1,2000683008,5983174656,-1,0,0,-1,19567093795,1777098709884,49964158173311
chi-square,627700399,-1,0,0,-1,2009071616,7992246272,-1,0,0,-1,20162515113,1777098709884,49964158173311
chi-square,760360585,-1,0,0,-1,1994391552,9986637824,-1,0,0,-1,20790526828,1777098709884,49964158173311
chi-square,988285715,-1,0,0,-1,-9089056768,897581056,-1,0,0,-1,21551141151,1777098709884,49964158173311
chi-square,616794271,-1,0,0,-1,1994391552,2891972608,-1,0,0,-1,22539761789,1777098709884,49964158173311
chi-square,597280423,-1,0,0,-1,1996488704,4888461312,-1,0,0,-1,23156878705,1777098709884,49964158173311
chi-square,594935928,-1,0,0,-1,1998585856,6887047168,-1,0,0,-1,23754356537,1777098709884,49964158173311
chi-square,597851131,-1,0,0,-1,1998585856,8885633024,-1,0,0,-1,24349490223,1777098709884,49964158173311
chi-square,656422133,-1,0,0,-1,-7820279808,1065353216,-1,0,0,-1,24947612504,1777098709884,49964158173311
chi-square,635309679,-1,0,0,-1,1994391552,3059744768,-1,0,0,-1,25604246631,1777098709884,49964158173311
chi-square,592817165,-1,0,0,-1,1998585856,5058330624,-1,0,0,-1,26239751839,1777098709884,49964158173311
chi-square,593520027,-1,0,0,-1,1996488704,7054819328,-1,0,0,-1,26832717345,1777098709884,49964158173311
chi-square,591376112,-1,0,0,-1,1998585856,9053405184,-1,0,0,-1,27426437550,1777098709884,49964158173311
chi-square,599662262,-1,0,0,-1,2030043136,11083448320,-1,0,0,-1,28018019725,1777098709884,49964158173311
chi-square,826393334,-1,0,0,-1,-9806282752,1277165568,-1,0,0,-1,28617940151,1777098709884,49964158173311
chi-square,609075066,-1,0,0,-1,1996488704,3273654272,-1,0,0,-1,29444618886,1777098709884,49964158173311
chi-square,596792759,-1,0,0,-1,1998585856,5272240128,-1,0,0,-1,30053911098,1777098709884,49964158173311
chi-square,616599960,-1,0,0,-1,1998585856,7270825984,-1,0,0,-1,30650910652,1777098709884,49964158173311
chi-square,601001249,-1,0,0,-1,1992294400,9263120384,-1,0,0,-1,31267697640,1777098709884,49964158173311
chi-square,586935620,-1,0,0,-1,2032140288,11295260672,-1,0,0,-1,31868909287,1777098709884,49964158173311
chi-square,793526011,-1,0,0,-1,1996488704,13291749376,-1,0,0,-1,32456056160,1777098709884,49964158173311
chi-square,922249235,-1,0,0,-1,-12092178432,1199570944,-1,0,0,-1,33249726157,1777098709884,49964158173311
chi-square,605485235,-1,0,0,-1,1996488704,3196059648,-1,0,0,-1,34172193459,1777098709884,49964158173311
chi-square,606994637,-1,0,0,-1,1998585856,5194645504,-1,0,0,-1,34777900161,1777098709884,49964158173311
chi-square,586830887,-1,0,0,-1,1996488704,7191134208,-1,0,0,-1,35385079014,1777098709884,49964158173311
chi-square,584556038,-1,0,0,-1,1996488704,9187622912,-1,0,0,-1,35972046830,1777098709884,49964158173311
chi-square,583843730,-1,0,0,-1,2027945984,11215568896,-1,0,0,-1,36556729512,1777098709884,49964158173311
chi-square,583353941,-1,0,0,-1,1998585856,13214154752,-1,0,0,-1,37140700855,1777098709884,49964158173311
chi-square,719850556,-1,0,0,-1,-12467568640,746586112,-1,0,0,-1,37724181389,1777098709884,49964158173311
chi-square,635456468,-1,0,0,-1,1996488704,2743074816,-1,0,0,-1,38444215930,1777098709884,49964158173311
chi-square,857044254,-1,0,0,-1,-562036736,2181038080,-1,0,0,-1,39079800375,1777098709884,49964158173311
chi-square,609488004,-1,0,0,-1,1994391552,4175429632,-1,0,0,-1,39937142902,1777098709884,49964158173311
chi-square,586162463,-1,0,0,-1,1996488704,6171918336,-1,0,0,-1,40546772362,1777098709884,49964158173311
chi-square,598065928,-1,0,0,-1,1998585856,8170504192,-1,0,0,-1,41133059315,1777098709884,49964158173311
chi-square,590492477,-1,0,0,-1,1998585856,10169090048,-1,0,0,-1,41731296427,1777098709884,49964158173311
chi-square,581015222,-1,0,0,-1,2030043136,12199133184,-1,0,0,-1,42321922373,1777098709884,49964158173311
chi-square,583722854,-1,0,0,-1,1996488704,14195621888,-1,0,0,-1,42903058158,1777098709884,49964158173311
chi-square,769175176,-1,0,0,-1,-13065256960,1130364928,-1,0,0,-1,43486927929,1777098709884,49964158173311
chi-square,597816611,-1,0,0,-1,1996488704,3126853632,-1,0,0,-1,44256391515,1777098709884,49964158173311
chi-square,582164851,-1,0,0,-1,1998585856,5125439488,-1,0,0,-1,44854371213,1777098709884,49964158173311
chi-square,580386465,-1,0,0,-1,1996488704,7121928192,-1,0,0,-1,45436995076,1777098709884,49964158173311
chi-square,580393391,-1,0,0,-1,1998585856,9120514048,-1,0,0,-1,46017502091,1777098709884,49964158173311
chi-square,581896573,-1,0,0,-1,2027945984,11148460032,-1,0,0,-1,46598014237,1777098709884,49964158173311
chi-square,579889184,-1,0,0,-1,1998585856,13147045888,-1,0,0,-1,47180071406,1777098709884,49964158173311
chi-square,579881942,-1,0,0,-1,1996488704,15143534592,-1,0,0,-1,47760130927,1777098709884,49964158173311
chi-square,692683141,-1,0,0,-1,-13184794624,1958739968,-1,0,0,-1,48340174924,1777098709884,49964158173311
chi-square,600197832,-1,0,0,-1,1996488704,3955228672,-1,0,0,-1,49033113854,1777098709884,49964158173311
chi-square,583494844,-1,0,0,-1,1996488704,5951717376,-1,0,0,-1,49633443993,1777098709884,49964158173311
chi-square,586772754,-1,0,0,-1,1998585856,7950303232,-1,0,0,-1,50217068759,1777098709884,49964158173311
