benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
dec-tree,8001657072,-1,0,0,-1,1402994688,1667235840,-1,0,0,-1,8302397531,1777103058031,54312305173325
dec-tree,1955356507,-1,0,0,-1,1851785216,3519021056,-1,0,0,-1,16306015619,1777103058031,54312305173325
dec-tree,1428823953,-1,0,0,-1,-1323302912,2195718144,-1,0,0,-1,18261847713,1777103058031,54312305173325
dec-tree,1249018664,-1,0,0,-1,1803550720,3999268864,-1,0,0,-1,19691087336,1777103058031,54312305173325
dec-tree,1652130651,-1,0,0,-1,-3057647616,941621248,-1,0,0,-1,20940533654,1777103058031,54312305173325
dec-tree,1080352456,-1,0,0,-1,1801453568,2745171968,-1,0,0,-1,22593104287,1777103058031,54312305173325
dec-tree,1037083511,-1,0,0,-1,1769996288,4517265408,-1,0,0,-1,23674051461,1777103058031,54312305173325
dec-tree,1233740455,-1,0,0,-1,1799356416,6318718976,-1,0,0,-1,24711418289,1777103058031,54312305173325
dec-tree,1314141075,-1,0,0,-1,1769996288,8088715264,-1,0,0,-1,25945404601,1777103058031,54312305173325
dec-tree,1455065894,-1,0,0,-1,-7224688640,864026624,-1,0,0,-1,27259889667,1777103058031,54312305173325
dec-tree,1009775937,-1,0,0,-1,1805647872,2669674496,-1,0,0,-1,28715349891,1777103058031,54312305173325
dec-tree,1044286041,-1,0,0,-1,1767899136,4437573632,-1,0,0,-1,29725449729,1777103058031,54312305173325
dec-tree,954513377,-1,0,0,-1,1801453568,6239027200,-1,0,0,-1,30770078025,1777103058031,54312305173325
dec-tree,930392677,-1,0,0,-1,1767899136,8009023488,-1,0,0,-1,31724834942,1777103058031,54312305173325
dec-tree,932007205,-1,0,0,-1,1799356416,9808379904,-1,0,0,-1,32655455747,1777103058031,54312305173325
dec-tree,1285313497,-1,0,0,-1,1769996288,11578376192,-1,0,0,-1,33587709080,1777103058031,54312305173325
dec-tree,1359933298,-1,0,0,-1,-9967763456,1610612736,-1,0,0,-1,34873277675,1777103058031,54312305173325
dec-tree,937152479,-1,0,0,-1,1801453568,3414163456,-1,0,0,-1,36233591109,1777103058031,54312305173325
dec-tree,876621034,-1,0,0,-1,1765801984,5179965440,-1,0,0,-1,37170966243,1777103058031,54312305173325
dec-tree,899375740,-1,0,0,-1,1805647872,6985613312,-1,0,0,-1,38047813719,1777103058031,54312305173325
dec-tree,930952240,-1,0,0,-1,1765801984,8751415296,-1,0,0,-1,38947395934,1777103058031,54312305173325
dec-tree,930206123,-1,0,0,-1,1803550720,10554966016,-1,0,0,-1,39878520004,1777103058031,54312305173325
dec-tree,891001776,-1,0,0,-1,1765801984,12320768000,-1,0,0,-1,40808956553,1777103058031,54312305173325
dec-tree,1158409138,-1,0,0,-1,-10963910656,1356857344,-1,0,0,-1,41700120738,1777103058031,54312305173325
dec-tree,904239849,-1,0,0,-1,1803550720,3160408064,-1,0,0,-1,42858783610,1777103058031,54312305173325
dec-tree,868861279,-1,0,0,-1,1767899136,4928307200,-1,0,0,-1,43763191646,1777103058031,54312305173325
dec-tree,856024434,-1,0,0,-1,1799356416,6727663616,-1,0,0,-1,44632240899,1777103058031,54312305173325
dec-tree,894376636,-1,0,0,-1,1769996288,8497659904,-1,0,0,-1,45488443447,1777103058031,54312305173325
dec-tree,924497548,-1,0,0,-1,1799356416,10297016320,-1,0,0,-1,46382997227,1777103058031,54312305173325
dec-tree,871041749,-1,0,0,-1,1767899136,12064915456,-1,0,0,-1,47307620969,1777103058031,54312305173325
dec-tree,969132305,-1,0,0,-1,1811939328,13876854784,-1,0,0,-1,48178872836,1777103058031,54312305173325
dec-tree,1037446091,-1,0,0,-1,-11481907200,2394947584,-1,0,0,-1,49148250549,1777103058031,54312305173325
dec-tree,924521107,-1,0,0,-1,1765801984,4160749568,-1,0,0,-1,50185977605,1777103058031,54312305173325
dec-tree,905541788,-1,0,0,-1,1801453568,5962203136,-1,0,0,-1,51110654045,1777103058031,54312305173325
dec-tree,910848521,-1,0,0,-1,1765801984,7728005120,-1,0,0,-1,52016379780,1777103058031,54312305173325
dec-tree,850020627,-1,0,0,-1,1803550720,9531555840,-1,0,0,-1,52927353482,1777103058031,54312305173325
dec-tree,865355008,-1,0,0,-1,1761607680,11293163520,-1,0,0,-1,53777504277,1777103058031,54312305173325
dec-tree,875112621,-1,0,0,-1,1801453568,13094617088,-1,0,0,-1,54643017925,1777103058031,54312305173325
dec-tree,1173114285,-1,0,0,-1,-10896801792,2199912448,-1,0,0,-1,55518322765,1777103058031,54312305173325
dec-tree,935639265,-1,0,0,-1,1707081728,3906994176,-1,0,0,-1,56691679514,1777103058031,54312305173325
dec-tree,885864360,-1,0,0,-1,1772093440,5679087616,-1,0,0,-1,57627552977,1777103058031,54312305173325
dec-tree,884350699,-1,0,0,-1,1799356416,7478444032,-1,0,0,-1,58513552982,1777103058031,54312305173325
dec-tree,850431138,-1,0,0,-1,1767899136,9246343168,-1,0,0,-1,59398062584,1777103058031,54312305173325
dec-tree,876623675,-1,0,0,-1,1799356416,11045699584,-1,0,0,-1,60248635491,1777103058031,54312305173325
dec-tree,848747229,-1,0,0,-1,1765801984,12811501568,-1,0,0,-1,61125425245,1777103058031,54312305173325
dec-tree,1065028668,-1,0,0,-1,1807745024,14619246592,-1,0,0,-1,61974356710,1777103058031,54312305173325
dec-tree,963899012,-1,0,0,-1,-12199133184,2422210560,-1,0,0,-1,63039915095,1777103058031,54312305173325
dec-tree,863334056,-1,0,0,-1,1769996288,4192206848,-1,0,0,-1,64004160573,1777103058031,54312305173325
dec-tree,928495712,-1,0,0,-1,1799356416,5991563264,-1,0,0,-1,64867647967,1777103058031,54312305173325
dec-tree,1015381449,-1,0,0,-1,1769996288,7761559552,-1,0,0,-1,65796299011,1777103058031,54312305173325
dec-tree,839708059,-1,0,0,-1,1799356416,9560915968,-1,0,0,-1,66811907825,1777103058031,54312305173325
dec-tree,836935672,-1,0,0,-1,1763704832,11324620800,-1,0,0,-1,67651728707,1777103058031,54312305173325
dec-tree,841616456,-1,0,0,-1,1801453568,13126074368,-1,0,0,-1,68488802856,1777103058031,54312305173325
dec-tree,1040082709,-1,0,0,-1,-10427039744,2699034624,-1,0,0,-1,69330567211,1777103058031,54312305173325
dec-tree,866088416,-1,0,0,-1,341835776,3040870400,-1,0,0,-1,70370784070,1777103058031,54312305173325
dec-tree,823481781,-1,0,0,-1,1772093440,4812963840,-1,0,0,-1,71237044451,1777103058031,54312305173325
dec-tree,828396486,-1,0,0,-1,1797259264,6610223104,-1,0,0,-1,72060670636,1777103058031,54312305173325
dec-tree,817462211,-1,0,0,-1,1767899136,8378122240,-1,0,0,-1,72889217034,1777103058031,54312305173325
dec-tree,824911145,-1,0,0,-1,1801453568,10179575808,-1,0,0,-1,73706837739,1777103058031,54312305173325
dec-tree,830044686,-1,0,0,-1,1763704832,11943280640,-1,0,0,-1,74531870541,1777103058031,54312305173325
dec-tree,857136635,-1,0,0,-1,1799356416,13742637056,-1,0,0,-1,75362060536,1777103058031,54312305173325
dec-tree,1100389447,-1,0,0,-1,-11637096448,2105540608,-1,0,0,-1,76219365896,1777103058031,54312305173325
dec-tree,838641150,-1,0,0,-1,1763704832,3869245440,-1,0,0,-1,77320012178,1777103058031,54312305173325
dec-tree,826469256,-1,0,0,-1,1801453568,5672796160,-1,0,0,-1,78158762737,1777103058031,54312305173325
dec-tree,859523536,-1,0,0,-1,1763704832,7436500992,-1,0,0,-1,78985373154,1777103058031,54312305173325
dec-tree,802274208,-1,0,0,-1,1799356416,9235857408,-1,0,0,-1,79845046181,1777103058031,54312305173325
dec-tree,816386235,-1,0,0,-1,1769996288,11005853696,-1,0,0,-1,80647428893,1777103058031,54312305173325
dec-tree,827808801,-1,0,0,-1,1797259264,12803112960,-1,0,0,-1,81463927631,1777103058031,54312305173325
dec-tree,1078723288,-1,0,0,-1,-11045699584,1757413376,-1,0,0,-1,82291859013,1777103058031,54312305173325
dec-tree,815675585,-1,0,0,-1,1797259264,3554672640,-1,0,0,-1,83370838187,1777103058031,54312305173325
dec-tree,825760108,-1,0,0,-1,1769996288,5324668928,-1,0,0,-1,84186632827,1777103058031,54312305173325
dec-tree,815708874,-1,0,0,-1,1799356416,7124025344,-1,0,0,-1,85012495217,1777103058031,54312305173325
dec-tree,837103150,-1,0,0,-1,1765801984,8889827328,-1,0,0,-1,85828330569,1777103058031,54312305173325
dec-tree,815338102,-1,0,0,-1,1799356416,10689183744,-1,0,0,-1,86665586946,1777103058031,54312305173325
dec-tree,820264678,-1,0,0,-1,1767899136,12457082880,-1,0,0,-1,87481067444,1777103058031,54312305173325
dec-tree,1006299643,-1,0,0,-1,1814036480,14271119360,-1,0,0,-1,88301467259,1777103058031,54312305173325
dec-tree,854094491,-1,0,0,-1,-11098128384,3172990976,-1,0,0,-1,89307935938,1777103058031,54312305173325
dec-tree,807158859,-1,0,0,-1,1765801984,4940890112,-1,0,0,-1,90162248880,1777103058031,54312305173325
dec-tree,807657897,-1,0,0,-1,1799356416,6740246528,-1,0,0,-1,90969511671,1777103058031,54312305173325
dec-tree,815309938,-1,0,0,-1,1769996288,8510242816,-1,0,0,-1,91777299438,1777103058031,54312305173325
dec-tree,811593459,-1,0,0,-1,1799356416,10309599232,-1,0,0,-1,92592709202,1777103058031,54312305173325
dec-tree,822166884,-1,0,0,-1,1763704832,12073304064,-1,0,0,-1,93404399024,1777103058031,54312305173325
dec-tree,914049968,-1,0,0,-1,1814036480,13887340544,-1,0,0,-1,94226661942,1777103058031,54312305173325
dec-tree,951518931,-1,0,0,-1,-11247026176,2640314368,-1,0,0,-1,95140825003,1777103058031,54312305173325
dec-tree,837720449,-1,0,0,-1,1767899136,4408213504,-1,0,0,-1,96092512258,1777103058031,54312305173325
dec-tree,844323567,-1,0,0,-1,1801453568,6209667072,-1,0,0,-1,96930361652,1777103058031,54312305173325
dec-tree,818765659,-1,0,0,-1,1767899136,7977566208,-1,0,0,-1,97774801336,1777103058031,54312305173325
dec-tree,811008588,-1,0,0,-1,1799356416,9776922624,-1,0,0,-1,98593658518,1777103058031,54312305173325
dec-tree,844176130,-1,0,0,-1,1761607680,11538530304,-1,0,0,-1,99404803966,1777103058031,54312305173325
dec-tree,811603647,-1,0,0,-1,1801453568,13339983872,-1,0,0,-1,100249073759,1777103058031,54312305173325
dec-tree,1023775179,-1,0,0,-1,-11345592320,1994391552,-1,0,0,-1,101060817907,1777103058031,54312305173325
dec-tree,830174825,-1,0,0,-1,1801453568,3795845120,-1,0,0,-1,102084798093,1777103058031,54312305173325
dec-tree,802113735,-1,0,0,-1,1765801984,5561647104,-1,0,0,-1,102915093913,1777103058031,54312305173325
dec-tree,817350637,-1,0,0,-1,1801453568,7363100672,-1,0,0,-1,103717299005,1777103058031,54312305173325
dec-tree,806602959,-1,0,0,-1,1769996288,9133096960,-1,0,0,-1,104534753324,1777103058031,54312305173325
dec-tree,827531693,-1,0,0,-1,1799356416,10932453376,-1,0,0,-1,105341483717,1777103058031,54312305173325
dec-tree,816542711,-1,0,0,-1,1765801984,12698255360,-1,0,0,-1,106169161318,1777103058031,54312305173325
dec-tree,949829110,-1,0,0,-1,1809842176,14508097536,-1,0,0,-1,106985824082,1777103058031,54312305173325
dec-tree,872155576,-1,0,0,-1,-11400118272,3107979264,-1,0,0,-1,107935785350,1777103058031,54312305173325
dec-tree,798092831,-1,0,0,-1,1769996288,4877975552,-1,0,0,-1,108808136752,1777103058031,54312305173325
dec-tree,803781863,-1,0,0,-1,1799356416,6677331968,-1,0,0,-1,109606364597,1777103058031,54312305173325
dec-tree,818266006,-1,0,0,-1,1765801984,8443133952,-1,0,0,-1,110410240378,1777103058031,54312305173325
dec-tree,847619074,-1,0,0,-1,1799356416,10242490368,-1,0,0,-1,111228637515,1777103058031,54312305173325
dec-tree,833181846,-1,0,0,-1,1769996288,12012486656,-1,0,0,-1,112076386916,1777103058031,54312305173325
dec-tree,832450980,-1,0,0,-1,1841299456,13853786112,-1,0,0,-1,112909728381,1777103058031,54312305173325
dec-tree,1017062230,-1,0,0,-1,-11460935680,2392850432,-1,0,0,-1,113742315940,1777103058031,54312305173325
dec-tree,812579627,-1,0,0,-1,1803550720,4196401152,-1,0,0,-1,114759598316,1777103058031,54312305173325
dec-tree,783333892,-1,0,0,-1,1765801984,5962203136,-1,0,0,-1,115572294631,1777103058031,54312305173325
dec-tree,846000082,-1,0,0,-1,1799356416,7761559552,-1,0,0,-1,116355798256,1777103058031,54312305173325
dec-tree,824024551,-1,0,0,-1,1769996288,9531555840,-1,0,0,-1,117201909094,1777103058031,54312305173325
dec-tree,825145406,-1,0,0,-1,1797259264,11328815104,-1,0,0,-1,118026040744,1777103058031,54312305173325
dec-tree,801838827,-1,0,0,-1,1767899136,13096714240,-1,0,0,-1,118851309927,1777103058031,54312305173325
dec-tree,1007364016,-1,0,0,-1,-11211374592,1885339648,-1,0,0,-1,119653264089,1777103058031,54312305173325
dec-tree,789971592,-1,0,0,-1,1803550720,3688890368,-1,0,0,-1,120660786108,1777103058031,54312305173325
dec-tree,853033798,-1,0,0,-1,1763704832,5452595200,-1,0,0,-1,121450855240,1777103058031,54312305173325
dec-tree,793932907,-1,0,0,-1,1801453568,7254048768,-1,0,0,-1,122303996146,1777103058031,54312305173325
dec-tree,810488261,-1,0,0,-1,1767899136,9021947904,-1,0,0,-1,123098034513,1777103058031,54312305173325
dec-tree,836594027,-1,0,0,-1,1797259264,10819207168,-1,0,0,-1,123908698739,1777103058031,54312305173325
dec-tree,806444519,-1,0,0,-1,1763704832,12585009152,-1,0,0,-1,124745444935,1777103058031,54312305173325
