[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
NOTE: 'dec-tree' benchmark uses Spark local executor with 6 (out of 8) threads.
====== dec-tree (apache-spark) [default], iteration 0 started ======
====== dec-tree (apache-spark) [default], iteration 0 completed (8001.657 ms) ======
====== dec-tree (apache-spark) [default], iteration 1 started ======
====== dec-tree (apache-spark) [default], iteration 1 completed (1955.357 ms) ======
====== dec-tree (apache-spark) [default], iteration 2 started ======
====== dec-tree (apache-spark) [default], iteration 2 completed (1428.824 ms) ======
====== dec-tree (apache-spark) [default], iteration 3 started ======
====== dec-tree (apache-spark) [default], iteration 3 completed (1249.019 ms) ======
====== dec-tree (apache-spark) [default], iteration 4 started ======
====== dec-tree (apache-spark) [default], iteration 4 completed (1652.131 ms) ======
====== dec-tree (apache-spark) [default], iteration 5 started ======
====== dec-tree (apache-spark) [default], iteration 5 completed (1080.352 ms) ======
====== dec-tree (apache-spark) [default], iteration 6 started ======
====== dec-tree (apache-spark) [default], iteration 6 completed (1037.084 ms) ======
====== dec-tree (apache-spark) [default], iteration 7 started ======
====== dec-tree (apache-spark) [default], iteration 7 completed (1233.740 ms) ======
====== dec-tree (apache-spark) [default], iteration 8 started ======
====== dec-tree (apache-spark) [default], iteration 8 completed (1314.141 ms) ======
====== dec-tree (apache-spark) [default], iteration 9 started ======
====== dec-tree (apache-spark) [default], iteration 9 completed (1455.066 ms) ======
====== dec-tree (apache-spark) [default], iteration 10 started ======
====== dec-tree (apache-spark) [default], iteration 10 completed (1009.776 ms) ======
====== dec-tree (apache-spark) [default], iteration 11 started ======
====== dec-tree (apache-spark) [default], iteration 11 completed (1044.286 ms) ======
