>>> Starting benchmark: finagle-http
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/finagle-http
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
finagle-http on :41897 spawning 8 client and default number of server workers.
====== finagle-http (web) [default], iteration 0 started ======
====== finagle-http (web) [default], iteration 0 completed (14152.215 ms) ======
====== finagle-http (web) [default], iteration 1 started ======
====== finagle-http (web) [default], iteration 1 completed (6914.584 ms) ======
====== finagle-http (web) [default], iteration 2 started ======
====== finagle-http (web) [default], iteration 2 completed (4704.143 ms) ======
====== finagle-http (web) [default], iteration 3 started ======
====== finagle-http (web) [default], iteration 3 completed (5267.479 ms) ======
====== finagle-http (web) [default], iteration 4 started ======
====== finagle-http (web) [default], iteration 4 completed (4816.254 ms) ======
====== finagle-http (web) [default], iteration 5 started ======
====== finagle-http (web) [default], iteration 5 completed (4634.278 ms) ======
====== finagle-http (web) [default], iteration 6 started ======
====== finagle-http (web) [default], iteration 6 completed (4804.373 ms) ======
====== finagle-http (web) [default], iteration 7 started ======
====== finagle-http (web) [default], iteration 7 completed (4605.263 ms) ======
====== finagle-http (web) [default], iteration 8 started ======
====== finagle-http (web) [default], iteration 8 completed (4508.578 ms) ======
====== finagle-http (web) [default], iteration 9 started ======
====== finagle-http (web) [default], iteration 9 completed (4698.993 ms) ======
====== finagle-http (web) [default], iteration 10 started ======
====== finagle-http (web) [default], iteration 10 completed (4798.879 ms) ======
====== finagle-http (web) [default], iteration 11 started ======
====== finagle-http (web) [default], iteration 11 completed (4769.921 ms) ======
====== finagle-http (web) [default], iteration 12 started ======
====== finagle-http (web) [default], iteration 12 completed (4756.339 ms) ======
====== finagle-http (web) [default], iteration 13 started ======
====== finagle-http (web) [default], iteration 13 completed (4686.160 ms) ======
====== finagle-http (web) [default], iteration 14 started ======
====== finagle-http (web) [default], iteration 14 completed (4621.779 ms) ======
====== finagle-http (web) [default], iteration 15 started ======
====== finagle-http (web) [default], iteration 15 completed (4621.272 ms) ======
====== finagle-http (web) [default], iteration 16 started ======
====== finagle-http (web) [default], iteration 16 completed (4725.609 ms) ======
====== finagle-http (web) [default], iteration 17 started ======
====== finagle-http (web) [default], iteration 17 completed (4742.597 ms) ======
====== finagle-http (web) [default], iteration 18 started ======
====== finagle-http (web) [default], iteration 18 completed (4727.361 ms) ======
====== finagle-http (web) [default], iteration 19 started ======
====== finagle-http (web) [default], iteration 19 completed (4763.437 ms) ======
====== finagle-http (web) [default], iteration 20 started ======
====== finagle-http (web) [default], iteration 20 completed (4637.911 ms) ======
====== finagle-http (web) [default], iteration 21 started ======
====== finagle-http (web) [default], iteration 21 completed (4634.399 ms) ======
====== finagle-http (web) [default], iteration 22 started ======
====== finagle-http (web) [default], iteration 22 completed (4684.377 ms) ======
====== finagle-http (web) [default], iteration 23 started ======
====== finagle-http (web) [default], iteration 23 completed (4734.858 ms) ======
====== finagle-http (web) [default], iteration 24 started ======
====== finagle-http (web) [default], iteration 24 completed (4738.472 ms) ======
====== finagle-http (web) [default], iteration 25 started ======
====== finagle-http (web) [default], iteration 25 completed (4713.578 ms) ======
====== finagle-http (web) [default], iteration 26 started ======
====== finagle-http (web) [default], iteration 26 completed (4622.924 ms) ======
====== finagle-http (web) [default], iteration 27 started ======
====== finagle-http (web) [default], iteration 27 completed (4631.522 ms) ======
====== finagle-http (web) [default], iteration 28 started ======
====== finagle-http (web) [default], iteration 28 completed (4655.423 ms) ======
====== finagle-http (web) [default], iteration 29 started ======
====== finagle-http (web) [default], iteration 29 completed (4730.369 ms) ======
====== finagle-http (web) [default], iteration 30 started ======
====== finagle-http (web) [default], iteration 30 completed (4736.593 ms) ======
====== finagle-http (web) [default], iteration 31 started ======
====== finagle-http (web) [default], iteration 31 completed (4759.015 ms) ======
====== finagle-http (web) [default], iteration 32 started ======
====== finagle-http (web) [default], iteration 32 completed (4640.188 ms) ======
====== finagle-http (web) [default], iteration 33 started ======
====== finagle-http (web) [default], iteration 33 completed (4624.023 ms) ======
====== finagle-http (web) [default], iteration 34 started ======
====== finagle-http (web) [default], iteration 34 completed (4665.610 ms) ======
====== finagle-http (web) [default], iteration 35 started ======
====== finagle-http (web) [default], iteration 35 completed (4718.220 ms) ======
====== finagle-http (web) [default], iteration 36 started ======
====== finagle-http (web) [default], iteration 36 completed (4597.084 ms) ======
====== finagle-http (web) [default], iteration 37 started ======
====== finagle-http (web) [default], iteration 37 completed (4630.429 ms) ======
====== finagle-http (web) [default], iteration 38 started ======
====== finagle-http (web) [default], iteration 38 completed (4681.069 ms) ======
====== finagle-http (web) [default], iteration 39 started ======
====== finagle-http (web) [default], iteration 39 completed (4747.739 ms) ======
====== finagle-http (web) [default], iteration 40 started ======
====== finagle-http (web) [default], iteration 40 completed (4731.731 ms) ======
====== finagle-http (web) [default], iteration 41 started ======
====== finagle-http (web) [default], iteration 41 completed (4620.199 ms) ======
====== finagle-http (web) [default], iteration 42 started ======
====== finagle-http (web) [default], iteration 42 completed (4614.176 ms) ======
====== finagle-http (web) [default], iteration 43 started ======
====== finagle-http (web) [default], iteration 43 completed (4621.470 ms) ======
====== finagle-http (web) [default], iteration 44 started ======
====== finagle-http (web) [default], iteration 44 completed (4699.822 ms) ======
====== finagle-http (web) [default], iteration 45 started ======
====== finagle-http (web) [default], iteration 45 completed (4742.631 ms) ======
====== finagle-http (web) [default], iteration 46 started ======
====== finagle-http (web) [default], iteration 46 completed (4724.334 ms) ======
====== finagle-http (web) [default], iteration 47 started ======
====== finagle-http (web) [default], iteration 47 completed (4644.624 ms) ======
====== finagle-http (web) [default], iteration 48 started ======
====== finagle-http (web) [default], iteration 48 completed (4716.373 ms) ======
====== finagle-http (web) [default], iteration 49 started ======
====== finagle-http (web) [default], iteration 49 completed (4677.119 ms) ======
====== finagle-http (web) [default], iteration 50 started ======
====== finagle-http (web) [default], iteration 50 completed (4622.544 ms) ======
====== finagle-http (web) [default], iteration 51 started ======
====== finagle-http (web) [default], iteration 51 completed (4678.279 ms) ======
====== finagle-http (web) [default], iteration 52 started ======
====== finagle-http (web) [default], iteration 52 completed (4738.654 ms) ======
====== finagle-http (web) [default], iteration 53 started ======
====== finagle-http (web) [default], iteration 53 completed (4702.277 ms) ======
====== finagle-http (web) [default], iteration 54 started ======
====== finagle-http (web) [default], iteration 54 completed (4736.722 ms) ======
====== finagle-http (web) [default], iteration 55 started ======
====== finagle-http (web) [default], iteration 55 completed (4647.417 ms) ======
====== finagle-http (web) [default], iteration 56 started ======
====== finagle-http (web) [default], iteration 56 completed (4619.331 ms) ======
====== finagle-http (web) [default], iteration 57 started ======
====== finagle-http (web) [default], iteration 57 completed (4628.743 ms) ======
====== finagle-http (web) [default], iteration 58 started ======
====== finagle-http (web) [default], iteration 58 completed (4694.141 ms) ======
====== finagle-http (web) [default], iteration 59 started ======
====== finagle-http (web) [default], iteration 59 completed (4734.274 ms) ======
====== finagle-http (web) [default], iteration 60 started ======
