benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
finagle-http,14152214979,-1,0,0,-1,415236096,583008256,-1,0,0,-1,2605105759,1777101820948,53075222173338
finagle-http,6914584428,-1,0,0,-1,268435456,851443712,-1,0,0,-1,16763771215,1777101820948,53075222173338
finagle-http,4704143257,-1,0,0,-1,5335154688,6186598400,-1,0,0,-1,23680189378,1777101820948,53075222173338
finagle-http,5267478916,-1,0,0,-1,5335154688,11523850240,-1,0,0,-1,28385851177,1777101820948,53075222173338
finagle-http,4816253651,-1,0,0,-1,-7621050368,3904897024,-1,0,0,-1,33654725473,1777101820948,53075222173338
finagle-http,4634277989,-1,0,0,-1,5328863232,9240051712,-1,0,0,-1,38476859185,1777101820948,53075222173338
finagle-http,4804372544,-1,0,0,-1,5330960384,14573109248,-1,0,0,-1,43112932764,1777101820948,53075222173338
finagle-http,4605262895,-1,0,0,-1,-9722396672,4854906880,-1,0,0,-1,47920067605,1777101820948,53075222173338
finagle-http,4508578464,-1,0,0,-1,5337251840,10198450176,-1,0,0,-1,52526986180,1777101820948,53075222173338
finagle-http,4698993331,-1,0,0,-1,5333057536,15531507712,-1,0,0,-1,57037996990,1777101820948,53075222173338
finagle-http,4798878620,-1,0,0,-1,-10299113472,5232394240,-1,0,0,-1,61739835391,1777101820948,53075222173338
finagle-http,4769921334,-1,0,0,-1,5339348992,10571743232,-1,0,0,-1,66541360413,1777101820948,53075222173338
finagle-http,4756338996,-1,0,0,-1,5335154688,15906897920,-1,0,0,-1,71313513898,1777101820948,53075222173338
finagle-http,4686160396,-1,0,0,-1,-10699669504,5209325568,-1,0,0,-1,76072664981,1777101820948,53075222173338
finagle-http,4621779189,-1,0,0,-1,5333057536,10542383104,-1,0,0,-1,80760798125,1777101820948,53075222173338
finagle-http,4621271901,-1,0,0,-1,5330960384,15877537792,-1,0,0,-1,85384851243,1777101820948,53075222173338
finagle-http,4725608973,-1,0,0,-1,-10817110016,5062524928,-1,0,0,-1,90008342025,1777101820948,53075222173338
finagle-http,4742596579,-1,0,0,-1,5335154688,10399776768,-1,0,0,-1,94735803799,1777101820948,53075222173338
finagle-http,4727361008,-1,0,0,-1,5328863232,15730737152,-1,0,0,-1,99480794251,1777101820948,53075222173338
finagle-http,4763436536,-1,0,0,-1,-13243514880,2489319424,-1,0,0,-1,104210137498,1777101820948,53075222173338
finagle-http,4637910806,-1,0,0,-1,5335154688,7826571264,-1,0,0,-1,108974929317,1777101820948,53075222173338
finagle-http,4634398898,-1,0,0,-1,5333057536,13159628800,-1,0,0,-1,113614858953,1777101820948,53075222173338
finagle-http,4684377167,-1,0,0,-1,-10844372992,2317352960,-1,0,0,-1,118251370585,1777101820948,53075222173338
finagle-http,4734858273,-1,0,0,-1,5335154688,7654604800,-1,0,0,-1,122937598521,1777101820948,53075222173338
finagle-http,4738471821,-1,0,0,-1,5328863232,12985565184,-1,0,0,-1,127674590393,1777101820948,53075222173338
finagle-http,4713577947,-1,0,0,-1,-10739515392,2248146944,-1,0,0,-1,132414941675,1777101820948,53075222173338
finagle-http,4622923841,-1,0,0,-1,5335154688,7587495936,-1,0,0,-1,137130985965,1777101820948,53075222173338
finagle-http,4631522244,-1,0,0,-1,5330960384,12918456320,-1,0,0,-1,141755290377,1777101820948,53075222173338
finagle-http,4655423334,-1,0,0,-1,-10838081536,2084569088,-1,0,0,-1,146388941082,1777101820948,53075222173338
finagle-http,4730369122,-1,0,0,-1,5330960384,7417626624,-1,0,0,-1,151046220215,1777101820948,53075222173338
finagle-http,4736593031,-1,0,0,-1,5333057536,12754878464,-1,0,0,-1,155777934599,1777101820948,53075222173338
finagle-http,4759014738,-1,0,0,-1,-10835984384,1923088384,-1,0,0,-1,160516552020,1777101820948,53075222173338
finagle-http,4640187977,-1,0,0,-1,5330960384,7256145920,-1,0,0,-1,165278296201,1777101820948,53075222173338
finagle-http,4624022650,-1,0,0,-1,5337251840,12595494912,-1,0,0,-1,169919817067,1777101820948,53075222173338
finagle-http,4665609540,-1,0,0,-1,-10831790080,1763704832,-1,0,0,-1,174545706919,1777101820948,53075222173338
finagle-http,4718219689,-1,0,0,-1,2743074816,4508876800,-1,0,0,-1,179212622527,1777101820948,53075222173338
finagle-http,4597084142,-1,0,0,-1,5330960384,9841934336,-1,0,0,-1,183932810681,1777101820948,53075222173338
