benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
fj-kmeans,7060482840,-1,0,0,-1,-176160768,511705088,-1,0,0,-1,1321655177,1777099326093,50580367173322
fj-kmeans,5229538460,-1,0,0,-1,9068085248,9607053312,-1,0,0,-1,8426826584,1777099326093,50580367173322
fj-kmeans,5583633620,-1,0,0,-1,-6408896512,3198156800,-1,0,0,-1,13657776093,1777099326093,50580367173322
fj-kmeans,5201838586,-1,0,0,-1,5146411008,8344567808,-1,0,0,-1,19242945987,1777099326093,50580367173322
fj-kmeans,5176719548,-1,0,0,-1,4791992320,13136560128,-1,0,0,-1,24446073035,1777099326093,50580367173322
fj-kmeans,5178200719,-1,0,0,-1,-10437525504,2699034624,-1,0,0,-1,29624058723,1777099326093,50580367173322
fj-kmeans,5125841303,-1,0,0,-1,4930404352,7629438976,-1,0,0,-1,34803608946,1777099326093,50580367173322
fj-kmeans,5127581231,-1,0,0,-1,4724883456,12354322432,-1,0,0,-1,39930706591,1777099326093,50580367173322
fj-kmeans,5162793412,-1,0,0,-1,-11022630912,1331691520,-1,0,0,-1,45059529345,1777099326093,50580367173322
fj-kmeans,5130248471,-1,0,0,-1,4666163200,5997854720,-1,0,0,-1,50223555024,1777099326093,50580367173322
fj-kmeans,5132727815,-1,0,0,-1,4557111296,10554966016,-1,0,0,-1,55355034964,1777099326093,50580367173322
fj-kmeans,5153054419,-1,0,0,-1,4427087872,14982053888,-1,0,0,-1,60489150845,1777099326093,50580367173322
fj-kmeans,5154594589,-1,0,0,-1,-10408165376,4573888512,-1,0,0,-1,65643846786,1777099326093,50580367173322
fj-kmeans,5119106928,-1,0,0,-1,4777312256,9351200768,-1,0,0,-1,70799684208,1777099326093,50580367173322
fj-kmeans,5208755366,-1,0,0,-1,6364856320,15716057088,-1,0,0,-1,75920292960,1777099326093,50580367173322
fj-kmeans,5143798573,-1,0,0,-1,-10703863808,5012193280,-1,0,0,-1,81130134071,1777099326093,50580367173322
