[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== fj-kmeans (concurrency) [default], iteration 0 started ======
====== fj-kmeans (concurrency) [default], iteration 0 completed (7060.483 ms) ======
====== fj-kmeans (concurrency) [default], iteration 1 started ======
====== fj-kmeans (concurrency) [default], iteration 1 completed (5229.538 ms) ======
====== fj-kmeans (concurrency) [default], iteration 2 started ======
====== fj-kmeans (concurrency) [default], iteration 2 completed (5583.634 ms) ======
====== fj-kmeans (concurrency) [default], iteration 3 started ======
====== fj-kmeans (concurrency) [default], iteration 3 completed (5201.839 ms) ======
====== fj-kmeans (concurrency) [default], iteration 4 started ======
====== fj-kmeans (concurrency) [default], iteration 4 completed (5176.720 ms) ======
====== fj-kmeans (concurrency) [default], iteration 5 started ======
====== fj-kmeans (concurrency) [default], iteration 5 completed (5178.201 ms) ======
====== fj-kmeans (concurrency) [default], iteration 6 started ======
====== fj-kmeans (concurrency) [default], iteration 6 completed (5125.841 ms) ======
====== fj-kmeans (concurrency) [default], iteration 7 started ======
====== fj-kmeans (concurrency) [default], iteration 7 completed (5127.581 ms) ======
====== fj-kmeans (concurrency) [default], iteration 8 started ======
====== fj-kmeans (concurrency) [default], iteration 8 completed (5162.793 ms) ======
====== fj-kmeans (concurrency) [default], iteration 9 started ======
====== fj-kmeans (concurrency) [default], iteration 9 completed (5130.248 ms) ======
====== fj-kmeans (concurrency) [default], iteration 10 started ======
====== fj-kmeans (concurrency) [default], iteration 10 completed (5132.728 ms) ======
====== fj-kmeans (concurrency) [default], iteration 11 started ======
====== fj-kmeans (concurrency) [default], iteration 11 completed (5153.054 ms) ======
====== fj-kmeans (concurrency) [default], iteration 12 started ======
====== fj-kmeans (concurrency) [default], iteration 12 completed (5154.595 ms) ======
====== fj-kmeans (concurrency) [default], iteration 13 started ======
====== fj-kmeans (concurrency) [default], iteration 13 completed (5119.107 ms) ======
====== fj-kmeans (concurrency) [default], iteration 14 started ======
====== fj-kmeans (concurrency) [default], iteration 14 completed (5208.755 ms) ======
====== fj-kmeans (concurrency) [default], iteration 15 started ======
====== fj-kmeans (concurrency) [default], iteration 15 completed (5143.799 ms) ======
====== fj-kmeans (concurrency) [default], iteration 16 started ======
====== fj-kmeans (concurrency) [default], iteration 16 completed (5120.548 ms) ======
====== fj-kmeans (concurrency) [default], iteration 17 started ======
====== fj-kmeans (concurrency) [default], iteration 17 completed (5138.681 ms) ======
====== fj-kmeans (concurrency) [default], iteration 18 started ======
====== fj-kmeans (concurrency) [default], iteration 18 completed (5175.785 ms) ======
====== fj-kmeans (concurrency) [default], iteration 19 started ======
====== fj-kmeans (concurrency) [default], iteration 19 completed (5118.274 ms) ======
====== fj-kmeans (concurrency) [default], iteration 20 started ======
====== fj-kmeans (concurrency) [default], iteration 20 completed (5125.604 ms) ======
====== fj-kmeans (concurrency) [default], iteration 21 started ======
====== fj-kmeans (concurrency) [default], iteration 21 completed (5152.927 ms) ======
====== fj-kmeans (concurrency) [default], iteration 22 started ======
====== fj-kmeans (concurrency) [default], iteration 22 completed (5130.035 ms) ======
====== fj-kmeans (concurrency) [default], iteration 23 started ======
====== fj-kmeans (concurrency) [default], iteration 23 completed (5136.281 ms) ======
====== fj-kmeans (concurrency) [default], iteration 24 started ======
====== fj-kmeans (concurrency) [default], iteration 24 completed (5142.316 ms) ======
====== fj-kmeans (concurrency) [default], iteration 25 started ======
====== fj-kmeans (concurrency) [default], iteration 25 completed (5168.226 ms) ======
====== fj-kmeans (concurrency) [default], iteration 26 started ======
====== fj-kmeans (concurrency) [default], iteration 26 completed (5192.737 ms) ======
====== fj-kmeans (concurrency) [default], iteration 27 started ======
====== fj-kmeans (concurrency) [default], iteration 27 completed (5120.925 ms) ======
====== fj-kmeans (concurrency) [default], iteration 28 started ======
====== fj-kmeans (concurrency) [default], iteration 28 completed (5143.522 ms) ======
====== fj-kmeans (concurrency) [default], iteration 29 started ======
====== fj-kmeans (concurrency) [default], iteration 29 completed (5118.469 ms) ======
====== fj-kmeans (concurrency) [default], iteration 30 started ======
====== fj-kmeans (concurrency) [default], iteration 30 completed (5131.516 ms) ======
====== fj-kmeans (concurrency) [default], iteration 31 started ======
====== fj-kmeans (concurrency) [default], iteration 31 completed (5158.305 ms) ======
====== fj-kmeans (concurrency) [default], iteration 32 started ======
====== fj-kmeans (concurrency) [default], iteration 32 completed (5113.439 ms) ======
====== fj-kmeans (concurrency) [default], iteration 33 started ======
====== fj-kmeans (concurrency) [default], iteration 33 completed (5113.686 ms) ======
====== fj-kmeans (concurrency) [default], iteration 34 started ======
====== fj-kmeans (concurrency) [default], iteration 34 completed (5161.252 ms) ======
====== fj-kmeans (concurrency) [default], iteration 35 started ======
====== fj-kmeans (concurrency) [default], iteration 35 completed (5111.639 ms) ======
====== fj-kmeans (concurrency) [default], iteration 36 started ======
====== fj-kmeans (concurrency) [default], iteration 36 completed (5175.032 ms) ======
====== fj-kmeans (concurrency) [default], iteration 37 started ======
====== fj-kmeans (concurrency) [default], iteration 37 completed (5154.423 ms) ======
====== fj-kmeans (concurrency) [default], iteration 38 started ======
====== fj-kmeans (concurrency) [default], iteration 38 completed (5110.747 ms) ======
====== fj-kmeans (concurrency) [default], iteration 39 started ======
====== fj-kmeans (concurrency) [default], iteration 39 completed (5149.239 ms) ======
====== fj-kmeans (concurrency) [default], iteration 40 started ======
====== fj-kmeans (concurrency) [default], iteration 40 completed (5119.360 ms) ======
====== fj-kmeans (concurrency) [default], iteration 41 started ======
====== fj-kmeans (concurrency) [default], iteration 41 completed (5110.784 ms) ======
====== fj-kmeans (concurrency) [default], iteration 42 started ======
====== fj-kmeans (concurrency) [default], iteration 42 completed (5125.508 ms) ======
====== fj-kmeans (concurrency) [default], iteration 43 started ======
====== fj-kmeans (concurrency) [default], iteration 43 completed (5151.670 ms) ======
====== fj-kmeans (concurrency) [default], iteration 44 started ======
====== fj-kmeans (concurrency) [default], iteration 44 completed (5117.476 ms) ======
====== fj-kmeans (concurrency) [default], iteration 45 started ======
====== fj-kmeans (concurrency) [default], iteration 45 completed (5118.836 ms) ======
====== fj-kmeans (concurrency) [default], iteration 46 started ======
====== fj-kmeans (concurrency) [default], iteration 46 completed (5210.423 ms) ======
====== fj-kmeans (concurrency) [default], iteration 47 started ======
====== fj-kmeans (concurrency) [default], iteration 47 completed (5130.400 ms) ======
====== fj-kmeans (concurrency) [default], iteration 48 started ======
====== fj-kmeans (concurrency) [default], iteration 48 completed (5121.768 ms) ======
====== fj-kmeans (concurrency) [default], iteration 49 started ======
====== fj-kmeans (concurrency) [default], iteration 49 completed (5135.218 ms) ======
====== fj-kmeans (concurrency) [default], iteration 50 started ======
====== fj-kmeans (concurrency) [default], iteration 50 completed (5135.878 ms) ======
====== fj-kmeans (concurrency) [default], iteration 51 started ======
====== fj-kmeans (concurrency) [default], iteration 51 completed (5110.980 ms) ======
====== fj-kmeans (concurrency) [default], iteration 52 started ======
====== fj-kmeans (concurrency) [default], iteration 52 completed (5115.603 ms) ======
====== fj-kmeans (concurrency) [default], iteration 53 started ======
====== fj-kmeans (concurrency) [default], iteration 53 completed (5147.286 ms) ======
====== fj-kmeans (concurrency) [default], iteration 54 started ======
====== fj-kmeans (concurrency) [default], iteration 54 completed (5216.237 ms) ======
====== fj-kmeans (concurrency) [default], iteration 55 started ======
====== fj-kmeans (concurrency) [default], iteration 55 completed (5131.024 ms) ======
====== fj-kmeans (concurrency) [default], iteration 56 started ======
====== fj-kmeans (concurrency) [default], iteration 56 completed (5167.444 ms) ======
====== fj-kmeans (concurrency) [default], iteration 57 started ======
====== fj-kmeans (concurrency) [default], iteration 57 completed (5125.305 ms) ======
====== fj-kmeans (concurrency) [default], iteration 58 started ======
====== fj-kmeans (concurrency) [default], iteration 58 completed (5124.925 ms) ======
====== fj-kmeans (concurrency) [default], iteration 59 started ======
