benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
gauss-mix,15726604299,-1,0,0,-1,9720299520,9992929280,-1,0,0,-1,5945384854,1777107978051,59232325173321
gauss-mix,9780788941,-1,0,0,-1,-7023362048,2969567232,-1,0,0,-1,21673604495,1777107978051,59232325173321
gauss-mix,8631330674,-1,0,0,-1,5114953728,8084520960,-1,0,0,-1,31454807780,1777107978051,59232325173321
gauss-mix,8685576669,-1,0,0,-1,-6140461056,1944059904,-1,0,0,-1,40086589775,1777107978051,59232325173321
gauss-mix,8231291102,-1,0,0,-1,8252293120,10196353024,-1,0,0,-1,48772593640,1777107978051,59232325173321
gauss-mix,8812647761,-1,0,0,-1,-3730833408,6465519616,-1,0,0,-1,57004378092,1777107978051,59232325173321
gauss-mix,8789272080,-1,0,0,-1,-1830813696,4634705920,-1,0,0,-1,65817399481,1777107978051,59232325173321
gauss-mix,8494334727,-1,0,0,-1,-2520776704,2113929216,-1,0,0,-1,74607018261,1777107978051,59232325173321
gauss-mix,8017425561,-1,0,0,-1,8113881088,10227810304,-1,0,0,-1,83101690528,1777107978051,59232325173321
gauss-mix,11205963892,-1,0,0,-1,-4741660672,5486149632,-1,0,0,-1,91119473354,1777107978051,59232325173321
gauss-mix,7456484164,-1,0,0,-1,618659840,6104809472,-1,0,0,-1,102325850546,1777107978051,59232325173321
gauss-mix,7732769968,-1,0,0,-1,6989807616,13094617088,-1,0,0,-1,109782868002,1777107978051,59232325173321
gauss-mix,7754977814,-1,0,0,-1,-5429526528,7665090560,-1,0,0,-1,117516042191,1777107978051,59232325173321
gauss-mix,8303115775,-1,0,0,-1,-4794089472,2871001088,-1,0,0,-1,125271244578,1777107978051,59232325173321
gauss-mix,8346129615,-1,0,0,-1,7396655104,10267656192,-1,0,0,-1,133574597669,1777107978051,59232325173321
gauss-mix,8218278955,-1,0,0,-1,-2004877312,8262778880,-1,0,0,-1,141921096885,1777107978051,59232325173321
gauss-mix,8132564060,-1,0,0,-1,-2789212160,5473566720,-1,0,0,-1,150139740683,1777107978051,59232325173321
gauss-mix,8096719888,-1,0,0,-1,-2623537152,2850029568,-1,0,0,-1,158272561267,1777107978051,59232325173321
gauss-mix,7961168786,-1,0,0,-1,-838860800,2011168768,-1,0,0,-1,166369632370,1777107978051,59232325173321
gauss-mix,8026395408,-1,0,0,-1,9347006464,11358175232,-1,0,0,-1,174331023595,1777107978051,59232325173321
gauss-mix,8218204805,-1,0,0,-1,-2671771648,8686403584,-1,0,0,-1,182357662450,1777107978051,59232325173321
gauss-mix,8389877778,-1,0,0,-1,-2667577344,6018826240,-1,0,0,-1,190576073213,1777107978051,59232325173321
gauss-mix,8308130918,-1,0,0,-1,-2862612480,3156213760,-1,0,0,-1,198966156086,1777107978051,59232325173321
gauss-mix,7817126078,-1,0,0,-1,7809794048,10966007808,-1,0,0,-1,207274548737,1777107978051,59232325173321
gauss-mix,8368740437,-1,0,0,-1,-3661627392,7304380416,-1,0,0,-1,215091975920,1777107978051,59232325173321
gauss-mix,8233394190,-1,0,0,-1,-2891972608,4412407808,-1,0,0,-1,223460891857,1777107978051,59232325173321
gauss-mix,8080679405,-1,0,0,-1,8107589632,12519997440,-1,0,0,-1,231694466200,1777107978051,59232325173321
gauss-mix,8135153063,-1,0,0,-1,-2273312768,10246684672,-1,0,0,-1,239775401542,1777107978051,59232325173321
gauss-mix,8156694943,-1,0,0,-1,-2474639360,7772045312,-1,0,0,-1,247910787747,1777107978051,59232325173321
gauss-mix,8276284369,-1,0,0,-1,-1524629504,6247415808,-1,0,0,-1,256067656473,1777107978051,59232325173321
gauss-mix,8239196933,-1,0,0,-1,-1568669696,4678746112,-1,0,0,-1,264344119235,1777107978051,59232325173321
gauss-mix,8006888081,-1,0,0,-1,-1927282688,2751463424,-1,0,0,-1,272583720878,1777107978051,59232325173321
gauss-mix,7588145341,-1,0,0,-1,8774483968,11525947392,-1,0,0,-1,280590856539,1777107978051,59232325173321
gauss-mix,8257978365,-1,0,0,-1,-2468347904,9057599488,-1,0,0,-1,288179187563,1777107978051,59232325173321
gauss-mix,8108919885,-1,0,0,-1,-1704984576,7352614912,-1,0,0,-1,296437333051,1777107978051,59232325173321
gauss-mix,8142806623,-1,0,0,-1,-2042626048,5309988864,-1,0,0,-1,304546412355,1777107978051,59232325173321
gauss-mix,8140075168,-1,0,0,-1,-2969567232,2340421632,-1,0,0,-1,312689422317,1777107978051,59232325173321
gauss-mix,7655094048,-1,0,0,-1,8338276352,10678697984,-1,0,0,-1,320829660881,1777107978051,59232325173321
gauss-mix,8088933162,-1,0,0,-1,-2019557376,8659140608,-1,0,0,-1,328484942892,1777107978051,59232325173321
gauss-mix,8410308019,-1,0,0,-1,-1415577600,7243563008,-1,0,0,-1,336574238704,1777107978051,59232325173321
gauss-mix,8034746235,-1,0,0,-1,-1981808640,5261754368,-1,0,0,-1,344984693219,1777107978051,59232325173321
gauss-mix,8326336800,-1,0,0,-1,-1616904192,3644850176,-1,0,0,-1,353019592373,1777107978051,59232325173321
gauss-mix,8042454742,-1,0,0,-1,8753512448,12398362624,-1,0,0,-1,361346069103,1777107978051,59232325173321
gauss-mix,8361172140,-1,0,0,-1,-2418016256,9980346368,-1,0,0,-1,369388697679,1777107978051,59232325173321
gauss-mix,8246731257,-1,0,0,-1,-1658847232,8321499136,-1,0,0,-1,377750024240,1777107978051,59232325173321
gauss-mix,8500697749,-1,0,0,-1,-1732247552,6589251584,-1,0,0,-1,385996921802,1777107978051,59232325173321
gauss-mix,8014150680,-1,0,0,-1,1151336448,7740588032,-1,0,0,-1,394497802441,1777107978051,59232325173321
gauss-mix,8166342608,-1,0,0,-1,-1612709888,6127878144,-1,0,0,-1,402512140103,1777107978051,59232325173321
gauss-mix,8389073836,-1,0,0,-1,-2761949184,3365928960,-1,0,0,-1,410678628863,1777107978051,59232325173321
gauss-mix,8361442193,-1,0,0,-1,-763363328,2602565632,-1,0,0,-1,419067888019,1777107978051,59232325173321
gauss-mix,7843292602,-1,0,0,-1,9269411840,11871977472,-1,0,0,-1,427429519850,1777107978051,59232325173321
gauss-mix,8229711723,-1,0,0,-1,-1526726656,10345250816,-1,0,0,-1,435272946470,1777107978051,59232325173321
gauss-mix,8762105583,-1,0,0,-1,-2615148544,7730102272,-1,0,0,-1,443502809978,1777107978051,59232325173321
gauss-mix,8452632305,-1,0,0,-1,-1751121920,5978980352,-1,0,0,-1,452265089248,1777107978051,59232325173321
gauss-mix,17569385374,-1,0,0,-1,-2638217216,3340763136,-1,0,0,-1,460717912633,1777107978051,59232325173321
gauss-mix,16999679182,-1,0,0,-1,2743074816,6083837952,-1,0,0,-1,478287434173,1777107978051,59232325173321
gauss-mix,10057877869,-1,0,0,-1,-1551892480,4531945472,-1,0,0,-1,495287280736,1777107978051,59232325173321
