[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
NOTE: 'log-regression' benchmark uses Spark local executor with 8 (out of 8) threads.
====== log-regression (apache-spark) [default], iteration 0 started ======
====== log-regression (apache-spark) [default], iteration 0 completed (9774.033 ms) ======
====== log-regression (apache-spark) [default], iteration 1 started ======
====== log-regression (apache-spark) [default], iteration 1 completed (2140.775 ms) ======
====== log-regression (apache-spark) [default], iteration 2 started ======
====== log-regression (apache-spark) [default], iteration 2 completed (1514.315 ms) ======
====== log-regression (apache-spark) [default], iteration 3 started ======
====== log-regression (apache-spark) [default], iteration 3 completed (1794.827 ms) ======
====== log-regression (apache-spark) [default], iteration 4 started ======
====== log-regression (apache-spark) [default], iteration 4 completed (1674.827 ms) ======
====== log-regression (apache-spark) [default], iteration 5 started ======
====== log-regression (apache-spark) [default], iteration 5 completed (1358.069 ms) ======
====== log-regression (apache-spark) [default], iteration 6 started ======
====== log-regression (apache-spark) [default], iteration 6 completed (1399.590 ms) ======
====== log-regression (apache-spark) [default], iteration 7 started ======
====== log-regression (apache-spark) [default], iteration 7 completed (1269.470 ms) ======
====== log-regression (apache-spark) [default], iteration 8 started ======
====== log-regression (apache-spark) [default], iteration 8 completed (1272.879 ms) ======
====== log-regression (apache-spark) [default], iteration 9 started ======
====== log-regression (apache-spark) [default], iteration 9 completed (1358.190 ms) ======
====== log-regression (apache-spark) [default], iteration 10 started ======
====== log-regression (apache-spark) [default], iteration 10 completed (1225.977 ms) ======
====== log-regression (apache-spark) [default], iteration 11 started ======
====== log-regression (apache-spark) [default], iteration 11 completed (1212.449 ms) ======
====== log-regression (apache-spark) [default], iteration 12 started ======
====== log-regression (apache-spark) [default], iteration 12 completed (1607.051 ms) ======
====== log-regression (apache-spark) [default], iteration 13 started ======
====== log-regression (apache-spark) [default], iteration 13 completed (1257.831 ms) ======
====== log-regression (apache-spark) [default], iteration 14 started ======
====== log-regression (apache-spark) [default], iteration 14 completed (1234.765 ms) ======
====== log-regression (apache-spark) [default], iteration 15 started ======
====== log-regression (apache-spark) [default], iteration 15 completed (1184.856 ms) ======
====== log-regression (apache-spark) [default], iteration 16 started ======
====== log-regression (apache-spark) [default], iteration 16 completed (1564.923 ms) ======
====== log-regression (apache-spark) [default], iteration 17 started ======
====== log-regression (apache-spark) [default], iteration 17 completed (1133.090 ms) ======
====== log-regression (apache-spark) [default], iteration 18 started ======
====== log-regression (apache-spark) [default], iteration 18 completed (1174.038 ms) ======
====== log-regression (apache-spark) [default], iteration 19 started ======
====== log-regression (apache-spark) [default], iteration 19 completed (1123.385 ms) ======
====== log-regression (apache-spark) [default], iteration 20 started ======
====== log-regression (apache-spark) [default], iteration 20 completed (1298.184 ms) ======
====== log-regression (apache-spark) [default], iteration 21 started ======
====== log-regression (apache-spark) [default], iteration 21 completed (1161.453 ms) ======
====== log-regression (apache-spark) [default], iteration 22 started ======
====== log-regression (apache-spark) [default], iteration 22 completed (1120.979 ms) ======
====== log-regression (apache-spark) [default], iteration 23 started ======
====== log-regression (apache-spark) [default], iteration 23 completed (1403.000 ms) ======
====== log-regression (apache-spark) [default], iteration 24 started ======
====== log-regression (apache-spark) [default], iteration 24 completed (1239.006 ms) ======
====== log-regression (apache-spark) [default], iteration 25 started ======
====== log-regression (apache-spark) [default], iteration 25 completed (1222.741 ms) ======
====== log-regression (apache-spark) [default], iteration 26 started ======
====== log-regression (apache-spark) [default], iteration 26 completed (1297.898 ms) ======
====== log-regression (apache-spark) [default], iteration 27 started ======
====== log-regression (apache-spark) [default], iteration 27 completed (1152.922 ms) ======
====== log-regression (apache-spark) [default], iteration 28 started ======
====== log-regression (apache-spark) [default], iteration 28 completed (1147.181 ms) ======
====== log-regression (apache-spark) [default], iteration 29 started ======
====== log-regression (apache-spark) [default], iteration 29 completed (1314.754 ms) ======
====== log-regression (apache-spark) [default], iteration 30 started ======
====== log-regression (apache-spark) [default], iteration 30 completed (1611.826 ms) ======
====== log-regression (apache-spark) [default], iteration 31 started ======
====== log-regression (apache-spark) [default], iteration 31 completed (1783.161 ms) ======
====== log-regression (apache-spark) [default], iteration 32 started ======
====== log-regression (apache-spark) [default], iteration 32 completed (1194.529 ms) ======
====== log-regression (apache-spark) [default], iteration 33 started ======
====== log-regression (apache-spark) [default], iteration 33 completed (1073.657 ms) ======
====== log-regression (apache-spark) [default], iteration 34 started ======
====== log-regression (apache-spark) [default], iteration 34 completed (1045.285 ms) ======
====== log-regression (apache-spark) [default], iteration 35 started ======
====== log-regression (apache-spark) [default], iteration 35 completed (1141.273 ms) ======
====== log-regression (apache-spark) [default], iteration 36 started ======
====== log-regression (apache-spark) [default], iteration 36 completed (1071.451 ms) ======
====== log-regression (apache-spark) [default], iteration 37 started ======
====== log-regression (apache-spark) [default], iteration 37 completed (1120.205 ms) ======
====== log-regression (apache-spark) [default], iteration 38 started ======
====== log-regression (apache-spark) [default], iteration 38 completed (1060.071 ms) ======
====== log-regression (apache-spark) [default], iteration 39 started ======
====== log-regression (apache-spark) [default], iteration 39 completed (1019.881 ms) ======
====== log-regression (apache-spark) [default], iteration 40 started ======
====== log-regression (apache-spark) [default], iteration 40 completed (1015.938 ms) ======
====== log-regression (apache-spark) [default], iteration 41 started ======
====== log-regression (apache-spark) [default], iteration 41 completed (1240.690 ms) ======
====== log-regression (apache-spark) [default], iteration 42 started ======
====== log-regression (apache-spark) [default], iteration 42 completed (1077.421 ms) ======
====== log-regression (apache-spark) [default], iteration 43 started ======
====== log-regression (apache-spark) [default], iteration 43 completed (1066.361 ms) ======
====== log-regression (apache-spark) [default], iteration 44 started ======
====== log-regression (apache-spark) [default], iteration 44 completed (1211.836 ms) ======
====== log-regression (apache-spark) [default], iteration 45 started ======
====== log-regression (apache-spark) [default], iteration 45 completed (1050.676 ms) ======
====== log-regression (apache-spark) [default], iteration 46 started ======
====== log-regression (apache-spark) [default], iteration 46 completed (1016.436 ms) ======
====== log-regression (apache-spark) [default], iteration 47 started ======
====== log-regression (apache-spark) [default], iteration 47 completed (1239.998 ms) ======
====== log-regression (apache-spark) [default], iteration 48 started ======
====== log-regression (apache-spark) [default], iteration 48 completed (1046.622 ms) ======
====== log-regression (apache-spark) [default], iteration 49 started ======
====== log-regression (apache-spark) [default], iteration 49 completed (1029.264 ms) ======
====== log-regression (apache-spark) [default], iteration 50 started ======
====== log-regression (apache-spark) [default], iteration 50 completed (1251.167 ms) ======
====== log-regression (apache-spark) [default], iteration 51 started ======
====== log-regression (apache-spark) [default], iteration 51 completed (1008.688 ms) ======
====== log-regression (apache-spark) [default], iteration 52 started ======
====== log-regression (apache-spark) [default], iteration 52 completed (1033.282 ms) ======
====== log-regression (apache-spark) [default], iteration 53 started ======
====== log-regression (apache-spark) [default], iteration 53 completed (1223.612 ms) ======
====== log-regression (apache-spark) [default], iteration 54 started ======
====== log-regression (apache-spark) [default], iteration 54 completed (1015.890 ms) ======
====== log-regression (apache-spark) [default], iteration 55 started ======
====== log-regression (apache-spark) [default], iteration 55 completed (1022.807 ms) ======
====== log-regression (apache-spark) [default], iteration 56 started ======
====== log-regression (apache-spark) [default], iteration 56 completed (1172.053 ms) ======
====== log-regression (apache-spark) [default], iteration 57 started ======
====== log-regression (apache-spark) [default], iteration 57 completed (1048.856 ms) ======
====== log-regression (apache-spark) [default], iteration 58 started ======
====== log-regression (apache-spark) [default], iteration 58 completed (1021.462 ms) ======
====== log-regression (apache-spark) [default], iteration 59 started ======
====== log-regression (apache-spark) [default], iteration 59 completed (1153.479 ms) ======
====== log-regression (apache-spark) [default], iteration 60 started ======
====== log-regression (apache-spark) [default], iteration 60 completed (1160.566 ms) ======
====== log-regression (apache-spark) [default], iteration 61 started ======
====== log-regression (apache-spark) [default], iteration 61 completed (1007.021 ms) ======
====== log-regression (apache-spark) [default], iteration 62 started ======
====== log-regression (apache-spark) [default], iteration 62 completed (1215.204 ms) ======
====== log-regression (apache-spark) [default], iteration 63 started ======
====== log-regression (apache-spark) [default], iteration 63 completed (1051.229 ms) ======
====== log-regression (apache-spark) [default], iteration 64 started ======
====== log-regression (apache-spark) [default], iteration 64 completed (1030.973 ms) ======
====== log-regression (apache-spark) [default], iteration 65 started ======
====== log-regression (apache-spark) [default], iteration 65 completed (1295.742 ms) ======
====== log-regression (apache-spark) [default], iteration 66 started ======
====== log-regression (apache-spark) [default], iteration 66 completed (1000.250 ms) ======
====== log-regression (apache-spark) [default], iteration 67 started ======
====== log-regression (apache-spark) [default], iteration 67 completed (1091.288 ms) ======
====== log-regression (apache-spark) [default], iteration 68 started ======
====== log-regression (apache-spark) [default], iteration 68 completed (1284.102 ms) ======
====== log-regression (apache-spark) [default], iteration 69 started ======
====== log-regression (apache-spark) [default], iteration 69 completed (1035.671 ms) ======
====== log-regression (apache-spark) [default], iteration 70 started ======
====== log-regression (apache-spark) [default], iteration 70 completed (1017.666 ms) ======
====== log-regression (apache-spark) [default], iteration 71 started ======
====== log-regression (apache-spark) [default], iteration 71 completed (1207.528 ms) ======
====== log-regression (apache-spark) [default], iteration 72 started ======
====== log-regression (apache-spark) [default], iteration 72 completed (1013.746 ms) ======
====== log-regression (apache-spark) [default], iteration 73 started ======
====== log-regression (apache-spark) [default], iteration 73 completed (1038.899 ms) ======
====== log-regression (apache-spark) [default], iteration 74 started ======
====== log-regression (apache-spark) [default], iteration 74 completed (1190.788 ms) ======
====== log-regression (apache-spark) [default], iteration 75 started ======
====== log-regression (apache-spark) [default], iteration 75 completed (1035.674 ms) ======
====== log-regression (apache-spark) [default], iteration 76 started ======
====== log-regression (apache-spark) [default], iteration 76 completed (1028.432 ms) ======
====== log-regression (apache-spark) [default], iteration 77 started ======
====== log-regression (apache-spark) [default], iteration 77 completed (1246.855 ms) ======
====== log-regression (apache-spark) [default], iteration 78 started ======
====== log-regression (apache-spark) [default], iteration 78 completed (1004.381 ms) ======
====== log-regression (apache-spark) [default], iteration 79 started ======
====== log-regression (apache-spark) [default], iteration 79 completed (1009.727 ms) ======
====== log-regression (apache-spark) [default], iteration 80 started ======
====== log-regression (apache-spark) [default], iteration 80 completed (1218.464 ms) ======
====== log-regression (apache-spark) [default], iteration 81 started ======
====== log-regression (apache-spark) [default], iteration 81 completed (1026.182 ms) ======
====== log-regression (apache-spark) [default], iteration 82 started ======
====== log-regression (apache-spark) [default], iteration 82 completed (1018.534 ms) ======
====== log-regression (apache-spark) [default], iteration 83 started ======
====== log-regression (apache-spark) [default], iteration 83 completed (1202.834 ms) ======
====== log-regression (apache-spark) [default], iteration 84 started ======
====== log-regression (apache-spark) [default], iteration 84 completed (1004.575 ms) ======
====== log-regression (apache-spark) [default], iteration 85 started ======
====== log-regression (apache-spark) [default], iteration 85 completed (1000.687 ms) ======
