benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
mnemonics,5133621299,-1,0,0,-1,4120903680,4378853376,-1,0,0,-1,838497049,1777108599368,59853642173329
mnemonics,5128151079,-1,0,0,-1,3992977408,8464105472,-1,0,0,-1,6325652415,1777108599368,59853642173329
mnemonics,4524603617,-1,0,0,-1,-1923088384,6593445888,-1,0,0,-1,11774372760,1777108599368,59853642173329
mnemonics,5347862183,-1,0,0,-1,9097445376,15776874496,-1,0,0,-1,16594904206,1777108599368,59853642173329
mnemonics,3577771363,-1,0,0,-1,-6949961728,8879341568,-1,0,0,-1,22258876422,1777108599368,59853642173329
mnemonics,3620280985,-1,0,0,-1,-7092568064,1841299456,-1,0,0,-1,26129641945,1777108599368,59853642173329
mnemonics,3519328655,-1,0,0,-1,1744830464,3638558720,-1,0,0,-1,30045092389,1777108599368,59853642173329
mnemonics,3443365936,-1,0,0,-1,9095348224,12788432896,-1,0,0,-1,33863529277,1777108599368,59853642173329
mnemonics,3476690072,-1,0,0,-1,-7134511104,5739905024,-1,0,0,-1,37596285857,1777108599368,59853642173329
mnemonics,3444382713,-1,0,0,-1,9095348224,14921236480,-1,0,0,-1,41366258164,1777108599368,59853642173329
mnemonics,3474221132,-1,0,0,-1,-6228541440,8747220992,-1,0,0,-1,45099780208,1777108599368,59853642173329
mnemonics,3506897464,-1,0,0,-1,-7111442432,1690304512,-1,0,0,-1,48867283240,1777108599368,59853642173329
mnemonics,3440406712,-1,0,0,-1,9097445376,10840178688,-1,0,0,-1,52670120920,1777108599368,59853642173329
mnemonics,3475619382,-1,0,0,-1,-5765070848,5161091072,-1,0,0,-1,56401220781,1777108599368,59853642173329
mnemonics,3441455589,-1,0,0,-1,9095348224,14346616832,-1,0,0,-1,60172168632,1777108599368,59853642173329
mnemonics,3473223596,-1,0,0,-1,-7138705408,7260340224,-1,0,0,-1,63902158545,1777108599368,59853642173329
mnemonics,3485858344,-1,0,0,-1,878706688,8225030144,-1,0,0,-1,67670426824,1777108599368,59853642173329
mnemonics,3500445736,-1,0,0,-1,-7119831040,1157627904,-1,0,0,-1,71450484844,1777108599368,59853642173329
mnemonics,3431498380,-1,0,0,-1,9095348224,10305404928,-1,0,0,-1,75243171421,1777108599368,59853642173329
mnemonics,3525975930,-1,0,0,-1,-8795455488,1598029824,-1,0,0,-1,78962692463,1777108599368,59853642173329
mnemonics,3435149235,-1,0,0,-1,9095348224,10747904000,-1,0,0,-1,82779504840,1777108599368,59853642173329
mnemonics,3469173476,-1,0,0,-1,-7103053824,3730833408,-1,0,0,-1,86504317699,1777108599368,59853642173329
mnemonics,3438682228,-1,0,0,-1,9095348224,12878610432,-1,0,0,-1,90266227403,1777108599368,59853642173329
mnemonics,3435781362,-1,0,0,-1,9095348224,9261023232,-1,0,0,-1,94026159360,1777108599368,59853642173329
mnemonics,3485676707,-1,0,0,-1,-6828326912,2487222272,-1,0,0,-1,97750290023,1777108599368,59853642173329
mnemonics,3445216933,-1,0,0,-1,9095348224,11637096448,-1,0,0,-1,101535865820,1777108599368,59853642173329
mnemonics,3474893940,-1,0,0,-1,-3873439744,7849639936,-1,0,0,-1,105272748628,1777108599368,59853642173329
mnemonics,3491429786,-1,0,0,-1,-7113539584,790626304,-1,0,0,-1,109036646223,1777108599368,59853642173329
mnemonics,3437581645,-1,0,0,-1,9095348224,9940500480,-1,0,0,-1,112819585613,1777108599368,59853642173329
mnemonics,3485233438,-1,0,0,-1,-5138022400,4888461312,-1,0,0,-1,116545511005,1777108599368,59853642173329
mnemonics,3437910521,-1,0,0,-1,9095348224,14071889920,-1,0,0,-1,120324970090,1777108599368,59853642173329
mnemonics,3536244915,-1,0,0,-1,-13121880064,1002438656,-1,0,0,-1,124051251874,1777108599368,59853642173329
mnemonics,3439580422,-1,0,0,-1,9095348224,10152312832,-1,0,0,-1,127887006003,1777108599368,59853642173329
mnemonics,3492413409,-1,0,0,-1,-7119831040,3118465024,-1,0,0,-1,131614685409,1777108599368,59853642173329
mnemonics,3487029323,-1,0,0,-1,-1656750080,1516240896,-1,0,0,-1,135401841036,1777108599368,59853642173329
mnemonics,3436127351,-1,0,0,-1,9097445376,10666115072,-1,0,0,-1,139182469580,1777108599368,59853642173329
mnemonics,3480145350,-1,0,0,-1,-7130316800,3621781504,-1,0,0,-1,142907305572,1777108599368,59853642173329
mnemonics,3479263018,-1,0,0,-1,1681915904,5356126208,-1,0,0,-1,146683169895,1777108599368,59853642173329
mnemonics,3435847606,-1,0,0,-1,9095348224,14537457664,-1,0,0,-1,150455972858,1777108599368,59853642173329
mnemonics,3513443839,-1,0,0,-1,-12505317376,2086666240,-1,0,0,-1,154179621520,1777108599368,59853642173329
mnemonics,3438653642,-1,0,0,-1,9095348224,11234443264,-1,0,0,-1,157988580244,1777108599368,59853642173329
mnemonics,3495915105,-1,0,0,-1,-7144996864,4177526784,-1,0,0,-1,161713771912,1777108599368,59853642173329
mnemonics,3492451477,-1,0,0,-1,-1868562432,2394947584,-1,0,0,-1,165506502222,1777108599368,59853642173329
mnemonics,3440070688,-1,0,0,-1,9095348224,11542724608,-1,0,0,-1,169291494693,1777108599368,59853642173329
mnemonics,3511697743,-1,0,0,-1,-7142899712,4487905280,-1,0,0,-1,173019849486,1777108599368,59853642173329
mnemonics,3479347694,-1,0,0,-1,111149056,4685037568,-1,0,0,-1,176823475121,1777108599368,59853642173329
mnemonics,3437024821,-1,0,0,-1,9095348224,13866369024,-1,0,0,-1,180598339914,1777108599368,59853642173329
mnemonics,3524107837,-1,0,0,-1,-12465471488,1455423488,-1,0,0,-1,184323592714,1777108599368,59853642173329
mnemonics,3447350187,-1,0,0,-1,9095348224,10603200512,-1,0,0,-1,188140452310,1777108599368,59853642173329
mnemonics,3473073036,-1,0,0,-1,-7130316800,3560964096,-1,0,0,-1,191875313768,1777108599368,59853642173329
mnemonics,3487150110,-1,0,0,-1,826277888,4439670784,-1,0,0,-1,195643015322,1777108599368,59853642173329
mnemonics,3444001320,-1,0,0,-1,9095348224,13623099392,-1,0,0,-1,199421350089,1777108599368,59853642173329
mnemonics,3514508453,-1,0,0,-1,-12475957248,1199570944,-1,0,0,-1,203151560522,1777108599368,59853642173329
mnemonics,3433408503,-1,0,0,-1,9095348224,10347347968,-1,0,0,-1,206959821328,1777108599368,59853642173329
mnemonics,3473039202,-1,0,0,-1,-7132413952,3303014400,-1,0,0,-1,210681301878,1777108599368,59853642173329
mnemonics,3482658716,-1,0,0,-1,1484783616,4840226816,-1,0,0,-1,214446467486,1777108599368,59853642173329
mnemonics,3437379858,-1,0,0,-1,9095348224,14021558272,-1,0,0,-1,218222632502,1777108599368,59853642173329
mnemonics,3505166736,-1,0,0,-1,-11666456576,2409627648,-1,0,0,-1,221946322455,1777108599368,59853642173329
mnemonics,3442566226,-1,0,0,-1,9095348224,11559501824,-1,0,0,-1,225744535764,1777108599368,59853642173329
mnemonics,3493230791,-1,0,0,-1,-7136608256,4508876800,-1,0,0,-1,229475560474,1777108599368,59853642173329
mnemonics,3497120796,-1,0,0,-1,2128609280,6723469312,-1,0,0,-1,233259729688,1777108599368,59853642173329
mnemonics,3447101971,-1,0,0,-1,9099542528,15908995072,-1,0,0,-1,237052215596,1777108599368,59853642173329
mnemonics,3477725331,-1,0,0,-1,-7126122496,8835301376,-1,0,0,-1,240787130302,1777108599368,59853642173329
mnemonics,3456818543,-1,0,0,-1,9095348224,9273606144,-1,0,0,-1,244587311026,1777108599368,59853642173329
mnemonics,3482738727,-1,0,0,-1,-6689914880,2636120064,-1,0,0,-1,248331698184,1777108599368,59853642173329
mnemonics,3444264094,-1,0,0,-1,9095348224,11785994240,-1,0,0,-1,252105551785,1777108599368,59853642173329
mnemonics,3521536031,-1,0,0,-1,-8747220992,3124756480,-1,0,0,-1,255835952525,1777108599368,59853642173329
mnemonics,3448006082,-1,0,0,-1,9095348224,12274630656,-1,0,0,-1,259652760619,1777108599368,59853642173329
mnemonics,3480059676,-1,0,0,-1,-7113539584,5247074304,-1,0,0,-1,263389199936,1777108599368,59853642173329
mnemonics,3511656737,-1,0,0,-1,-3298820096,2036334592,-1,0,0,-1,267159656218,1777108599368,59853642173329
mnemonics,3440608764,-1,0,0,-1,9095348224,11184111616,-1,0,0,-1,270966493463,1777108599368,59853642173329
