[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== mnemonics (functional) [default], iteration 0 started ======
====== mnemonics (functional) [default], iteration 0 completed (5133.621 ms) ======
====== mnemonics (functional) [default], iteration 1 started ======
====== mnemonics (functional) [default], iteration 1 completed (5128.151 ms) ======
====== mnemonics (functional) [default], iteration 2 started ======
====== mnemonics (functional) [default], iteration 2 completed (4524.604 ms) ======
====== mnemonics (functional) [default], iteration 3 started ======
====== mnemonics (functional) [default], iteration 3 completed (5347.862 ms) ======
====== mnemonics (functional) [default], iteration 4 started ======
====== mnemonics (functional) [default], iteration 4 completed (3577.771 ms) ======
====== mnemonics (functional) [default], iteration 5 started ======
====== mnemonics (functional) [default], iteration 5 completed (3620.281 ms) ======
====== mnemonics (functional) [default], iteration 6 started ======
====== mnemonics (functional) [default], iteration 6 completed (3519.329 ms) ======
====== mnemonics (functional) [default], iteration 7 started ======
====== mnemonics (functional) [default], iteration 7 completed (3443.366 ms) ======
====== mnemonics (functional) [default], iteration 8 started ======
====== mnemonics (functional) [default], iteration 8 completed (3476.690 ms) ======
====== mnemonics (functional) [default], iteration 9 started ======
====== mnemonics (functional) [default], iteration 9 completed (3444.383 ms) ======
====== mnemonics (functional) [default], iteration 10 started ======
====== mnemonics (functional) [default], iteration 10 completed (3474.221 ms) ======
====== mnemonics (functional) [default], iteration 11 started ======
====== mnemonics (functional) [default], iteration 11 completed (3506.897 ms) ======
====== mnemonics (functional) [default], iteration 12 started ======
====== mnemonics (functional) [default], iteration 12 completed (3440.407 ms) ======
====== mnemonics (functional) [default], iteration 13 started ======
====== mnemonics (functional) [default], iteration 13 completed (3475.619 ms) ======
====== mnemonics (functional) [default], iteration 14 started ======
====== mnemonics (functional) [default], iteration 14 completed (3441.456 ms) ======
====== mnemonics (functional) [default], iteration 15 started ======
====== mnemonics (functional) [default], iteration 15 completed (3473.224 ms) ======
====== mnemonics (functional) [default], iteration 16 started ======
====== mnemonics (functional) [default], iteration 16 completed (3485.858 ms) ======
====== mnemonics (functional) [default], iteration 17 started ======
====== mnemonics (functional) [default], iteration 17 completed (3500.446 ms) ======
====== mnemonics (functional) [default], iteration 18 started ======
====== mnemonics (functional) [default], iteration 18 completed (3431.498 ms) ======
====== mnemonics (functional) [default], iteration 19 started ======
====== mnemonics (functional) [default], iteration 19 completed (3525.976 ms) ======
====== mnemonics (functional) [default], iteration 20 started ======
====== mnemonics (functional) [default], iteration 20 completed (3435.149 ms) ======
====== mnemonics (functional) [default], iteration 21 started ======
====== mnemonics (functional) [default], iteration 21 completed (3469.173 ms) ======
====== mnemonics (functional) [default], iteration 22 started ======
====== mnemonics (functional) [default], iteration 22 completed (3438.682 ms) ======
====== mnemonics (functional) [default], iteration 23 started ======
====== mnemonics (functional) [default], iteration 23 completed (3435.781 ms) ======
====== mnemonics (functional) [default], iteration 24 started ======
====== mnemonics (functional) [default], iteration 24 completed (3485.677 ms) ======
====== mnemonics (functional) [default], iteration 25 started ======
====== mnemonics (functional) [default], iteration 25 completed (3445.217 ms) ======
====== mnemonics (functional) [default], iteration 26 started ======
====== mnemonics (functional) [default], iteration 26 completed (3474.894 ms) ======
====== mnemonics (functional) [default], iteration 27 started ======
====== mnemonics (functional) [default], iteration 27 completed (3491.430 ms) ======
====== mnemonics (functional) [default], iteration 28 started ======
====== mnemonics (functional) [default], iteration 28 completed (3437.582 ms) ======
====== mnemonics (functional) [default], iteration 29 started ======
====== mnemonics (functional) [default], iteration 29 completed (3485.233 ms) ======
====== mnemonics (functional) [default], iteration 30 started ======
====== mnemonics (functional) [default], iteration 30 completed (3437.911 ms) ======
====== mnemonics (functional) [default], iteration 31 started ======
====== mnemonics (functional) [default], iteration 31 completed (3536.245 ms) ======
====== mnemonics (functional) [default], iteration 32 started ======
====== mnemonics (functional) [default], iteration 32 completed (3439.580 ms) ======
====== mnemonics (functional) [default], iteration 33 started ======
====== mnemonics (functional) [default], iteration 33 completed (3492.413 ms) ======
====== mnemonics (functional) [default], iteration 34 started ======
====== mnemonics (functional) [default], iteration 34 completed (3487.029 ms) ======
====== mnemonics (functional) [default], iteration 35 started ======
====== mnemonics (functional) [default], iteration 35 completed (3436.127 ms) ======
====== mnemonics (functional) [default], iteration 36 started ======
====== mnemonics (functional) [default], iteration 36 completed (3480.145 ms) ======
====== mnemonics (functional) [default], iteration 37 started ======
====== mnemonics (functional) [default], iteration 37 completed (3479.263 ms) ======
====== mnemonics (functional) [default], iteration 38 started ======
====== mnemonics (functional) [default], iteration 38 completed (3435.848 ms) ======
====== mnemonics (functional) [default], iteration 39 started ======
====== mnemonics (functional) [default], iteration 39 completed (3513.444 ms) ======
====== mnemonics (functional) [default], iteration 40 started ======
====== mnemonics (functional) [default], iteration 40 completed (3438.654 ms) ======
====== mnemonics (functional) [default], iteration 41 started ======
====== mnemonics (functional) [default], iteration 41 completed (3495.915 ms) ======
====== mnemonics (functional) [default], iteration 42 started ======
====== mnemonics (functional) [default], iteration 42 completed (3492.451 ms) ======
====== mnemonics (functional) [default], iteration 43 started ======
====== mnemonics (functional) [default], iteration 43 completed (3440.071 ms) ======
====== mnemonics (functional) [default], iteration 44 started ======
====== mnemonics (functional) [default], iteration 44 completed (3511.698 ms) ======
====== mnemonics (functional) [default], iteration 45 started ======
====== mnemonics (functional) [default], iteration 45 completed (3479.348 ms) ======
====== mnemonics (functional) [default], iteration 46 started ======
====== mnemonics (functional) [default], iteration 46 completed (3437.025 ms) ======
====== mnemonics (functional) [default], iteration 47 started ======
====== mnemonics (functional) [default], iteration 47 completed (3524.108 ms) ======
====== mnemonics (functional) [default], iteration 48 started ======
====== mnemonics (functional) [default], iteration 48 completed (3447.350 ms) ======
====== mnemonics (functional) [default], iteration 49 started ======
====== mnemonics (functional) [default], iteration 49 completed (3473.073 ms) ======
====== mnemonics (functional) [default], iteration 50 started ======
====== mnemonics (functional) [default], iteration 50 completed (3487.150 ms) ======
====== mnemonics (functional) [default], iteration 51 started ======
