benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
movie-lens,19897979658,-1,0,0,-1,2518679552,3699376128,-1,0,0,-1,13757497493,1777097456241,48710515173310
movie-lens,13145148605,-1,0,0,-1,7618953216,10815012864,-1,0,0,-1,33658173222,1777097456241,48710515173310
movie-lens,13438524264,-1,0,0,-1,-369098752,10445914112,-1,0,0,-1,46803525654,1777097456241,48710515173310
movie-lens,12317949824,-1,0,0,-1,-6010437632,4435476480,-1,0,0,-1,60242299770,1777097456241,48710515173310
movie-lens,12239061386,-1,0,0,-1,2332033024,6767509504,-1,0,0,-1,72560533170,1777097456241,48710515173310
movie-lens,12250787963,-1,0,0,-1,4504682496,11272192000,-1,0,0,-1,84799780022,1777097456241,48710515173310
movie-lens,12248579727,-1,0,0,-1,-941621248,10330570752,-1,0,0,-1,97050923095,1777097456241,48710515173310
movie-lens,12920975564,-1,0,0,-1,-4974444544,5356126208,-1,0,0,-1,109299668133,1777097456241,48710515173310
movie-lens,16389765279,-1,0,0,-1,5119148032,10475274240,-1,0,0,-1,122220836663,1777097456241,48710515173310
movie-lens,12186745036,-1,0,0,-1,-5257560064,5217714176,-1,0,0,-1,138610951337,1777097456241,48710515173310
movie-lens,11922790831,-1,0,0,-1,-1147142144,4070572032,-1,0,0,-1,150797892211,1777097456241,48710515173310
movie-lens,12091431653,-1,0,0,-1,3519021056,7589593088,-1,0,0,-1,162720872965,1777097456241,48710515173310
movie-lens,12284424003,-1,0,0,-1,-3051356160,4538236928,-1,0,0,-1,174812565746,1777097456241,48710515173310
movie-lens,11945858426,-1,0,0,-1,2470445056,7008681984,-1,0,0,-1,187097231058,1777097456241,48710515173310
movie-lens,12085863269,-1,0,0,-1,-29360128,6979321856,-1,0,0,-1,199043244489,1777097456241,48710515173310
movie-lens,12073090261,-1,0,0,-1,3898605568,10877927424,-1,0,0,-1,211129301135,1777097456241,48710515173310
movie-lens,11805707304,-1,0,0,-1,-2634022912,8243904512,-1,0,0,-1,223202536394,1777097456241,48710515173310
movie-lens,12124222587,-1,0,0,-1,-3030384640,5213519872,-1,0,0,-1,235008464830,1777097456241,48710515173310
movie-lens,11922187041,-1,0,0,-1,-1207959552,3972005888,-1,0,0,-1,247132938328,1777097456241,48710515173310
movie-lens,11958072841,-1,0,0,-1,1289748480,5261754368,-1,0,0,-1,259055242532,1777097456241,48710515173310
movie-lens,11826200458,-1,0,0,-1,2774532096,8036286464,-1,0,0,-1,271013432480,1777097456241,48710515173310
movie-lens,12011565914,-1,0,0,-1,-1237319680,6798966784,-1,0,0,-1,282839813606,1777097456241,48710515173310
movie-lens,12216451894,-1,0,0,-1,3344957440,10143924224,-1,0,0,-1,294851491863,1777097456241,48710515173310
movie-lens,12082545556,-1,0,0,-1,-627048448,9516875776,-1,0,0,-1,307068104580,1777097456241,48710515173310
movie-lens,12123551404,-1,0,0,-1,-1749024768,7767851008,-1,0,0,-1,319150758575,1777097456241,48710515173310
movie-lens,12015989540,-1,0,0,-1,-2199912448,5567938560,-1,0,0,-1,331274413783,1777097456241,48710515173310
movie-lens,11989484845,-1,0,0,-1,5393874944,10961813504,-1,0,0,-1,343290543376,1777097456241,48710515173310
movie-lens,15348403950,-1,0,0,-1,-4840226816,6121586688,-1,0,0,-1,355280162738,1777097456241,48710515173310
movie-lens,18767668368,-1,0,0,-1,866123776,6987710464,-1,0,0,-1,370628728155,1777097456241,48710515173310
movie-lens,14975628993,-1,0,0,-1,-52428800,6935281664,-1,0,0,-1,389396537078,1777097456241,48710515173310
movie-lens,14916122679,-1,0,0,-1,1004535808,7939817472,-1,0,0,-1,404372309094,1777097456241,48710515173310
movie-lens,14790214744,-1,0,0,-1,713031680,8652849152,-1,0,0,-1,419288631053,1777097456241,48710515173310
movie-lens,14661681513,-1,0,0,-1,629145600,9281994752,-1,0,0,-1,434078973105,1777097456241,48710515173310
movie-lens,13268172952,-1,0,0,-1,2690646016,11972640768,-1,0,0,-1,448740777778,1777097456241,48710515173310
movie-lens,11942516108,-1,0,0,-1,-3510632448,8462008320,-1,0,0,-1,462009046934,1777097456241,48710515173310
movie-lens,12059534747,-1,0,0,-1,1631584256,10093592576,-1,0,0,-1,473951711040,1777097456241,48710515173310
movie-lens,11741412694,-1,0,0,-1,-4867489792,5226102784,-1,0,0,-1,486011321796,1777097456241,48710515173310
movie-lens,12152291173,-1,0,0,-1,71303168,5297405952,-1,0,0,-1,497752862676,1777097456241,48710515173310
movie-lens,11836713862,-1,0,0,-1,6301941760,11599347712,-1,0,0,-1,509905305644,1777097456241,48710515173310
movie-lens,11924988543,-1,0,0,-1,-2151677952,9447669760,-1,0,0,-1,521742103385,1777097456241,48710515173310
movie-lens,12064492625,-1,0,0,-1,-4196401152,5251268608,-1,0,0,-1,533667222800,1777097456241,48710515173310
movie-lens,12038314713,-1,0,0,-1,6132072448,11383341056,-1,0,0,-1,545731863873,1777097456241,48710515173310
movie-lens,11895973572,-1,0,0,-1,-1778384896,9604956160,-1,0,0,-1,557770269922,1777097456241,48710515173310
movie-lens,12041837091,-1,0,0,-1,-402653184,9202302976,-1,0,0,-1,569666361194,1777097456241,48710515173310
movie-lens,12023562389,-1,0,0,-1,-1241513984,7960788992,-1,0,0,-1,581708327031,1777097456241,48710515173310
movie-lens,12035674630,-1,0,0,-1,-33554432,7927234560,-1,0,0,-1,593732006282,1777097456241,48710515173310
movie-lens,11938544143,-1,0,0,-1,383778816,8311013376,-1,0,0,-1,605767794734,1777097456241,48710515173310
movie-lens,12006480410,-1,0,0,-1,778043392,9089056768,-1,0,0,-1,617706450876,1777097456241,48710515173310
