>>> Starting benchmark: naive-bayes
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/naive-bayes
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
NOTE: 'naive-bayes' benchmark uses Spark local executor with 8 (out of 8) threads.
====== naive-bayes (apache-spark) [default], iteration 0 started ======
====== naive-bayes (apache-spark) [default], iteration 0 completed (18921.180 ms) ======
====== naive-bayes (apache-spark) [default], iteration 1 started ======
====== naive-bayes (apache-spark) [default], iteration 1 completed (2094.544 ms) ======
====== naive-bayes (apache-spark) [default], iteration 2 started ======
====== naive-bayes (apache-spark) [default], iteration 2 completed (1842.154 ms) ======
====== naive-bayes (apache-spark) [default], iteration 3 started ======
====== naive-bayes (apache-spark) [default], iteration 3 completed (1845.865 ms) ======
====== naive-bayes (apache-spark) [default], iteration 4 started ======
====== naive-bayes (apache-spark) [default], iteration 4 completed (1857.553 ms) ======
====== naive-bayes (apache-spark) [default], iteration 5 started ======
====== naive-bayes (apache-spark) [default], iteration 5 completed (1698.708 ms) ======
====== naive-bayes (apache-spark) [default], iteration 6 started ======
====== naive-bayes (apache-spark) [default], iteration 6 completed (1671.433 ms) ======
====== naive-bayes (apache-spark) [default], iteration 7 started ======
====== naive-bayes (apache-spark) [default], iteration 7 completed (1767.690 ms) ======
====== naive-bayes (apache-spark) [default], iteration 8 started ======
====== naive-bayes (apache-spark) [default], iteration 8 completed (1970.975 ms) ======
====== naive-bayes (apache-spark) [default], iteration 9 started ======
====== naive-bayes (apache-spark) [default], iteration 9 completed (2187.036 ms) ======
====== naive-bayes (apache-spark) [default], iteration 10 started ======
====== naive-bayes (apache-spark) [default], iteration 10 completed (1829.949 ms) ======
====== naive-bayes (apache-spark) [default], iteration 11 started ======
====== naive-bayes (apache-spark) [default], iteration 11 completed (2026.070 ms) ======
====== naive-bayes (apache-spark) [default], iteration 12 started ======
====== naive-bayes (apache-spark) [default], iteration 12 completed (1853.228 ms) ======
====== naive-bayes (apache-spark) [default], iteration 13 started ======
====== naive-bayes (apache-spark) [default], iteration 13 completed (1685.706 ms) ======
====== naive-bayes (apache-spark) [default], iteration 14 started ======
====== naive-bayes (apache-spark) [default], iteration 14 completed (1559.780 ms) ======
====== naive-bayes (apache-spark) [default], iteration 15 started ======
====== naive-bayes (apache-spark) [default], iteration 15 completed (1779.496 ms) ======
====== naive-bayes (apache-spark) [default], iteration 16 started ======
====== naive-bayes (apache-spark) [default], iteration 16 completed (1650.650 ms) ======
====== naive-bayes (apache-spark) [default], iteration 17 started ======
====== naive-bayes (apache-spark) [default], iteration 17 completed (1711.186 ms) ======
====== naive-bayes (apache-spark) [default], iteration 18 started ======
====== naive-bayes (apache-spark) [default], iteration 18 completed (1616.174 ms) ======
====== naive-bayes (apache-spark) [default], iteration 19 started ======
====== naive-bayes (apache-spark) [default], iteration 19 completed (1980.279 ms) ======
====== naive-bayes (apache-spark) [default], iteration 20 started ======
====== naive-bayes (apache-spark) [default], iteration 20 completed (1826.771 ms) ======
====== naive-bayes (apache-spark) [default], iteration 21 started ======
====== naive-bayes (apache-spark) [default], iteration 21 completed (1871.646 ms) ======
====== naive-bayes (apache-spark) [default], iteration 22 started ======
====== naive-bayes (apache-spark) [default], iteration 22 completed (1800.549 ms) ======
====== naive-bayes (apache-spark) [default], iteration 23 started ======
====== naive-bayes (apache-spark) [default], iteration 23 completed (1677.239 ms) ======
====== naive-bayes (apache-spark) [default], iteration 24 started ======
====== naive-bayes (apache-spark) [default], iteration 24 completed (1701.568 ms) ======
====== naive-bayes (apache-spark) [default], iteration 25 started ======
====== naive-bayes (apache-spark) [default], iteration 25 completed (2005.037 ms) ======
====== naive-bayes (apache-spark) [default], iteration 26 started ======
====== naive-bayes (apache-spark) [default], iteration 26 completed (1809.862 ms) ======
====== naive-bayes (apache-spark) [default], iteration 27 started ======
====== naive-bayes (apache-spark) [default], iteration 27 completed (1858.532 ms) ======
====== naive-bayes (apache-spark) [default], iteration 28 started ======
====== naive-bayes (apache-spark) [default], iteration 28 completed (1825.232 ms) ======
====== naive-bayes (apache-spark) [default], iteration 29 started ======
====== naive-bayes (apache-spark) [default], iteration 29 completed (1825.987 ms) ======
====== naive-bayes (apache-spark) [default], iteration 30 started ======
====== naive-bayes (apache-spark) [default], iteration 30 completed (1875.245 ms) ======
====== naive-bayes (apache-spark) [default], iteration 31 started ======
====== naive-bayes (apache-spark) [default], iteration 31 completed (1837.409 ms) ======
====== naive-bayes (apache-spark) [default], iteration 32 started ======
====== naive-bayes (apache-spark) [default], iteration 32 completed (1774.517 ms) ======
====== naive-bayes (apache-spark) [default], iteration 33 started ======
====== naive-bayes (apache-spark) [default], iteration 33 completed (1860.428 ms) ======
====== naive-bayes (apache-spark) [default], iteration 34 started ======
====== naive-bayes (apache-spark) [default], iteration 34 completed (1713.262 ms) ======
====== naive-bayes (apache-spark) [default], iteration 35 started ======
====== naive-bayes (apache-spark) [default], iteration 35 completed (1782.089 ms) ======
====== naive-bayes (apache-spark) [default], iteration 36 started ======
====== naive-bayes (apache-spark) [default], iteration 36 completed (1884.607 ms) ======
====== naive-bayes (apache-spark) [default], iteration 37 started ======
====== naive-bayes (apache-spark) [default], iteration 37 completed (2246.221 ms) ======
====== naive-bayes (apache-spark) [default], iteration 38 started ======
====== naive-bayes (apache-spark) [default], iteration 38 completed (1993.450 ms) ======
====== naive-bayes (apache-spark) [default], iteration 39 started ======
====== naive-bayes (apache-spark) [default], iteration 39 completed (2361.214 ms) ======
====== naive-bayes (apache-spark) [default], iteration 40 started ======
====== naive-bayes (apache-spark) [default], iteration 40 completed (1723.891 ms) ======
====== naive-bayes (apache-spark) [default], iteration 41 started ======
====== naive-bayes (apache-spark) [default], iteration 41 completed (1805.129 ms) ======
====== naive-bayes (apache-spark) [default], iteration 42 started ======
====== naive-bayes (apache-spark) [default], iteration 42 completed (1561.330 ms) ======
====== naive-bayes (apache-spark) [default], iteration 43 started ======
====== naive-bayes (apache-spark) [default], iteration 43 completed (1767.468 ms) ======
====== naive-bayes (apache-spark) [default], iteration 44 started ======
====== naive-bayes (apache-spark) [default], iteration 44 completed (1776.352 ms) ======
====== naive-bayes (apache-spark) [default], iteration 45 started ======
====== naive-bayes (apache-spark) [default], iteration 45 completed (1792.790 ms) ======
====== naive-bayes (apache-spark) [default], iteration 46 started ======
====== naive-bayes (apache-spark) [default], iteration 46 completed (1650.424 ms) ======
====== naive-bayes (apache-spark) [default], iteration 47 started ======
====== naive-bayes (apache-spark) [default], iteration 47 completed (1718.083 ms) ======
====== naive-bayes (apache-spark) [default], iteration 48 started ======
====== naive-bayes (apache-spark) [default], iteration 48 completed (1799.072 ms) ======
====== naive-bayes (apache-spark) [default], iteration 49 started ======
====== naive-bayes (apache-spark) [default], iteration 49 completed (1768.268 ms) ======
====== naive-bayes (apache-spark) [default], iteration 50 started ======
====== naive-bayes (apache-spark) [default], iteration 50 completed (1731.859 ms) ======
====== naive-bayes (apache-spark) [default], iteration 51 started ======
====== naive-bayes (apache-spark) [default], iteration 51 completed (1624.917 ms) ======
====== naive-bayes (apache-spark) [default], iteration 52 started ======
====== naive-bayes (apache-spark) [default], iteration 52 completed (1929.848 ms) ======
====== naive-bayes (apache-spark) [default], iteration 53 started ======
====== naive-bayes (apache-spark) [default], iteration 53 completed (1743.856 ms) ======
====== naive-bayes (apache-spark) [default], iteration 54 started ======
====== naive-bayes (apache-spark) [default], iteration 54 completed (1740.275 ms) ======
====== naive-bayes (apache-spark) [default], iteration 55 started ======
====== naive-bayes (apache-spark) [default], iteration 55 completed (1829.450 ms) ======
====== naive-bayes (apache-spark) [default], iteration 56 started ======
====== naive-bayes (apache-spark) [default], iteration 56 completed (1793.162 ms) ======
====== naive-bayes (apache-spark) [default], iteration 57 started ======
====== naive-bayes (apache-spark) [default], iteration 57 completed (1921.012 ms) ======
====== naive-bayes (apache-spark) [default], iteration 58 started ======
====== naive-bayes (apache-spark) [default], iteration 58 completed (1810.764 ms) ======
====== naive-bayes (apache-spark) [default], iteration 59 started ======
====== naive-bayes (apache-spark) [default], iteration 59 completed (1886.207 ms) ======
====== naive-bayes (apache-spark) [default], iteration 60 started ======
====== naive-bayes (apache-spark) [default], iteration 60 completed (1750.550 ms) ======
====== naive-bayes (apache-spark) [default], iteration 61 started ======
====== naive-bayes (apache-spark) [default], iteration 61 completed (1775.700 ms) ======
====== naive-bayes (apache-spark) [default], iteration 62 started ======
====== naive-bayes (apache-spark) [default], iteration 62 completed (1806.176 ms) ======
====== naive-bayes (apache-spark) [default], iteration 63 started ======
====== naive-bayes (apache-spark) [default], iteration 63 completed (1643.453 ms) ======
====== naive-bayes (apache-spark) [default], iteration 64 started ======
====== naive-bayes (apache-spark) [default], iteration 64 completed (1850.627 ms) ======
====== naive-bayes (apache-spark) [default], iteration 65 started ======
====== naive-bayes (apache-spark) [default], iteration 65 completed (1742.820 ms) ======
====== naive-bayes (apache-spark) [default], iteration 66 started ======
====== naive-bayes (apache-spark) [default], iteration 66 completed (1743.458 ms) ======
====== naive-bayes (apache-spark) [default], iteration 67 started ======
====== naive-bayes (apache-spark) [default], iteration 67 completed (1794.839 ms) ======
====== naive-bayes (apache-spark) [default], iteration 68 started ======
====== naive-bayes (apache-spark) [default], iteration 68 completed (1736.092 ms) ======
====== naive-bayes (apache-spark) [default], iteration 69 started ======
====== naive-bayes (apache-spark) [default], iteration 69 completed (1745.288 ms) ======
====== naive-bayes (apache-spark) [default], iteration 70 started ======
====== naive-bayes (apache-spark) [default], iteration 70 completed (1746.734 ms) ======
====== naive-bayes (apache-spark) [default], iteration 71 started ======
====== naive-bayes (apache-spark) [default], iteration 71 completed (1810.892 ms) ======
====== naive-bayes (apache-spark) [default], iteration 72 started ======
====== naive-bayes (apache-spark) [default], iteration 72 completed (1794.947 ms) ======
====== naive-bayes (apache-spark) [default], iteration 73 started ======
====== naive-bayes (apache-spark) [default], iteration 73 completed (2323.018 ms) ======
====== naive-bayes (apache-spark) [default], iteration 74 started ======
====== naive-bayes (apache-spark) [default], iteration 74 completed (2205.189 ms) ======
====== naive-bayes (apache-spark) [default], iteration 75 started ======
====== naive-bayes (apache-spark) [default], iteration 75 completed (2439.418 ms) ======
====== naive-bayes (apache-spark) [default], iteration 76 started ======
====== naive-bayes (apache-spark) [default], iteration 76 completed (1795.469 ms) ======
====== naive-bayes (apache-spark) [default], iteration 77 started ======
====== naive-bayes (apache-spark) [default], iteration 77 completed (1788.105 ms) ======
====== naive-bayes (apache-spark) [default], iteration 78 started ======
====== naive-bayes (apache-spark) [default], iteration 78 completed (1758.043 ms) ======
====== naive-bayes (apache-spark) [default], iteration 79 started ======
====== naive-bayes (apache-spark) [default], iteration 79 completed (1688.992 ms) ======
====== naive-bayes (apache-spark) [default], iteration 80 started ======
====== naive-bayes (apache-spark) [default], iteration 80 completed (1512.036 ms) ======
====== naive-bayes (apache-spark) [default], iteration 81 started ======
====== naive-bayes (apache-spark) [default], iteration 81 completed (1752.978 ms) ======
====== naive-bayes (apache-spark) [default], iteration 82 started ======
====== naive-bayes (apache-spark) [default], iteration 82 completed (1729.922 ms) ======
====== naive-bayes (apache-spark) [default], iteration 83 started ======
====== naive-bayes (apache-spark) [default], iteration 83 completed (1649.733 ms) ======
====== naive-bayes (apache-spark) [default], iteration 84 started ======
====== naive-bayes (apache-spark) [default], iteration 84 completed (1651.003 ms) ======
====== naive-bayes (apache-spark) [default], iteration 85 started ======
====== naive-bayes (apache-spark) [default], iteration 85 completed (1612.668 ms) ======
====== naive-bayes (apache-spark) [default], iteration 86 started ======
====== naive-bayes (apache-spark) [default], iteration 86 completed (1695.039 ms) ======
====== naive-bayes (apache-spark) [default], iteration 87 started ======
====== naive-bayes (apache-spark) [default], iteration 87 completed (1704.218 ms) ======
====== naive-bayes (apache-spark) [default], iteration 88 started ======
====== naive-bayes (apache-spark) [default], iteration 88 completed (2060.917 ms) ======
====== naive-bayes (apache-spark) [default], iteration 89 started ======
====== naive-bayes (apache-spark) [default], iteration 89 completed (1698.439 ms) ======
====== naive-bayes (apache-spark) [default], iteration 90 started ======
====== naive-bayes (apache-spark) [default], iteration 90 completed (1801.371 ms) ======
====== naive-bayes (apache-spark) [default], iteration 91 started ======
====== naive-bayes (apache-spark) [default], iteration 91 completed (1709.869 ms) ======
====== naive-bayes (apache-spark) [default], iteration 92 started ======
====== naive-bayes (apache-spark) [default], iteration 92 completed (1796.274 ms) ======
====== naive-bayes (apache-spark) [default], iteration 93 started ======
====== naive-bayes (apache-spark) [default], iteration 93 completed (1741.257 ms) ======
====== naive-bayes (apache-spark) [default], iteration 94 started ======
====== naive-bayes (apache-spark) [default], iteration 94 completed (1758.473 ms) ======
====== naive-bayes (apache-spark) [default], iteration 95 started ======
====== naive-bayes (apache-spark) [default], iteration 95 completed (1806.638 ms) ======
====== naive-bayes (apache-spark) [default], iteration 96 started ======
====== naive-bayes (apache-spark) [default], iteration 96 completed (1700.668 ms) ======
====== naive-bayes (apache-spark) [default], iteration 97 started ======
====== naive-bayes (apache-spark) [default], iteration 97 completed (1632.797 ms) ======
====== naive-bayes (apache-spark) [default], iteration 98 started ======
====== naive-bayes (apache-spark) [default], iteration 98 completed (1745.742 ms) ======
====== naive-bayes (apache-spark) [default], iteration 99 started ======
====== naive-bayes (apache-spark) [default], iteration 99 completed (1720.570 ms) ======
====== naive-bayes (apache-spark) [default], iteration 100 started ======
====== naive-bayes (apache-spark) [default], iteration 100 completed (1657.230 ms) ======
====== naive-bayes (apache-spark) [default], iteration 101 started ======
====== naive-bayes (apache-spark) [default], iteration 101 completed (1773.057 ms) ======
====== naive-bayes (apache-spark) [default], iteration 102 started ======
====== naive-bayes (apache-spark) [default], iteration 102 completed (1732.350 ms) ======
====== naive-bayes (apache-spark) [default], iteration 103 started ======
====== naive-bayes (apache-spark) [default], iteration 103 completed (1783.402 ms) ======
====== naive-bayes (apache-spark) [default], iteration 104 started ======
