[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
Creating graph database...
Loading resources...
Populating database...
Creating indices...
Database initialized with 327642 vertices and 725788 edges.
====== neo4j-analytics (database) [default], iteration 0 started ======
====== neo4j-analytics (database) [default], iteration 0 completed (7000.928 ms) ======
====== neo4j-analytics (database) [default], iteration 1 started ======
====== neo4j-analytics (database) [default], iteration 1 completed (2680.299 ms) ======
====== neo4j-analytics (database) [default], iteration 2 started ======
====== neo4j-analytics (database) [default], iteration 2 completed (2298.026 ms) ======
====== neo4j-analytics (database) [default], iteration 3 started ======
====== neo4j-analytics (database) [default], iteration 3 completed (2173.294 ms) ======
====== neo4j-analytics (database) [default], iteration 4 started ======
====== neo4j-analytics (database) [default], iteration 4 completed (1914.776 ms) ======
====== neo4j-analytics (database) [default], iteration 5 started ======
====== neo4j-analytics (database) [default], iteration 5 completed (2016.606 ms) ======
====== neo4j-analytics (database) [default], iteration 6 started ======
====== neo4j-analytics (database) [default], iteration 6 completed (1930.391 ms) ======
====== neo4j-analytics (database) [default], iteration 7 started ======
====== neo4j-analytics (database) [default], iteration 7 completed (1896.940 ms) ======
====== neo4j-analytics (database) [default], iteration 8 started ======
====== neo4j-analytics (database) [default], iteration 8 completed (1910.722 ms) ======
====== neo4j-analytics (database) [default], iteration 9 started ======
====== neo4j-analytics (database) [default], iteration 9 completed (1853.325 ms) ======
====== neo4j-analytics (database) [default], iteration 10 started ======
====== neo4j-analytics (database) [default], iteration 10 completed (1994.811 ms) ======
====== neo4j-analytics (database) [default], iteration 11 started ======
====== neo4j-analytics (database) [default], iteration 11 completed (2008.633 ms) ======
====== neo4j-analytics (database) [default], iteration 12 started ======
====== neo4j-analytics (database) [default], iteration 12 completed (1941.264 ms) ======
====== neo4j-analytics (database) [default], iteration 13 started ======
====== neo4j-analytics (database) [default], iteration 13 completed (1985.547 ms) ======
====== neo4j-analytics (database) [default], iteration 14 started ======
====== neo4j-analytics (database) [default], iteration 14 completed (2157.352 ms) ======
====== neo4j-analytics (database) [default], iteration 15 started ======
====== neo4j-analytics (database) [default], iteration 15 completed (2333.105 ms) ======
====== neo4j-analytics (database) [default], iteration 16 started ======
====== neo4j-analytics (database) [default], iteration 16 completed (1896.850 ms) ======
====== neo4j-analytics (database) [default], iteration 17 started ======
====== neo4j-analytics (database) [default], iteration 17 completed (1891.813 ms) ======
====== neo4j-analytics (database) [default], iteration 18 started ======
====== neo4j-analytics (database) [default], iteration 18 completed (1877.808 ms) ======
====== neo4j-analytics (database) [default], iteration 19 started ======
====== neo4j-analytics (database) [default], iteration 19 completed (1883.730 ms) ======
====== neo4j-analytics (database) [default], iteration 20 started ======
====== neo4j-analytics (database) [default], iteration 20 completed (1880.121 ms) ======
====== neo4j-analytics (database) [default], iteration 21 started ======
====== neo4j-analytics (database) [default], iteration 21 completed (2069.709 ms) ======
====== neo4j-analytics (database) [default], iteration 22 started ======
====== neo4j-analytics (database) [default], iteration 22 completed (1866.540 ms) ======
====== neo4j-analytics (database) [default], iteration 23 started ======
====== neo4j-analytics (database) [default], iteration 23 completed (1877.301 ms) ======
====== neo4j-analytics (database) [default], iteration 24 started ======
====== neo4j-analytics (database) [default], iteration 24 completed (1883.490 ms) ======
====== neo4j-analytics (database) [default], iteration 25 started ======
====== neo4j-analytics (database) [default], iteration 25 completed (1881.527 ms) ======
====== neo4j-analytics (database) [default], iteration 26 started ======
====== neo4j-analytics (database) [default], iteration 26 completed (1887.134 ms) ======
====== neo4j-analytics (database) [default], iteration 27 started ======
====== neo4j-analytics (database) [default], iteration 27 completed (2116.315 ms) ======
====== neo4j-analytics (database) [default], iteration 28 started ======
====== neo4j-analytics (database) [default], iteration 28 completed (1882.394 ms) ======
