[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
NOTE: 'page-rank' benchmark uses Spark local executor with 8 (out of 8) threads.
====== page-rank (apache-spark) [default], iteration 0 started ======
====== page-rank (apache-spark) [default], iteration 0 completed (11155.898 ms) ======
====== page-rank (apache-spark) [default], iteration 1 started ======
====== page-rank (apache-spark) [default], iteration 1 completed (5467.135 ms) ======
====== page-rank (apache-spark) [default], iteration 2 started ======
====== page-rank (apache-spark) [default], iteration 2 completed (4387.579 ms) ======
====== page-rank (apache-spark) [default], iteration 3 started ======
====== page-rank (apache-spark) [default], iteration 3 completed (4493.362 ms) ======
====== page-rank (apache-spark) [default], iteration 4 started ======
====== page-rank (apache-spark) [default], iteration 4 completed (4384.299 ms) ======
====== page-rank (apache-spark) [default], iteration 5 started ======
====== page-rank (apache-spark) [default], iteration 5 completed (4298.112 ms) ======
====== page-rank (apache-spark) [default], iteration 6 started ======
====== page-rank (apache-spark) [default], iteration 6 completed (4312.869 ms) ======
====== page-rank (apache-spark) [default], iteration 7 started ======
====== page-rank (apache-spark) [default], iteration 7 completed (4863.715 ms) ======
====== page-rank (apache-spark) [default], iteration 8 started ======
====== page-rank (apache-spark) [default], iteration 8 completed (4293.139 ms) ======
====== page-rank (apache-spark) [default], iteration 9 started ======
====== page-rank (apache-spark) [default], iteration 9 completed (4304.619 ms) ======
====== page-rank (apache-spark) [default], iteration 10 started ======
====== page-rank (apache-spark) [default], iteration 10 completed (4354.924 ms) ======
====== page-rank (apache-spark) [default], iteration 11 started ======
====== page-rank (apache-spark) [default], iteration 11 completed (4298.769 ms) ======
====== page-rank (apache-spark) [default], iteration 12 started ======
====== page-rank (apache-spark) [default], iteration 12 completed (4302.714 ms) ======
====== page-rank (apache-spark) [default], iteration 13 started ======
====== page-rank (apache-spark) [default], iteration 13 completed (4447.325 ms) ======
====== page-rank (apache-spark) [default], iteration 14 started ======
====== page-rank (apache-spark) [default], iteration 14 completed (4389.458 ms) ======
====== page-rank (apache-spark) [default], iteration 15 started ======
====== page-rank (apache-spark) [default], iteration 15 completed (4322.564 ms) ======
====== page-rank (apache-spark) [default], iteration 16 started ======
====== page-rank (apache-spark) [default], iteration 16 completed (4353.185 ms) ======
====== page-rank (apache-spark) [default], iteration 17 started ======
====== page-rank (apache-spark) [default], iteration 17 completed (4438.283 ms) ======
====== page-rank (apache-spark) [default], iteration 18 started ======
====== page-rank (apache-spark) [default], iteration 18 completed (4283.930 ms) ======
====== page-rank (apache-spark) [default], iteration 19 started ======
====== page-rank (apache-spark) [default], iteration 19 completed (4308.087 ms) ======
====== page-rank (apache-spark) [default], iteration 20 started ======
====== page-rank (apache-spark) [default], iteration 20 completed (4351.388 ms) ======
====== page-rank (apache-spark) [default], iteration 21 started ======
====== page-rank (apache-spark) [default], iteration 21 completed (4279.902 ms) ======
====== page-rank (apache-spark) [default], iteration 22 started ======
====== page-rank (apache-spark) [default], iteration 22 completed (4301.699 ms) ======
====== page-rank (apache-spark) [default], iteration 23 started ======
====== page-rank (apache-spark) [default], iteration 23 completed (4419.030 ms) ======
