[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== par-mnemonics (functional) [default], iteration 0 started ======
====== par-mnemonics (functional) [default], iteration 0 completed (4216.044 ms) ======
====== par-mnemonics (functional) [default], iteration 1 started ======
====== par-mnemonics (functional) [default], iteration 1 completed (4369.686 ms) ======
====== par-mnemonics (functional) [default], iteration 2 started ======
====== par-mnemonics (functional) [default], iteration 2 completed (5258.534 ms) ======
====== par-mnemonics (functional) [default], iteration 3 started ======
====== par-mnemonics (functional) [default], iteration 3 completed (2738.920 ms) ======
====== par-mnemonics (functional) [default], iteration 4 started ======
====== par-mnemonics (functional) [default], iteration 4 completed (2745.256 ms) ======
====== par-mnemonics (functional) [default], iteration 5 started ======
====== par-mnemonics (functional) [default], iteration 5 completed (2789.464 ms) ======
====== par-mnemonics (functional) [default], iteration 6 started ======
====== par-mnemonics (functional) [default], iteration 6 completed (2744.443 ms) ======
====== par-mnemonics (functional) [default], iteration 7 started ======
====== par-mnemonics (functional) [default], iteration 7 completed (2768.530 ms) ======
====== par-mnemonics (functional) [default], iteration 8 started ======
====== par-mnemonics (functional) [default], iteration 8 completed (2804.731 ms) ======
====== par-mnemonics (functional) [default], iteration 9 started ======
====== par-mnemonics (functional) [default], iteration 9 completed (2733.141 ms) ======
====== par-mnemonics (functional) [default], iteration 10 started ======
====== par-mnemonics (functional) [default], iteration 10 completed (2790.358 ms) ======
====== par-mnemonics (functional) [default], iteration 11 started ======
====== par-mnemonics (functional) [default], iteration 11 completed (2732.187 ms) ======
====== par-mnemonics (functional) [default], iteration 12 started ======
====== par-mnemonics (functional) [default], iteration 12 completed (2749.352 ms) ======
====== par-mnemonics (functional) [default], iteration 13 started ======
====== par-mnemonics (functional) [default], iteration 13 completed (2782.344 ms) ======
====== par-mnemonics (functional) [default], iteration 14 started ======
====== par-mnemonics (functional) [default], iteration 14 completed (2743.803 ms) ======
====== par-mnemonics (functional) [default], iteration 15 started ======
====== par-mnemonics (functional) [default], iteration 15 completed (2842.639 ms) ======
====== par-mnemonics (functional) [default], iteration 16 started ======
====== par-mnemonics (functional) [default], iteration 16 completed (2738.007 ms) ======
====== par-mnemonics (functional) [default], iteration 17 started ======
====== par-mnemonics (functional) [default], iteration 17 completed (2769.189 ms) ======
====== par-mnemonics (functional) [default], iteration 18 started ======
====== par-mnemonics (functional) [default], iteration 18 completed (2736.672 ms) ======
====== par-mnemonics (functional) [default], iteration 19 started ======
====== par-mnemonics (functional) [default], iteration 19 completed (2823.921 ms) ======
====== par-mnemonics (functional) [default], iteration 20 started ======
====== par-mnemonics (functional) [default], iteration 20 completed (2730.436 ms) ======
====== par-mnemonics (functional) [default], iteration 21 started ======
====== par-mnemonics (functional) [default], iteration 21 completed (2784.896 ms) ======
====== par-mnemonics (functional) [default], iteration 22 started ======
====== par-mnemonics (functional) [default], iteration 22 completed (2730.665 ms) ======
====== par-mnemonics (functional) [default], iteration 23 started ======
====== par-mnemonics (functional) [default], iteration 23 completed (2804.827 ms) ======
====== par-mnemonics (functional) [default], iteration 24 started ======
====== par-mnemonics (functional) [default], iteration 24 completed (2772.592 ms) ======
====== par-mnemonics (functional) [default], iteration 25 started ======
====== par-mnemonics (functional) [default], iteration 25 completed (2731.955 ms) ======
====== par-mnemonics (functional) [default], iteration 26 started ======
====== par-mnemonics (functional) [default], iteration 26 completed (2768.923 ms) ======
====== par-mnemonics (functional) [default], iteration 27 started ======
====== par-mnemonics (functional) [default], iteration 27 completed (2811.271 ms) ======
====== par-mnemonics (functional) [default], iteration 28 started ======
====== par-mnemonics (functional) [default], iteration 28 completed (2728.121 ms) ======
====== par-mnemonics (functional) [default], iteration 29 started ======
====== par-mnemonics (functional) [default], iteration 29 completed (2787.340 ms) ======
====== par-mnemonics (functional) [default], iteration 30 started ======
====== par-mnemonics (functional) [default], iteration 30 completed (2720.650 ms) ======
====== par-mnemonics (functional) [default], iteration 31 started ======
====== par-mnemonics (functional) [default], iteration 31 completed (2798.829 ms) ======
====== par-mnemonics (functional) [default], iteration 32 started ======
====== par-mnemonics (functional) [default], iteration 32 completed (2725.919 ms) ======
====== par-mnemonics (functional) [default], iteration 33 started ======
====== par-mnemonics (functional) [default], iteration 33 completed (2776.320 ms) ======
====== par-mnemonics (functional) [default], iteration 34 started ======
====== par-mnemonics (functional) [default], iteration 34 completed (2788.758 ms) ======
====== par-mnemonics (functional) [default], iteration 35 started ======
====== par-mnemonics (functional) [default], iteration 35 completed (2797.895 ms) ======
====== par-mnemonics (functional) [default], iteration 36 started ======
====== par-mnemonics (functional) [default], iteration 36 completed (2720.606 ms) ======
====== par-mnemonics (functional) [default], iteration 37 started ======
====== par-mnemonics (functional) [default], iteration 37 completed (2769.078 ms) ======
====== par-mnemonics (functional) [default], iteration 38 started ======
====== par-mnemonics (functional) [default], iteration 38 completed (2774.961 ms) ======
====== par-mnemonics (functional) [default], iteration 39 started ======
====== par-mnemonics (functional) [default], iteration 39 completed (2765.951 ms) ======
====== par-mnemonics (functional) [default], iteration 40 started ======
====== par-mnemonics (functional) [default], iteration 40 completed (2732.857 ms) ======
====== par-mnemonics (functional) [default], iteration 41 started ======
====== par-mnemonics (functional) [default], iteration 41 completed (2782.619 ms) ======
====== par-mnemonics (functional) [default], iteration 42 started ======
====== par-mnemonics (functional) [default], iteration 42 completed (2787.110 ms) ======
====== par-mnemonics (functional) [default], iteration 43 started ======
====== par-mnemonics (functional) [default], iteration 43 completed (2777.952 ms) ======
====== par-mnemonics (functional) [default], iteration 44 started ======
====== par-mnemonics (functional) [default], iteration 44 completed (2749.096 ms) ======
====== par-mnemonics (functional) [default], iteration 45 started ======
====== par-mnemonics (functional) [default], iteration 45 completed (2784.327 ms) ======
====== par-mnemonics (functional) [default], iteration 46 started ======
====== par-mnemonics (functional) [default], iteration 46 completed (2772.729 ms) ======
====== par-mnemonics (functional) [default], iteration 47 started ======
====== par-mnemonics (functional) [default], iteration 47 completed (2793.845 ms) ======
====== par-mnemonics (functional) [default], iteration 48 started ======
====== par-mnemonics (functional) [default], iteration 48 completed (2726.193 ms) ======
====== par-mnemonics (functional) [default], iteration 49 started ======
====== par-mnemonics (functional) [default], iteration 49 completed (2757.547 ms) ======
====== par-mnemonics (functional) [default], iteration 50 started ======
====== par-mnemonics (functional) [default], iteration 50 completed (2741.575 ms) ======
====== par-mnemonics (functional) [default], iteration 51 started ======
====== par-mnemonics (functional) [default], iteration 51 completed (2800.363 ms) ======
====== par-mnemonics (functional) [default], iteration 52 started ======
====== par-mnemonics (functional) [default], iteration 52 completed (2730.187 ms) ======
====== par-mnemonics (functional) [default], iteration 53 started ======
====== par-mnemonics (functional) [default], iteration 53 completed (2758.332 ms) ======
