>>> Starting benchmark: scala-doku
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/scala-doku
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scala-doku (scala) [default], iteration 0 started ======
====== scala-doku (scala) [default], iteration 0 completed (3697.555 ms) ======
====== scala-doku (scala) [default], iteration 1 started ======
====== scala-doku (scala) [default], iteration 1 completed (2788.621 ms) ======
====== scala-doku (scala) [default], iteration 2 started ======
====== scala-doku (scala) [default], iteration 2 completed (2754.601 ms) ======
====== scala-doku (scala) [default], iteration 3 started ======
====== scala-doku (scala) [default], iteration 3 completed (2757.459 ms) ======
====== scala-doku (scala) [default], iteration 4 started ======
====== scala-doku (scala) [default], iteration 4 completed (2772.617 ms) ======
====== scala-doku (scala) [default], iteration 5 started ======
====== scala-doku (scala) [default], iteration 5 completed (2807.469 ms) ======
====== scala-doku (scala) [default], iteration 6 started ======
====== scala-doku (scala) [default], iteration 6 completed (2735.468 ms) ======
====== scala-doku (scala) [default], iteration 7 started ======
====== scala-doku (scala) [default], iteration 7 completed (2755.548 ms) ======
====== scala-doku (scala) [default], iteration 8 started ======
====== scala-doku (scala) [default], iteration 8 completed (2743.632 ms) ======
====== scala-doku (scala) [default], iteration 9 started ======
====== scala-doku (scala) [default], iteration 9 completed (2739.541 ms) ======
====== scala-doku (scala) [default], iteration 10 started ======
====== scala-doku (scala) [default], iteration 10 completed (2727.829 ms) ======
====== scala-doku (scala) [default], iteration 11 started ======
====== scala-doku (scala) [default], iteration 11 completed (2736.330 ms) ======
====== scala-doku (scala) [default], iteration 12 started ======
====== scala-doku (scala) [default], iteration 12 completed (2734.039 ms) ======
====== scala-doku (scala) [default], iteration 13 started ======
====== scala-doku (scala) [default], iteration 13 completed (2815.392 ms) ======
====== scala-doku (scala) [default], iteration 14 started ======
