benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scala-doku,3697555384,-1,0,0,-1,356515840,763363328,-1,0,0,-1,1076291615,1777098097040,49351314173309
scala-doku,2788620903,-1,0,0,-1,216006656,979369984,-1,0,0,-1,4778764460,1777098097040,49351314173309
scala-doku,2754601475,-1,0,0,-1,216006656,1195376640,-1,0,0,-1,7568028736,1777098097040,49351314173309
scala-doku,2757458787,-1,0,0,-1,216006656,1411383296,-1,0,0,-1,10323352641,1777098097040,49351314173309
scala-doku,2772617011,-1,0,0,-1,216006656,1627389952,-1,0,0,-1,13081402154,1777098097040,49351314173309
scala-doku,2807468744,-1,0,0,-1,-1394606080,232783872,-1,0,0,-1,15854608262,1777098097040,49351314173309
scala-doku,2735467954,-1,0,0,-1,218103808,450887680,-1,0,0,-1,18662728245,1777098097040,49351314173309
scala-doku,2755547812,-1,0,0,-1,213909504,664797184,-1,0,0,-1,21398692544,1777098097040,49351314173309
scala-doku,2743631926,-1,0,0,-1,216006656,880803840,-1,0,0,-1,24154778936,1777098097040,49351314173309
scala-doku,2739541273,-1,0,0,-1,216006656,1096810496,-1,0,0,-1,26898933462,1777098097040,49351314173309
scala-doku,2727829366,-1,0,0,-1,213909504,1310720000,-1,0,0,-1,29639020754,1777098097040,49351314173309
scala-doku,2736329724,-1,0,0,-1,216006656,1526726656,-1,0,0,-1,32367335953,1777098097040,49351314173309
scala-doku,2734039110,-1,0,0,-1,216006656,1742733312,-1,0,0,-1,35104167584,1777098097040,49351314173309
scala-doku,2815391807,-1,0,0,-1,216006656,1958739968,-1,0,0,-1,37838695694,1777098097040,49351314173309
scala-doku,2833954089,-1,0,0,-1,213909504,2172649472,-1,0,0,-1,40654665107,1777098097040,49351314173309
scala-doku,2830210960,-1,0,0,-1,216006656,2388656128,-1,0,0,-1,43489070466,1777098097040,49351314173309
scala-doku,2833707432,-1,0,0,-1,216006656,2604662784,-1,0,0,-1,46319724423,1777098097040,49351314173309
scala-doku,2891895621,-1,0,0,-1,216006656,2820669440,-1,0,0,-1,49153904419,1777098097040,49351314173309
scala-doku,2828647785,-1,0,0,-1,213909504,3034578944,-1,0,0,-1,52046229909,1777098097040,49351314173309
scala-doku,2820508273,-1,0,0,-1,216006656,3250585600,-1,0,0,-1,54875258055,1777098097040,49351314173309
