>>> Starting benchmark: scala-kmeans
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/scala-kmeans
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scala-kmeans (scala) [default], iteration 0 started ======
====== scala-kmeans (scala) [default], iteration 0 completed (413.901 ms) ======
====== scala-kmeans (scala) [default], iteration 1 started ======
====== scala-kmeans (scala) [default], iteration 1 completed (319.705 ms) ======
====== scala-kmeans (scala) [default], iteration 2 started ======
====== scala-kmeans (scala) [default], iteration 2 completed (318.087 ms) ======
====== scala-kmeans (scala) [default], iteration 3 started ======
====== scala-kmeans (scala) [default], iteration 3 completed (322.192 ms) ======
====== scala-kmeans (scala) [default], iteration 4 started ======
====== scala-kmeans (scala) [default], iteration 4 completed (324.511 ms) ======
====== scala-kmeans (scala) [default], iteration 5 started ======
====== scala-kmeans (scala) [default], iteration 5 completed (324.305 ms) ======
====== scala-kmeans (scala) [default], iteration 6 started ======
====== scala-kmeans (scala) [default], iteration 6 completed (324.312 ms) ======
====== scala-kmeans (scala) [default], iteration 7 started ======
====== scala-kmeans (scala) [default], iteration 7 completed (288.732 ms) ======
====== scala-kmeans (scala) [default], iteration 8 started ======
====== scala-kmeans (scala) [default], iteration 8 completed (246.826 ms) ======
====== scala-kmeans (scala) [default], iteration 9 started ======
====== scala-kmeans (scala) [default], iteration 9 completed (245.541 ms) ======
====== scala-kmeans (scala) [default], iteration 10 started ======
====== scala-kmeans (scala) [default], iteration 10 completed (246.337 ms) ======
====== scala-kmeans (scala) [default], iteration 11 started ======
====== scala-kmeans (scala) [default], iteration 11 completed (240.524 ms) ======
====== scala-kmeans (scala) [default], iteration 12 started ======
====== scala-kmeans (scala) [default], iteration 12 completed (245.837 ms) ======
====== scala-kmeans (scala) [default], iteration 13 started ======
====== scala-kmeans (scala) [default], iteration 13 completed (246.865 ms) ======
====== scala-kmeans (scala) [default], iteration 14 started ======
====== scala-kmeans (scala) [default], iteration 14 completed (243.507 ms) ======
====== scala-kmeans (scala) [default], iteration 15 started ======
====== scala-kmeans (scala) [default], iteration 15 completed (245.761 ms) ======
====== scala-kmeans (scala) [default], iteration 16 started ======
====== scala-kmeans (scala) [default], iteration 16 completed (291.188 ms) ======
====== scala-kmeans (scala) [default], iteration 17 started ======
====== scala-kmeans (scala) [default], iteration 17 completed (319.555 ms) ======
====== scala-kmeans (scala) [default], iteration 18 started ======
====== scala-kmeans (scala) [default], iteration 18 completed (319.896 ms) ======
====== scala-kmeans (scala) [default], iteration 19 started ======
====== scala-kmeans (scala) [default], iteration 19 completed (321.148 ms) ======
====== scala-kmeans (scala) [default], iteration 20 started ======
====== scala-kmeans (scala) [default], iteration 20 completed (319.295 ms) ======
====== scala-kmeans (scala) [default], iteration 21 started ======
====== scala-kmeans (scala) [default], iteration 21 completed (318.641 ms) ======
====== scala-kmeans (scala) [default], iteration 22 started ======
====== scala-kmeans (scala) [default], iteration 22 completed (318.679 ms) ======
====== scala-kmeans (scala) [default], iteration 23 started ======
====== scala-kmeans (scala) [default], iteration 23 completed (319.906 ms) ======
====== scala-kmeans (scala) [default], iteration 24 started ======
====== scala-kmeans (scala) [default], iteration 24 completed (321.304 ms) ======
====== scala-kmeans (scala) [default], iteration 25 started ======
====== scala-kmeans (scala) [default], iteration 25 completed (330.391 ms) ======
====== scala-kmeans (scala) [default], iteration 26 started ======
====== scala-kmeans (scala) [default], iteration 26 completed (248.438 ms) ======
====== scala-kmeans (scala) [default], iteration 27 started ======
====== scala-kmeans (scala) [default], iteration 27 completed (243.725 ms) ======
====== scala-kmeans (scala) [default], iteration 28 started ======
====== scala-kmeans (scala) [default], iteration 28 completed (244.211 ms) ======
====== scala-kmeans (scala) [default], iteration 29 started ======
====== scala-kmeans (scala) [default], iteration 29 completed (245.143 ms) ======
====== scala-kmeans (scala) [default], iteration 30 started ======
====== scala-kmeans (scala) [default], iteration 30 completed (245.603 ms) ======
====== scala-kmeans (scala) [default], iteration 31 started ======
====== scala-kmeans (scala) [default], iteration 31 completed (244.823 ms) ======
====== scala-kmeans (scala) [default], iteration 32 started ======
====== scala-kmeans (scala) [default], iteration 32 completed (243.972 ms) ======
====== scala-kmeans (scala) [default], iteration 33 started ======
====== scala-kmeans (scala) [default], iteration 33 completed (247.597 ms) ======
====== scala-kmeans (scala) [default], iteration 34 started ======
====== scala-kmeans (scala) [default], iteration 34 completed (244.806 ms) ======
====== scala-kmeans (scala) [default], iteration 35 started ======
====== scala-kmeans (scala) [default], iteration 35 completed (242.114 ms) ======
====== scala-kmeans (scala) [default], iteration 36 started ======
====== scala-kmeans (scala) [default], iteration 36 completed (246.091 ms) ======
====== scala-kmeans (scala) [default], iteration 37 started ======
