benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scala-kmeans,413901031,-1,0,0,-1,190840832,633339904,-1,0,0,-1,1140317676,1777106140504,57394778173310
scala-kmeans,319704841,-1,0,0,-1,182452224,815792128,-1,0,0,-1,1565885844,1777106140504,57394778173310
scala-kmeans,318087170,-1,0,0,-1,182452224,998244352,-1,0,0,-1,1886438223,1777106140504,57394778173310
scala-kmeans,322192300,-1,0,0,-1,180355072,1178599424,-1,0,0,-1,2205320545,1777106140504,57394778173310
scala-kmeans,324511093,-1,0,0,-1,182452224,1361051648,-1,0,0,-1,2528459156,1777106140504,57394778173310
scala-kmeans,324304740,-1,0,0,-1,182452224,1543503872,-1,0,0,-1,2853710770,1777106140504,57394778173310
scala-kmeans,324312334,-1,0,0,-1,182452224,1725956096,-1,0,0,-1,3178805933,1777106140504,57394778173310
scala-kmeans,288732048,-1,0,0,-1,-1491075072,236978176,-1,0,0,-1,3503848392,1777106140504,57394778173310
scala-kmeans,246825910,-1,0,0,-1,182452224,419430400,-1,0,0,-1,3793394190,1777106140504,57394778173310
scala-kmeans,245541080,-1,0,0,-1,180355072,599785472,-1,0,0,-1,4040860959,1777106140504,57394778173310
scala-kmeans,246337244,-1,0,0,-1,180355072,782237696,-1,0,0,-1,4287102016,1777106140504,57394778173310
scala-kmeans,240524215,-1,0,0,-1,182452224,964689920,-1,0,0,-1,4534177604,1777106140504,57394778173310
scala-kmeans,245836686,-1,0,0,-1,182452224,1147142144,-1,0,0,-1,4775361394,1777106140504,57394778173310
scala-kmeans,246865384,-1,0,0,-1,180355072,1327497216,-1,0,0,-1,5021768576,1777106140504,57394778173310
scala-kmeans,243507358,-1,0,0,-1,182452224,1509949440,-1,0,0,-1,5269205584,1777106140504,57394778173310
scala-kmeans,245760840,-1,0,0,-1,182452224,1692401664,-1,0,0,-1,5513155196,1777106140504,57394778173310
scala-kmeans,291188294,-1,0,0,-1,180355072,1872756736,-1,0,0,-1,5759369644,1777106140504,57394778173310
scala-kmeans,319555104,-1,0,0,-1,182452224,2055208960,-1,0,0,-1,6051011858,1777106140504,57394778173310
scala-kmeans,319895928,-1,0,0,-1,182452224,2237661184,-1,0,0,-1,6370987079,1777106140504,57394778173310
scala-kmeans,321147908,-1,0,0,-1,180355072,2418016256,-1,0,0,-1,6691319537,1777106140504,57394778173310
scala-kmeans,319294782,-1,0,0,-1,182452224,2600468480,-1,0,0,-1,7012886539,1777106140504,57394778173310
scala-kmeans,318641383,-1,0,0,-1,182452224,2782920704,-1,0,0,-1,7332594653,1777106140504,57394778173310
scala-kmeans,318679083,-1,0,0,-1,180355072,2963275776,-1,0,0,-1,7651694945,1777106140504,57394778173310
scala-kmeans,319905750,-1,0,0,-1,182452224,3145728000,-1,0,0,-1,7970785488,1777106140504,57394778173310
scala-kmeans,321303840,-1,0,0,-1,182452224,3328180224,-1,0,0,-1,8291087232,1777106140504,57394778173310
scala-kmeans,330390636,-1,0,0,-1,-3210739712,117440512,-1,0,0,-1,8612847346,1777106140504,57394778173310
scala-kmeans,248437899,-1,0,0,-1,182452224,299892736,-1,0,0,-1,8943861245,1777106140504,57394778173310
scala-kmeans,243724985,-1,0,0,-1,182452224,482344960,-1,0,0,-1,9192677972,1777106140504,57394778173310
scala-kmeans,244211212,-1,0,0,-1,180355072,662700032,-1,0,0,-1,9436802379,1777106140504,57394778173310
scala-kmeans,245142889,-1,0,0,-1,182452224,845152256,-1,0,0,-1,9681440383,1777106140504,57394778173310
scala-kmeans,245603422,-1,0,0,-1,182452224,1027604480,-1,0,0,-1,9927009857,1777106140504,57394778173310
scala-kmeans,244822891,-1,0,0,-1,182452224,1210056704,-1,0,0,-1,10173025359,1777106140504,57394778173310
scala-kmeans,243972245,-1,0,0,-1,180355072,1390411776,-1,0,0,-1,10418230841,1777106140504,57394778173310
scala-kmeans,247597271,-1,0,0,-1,182452224,1572864000,-1,0,0,-1,10662606038,1777106140504,57394778173310
scala-kmeans,244805596,-1,0,0,-1,182452224,1755316224,-1,0,0,-1,10910632291,1777106140504,57394778173310
scala-kmeans,242113711,-1,0,0,-1,180355072,1935671296,-1,0,0,-1,11155851448,1777106140504,57394778173310
scala-kmeans,246091247,-1,0,0,-1,182452224,2118123520,-1,0,0,-1,11398350061,1777106140504,57394778173310
scala-kmeans,246351490,-1,0,0,-1,182452224,2300575744,-1,0,0,-1,11644892829,1777106140504,57394778173310
scala-kmeans,245034755,-1,0,0,-1,180355072,2480930816,-1,0,0,-1,11891649674,1777106140504,57394778173310
scala-kmeans,245352863,-1,0,0,-1,182452224,2663383040,-1,0,0,-1,12137039106,1777106140504,57394778173310
scala-kmeans,240380937,-1,0,0,-1,182452224,2845835264,-1,0,0,-1,12382766335,1777106140504,57394778173310
scala-kmeans,241776725,-1,0,0,-1,180355072,3026190336,-1,0,0,-1,12623536120,1777106140504,57394778173310
scala-kmeans,246899078,-1,0,0,-1,182452224,3208642560,-1,0,0,-1,12865716168,1777106140504,57394778173310
scala-kmeans,246874449,-1,0,0,-1,182452224,3391094784,-1,0,0,-1,13113114526,1777106140504,57394778173310
scala-kmeans,287090127,-1,0,0,-1,180355072,3571449856,-1,0,0,-1,13360378359,1777106140504,57394778173310
scala-kmeans,321561237,-1,0,0,-1,182452224,3753902080,-1,0,0,-1,13647851039,1777106140504,57394778173310
scala-kmeans,319269127,-1,0,0,-1,182452224,3936354304,-1,0,0,-1,13969886931,1777106140504,57394778173310
scala-kmeans,318904938,-1,0,0,-1,180355072,4116709376,-1,0,0,-1,14289624410,1777106140504,57394778173310
scala-kmeans,320473526,-1,0,0,-1,182452224,4299161600,-1,0,0,-1,14608928886,1777106140504,57394778173310
scala-kmeans,321944972,-1,0,0,-1,182452224,4481613824,-1,0,0,-1,14929793025,1777106140504,57394778173310
scala-kmeans,318158695,-1,0,0,-1,180355072,4661968896,-1,0,0,-1,15252130084,1777106140504,57394778173310
scala-kmeans,313825406,-1,0,0,-1,182452224,4844421120,-1,0,0,-1,15570675849,1777106140504,57394778173310
scala-kmeans,320646031,-1,0,0,-1,182452224,5026873344,-1,0,0,-1,15884862535,1777106140504,57394778173310
scala-kmeans,317386541,-1,0,0,-1,-4917821440,109051904,-1,0,0,-1,16205882176,1777106140504,57394778173310
scala-kmeans,288547337,-1,0,0,-1,176160768,285212672,-1,0,0,-1,16523778071,1777106140504,57394778173310
scala-kmeans,239698361,-1,0,0,-1,182452224,467664896,-1,0,0,-1,16812863180,1777106140504,57394778173310
scala-kmeans,240154509,-1,0,0,-1,180355072,648019968,-1,0,0,-1,17052902846,1777106140504,57394778173310
scala-kmeans,241018432,-1,0,0,-1,182452224,830472192,-1,0,0,-1,17293404413,1777106140504,57394778173310
scala-kmeans,241399559,-1,0,0,-1,182452224,1012924416,-1,0,0,-1,17534764329,1777106140504,57394778173310
scala-kmeans,240711180,-1,0,0,-1,180355072,1193279488,-1,0,0,-1,17776540726,1777106140504,57394778173310
scala-kmeans,240236749,-1,0,0,-1,182452224,1375731712,-1,0,0,-1,18017612689,1777106140504,57394778173310
scala-kmeans,240031794,-1,0,0,-1,182452224,1558183936,-1,0,0,-1,18258191144,1777106140504,57394778173310
scala-kmeans,240090301,-1,0,0,-1,180355072,1738539008,-1,0,0,-1,18498898032,1777106140504,57394778173310
scala-kmeans,240146672,-1,0,0,-1,182452224,1920991232,-1,0,0,-1,18739376735,1777106140504,57394778173310
scala-kmeans,240530053,-1,0,0,-1,182452224,2103443456,-1,0,0,-1,18979963947,1777106140504,57394778173310
scala-kmeans,239502951,-1,0,0,-1,180355072,2283798528,-1,0,0,-1,19220933583,1777106140504,57394778173310
scala-kmeans,240305397,-1,0,0,-1,182452224,2466250752,-1,0,0,-1,19460796497,1777106140504,57394778173310
scala-kmeans,240292030,-1,0,0,-1,182452224,2648702976,-1,0,0,-1,19701437515,1777106140504,57394778173310
scala-kmeans,233982747,-1,0,0,-1,180355072,2829058048,-1,0,0,-1,19942034125,1777106140504,57394778173310
scala-kmeans,241088106,-1,0,0,-1,182452224,3011510272,-1,0,0,-1,20176350062,1777106140504,57394778173310
scala-kmeans,240052776,-1,0,0,-1,182452224,3193962496,-1,0,0,-1,20417852045,1777106140504,57394778173310
scala-kmeans,240217279,-1,0,0,-1,180355072,3374317568,-1,0,0,-1,20658243015,1777106140504,57394778173310
scala-kmeans,240389121,-1,0,0,-1,182452224,3556769792,-1,0,0,-1,20898783507,1777106140504,57394778173310
scala-kmeans,241017249,-1,0,0,-1,182452224,3739222016,-1,0,0,-1,21139504184,1777106140504,57394778173310
scala-kmeans,240313848,-1,0,0,-1,182452224,3921674240,-1,0,0,-1,21380858984,1777106140504,57394778173310
scala-kmeans,239972458,-1,0,0,-1,180355072,4102029312,-1,0,0,-1,21621507357,1777106140504,57394778173310
scala-kmeans,240442128,-1,0,0,-1,182452224,4284481536,-1,0,0,-1,21861811282,1777106140504,57394778173310
scala-kmeans,240667952,-1,0,0,-1,182452224,4466933760,-1,0,0,-1,22102597025,1777106140504,57394778173310
scala-kmeans,241700639,-1,0,0,-1,180355072,4647288832,-1,0,0,-1,22343655334,1777106140504,57394778173310
scala-kmeans,240682021,-1,0,0,-1,182452224,4829741056,-1,0,0,-1,22585750870,1777106140504,57394778173310
scala-kmeans,241277554,-1,0,0,-1,182452224,5012193280,-1,0,0,-1,22826729425,1777106140504,57394778173310
scala-kmeans,252083430,-1,0,0,-1,180355072,5192548352,-1,0,0,-1,23068343833,1777106140504,57394778173310
scala-kmeans,314180395,-1,0,0,-1,182452224,5375000576,-1,0,0,-1,23320737759,1777106140504,57394778173310
scala-kmeans,314608410,-1,0,0,-1,182452224,5557452800,-1,0,0,-1,23635193434,1777106140504,57394778173310
scala-kmeans,313903895,-1,0,0,-1,180355072,5737807872,-1,0,0,-1,23950085081,1777106140504,57394778173310
