>>> Starting benchmark: scrabble
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/scrabble
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scrabble (functional) [default], iteration 0 started ======
====== scrabble (functional) [default], iteration 0 completed (1013.784 ms) ======
====== scrabble (functional) [default], iteration 1 started ======
====== scrabble (functional) [default], iteration 1 completed (643.022 ms) ======
====== scrabble (functional) [default], iteration 2 started ======
====== scrabble (functional) [default], iteration 2 completed (486.505 ms) ======
====== scrabble (functional) [default], iteration 3 started ======
====== scrabble (functional) [default], iteration 3 completed (526.911 ms) ======
====== scrabble (functional) [default], iteration 4 started ======
====== scrabble (functional) [default], iteration 4 completed (493.211 ms) ======
====== scrabble (functional) [default], iteration 5 started ======
====== scrabble (functional) [default], iteration 5 completed (455.479 ms) ======
====== scrabble (functional) [default], iteration 6 started ======
====== scrabble (functional) [default], iteration 6 completed (380.417 ms) ======
====== scrabble (functional) [default], iteration 7 started ======
====== scrabble (functional) [default], iteration 7 completed (464.779 ms) ======
====== scrabble (functional) [default], iteration 8 started ======
====== scrabble (functional) [default], iteration 8 completed (440.575 ms) ======
====== scrabble (functional) [default], iteration 9 started ======
====== scrabble (functional) [default], iteration 9 completed (375.736 ms) ======
====== scrabble (functional) [default], iteration 10 started ======
====== scrabble (functional) [default], iteration 10 completed (633.549 ms) ======
====== scrabble (functional) [default], iteration 11 started ======
====== scrabble (functional) [default], iteration 11 completed (519.990 ms) ======
====== scrabble (functional) [default], iteration 12 started ======
====== scrabble (functional) [default], iteration 12 completed (363.932 ms) ======
====== scrabble (functional) [default], iteration 13 started ======
====== scrabble (functional) [default], iteration 13 completed (387.245 ms) ======
====== scrabble (functional) [default], iteration 14 started ======
====== scrabble (functional) [default], iteration 14 completed (446.613 ms) ======
====== scrabble (functional) [default], iteration 15 started ======
====== scrabble (functional) [default], iteration 15 completed (361.939 ms) ======
====== scrabble (functional) [default], iteration 16 started ======
====== scrabble (functional) [default], iteration 16 completed (398.734 ms) ======
====== scrabble (functional) [default], iteration 17 started ======
====== scrabble (functional) [default], iteration 17 completed (408.795 ms) ======
====== scrabble (functional) [default], iteration 18 started ======
====== scrabble (functional) [default], iteration 18 completed (363.721 ms) ======
====== scrabble (functional) [default], iteration 19 started ======
====== scrabble (functional) [default], iteration 19 completed (435.517 ms) ======
====== scrabble (functional) [default], iteration 20 started ======
====== scrabble (functional) [default], iteration 20 completed (367.088 ms) ======
====== scrabble (functional) [default], iteration 21 started ======
====== scrabble (functional) [default], iteration 21 completed (363.287 ms) ======
====== scrabble (functional) [default], iteration 22 started ======
====== scrabble (functional) [default], iteration 22 completed (465.582 ms) ======
====== scrabble (functional) [default], iteration 23 started ======
====== scrabble (functional) [default], iteration 23 completed (359.601 ms) ======
====== scrabble (functional) [default], iteration 24 started ======
====== scrabble (functional) [default], iteration 24 completed (359.863 ms) ======
====== scrabble (functional) [default], iteration 25 started ======
====== scrabble (functional) [default], iteration 25 completed (444.904 ms) ======
====== scrabble (functional) [default], iteration 26 started ======
====== scrabble (functional) [default], iteration 26 completed (502.527 ms) ======
====== scrabble (functional) [default], iteration 27 started ======
====== scrabble (functional) [default], iteration 27 completed (422.133 ms) ======
====== scrabble (functional) [default], iteration 28 started ======
====== scrabble (functional) [default], iteration 28 completed (364.127 ms) ======
====== scrabble (functional) [default], iteration 29 started ======
====== scrabble (functional) [default], iteration 29 completed (461.729 ms) ======
====== scrabble (functional) [default], iteration 30 started ======
====== scrabble (functional) [default], iteration 30 completed (364.701 ms) ======
====== scrabble (functional) [default], iteration 31 started ======
====== scrabble (functional) [default], iteration 31 completed (363.528 ms) ======
====== scrabble (functional) [default], iteration 32 started ======
====== scrabble (functional) [default], iteration 32 completed (372.337 ms) ======
====== scrabble (functional) [default], iteration 33 started ======
====== scrabble (functional) [default], iteration 33 completed (475.336 ms) ======
====== scrabble (functional) [default], iteration 34 started ======
====== scrabble (functional) [default], iteration 34 completed (417.437 ms) ======
====== scrabble (functional) [default], iteration 35 started ======
====== scrabble (functional) [default], iteration 35 completed (365.983 ms) ======
====== scrabble (functional) [default], iteration 36 started ======
====== scrabble (functional) [default], iteration 36 completed (471.615 ms) ======
====== scrabble (functional) [default], iteration 37 started ======
====== scrabble (functional) [default], iteration 37 completed (361.914 ms) ======
====== scrabble (functional) [default], iteration 38 started ======
====== scrabble (functional) [default], iteration 38 completed (359.747 ms) ======
====== scrabble (functional) [default], iteration 39 started ======
====== scrabble (functional) [default], iteration 39 completed (358.578 ms) ======
====== scrabble (functional) [default], iteration 40 started ======
====== scrabble (functional) [default], iteration 40 completed (433.219 ms) ======
====== scrabble (functional) [default], iteration 41 started ======
====== scrabble (functional) [default], iteration 41 completed (358.960 ms) ======
====== scrabble (functional) [default], iteration 42 started ======
====== scrabble (functional) [default], iteration 42 completed (359.010 ms) ======
====== scrabble (functional) [default], iteration 43 started ======
====== scrabble (functional) [default], iteration 43 completed (422.333 ms) ======
====== scrabble (functional) [default], iteration 44 started ======
====== scrabble (functional) [default], iteration 44 completed (359.684 ms) ======
====== scrabble (functional) [default], iteration 45 started ======
====== scrabble (functional) [default], iteration 45 completed (393.624 ms) ======
====== scrabble (functional) [default], iteration 46 started ======
====== scrabble (functional) [default], iteration 46 completed (428.814 ms) ======
====== scrabble (functional) [default], iteration 47 started ======
====== scrabble (functional) [default], iteration 47 completed (361.155 ms) ======
====== scrabble (functional) [default], iteration 48 started ======
====== scrabble (functional) [default], iteration 48 completed (386.124 ms) ======
====== scrabble (functional) [default], iteration 49 started ======
====== scrabble (functional) [default], iteration 49 completed (452.214 ms) ======
====== scrabble (functional) [default], iteration 50 started ======
====== scrabble (functional) [default], iteration 50 completed (364.833 ms) ======
====== scrabble (functional) [default], iteration 51 started ======
====== scrabble (functional) [default], iteration 51 completed (457.426 ms) ======
====== scrabble (functional) [default], iteration 52 started ======
====== scrabble (functional) [default], iteration 52 completed (362.447 ms) ======
====== scrabble (functional) [default], iteration 53 started ======
====== scrabble (functional) [default], iteration 53 completed (356.050 ms) ======
====== scrabble (functional) [default], iteration 54 started ======
====== scrabble (functional) [default], iteration 54 completed (389.508 ms) ======
====== scrabble (functional) [default], iteration 55 started ======
====== scrabble (functional) [default], iteration 55 completed (438.352 ms) ======
====== scrabble (functional) [default], iteration 56 started ======
====== scrabble (functional) [default], iteration 56 completed (357.697 ms) ======
====== scrabble (functional) [default], iteration 57 started ======
====== scrabble (functional) [default], iteration 57 completed (475.416 ms) ======
====== scrabble (functional) [default], iteration 58 started ======
====== scrabble (functional) [default], iteration 58 completed (364.520 ms) ======
====== scrabble (functional) [default], iteration 59 started ======
====== scrabble (functional) [default], iteration 59 completed (367.179 ms) ======
====== scrabble (functional) [default], iteration 60 started ======
====== scrabble (functional) [default], iteration 60 completed (380.383 ms) ======
====== scrabble (functional) [default], iteration 61 started ======
====== scrabble (functional) [default], iteration 61 completed (458.974 ms) ======
====== scrabble (functional) [default], iteration 62 started ======
====== scrabble (functional) [default], iteration 62 completed (362.262 ms) ======
====== scrabble (functional) [default], iteration 63 started ======
====== scrabble (functional) [default], iteration 63 completed (402.467 ms) ======
====== scrabble (functional) [default], iteration 64 started ======
====== scrabble (functional) [default], iteration 64 completed (358.559 ms) ======
====== scrabble (functional) [default], iteration 65 started ======
====== scrabble (functional) [default], iteration 65 completed (429.826 ms) ======
====== scrabble (functional) [default], iteration 66 started ======
====== scrabble (functional) [default], iteration 66 completed (383.786 ms) ======
====== scrabble (functional) [default], iteration 67 started ======
====== scrabble (functional) [default], iteration 67 completed (358.672 ms) ======
====== scrabble (functional) [default], iteration 68 started ======
====== scrabble (functional) [default], iteration 68 completed (464.922 ms) ======
====== scrabble (functional) [default], iteration 69 started ======
====== scrabble (functional) [default], iteration 69 completed (364.449 ms) ======
====== scrabble (functional) [default], iteration 70 started ======
====== scrabble (functional) [default], iteration 70 completed (359.265 ms) ======
====== scrabble (functional) [default], iteration 71 started ======
