benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scrabble,1013783740,-1,0,0,-1,1392508928,2315255808,-1,0,0,-1,1765354269,1777094984756,46239030173332
scrabble,643021862,-1,0,0,-1,2524971008,4687134720,-1,0,0,-1,2791873250,1777094984756,46239030173332
scrabble,486504929,-1,0,0,-1,-675282944,4011851776,-1,0,0,-1,3436263776,1777094984756,46239030173332
scrabble,526910991,-1,0,0,-1,-2346713088,1665138688,-1,0,0,-1,3923459596,1777094984756,46239030173332
scrabble,493210937,-1,0,0,-1,216006656,1881145344,-1,0,0,-1,4451155105,1777094984756,46239030173332
scrabble,455478842,-1,0,0,-1,-488636416,1392508928,-1,0,0,-1,4944970634,1777094984756,46239030173332
scrabble,380417445,-1,0,0,-1,2692743168,4062183424,-1,0,0,-1,5401385483,1777094984756,46239030173332
scrabble,464779154,-1,0,0,-1,-975175680,3087007744,-1,0,0,-1,5782401282,1777094984756,46239030173332
scrabble,440575121,-1,0,0,-1,14680064,3101687808,-1,0,0,-1,6247900522,1777094984756,46239030173332
scrabble,375735698,-1,0,0,-1,2646605824,5748293632,-1,0,0,-1,6689077997,1777094984756,46239030173332
scrabble,633549179,-1,0,0,-1,2694840320,8443133952,-1,0,0,-1,7065395215,1777094984756,46239030173332
scrabble,519990262,-1,0,0,-1,-5460983808,2982150144,-1,0,0,-1,7699508477,1777094984756,46239030173332
scrabble,363931583,-1,0,0,-1,2648702976,5630853120,-1,0,0,-1,8220138416,1777094984756,46239030173332
scrabble,387244744,-1,0,0,-1,2688548864,8319401984,-1,0,0,-1,8584524364,1777094984756,46239030173332
scrabble,446612587,-1,0,0,-1,-4836032512,3483369472,-1,0,0,-1,8972670637,1777094984756,46239030173332
scrabble,361939206,-1,0,0,-1,2646605824,6129975296,-1,0,0,-1,9419887024,1777094984756,46239030173332
scrabble,398734130,-1,0,0,-1,-2982150144,3147825152,-1,0,0,-1,9782353188,1777094984756,46239030173332
scrabble,408795060,-1,0,0,-1,788529152,3667918848,-1,0,0,-1,10181684045,1777094984756,46239030173332
scrabble,363721452,-1,0,0,-1,2642411520,6310330368,-1,0,0,-1,10591191441,1777094984756,46239030173332
scrabble,435517048,-1,0,0,-1,-4424990720,1885339648,-1,0,0,-1,10955363655,1777094984756,46239030173332
scrabble,367088317,-1,0,0,-1,2650800128,4536139776,-1,0,0,-1,11391613935,1777094984756,46239030173332
scrabble,363287032,-1,0,0,-1,2646605824,7182745600,-1,0,0,-1,11759125480,1777094984756,46239030173332
scrabble,465582168,-1,0,0,-1,-5488246784,1694498816,-1,0,0,-1,12122967727,1777094984756,46239030173332
scrabble,359601084,-1,0,0,-1,2648702976,4343201792,-1,0,0,-1,12589355899,1777094984756,46239030173332
scrabble,359863261,-1,0,0,-1,2646605824,6989807616,-1,0,0,-1,12949422720,1777094984756,46239030173332
scrabble,444903550,-1,0,0,-1,2694840320,9684647936,-1,0,0,-1,13309738618,1777094984756,46239030173332
scrabble,502526943,-1,0,0,-1,-6517948416,3166699520,-1,0,0,-1,13755308697,1777094984756,46239030173332
scrabble,422133411,-1,0,0,-1,-1161822208,2004877312,-1,0,0,-1,14258516691,1777094984756,46239030173332
scrabble,364126533,-1,0,0,-1,2646605824,4651483136,-1,0,0,-1,14681247078,1777094984756,46239030173332
scrabble,461729003,-1,0,0,-1,-3271557120,1379926016,-1,0,0,-1,15045917874,1777094984756,46239030173332
scrabble,364701486,-1,0,0,-1,2646605824,4026531840,-1,0,0,-1,15508510506,1777094984756,46239030173332
