benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
akka-uct,14904239150,-1,0,0,-1,3776970752,4183818240,-1,0,0,-1,1228606893,1777066064973,17319247173329
akka-uct,11493925666,-1,0,0,-1,-947912704,3235905536,-1,0,0,-1,16136526853,1777066064973,17319247173329
akka-uct,10850920017,-1,0,0,-1,2380267520,5618270208,-1,0,0,-1,27630966210,1777066064973,17319247173329
akka-uct,11019182006,-1,0,0,-1,-1602224128,4016046080,-1,0,0,-1,38482660562,1777066064973,17319247173329
akka-uct,10951140344,-1,0,0,-1,301989888,4305453056,-1,0,0,-1,49502716337,1777066064973,17319247173329
akka-uct,11013412388,-1,0,0,-1,161480704,4466933760,-1,0,0,-1,60454506718,1777066064973,17319247173329
akka-uct,11263438182,-1,0,0,-1,1067450368,5534384128,-1,0,0,-1,71468572554,1777066064973,17319247173329
akka-uct,11179502780,-1,0,0,-1,-6291456,5528092672,-1,0,0,-1,82732599225,1777066064973,17319247173329
akka-uct,10714421175,-1,0,0,-1,-1004535808,4523556864,-1,0,0,-1,93912698562,1777066064973,17319247173329
akka-uct,11215932514,-1,0,0,-1,-2111832064,2411724800,-1,0,0,-1,104627650126,1777066064973,17319247173329
akka-uct,11108213176,-1,0,0,-1,618659840,3032481792,-1,0,0,-1,115844204705,1777066064973,17319247173329
akka-uct,10902832832,-1,0,0,-1,316669952,3351248896,-1,0,0,-1,126953008041,1777066064973,17319247173329
akka-uct,10598418970,-1,0,0,-1,5519704064,8870952960,-1,0,0,-1,137856470935,1777066064973,17319247173329
akka-uct,11325542511,-1,0,0,-1,-6060769280,2810183680,-1,0,0,-1,148455233155,1777066064973,17319247173329
akka-uct,10665046049,-1,0,0,-1,2839543808,5649727488,-1,0,0,-1,159781192457,1777066064973,17319247173329
akka-uct,11354361921,-1,0,0,-1,-1497366528,4152360960,-1,0,0,-1,170446641196,1777066064973,17319247173329
akka-uct,10906688850,-1,0,0,-1,1547698176,5700059136,-1,0,0,-1,181801419473,1777066064973,17319247173329
akka-uct,10873106254,-1,0,0,-1,-939524096,4760535040,-1,0,0,-1,192708586263,1777066064973,17319247173329
akka-uct,10963844764,-1,0,0,-1,2181038080,6941573120,-1,0,0,-1,203582207614,1777066064973,17319247173329
akka-uct,11394052868,-1,0,0,-1,-54525952,6887047168,-1,0,0,-1,214546525329,1777066064973,17319247173329
akka-uct,10631753231,-1,0,0,-1,-88080384,6798966784,-1,0,0,-1,225940921142,1777066064973,17319247173329
akka-uct,10893592577,-1,0,0,-1,-3980394496,2818572288,-1,0,0,-1,236573040398,1777066064973,17319247173329
akka-uct,10951485604,-1,0,0,-1,1012924416,3831496704,-1,0,0,-1,247466977434,1777066064973,17319247173329
akka-uct,10631773988,-1,0,0,-1,2644508672,6476005376,-1,0,0,-1,258418856388,1777066064973,17319247173329
akka-uct,11185537783,-1,0,0,-1,-3722444800,2753560576,-1,0,0,-1,269050919154,1777066064973,17319247173329
akka-uct,10917648155,-1,0,0,-1,2155872256,4909432832,-1,0,0,-1,280236794709,1777066064973,17319247173329
akka-uct,10894356369,-1,0,0,-1,1103101952,6014631936,-1,0,0,-1,291155186166,1777066064973,17319247173329
akka-uct,10819649783,-1,0,0,-1,-994050048,5022679040,-1,0,0,-1,302050611513,1777066064973,17319247173329
akka-uct,10777693933,-1,0,0,-1,-570425344,4452253696,-1,0,0,-1,312870638610,1777066064973,17319247173329
akka-uct,10968096569,-1,0,0,-1,3839885312,8294236160,-1,0,0,-1,323648636633,1777066064973,17319247173329
akka-uct,11366567412,-1,0,0,-1,-1438646272,6855589888,-1,0,0,-1,334617065008,1777066064973,17319247173329
akka-uct,11099550447,-1,0,0,-1,-2906652672,3948937216,-1,0,0,-1,345983891642,1777066064973,17319247173329
akka-uct,10971818412,-1,0,0,-1,-639631360,3309305856,-1,0,0,-1,357083908436,1777066064973,17319247173329
akka-uct,10927053775,-1,0,0,-1,-257949696,3049259008,-1,0,0,-1,368056246407,1777066064973,17319247173329
akka-uct,11038236392,-1,0,0,-1,962592768,4011851776,-1,0,0,-1,378983646555,1777066064973,17319247173329
akka-uct,10672301347,-1,0,0,-1,1176502272,5184159744,-1,0,0,-1,390022414458,1777066064973,17319247173329
akka-uct,10900703761,-1,0,0,-1,497025024,5683281920,-1,0,0,-1,400695014849,1777066064973,17319247173329
akka-uct,10637767605,-1,0,0,-1,2088763392,7772045312,-1,0,0,-1,411596037671,1777066064973,17319247173329
akka-uct,11076389841,-1,0,0,-1,-2692743168,5079302144,-1,0,0,-1,422234102256,1777066064973,17319247173329
akka-uct,10795925655,-1,0,0,-1,-876609536,4202692608,-1,0,0,-1,433310877300,1777066064973,17319247173329
akka-uct,11277231327,-1,0,0,-1,-1103101952,3091202048,-1,0,0,-1,444107273084,1777066064973,17319247173329
akka-uct,10750024495,-1,0,0,-1,1050673152,4141875200,-1,0,0,-1,455384816632,1777066064973,17319247173329
akka-uct,10716856966,-1,0,0,-1,4078960640,8222932992,-1,0,0,-1,466135270794,1777066064973,17319247173329
akka-uct,11287639243,-1,0,0,-1,-4796186624,3428843520,-1,0,0,-1,476852467485,1777066064973,17319247173329
akka-uct,10721606845,-1,0,0,-1,436207616,3867148288,-1,0,0,-1,488140591261,1777066064973,17319247173329
