benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
db-shootout,7250014533,-1,0,0,-1,977272832,3594518528,-1,0,0,-1,11321005293,1777069780489,21034763173338
db-shootout,7430152962,-1,0,0,-1,39845888,3634364416,-1,0,0,-1,18573788983,1777069780489,21034763173338
db-shootout,6618168096,-1,0,0,-1,631242752,4265607168,-1,0,0,-1,26004539482,1777069780489,21034763173338
db-shootout,5368499898,-1,0,0,-1,-392167424,3873439744,-1,0,0,-1,32623233865,1777069780489,21034763173338
db-shootout,5781577106,-1,0,0,-1,-2067791872,1805647872,-1,0,0,-1,37992211788,1777069780489,21034763173338
db-shootout,5244775131,-1,0,0,-1,708837376,2514485248,-1,0,0,-1,43774384174,1777069780489,21034763173338
db-shootout,6093275465,-1,0,0,-1,-1056964608,1457520640,-1,0,0,-1,49019825111,1777069780489,21034763173338
db-shootout,6369040394,-1,0,0,-1,643825664,2101346304,-1,0,0,-1,55113575105,1777069780489,21034763173338
db-shootout,5746654677,-1,0,0,-1,648019968,2749366272,-1,0,0,-1,61483260932,1777069780489,21034763173338
db-shootout,5572136660,-1,0,0,-1,1438646272,4188012544,-1,0,0,-1,67230442240,1777069780489,21034763173338
db-shootout,5677555704,-1,0,0,-1,1656750080,5844762624,-1,0,0,-1,72803193983,1777069780489,21034763173338
db-shootout,5855186897,-1,0,0,-1,-2264924160,3579838464,-1,0,0,-1,78481468860,1777069780489,21034763173338
db-shootout,5676130682,-1,0,0,-1,-815792128,2764046336,-1,0,0,-1,84337353408,1777069780489,21034763173338
db-shootout,6165174791,-1,0,0,-1,3311403008,6075449344,-1,0,0,-1,90013973623,1777069780489,21034763173338
db-shootout,5732453651,-1,0,0,-1,-1642070016,4433379328,-1,0,0,-1,96179628962,1777069780489,21034763173338
db-shootout,5919293132,-1,0,0,-1,-2805989376,1627389952,-1,0,0,-1,101912545708,1777069780489,21034763173338
db-shootout,6008846510,-1,0,0,-1,2329935872,3957325824,-1,0,0,-1,107832508797,1777069780489,21034763173338
db-shootout,5654429289,-1,0,0,-1,190840832,4148166656,-1,0,0,-1,113841957161,1777069780489,21034763173338
db-shootout,6276871116,-1,0,0,-1,-2942304256,1205862400,-1,0,0,-1,119496869496,1777069780489,21034763173338
db-shootout,5926201346,-1,0,0,-1,1677721600,2883584000,-1,0,0,-1,125774196710,1777069780489,21034763173338
db-shootout,5964370231,-1,0,0,-1,-1933574144,950009856,-1,0,0,-1,131700855796,1777069780489,21034763173338
db-shootout,5375034336,-1,0,0,-1,6056574976,7002390528,-1,0,0,-1,137665665616,1777069780489,21034763173338
db-shootout,5201391454,-1,0,0,-1,-3795845120,3206545408,-1,0,0,-1,143041335568,1777069780489,21034763173338
db-shootout,5077294624,-1,0,0,-1,-1526726656,1679818752,-1,0,0,-1,148243311932,1777069780489,21034763173338
db-shootout,5951805134,-1,0,0,-1,4152360960,5832179712,-1,0,0,-1,153321044880,1777069780489,21034763173338
db-shootout,6054832410,-1,0,0,-1,-3183476736,2648702976,-1,0,0,-1,159273325701,1777069780489,21034763173338
db-shootout,5489210301,-1,0,0,-1,-813694976,1835008000,-1,0,0,-1,165328768829,1777069780489,21034763173338
db-shootout,5442271544,-1,0,0,-1,4053794816,5888802816,-1,0,0,-1,170818447593,1777069780489,21034763173338
db-shootout,5845215680,-1,0,0,-1,-576716800,5312086016,-1,0,0,-1,176261166337,1777069780489,21034763173338
db-shootout,5576179920,-1,0,0,-1,-3131047936,2183135232,-1,0,0,-1,182106914637,1777069780489,21034763173338
db-shootout,5701340230,-1,0,0,-1,-1040187392,1142947840,-1,0,0,-1,187683692501,1777069780489,21034763173338
db-shootout,5555730689,-1,0,0,-1,4741660672,5884608512,-1,0,0,-1,193385629923,1777069780489,21034763173338
db-shootout,5860350042,-1,0,0,-1,-4284481536,1600126976,-1,0,0,-1,198941988663,1777069780489,21034763173338
db-shootout,5455464510,-1,0,0,-1,6075449344,7675576320,-1,0,0,-1,204802814357,1777069780489,21034763173338
db-shootout,7037663929,-1,0,0,-1,-6530531328,1145044992,-1,0,0,-1,210258708023,1777069780489,21034763173338
db-shootout,5630601073,-1,0,0,-1,1818230784,2963275776,-1,0,0,-1,217296846320,1777069780489,21034763173338
db-shootout,5859218595,-1,0,0,-1,1457520640,4420796416,-1,0,0,-1,222928063340,1777069780489,21034763173338
db-shootout,5729916172,-1,0,0,-1,-2006974464,2413821952,-1,0,0,-1,228787760754,1777069780489,21034763173338
db-shootout,5485947509,-1,0,0,-1,98566144,2512388096,-1,0,0,-1,234518274904,1777069780489,21034763173338
db-shootout,6067851612,-1,0,0,-1,3323985920,5836374016,-1,0,0,-1,240004680978,1777069780489,21034763173338
db-shootout,5975900989,-1,0,0,-1,-4458545152,1377828864,-1,0,0,-1,246073024652,1777069780489,21034763173338
db-shootout,6011514972,-1,0,0,-1,1960837120,3338665984,-1,0,0,-1,252049415105,1777069780489,21034763173338
db-shootout,5910909460,-1,0,0,-1,903872512,4242538496,-1,0,0,-1,258061621255,1777069780489,21034763173338
db-shootout,6650600839,-1,0,0,-1,1105199104,5349834752,-1,0,0,-1,263973128578,1777069780489,21034763173338
db-shootout,5270482652,-1,0,0,-1,-639631360,4710203392,-1,0,0,-1,270624199709,1777069780489,21034763173338
db-shootout,5163486256,-1,0,0,-1,-2170552320,2541748224,-1,0,0,-1,275895244499,1777069780489,21034763173338
db-shootout,5806392951,-1,0,0,-1,2449473536,4991221760,-1,0,0,-1,281059320180,1777069780489,21034763173338
db-shootout,6122538685,-1,0,0,-1,-1035993088,3955228672,-1,0,0,-1,286866228274,1777069780489,21034763173338
db-shootout,5722435586,-1,0,0,-1,379584512,4334813184,-1,0,0,-1,292989198248,1777069780489,21034763173338
db-shootout,5821619152,-1,0,0,-1,-419430400,3917479936,-1,0,0,-1,298712144774,1777069780489,21034763173338
db-shootout,5723720494,-1,0,0,-1,1134559232,5052039168,-1,0,0,-1,304534270286,1777069780489,21034763173338
db-shootout,5847903295,-1,0,0,-1,-673185792,4378853376,-1,0,0,-1,310258448895,1777069780489,21034763173338
db-shootout,5649923894,-1,0,0,-1,937426944,5318377472,-1,0,0,-1,316106807430,1777069780489,21034763173338
db-shootout,6482987458,-1,0,0,-1,-2195718144,3122659328,-1,0,0,-1,321757178915,1777069780489,21034763173338
db-shootout,5566917794,-1,0,0,-1,3353346048,6476005376,-1,0,0,-1,328240726694,1777069780489,21034763173338
db-shootout,6500426351,-1,0,0,-1,-1952448512,4523556864,-1,0,0,-1,333808115001,1777069780489,21034763173338
db-shootout,5798601850,-1,0,0,-1,54525952,4578082816,-1,0,0,-1,340309089153,1777069780489,21034763173338
db-shootout,5540989226,-1,0,0,-1,-1157627904,3420454912,-1,0,0,-1,346108157450,1777069780489,21034763173338
db-shootout,6408310664,-1,0,0,-1,2510290944,5930745856,-1,0,0,-1,351649528622,1777069780489,21034763173338
db-shootout,5731438255,-1,0,0,-1,-1184890880,4745854976,-1,0,0,-1,358058254674,1777069780489,21034763173338
db-shootout,5715970014,-1,0,0,-1,958398464,5704253440,-1,0,0,-1,363790201358,1777069780489,21034763173338
db-shootout,5551272815,-1,0,0,-1,-1583349760,4120903680,-1,0,0,-1,369506654473,1777069780489,21034763173338
db-shootout,5721951960,-1,0,0,-1,327155712,4448059392,-1,0,0,-1,375058312818,1777069780489,21034763173338
db-shootout,6373225706,-1,0,0,-1,140509184,4588568576,-1,0,0,-1,380780639826,1777069780489,21034763173338
db-shootout,5703667523,-1,0,0,-1,176160768,4764729344,-1,0,0,-1,387154310537,1777069780489,21034763173338
db-shootout,5565302542,-1,0,0,-1,-2367684608,2397044736,-1,0,0,-1,392858442267,1777069780489,21034763173338
db-shootout,5094922905,-1,0,0,-1,3208642560,5605687296,-1,0,0,-1,398424093112,1777069780489,21034763173338
db-shootout,6190221077,-1,0,0,-1,318767104,5924454400,-1,0,0,-1,403520549753,1777069780489,21034763173338
db-shootout,5698433026,-1,0,0,-1,-929038336,4995416064,-1,0,0,-1,409711107754,1777069780489,21034763173338
db-shootout,6069304898,-1,0,0,-1,-3183476736,1811939328,-1,0,0,-1,415409942700,1777069780489,21034763173338
db-shootout,5438793202,-1,0,0,-1,1166016512,2977955840,-1,0,0,-1,421479599059,1777069780489,21034763173338
db-shootout,5436147506,-1,0,0,-1,771751936,3749707776,-1,0,0,-1,426918788284,1777069780489,21034763173338
db-shootout,5688019700,-1,0,0,-1,-2013265920,1736441856,-1,0,0,-1,432355361388,1777069780489,21034763173338
db-shootout,5518993361,-1,0,0,-1,3743416320,5479858176,-1,0,0,-1,438043800721,1777069780489,21034763173338
db-shootout,5932252968,-1,0,0,-1,-444596224,5035261952,-1,0,0,-1,443563184194,1777069780489,21034763173338
db-shootout,6716136479,-1,0,0,-1,-3665821696,1369440256,-1,0,0,-1,449495791081,1777069780489,21034763173338
db-shootout,5378357873,-1,0,0,-1,1858076672,3227516928,-1,0,0,-1,456212298517,1777069780489,21034763173338
db-shootout,4938975775,-1,0,0,-1,-1681915904,1545601024,-1,0,0,-1,461591030501,1777069780489,21034763173338
db-shootout,5061359197,-1,0,0,-1,2761949184,4307550208,-1,0,0,-1,466530399154,1777069780489,21034763173338
db-shootout,5427786818,-1,0,0,-1,2598371328,6905921536,-1,0,0,-1,471592151305,1777069780489,21034763173338
db-shootout,5477426825,-1,0,0,-1,-1967128576,4940890112,-1,0,0,-1,477020303582,1777069780489,21034763173338
db-shootout,5372470448,-1,0,0,-1,444596224,5385486336,-1,0,0,-1,482498083504,1777069780489,21034763173338
db-shootout,5544778628,-1,0,0,-1,-801112064,4584374272,-1,0,0,-1,487870907350,1777069780489,21034763173338
db-shootout,5930078011,-1,0,0,-1,-3384803328,1199570944,-1,0,0,-1,493416037337,1777069780489,21034763173338
db-shootout,5582525005,-1,0,0,-1,4060086272,5259657216,-1,0,0,-1,499346503334,1777069780489,21034763173338
db-shootout,5853524498,-1,0,0,-1,-1046478848,4213178368,-1,0,0,-1,504929392520,1777069780489,21034763173338
db-shootout,5465836692,-1,0,0,-1,-1436549120,2776629248,-1,0,0,-1,510783330188,1777069780489,21034763173338
