>>> Starting benchmark: dec-tree
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/dec-tree
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
NOTE: 'dec-tree' benchmark uses Spark local executor with 6 (out of 8) threads.
====== dec-tree (apache-spark) [default], iteration 0 started ======
====== dec-tree (apache-spark) [default], iteration 0 completed (8124.235 ms) ======
====== dec-tree (apache-spark) [default], iteration 1 started ======
====== dec-tree (apache-spark) [default], iteration 1 completed (1654.442 ms) ======
====== dec-tree (apache-spark) [default], iteration 2 started ======
====== dec-tree (apache-spark) [default], iteration 2 completed (1643.820 ms) ======
====== dec-tree (apache-spark) [default], iteration 3 started ======
====== dec-tree (apache-spark) [default], iteration 3 completed (1185.745 ms) ======
====== dec-tree (apache-spark) [default], iteration 4 started ======
====== dec-tree (apache-spark) [default], iteration 4 completed (1126.969 ms) ======
====== dec-tree (apache-spark) [default], iteration 5 started ======
====== dec-tree (apache-spark) [default], iteration 5 completed (1433.047 ms) ======
====== dec-tree (apache-spark) [default], iteration 6 started ======
====== dec-tree (apache-spark) [default], iteration 6 completed (1118.989 ms) ======
====== dec-tree (apache-spark) [default], iteration 7 started ======
====== dec-tree (apache-spark) [default], iteration 7 completed (961.906 ms) ======
