benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
dotty,12191961216,-1,0,0,-1,-134217728,335544320,-1,0,0,-1,1455954688,1777078449614,29703888173317
dotty,4318524678,-1,0,0,-1,348127232,685768704,-1,0,0,-1,14396748976,1777078449614,29703888173317
dotty,3240906738,-1,0,0,-1,306184192,991952896,-1,0,0,-1,19465082867,1777078449614,29703888173317
dotty,2680404060,-1,0,0,-1,301989888,1293942784,-1,0,0,-1,23428514531,1777078449614,29703888173317
dotty,2254135842,-1,0,0,-1,297795584,1591738368,-1,0,0,-1,26854299630,1777078449614,29703888173317
dotty,2535412814,-1,0,0,-1,-1119879168,473956352,-1,0,0,-1,29830625304,1777078449614,29703888173317
dotty,1682297357,-1,0,0,-1,322961408,799014912,-1,0,0,-1,33098700853,1777078449614,29703888173317
dotty,1534955139,-1,0,0,-1,289406976,1090519040,-1,0,0,-1,35498111483,1777078449614,29703888173317
dotty,1371875491,-1,0,0,-1,289406976,1382023168,-1,0,0,-1,37744802080,1777078449614,29703888173317
dotty,1333854989,-1,0,0,-1,289406976,1671430144,-1,0,0,-1,39828304243,1777078449614,29703888173317
dotty,1275646428,-1,0,0,-1,287309824,1960837120,-1,0,0,-1,41874903616,1777078449614,29703888173317
dotty,1496035142,-1,0,0,-1,287309824,2250244096,-1,0,0,-1,43866497749,1777078449614,29703888173317
dotty,1475995612,-1,0,0,-1,287309824,2539651072,-1,0,0,-1,46073400337,1777078449614,29703888173317
dotty,1452214206,-1,0,0,-1,285212672,2826960896,-1,0,0,-1,48266869761,1777078449614,29703888173317
dotty,1421015266,-1,0,0,-1,287309824,3116367872,-1,0,0,-1,50429750261,1777078449614,29703888173317
dotty,1413865430,-1,0,0,-1,322961408,3441426432,-1,0,0,-1,52571446710,1777078449614,29703888173317
dotty,1350422283,-1,0,0,-1,-2856321024,585105408,-1,0,0,-1,54752099928,1777078449614,29703888173317
dotty,1223113402,-1,0,0,-1,287309824,872415232,-1,0,0,-1,56813459634,1777078449614,29703888173317
dotty,1163907824,-1,0,0,-1,287309824,1161822208,-1,0,0,-1,58760627022,1777078449614,29703888173317
dotty,1138918163,-1,0,0,-1,289406976,1451229184,-1,0,0,-1,60637039583,1777078449614,29703888173317
dotty,1141020309,-1,0,0,-1,285212672,1736441856,-1,0,0,-1,62487288521,1777078449614,29703888173317
dotty,1126082247,-1,0,0,-1,285212672,2023751680,-1,0,0,-1,64341457137,1777078449614,29703888173317
dotty,1152407472,-1,0,0,-1,285212672,2311061504,-1,0,0,-1,66177396498,1777078449614,29703888173317
dotty,1106314491,-1,0,0,-1,285212672,2598371328,-1,0,0,-1,68045952012,1777078449614,29703888173317
dotty,1094386245,-1,0,0,-1,287309824,2885681152,-1,0,0,-1,69864669565,1777078449614,29703888173317
dotty,1102540045,-1,0,0,-1,318767104,3204448256,-1,0,0,-1,71669738470,1777078449614,29703888173317
dotty,1079299367,-1,0,0,-1,285212672,3491758080,-1,0,0,-1,73497182017,1777078449614,29703888173317
dotty,1285444436,-1,0,0,-1,285212672,3779067904,-1,0,0,-1,75293438077,1777078449614,29703888173317
dotty,1520362163,-1,0,0,-1,285212672,4064280576,-1,0,0,-1,77289294127,1777078449614,29703888173317
dotty,1295468825,-1,0,0,-1,285212672,4351590400,-1,0,0,-1,79571532910,1777078449614,29703888173317
dotty,1250050411,-1,0,0,-1,285212672,4638900224,-1,0,0,-1,81576230611,1777078449614,29703888173317
dotty,1267151955,-1,0,0,-1,285212672,4924112896,-1,0,0,-1,83535184182,1777078449614,29703888173317
dotty,1300437787,-1,0,0,-1,285212672,5209325568,-1,0,0,-1,85513377008,1777078449614,29703888173317
dotty,1156491134,-1,0,0,-1,312475648,610271232,-1,0,0,-1,87561549614,1777078449614,29703888173317
dotty,1046482623,-1,0,0,-1,285212672,895483904,-1,0,0,-1,89428144251,1777078449614,29703888173317
dotty,1060532164,-1,0,0,-1,285212672,1182793728,-1,0,0,-1,91196124411,1777078449614,29703888173317
dotty,1048311702,-1,0,0,-1,285212672,1468006400,-1,0,0,-1,92967670040,1777078449614,29703888173317
dotty,1030204106,-1,0,0,-1,285212672,1753219072,-1,0,0,-1,94724443969,1777078449614,29703888173317
dotty,1033173257,-1,0,0,-1,285212672,2040528896,-1,0,0,-1,96464148403,1777078449614,29703888173317
dotty,1040792930,-1,0,0,-1,285212672,2325741568,-1,0,0,-1,98206661024,1777078449614,29703888173317
dotty,1035436058,-1,0,0,-1,285212672,2613051392,-1,0,0,-1,99957687865,1777078449614,29703888173317
dotty,1028860699,-1,0,0,-1,285212672,2898264064,-1,0,0,-1,101702406683,1777078449614,29703888173317
dotty,1035681050,-1,0,0,-1,318767104,3217031168,-1,0,0,-1,103442431945,1777078449614,29703888173317
dotty,1009674354,-1,0,0,-1,283115520,3502243840,-1,0,0,-1,105192066089,1777078449614,29703888173317
dotty,1019900943,-1,0,0,-1,285212672,3789553664,-1,0,0,-1,106919491671,1777078449614,29703888173317
dotty,995017781,-1,0,0,-1,285212672,4074766336,-1,0,0,-1,108656729420,1777078449614,29703888173317
dotty,1015445523,-1,0,0,-1,285212672,4359979008,-1,0,0,-1,110361185911,1777078449614,29703888173317
dotty,1008715138,-1,0,0,-1,283115520,4645191680,-1,0,0,-1,112086603280,1777078449614,29703888173317
dotty,1009653233,-1,0,0,-1,285212672,4932501504,-1,0,0,-1,113803894629,1777078449614,29703888173317
dotty,997511753,-1,0,0,-1,285212672,5217714176,-1,0,0,-1,115523425357,1777078449614,29703888173317
dotty,1172498494,-1,0,0,-1,285212672,5502926848,-1,0,0,-1,117230989009,1777078449614,29703888173317
dotty,1184707605,-1,0,0,-1,316669952,5821693952,-1,0,0,-1,119120296408,1777078449614,29703888173317
dotty,1170385482,-1,0,0,-1,283115520,6106906624,-1,0,0,-1,121014319488,1777078449614,29703888173317
dotty,1193944890,-1,0,0,-1,285212672,6394216448,-1,0,0,-1,122894114825,1777078449614,29703888173317
dotty,1172494076,-1,0,0,-1,285212672,6679429120,-1,0,0,-1,124799636971,1777078449614,29703888173317
dotty,1181902958,-1,0,0,-1,285212672,6964641792,-1,0,0,-1,126680783209,1777078449614,29703888173317
dotty,1174698573,-1,0,0,-1,285212672,7249854464,-1,0,0,-1,128572298527,1777078449614,29703888173317
dotty,1165073542,-1,0,0,-1,283115520,7532969984,-1,0,0,-1,130456337818,1777078449614,29703888173317
dotty,1173051141,-1,0,0,-1,283115520,7818182656,-1,0,0,-1,132332154128,1777078449614,29703888173317
dotty,1148482056,-1,0,0,-1,283115520,8103395328,-1,0,0,-1,134213806407,1777078449614,29703888173317
dotty,1143473778,-1,0,0,-1,316669952,8422162432,-1,0,0,-1,136073504539,1777078449614,29703888173317
dotty,1171896946,-1,0,0,-1,283115520,8707375104,-1,0,0,-1,137925919852,1777078449614,29703888173317
dotty,1152161456,-1,0,0,-1,285212672,8994684928,-1,0,0,-1,139809190145,1777078449614,29703888173317
dotty,1174015682,-1,0,0,-1,285212672,9279897600,-1,0,0,-1,141670959596,1777078449614,29703888173317
dotty,1162668980,-1,0,0,-1,285212672,9565110272,-1,0,0,-1,143556661788,1777078449614,29703888173317
dotty,1199717542,-1,0,0,-1,285212672,9850322944,-1,0,0,-1,145429242137,1777078449614,29703888173317
dotty,1151271534,-1,0,0,-1,285212672,10135535616,-1,0,0,-1,147342208816,1777078449614,29703888173317
dotty,1147610457,-1,0,0,-1,285212672,10420748288,-1,0,0,-1,149204982115,1777078449614,29703888173317
dotty,1163721458,-1,0,0,-1,285212672,10705960960,-1,0,0,-1,151064304718,1777078449614,29703888173317
dotty,1158417403,-1,0,0,-1,318767104,11024728064,-1,0,0,-1,152940031672,1777078449614,29703888173317
dotty,1147918748,-1,0,0,-1,285212672,11309940736,-1,0,0,-1,154812633676,1777078449614,29703888173317
dotty,1159828998,-1,0,0,-1,283115520,11595153408,-1,0,0,-1,156672850494,1777078449614,29703888173317
dotty,1153893646,-1,0,0,-1,283115520,11880366080,-1,0,0,-1,158546180359,1777078449614,29703888173317
dotty,1149401456,-1,0,0,-1,281018368,12163481600,-1,0,0,-1,160414015135,1777078449614,29703888173317
dotty,1170718360,-1,0,0,-1,283115520,12448694272,-1,0,0,-1,162276674776,1777078449614,29703888173317
dotty,1150570300,-1,0,0,-1,283115520,12733906944,-1,0,0,-1,164161378649,1777078449614,29703888173317
dotty,1154691089,-1,0,0,-1,283115520,13019119616,-1,0,0,-1,166028619950,1777078449614,29703888173317
