benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
finagle-chirper,13370310731,-1,0,0,-1,2829058048,2936012800,-1,0,0,-1,3598265078,1777079060501,30314775173324
finagle-chirper,5268599840,-1,0,0,-1,4840226816,5125439488,-1,0,0,-1,16997739314,1777079060501,30314775173324
finagle-chirper,4677986729,-1,0,0,-1,-301989888,4831838208,-1,0,0,-1,22279700526,1777079060501,30314775173324
finagle-chirper,5167257716,-1,0,0,-1,4710203392,9550430208,-1,0,0,-1,26969231276,1777079060501,30314775173324
finagle-chirper,4502528413,-1,0,0,-1,-5926551552,3630170112,-1,0,0,-1,32146915050,1777079060501,30314775173324
finagle-chirper,4464252125,-1,0,0,-1,4586471424,8222932992,-1,0,0,-1,36661254280,1777079060501,30314775173324
finagle-chirper,4675971787,-1,0,0,-1,4567597056,12798918656,-1,0,0,-1,41131968859,1777079060501,30314775173324
finagle-chirper,4177146832,-1,0,0,-1,-8728346624,4078960640,-1,0,0,-1,45818389639,1777079060501,30314775173324
finagle-chirper,4085550921,-1,0,0,-1,4483710976,8571060224,-1,0,0,-1,50002113009,1777079060501,30314775173324
finagle-chirper,4105094206,-1,0,0,-1,4404019200,12983468032,-1,0,0,-1,54094128382,1777079060501,30314775173324
finagle-chirper,4164623597,-1,0,0,-1,-9768534016,3225419776,-1,0,0,-1,58205651652,1777079060501,30314775173324
finagle-chirper,4064940953,-1,0,0,-1,4351590400,7585398784,-1,0,0,-1,62377725912,1777079060501,30314775173324
finagle-chirper,4091679473,-1,0,0,-1,4351590400,11945377792,-1,0,0,-1,66449158454,1777079060501,30314775173324
finagle-chirper,4185761219,-1,0,0,-1,-10599006208,1354760192,-1,0,0,-1,70547595686,1777079060501,30314775173324
finagle-chirper,3912931559,-1,0,0,-1,4292870144,5653921792,-1,0,0,-1,74739955172,1777079060501,30314775173324
finagle-chirper,3864312344,-1,0,0,-1,4265607168,9927917568,-1,0,0,-1,78659282545,1777079060501,30314775173324
finagle-chirper,3848827471,-1,0,0,-1,4238344192,14174650368,-1,0,0,-1,82529977349,1777079060501,30314775173324
finagle-chirper,3892620875,-1,0,0,-1,-10783555584,3399483392,-1,0,0,-1,86385479940,1777079060501,30314775173324
finagle-chirper,3912998005,-1,0,0,-1,4148166656,7556038656,-1,0,0,-1,90284385470,1777079060501,30314775173324
finagle-chirper,3807916242,-1,0,0,-1,4127195136,11689525248,-1,0,0,-1,94203645856,1777079060501,30314775173324
finagle-chirper,3854755373,-1,0,0,-1,-10437525504,1260388352,-1,0,0,-1,98017942140,1777079060501,30314775173324
finagle-chirper,3961120087,-1,0,0,-1,1119879168,2386558976,-1,0,0,-1,101879224136,1777079060501,30314775173324
finagle-chirper,3768097886,-1,0,0,-1,4095737856,6488588288,-1,0,0,-1,105847110978,1777079060501,30314775173324
finagle-chirper,3686521474,-1,0,0,-1,4081057792,10578034688,-1,0,0,-1,109621356206,1777079060501,30314775173324
finagle-chirper,3648363418,-1,0,0,-1,4070572032,14656995328,-1,0,0,-1,113314272797,1777079060501,30314775173324
finagle-chirper,3632110712,-1,0,0,-1,-10729029632,3936354304,-1,0,0,-1,116968802012,1777079060501,30314775173324
finagle-chirper,3709484279,-1,0,0,-1,4081057792,8023703552,-1,0,0,-1,120607412875,1777079060501,30314775173324
finagle-chirper,3692465214,-1,0,0,-1,4072669184,12102664192,-1,0,0,-1,124323176920,1777079060501,30314775173324
finagle-chirper,3622580184,-1,0,0,-1,-10802429952,1308622848,-1,0,0,-1,128022071189,1777079060501,30314775173324
finagle-chirper,3518258944,-1,0,0,-1,3948937216,5265948672,-1,0,0,-1,131651404374,1777079060501,30314775173324
finagle-chirper,3449753325,-1,0,0,-1,3972005888,9246343168,-1,0,0,-1,135175835553,1777079060501,30314775173324
finagle-chirper,3486325874,-1,0,0,-1,3934257152,13188988928,-1,0,0,-1,138631697557,1777079060501,30314775173324
finagle-chirper,3482653602,-1,0,0,-1,-10919870464,2277507072,-1,0,0,-1,142127457801,1777079060501,30314775173324
finagle-chirper,3531037423,-1,0,0,-1,3930062848,6213861376,-1,0,0,-1,145617018497,1777079060501,30314775173324
finagle-chirper,3475942977,-1,0,0,-1,3936354304,10158604288,-1,0,0,-1,149154134661,1777079060501,30314775173324
finagle-chirper,3498230083,-1,0,0,-1,3938451456,14105444352,-1,0,0,-1,152636445215,1777079060501,30314775173324
finagle-chirper,3334083238,-1,0,0,-1,-10802429952,3309305856,-1,0,0,-1,156141192239,1777079060501,30314775173324
finagle-chirper,3376344314,-1,0,0,-1,3841982464,7159676928,-1,0,0,-1,159481749508,1777079060501,30314775173324
finagle-chirper,3320911551,-1,0,0,-1,3835691008,11003756544,-1,0,0,-1,162864295327,1777079060501,30314775173324
finagle-chirper,3362746250,-1,0,0,-1,3860856832,14873001984,-1,0,0,-1,166191525644,1777079060501,30314775173324
finagle-chirper,3450588986,-1,0,0,-1,-10443816960,4435476480,-1,0,0,-1,169562035383,1777079060501,30314775173324
finagle-chirper,3492711895,-1,0,0,-1,3846176768,8287944704,-1,0,0,-1,173023482455,1777079060501,30314775173324
finagle-chirper,3334950462,-1,0,0,-1,3837788160,12134121472,-1,0,0,-1,176522276558,1777079060501,30314775173324
finagle-chirper,3440044098,-1,0,0,-1,-10775166976,1367343104,-1,0,0,-1,179864769321,1777079060501,30314775173324
finagle-chirper,3420870991,-1,0,0,-1,3833593856,5207228416,-1,0,0,-1,183311080024,1777079060501,30314775173324
finagle-chirper,3455559951,-1,0,0,-1,3806330880,9021947904,-1,0,0,-1,186738224891,1777079060501,30314775173324
