>>> Starting benchmark: finagle-http
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/finagle-http
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
finagle-http on :43023 spawning 8 client and default number of server workers.
====== finagle-http (web) [default], iteration 0 started ======
====== finagle-http (web) [default], iteration 0 completed (14543.524 ms) ======
====== finagle-http (web) [default], iteration 1 started ======
====== finagle-http (web) [default], iteration 1 completed (6885.964 ms) ======
====== finagle-http (web) [default], iteration 2 started ======
====== finagle-http (web) [default], iteration 2 completed (4701.049 ms) ======
====== finagle-http (web) [default], iteration 3 started ======
====== finagle-http (web) [default], iteration 3 completed (5199.491 ms) ======
====== finagle-http (web) [default], iteration 4 started ======
====== finagle-http (web) [default], iteration 4 completed (4794.211 ms) ======
====== finagle-http (web) [default], iteration 5 started ======
====== finagle-http (web) [default], iteration 5 completed (4541.229 ms) ======
====== finagle-http (web) [default], iteration 6 started ======
====== finagle-http (web) [default], iteration 6 completed (4730.622 ms) ======
====== finagle-http (web) [default], iteration 7 started ======
====== finagle-http (web) [default], iteration 7 completed (4501.285 ms) ======
====== finagle-http (web) [default], iteration 8 started ======
====== finagle-http (web) [default], iteration 8 completed (4442.810 ms) ======
====== finagle-http (web) [default], iteration 9 started ======
====== finagle-http (web) [default], iteration 9 completed (4663.508 ms) ======
====== finagle-http (web) [default], iteration 10 started ======
====== finagle-http (web) [default], iteration 10 completed (4778.473 ms) ======
====== finagle-http (web) [default], iteration 11 started ======
====== finagle-http (web) [default], iteration 11 completed (4678.283 ms) ======
====== finagle-http (web) [default], iteration 12 started ======
====== finagle-http (web) [default], iteration 12 completed (4692.252 ms) ======
====== finagle-http (web) [default], iteration 13 started ======
====== finagle-http (web) [default], iteration 13 completed (4605.005 ms) ======
====== finagle-http (web) [default], iteration 14 started ======
====== finagle-http (web) [default], iteration 14 completed (4567.109 ms) ======
====== finagle-http (web) [default], iteration 15 started ======
====== finagle-http (web) [default], iteration 15 completed (4564.007 ms) ======
====== finagle-http (web) [default], iteration 16 started ======
====== finagle-http (web) [default], iteration 16 completed (4713.580 ms) ======
====== finagle-http (web) [default], iteration 17 started ======
====== finagle-http (web) [default], iteration 17 completed (4652.618 ms) ======
====== finagle-http (web) [default], iteration 18 started ======
====== finagle-http (web) [default], iteration 18 completed (4686.337 ms) ======
====== finagle-http (web) [default], iteration 19 started ======
====== finagle-http (web) [default], iteration 19 completed (4592.201 ms) ======
====== finagle-http (web) [default], iteration 20 started ======
====== finagle-http (web) [default], iteration 20 completed (4689.374 ms) ======
====== finagle-http (web) [default], iteration 21 started ======
====== finagle-http (web) [default], iteration 21 completed (4551.208 ms) ======
====== finagle-http (web) [default], iteration 22 started ======
====== finagle-http (web) [default], iteration 22 completed (4565.666 ms) ======
====== finagle-http (web) [default], iteration 23 started ======
====== finagle-http (web) [default], iteration 23 completed (4634.450 ms) ======
====== finagle-http (web) [default], iteration 24 started ======
====== finagle-http (web) [default], iteration 24 completed (4691.072 ms) ======
====== finagle-http (web) [default], iteration 25 started ======
====== finagle-http (web) [default], iteration 25 completed (4660.558 ms) ======
====== finagle-http (web) [default], iteration 26 started ======
====== finagle-http (web) [default], iteration 26 completed (4654.808 ms) ======
====== finagle-http (web) [default], iteration 27 started ======
====== finagle-http (web) [default], iteration 27 completed (4560.341 ms) ======
====== finagle-http (web) [default], iteration 28 started ======
====== finagle-http (web) [default], iteration 28 completed (4566.141 ms) ======
====== finagle-http (web) [default], iteration 29 started ======
====== finagle-http (web) [default], iteration 29 completed (4621.476 ms) ======
====== finagle-http (web) [default], iteration 30 started ======
====== finagle-http (web) [default], iteration 30 completed (4675.086 ms) ======
====== finagle-http (web) [default], iteration 31 started ======
====== finagle-http (web) [default], iteration 31 completed (4658.789 ms) ======
====== finagle-http (web) [default], iteration 32 started ======
====== finagle-http (web) [default], iteration 32 completed (4666.376 ms) ======
====== finagle-http (web) [default], iteration 33 started ======
====== finagle-http (web) [default], iteration 33 completed (4568.625 ms) ======
====== finagle-http (web) [default], iteration 34 started ======
====== finagle-http (web) [default], iteration 34 completed (4557.122 ms) ======
====== finagle-http (web) [default], iteration 35 started ======
====== finagle-http (web) [default], iteration 35 completed (4601.661 ms) ======
====== finagle-http (web) [default], iteration 36 started ======
====== finagle-http (web) [default], iteration 36 completed (4650.165 ms) ======
====== finagle-http (web) [default], iteration 37 started ======
====== finagle-http (web) [default], iteration 37 completed (4702.385 ms) ======
====== finagle-http (web) [default], iteration 38 started ======
====== finagle-http (web) [default], iteration 38 completed (4578.770 ms) ======
====== finagle-http (web) [default], iteration 39 started ======
====== finagle-http (web) [default], iteration 39 completed (4586.687 ms) ======
====== finagle-http (web) [default], iteration 40 started ======
====== finagle-http (web) [default], iteration 40 completed (4631.835 ms) ======
====== finagle-http (web) [default], iteration 41 started ======
====== finagle-http (web) [default], iteration 41 completed (4655.204 ms) ======
====== finagle-http (web) [default], iteration 42 started ======
====== finagle-http (web) [default], iteration 42 completed (4665.543 ms) ======
====== finagle-http (web) [default], iteration 43 started ======
====== finagle-http (web) [default], iteration 43 completed (4611.343 ms) ======
====== finagle-http (web) [default], iteration 44 started ======
====== finagle-http (web) [default], iteration 44 completed (4587.296 ms) ======
====== finagle-http (web) [default], iteration 45 started ======
====== finagle-http (web) [default], iteration 45 completed (4562.900 ms) ======
====== finagle-http (web) [default], iteration 46 started ======
====== finagle-http (web) [default], iteration 46 completed (4642.073 ms) ======
====== finagle-http (web) [default], iteration 47 started ======
====== finagle-http (web) [default], iteration 47 completed (4669.234 ms) ======
====== finagle-http (web) [default], iteration 48 started ======
====== finagle-http (web) [default], iteration 48 completed (4677.670 ms) ======
====== finagle-http (web) [default], iteration 49 started ======
====== finagle-http (web) [default], iteration 49 completed (4611.346 ms) ======
====== finagle-http (web) [default], iteration 50 started ======
====== finagle-http (web) [default], iteration 50 completed (4587.546 ms) ======
====== finagle-http (web) [default], iteration 51 started ======
====== finagle-http (web) [default], iteration 51 completed (4690.194 ms) ======
====== finagle-http (web) [default], iteration 52 started ======
====== finagle-http (web) [default], iteration 52 completed (4594.505 ms) ======
====== finagle-http (web) [default], iteration 53 started ======
====== finagle-http (web) [default], iteration 53 completed (4561.778 ms) ======
====== finagle-http (web) [default], iteration 54 started ======
====== finagle-http (web) [default], iteration 54 completed (4626.168 ms) ======
====== finagle-http (web) [default], iteration 55 started ======
====== finagle-http (web) [default], iteration 55 completed (4670.038 ms) ======
====== finagle-http (web) [default], iteration 56 started ======
====== finagle-http (web) [default], iteration 56 completed (4673.460 ms) ======
====== finagle-http (web) [default], iteration 57 started ======
====== finagle-http (web) [default], iteration 57 completed (4618.093 ms) ======
====== finagle-http (web) [default], iteration 58 started ======
====== finagle-http (web) [default], iteration 58 completed (4556.179 ms) ======
====== finagle-http (web) [default], iteration 59 started ======
====== finagle-http (web) [default], iteration 59 completed (4552.794 ms) ======
====== finagle-http (web) [default], iteration 60 started ======
====== finagle-http (web) [default], iteration 60 completed (4629.243 ms) ======
====== finagle-http (web) [default], iteration 61 started ======
====== finagle-http (web) [default], iteration 61 completed (4662.343 ms) ======
====== finagle-http (web) [default], iteration 62 started ======
====== finagle-http (web) [default], iteration 62 completed (4660.412 ms) ======
====== finagle-http (web) [default], iteration 63 started ======
====== finagle-http (web) [default], iteration 63 completed (4630.737 ms) ======
====== finagle-http (web) [default], iteration 64 started ======
====== finagle-http (web) [default], iteration 64 completed (4703.874 ms) ======
====== finagle-http (web) [default], iteration 65 started ======
====== finagle-http (web) [default], iteration 65 completed (4566.874 ms) ======
====== finagle-http (web) [default], iteration 66 started ======
====== finagle-http (web) [default], iteration 66 completed (4567.903 ms) ======
====== finagle-http (web) [default], iteration 67 started ======
====== finagle-http (web) [default], iteration 67 completed (4615.425 ms) ======
====== finagle-http (web) [default], iteration 68 started ======
====== finagle-http (web) [default], iteration 68 completed (4657.659 ms) ======
====== finagle-http (web) [default], iteration 69 started ======
====== finagle-http (web) [default], iteration 69 completed (4668.087 ms) ======
====== finagle-http (web) [default], iteration 70 started ======
