>>> Starting benchmark: fj-kmeans
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/fj-kmeans
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== fj-kmeans (concurrency) [default], iteration 0 started ======
====== fj-kmeans (concurrency) [default], iteration 0 completed (5791.724 ms) ======
====== fj-kmeans (concurrency) [default], iteration 1 started ======
====== fj-kmeans (concurrency) [default], iteration 1 completed (4695.770 ms) ======
====== fj-kmeans (concurrency) [default], iteration 2 started ======
====== fj-kmeans (concurrency) [default], iteration 2 completed (4743.152 ms) ======
====== fj-kmeans (concurrency) [default], iteration 3 started ======
====== fj-kmeans (concurrency) [default], iteration 3 completed (4430.160 ms) ======
====== fj-kmeans (concurrency) [default], iteration 4 started ======
====== fj-kmeans (concurrency) [default], iteration 4 completed (4244.228 ms) ======
====== fj-kmeans (concurrency) [default], iteration 5 started ======
====== fj-kmeans (concurrency) [default], iteration 5 completed (4651.357 ms) ======
====== fj-kmeans (concurrency) [default], iteration 6 started ======
====== fj-kmeans (concurrency) [default], iteration 6 completed (4265.079 ms) ======
====== fj-kmeans (concurrency) [default], iteration 7 started ======
====== fj-kmeans (concurrency) [default], iteration 7 completed (4237.274 ms) ======
====== fj-kmeans (concurrency) [default], iteration 8 started ======
====== fj-kmeans (concurrency) [default], iteration 8 completed (4232.157 ms) ======
====== fj-kmeans (concurrency) [default], iteration 9 started ======
====== fj-kmeans (concurrency) [default], iteration 9 completed (4242.164 ms) ======
====== fj-kmeans (concurrency) [default], iteration 10 started ======
====== fj-kmeans (concurrency) [default], iteration 10 completed (4245.479 ms) ======
====== fj-kmeans (concurrency) [default], iteration 11 started ======
====== fj-kmeans (concurrency) [default], iteration 11 completed (4228.031 ms) ======
====== fj-kmeans (concurrency) [default], iteration 12 started ======
====== fj-kmeans (concurrency) [default], iteration 12 completed (4248.433 ms) ======
====== fj-kmeans (concurrency) [default], iteration 13 started ======
====== fj-kmeans (concurrency) [default], iteration 13 completed (4239.444 ms) ======
====== fj-kmeans (concurrency) [default], iteration 14 started ======
====== fj-kmeans (concurrency) [default], iteration 14 completed (4216.362 ms) ======
====== fj-kmeans (concurrency) [default], iteration 15 started ======
====== fj-kmeans (concurrency) [default], iteration 15 completed (4242.343 ms) ======
====== fj-kmeans (concurrency) [default], iteration 16 started ======
====== fj-kmeans (concurrency) [default], iteration 16 completed (4221.023 ms) ======
====== fj-kmeans (concurrency) [default], iteration 17 started ======
====== fj-kmeans (concurrency) [default], iteration 17 completed (4222.167 ms) ======
====== fj-kmeans (concurrency) [default], iteration 18 started ======
====== fj-kmeans (concurrency) [default], iteration 18 completed (4245.930 ms) ======
====== fj-kmeans (concurrency) [default], iteration 19 started ======
====== fj-kmeans (concurrency) [default], iteration 19 completed (4217.744 ms) ======
====== fj-kmeans (concurrency) [default], iteration 20 started ======
====== fj-kmeans (concurrency) [default], iteration 20 completed (4209.984 ms) ======
====== fj-kmeans (concurrency) [default], iteration 21 started ======
====== fj-kmeans (concurrency) [default], iteration 21 completed (4234.055 ms) ======
====== fj-kmeans (concurrency) [default], iteration 22 started ======
====== fj-kmeans (concurrency) [default], iteration 22 completed (4233.002 ms) ======
====== fj-kmeans (concurrency) [default], iteration 23 started ======
====== fj-kmeans (concurrency) [default], iteration 23 completed (4209.898 ms) ======
====== fj-kmeans (concurrency) [default], iteration 24 started ======
====== fj-kmeans (concurrency) [default], iteration 24 completed (4268.163 ms) ======
====== fj-kmeans (concurrency) [default], iteration 25 started ======
====== fj-kmeans (concurrency) [default], iteration 25 completed (4215.681 ms) ======
====== fj-kmeans (concurrency) [default], iteration 26 started ======
====== fj-kmeans (concurrency) [default], iteration 26 completed (4228.876 ms) ======
====== fj-kmeans (concurrency) [default], iteration 27 started ======
====== fj-kmeans (concurrency) [default], iteration 27 completed (4253.255 ms) ======
====== fj-kmeans (concurrency) [default], iteration 28 started ======
====== fj-kmeans (concurrency) [default], iteration 28 completed (4224.718 ms) ======
====== fj-kmeans (concurrency) [default], iteration 29 started ======
====== fj-kmeans (concurrency) [default], iteration 29 completed (4220.937 ms) ======
====== fj-kmeans (concurrency) [default], iteration 30 started ======
====== fj-kmeans (concurrency) [default], iteration 30 completed (4244.850 ms) ======
====== fj-kmeans (concurrency) [default], iteration 31 started ======
====== fj-kmeans (concurrency) [default], iteration 31 completed (4219.050 ms) ======
====== fj-kmeans (concurrency) [default], iteration 32 started ======
====== fj-kmeans (concurrency) [default], iteration 32 completed (4212.860 ms) ======
====== fj-kmeans (concurrency) [default], iteration 33 started ======
====== fj-kmeans (concurrency) [default], iteration 33 completed (4243.037 ms) ======
====== fj-kmeans (concurrency) [default], iteration 34 started ======
====== fj-kmeans (concurrency) [default], iteration 34 completed (4229.586 ms) ======
====== fj-kmeans (concurrency) [default], iteration 35 started ======
====== fj-kmeans (concurrency) [default], iteration 35 completed (4269.121 ms) ======
====== fj-kmeans (concurrency) [default], iteration 36 started ======
====== fj-kmeans (concurrency) [default], iteration 36 completed (4249.670 ms) ======
====== fj-kmeans (concurrency) [default], iteration 37 started ======
====== fj-kmeans (concurrency) [default], iteration 37 completed (4220.880 ms) ======
====== fj-kmeans (concurrency) [default], iteration 38 started ======
====== fj-kmeans (concurrency) [default], iteration 38 completed (4215.257 ms) ======
====== fj-kmeans (concurrency) [default], iteration 39 started ======
====== fj-kmeans (concurrency) [default], iteration 39 completed (4241.701 ms) ======
====== fj-kmeans (concurrency) [default], iteration 40 started ======
====== fj-kmeans (concurrency) [default], iteration 40 completed (4220.725 ms) ======
====== fj-kmeans (concurrency) [default], iteration 41 started ======
====== fj-kmeans (concurrency) [default], iteration 41 completed (4214.153 ms) ======
====== fj-kmeans (concurrency) [default], iteration 42 started ======
====== fj-kmeans (concurrency) [default], iteration 42 completed (4258.304 ms) ======
====== fj-kmeans (concurrency) [default], iteration 43 started ======
====== fj-kmeans (concurrency) [default], iteration 43 completed (4228.432 ms) ======
====== fj-kmeans (concurrency) [default], iteration 44 started ======
====== fj-kmeans (concurrency) [default], iteration 44 completed (4251.467 ms) ======
====== fj-kmeans (concurrency) [default], iteration 45 started ======
====== fj-kmeans (concurrency) [default], iteration 45 completed (4251.314 ms) ======
====== fj-kmeans (concurrency) [default], iteration 46 started ======
====== fj-kmeans (concurrency) [default], iteration 46 completed (4231.830 ms) ======
====== fj-kmeans (concurrency) [default], iteration 47 started ======
====== fj-kmeans (concurrency) [default], iteration 47 completed (4235.987 ms) ======
====== fj-kmeans (concurrency) [default], iteration 48 started ======
====== fj-kmeans (concurrency) [default], iteration 48 completed (4221.855 ms) ======
====== fj-kmeans (concurrency) [default], iteration 49 started ======
====== fj-kmeans (concurrency) [default], iteration 49 completed (4221.471 ms) ======
====== fj-kmeans (concurrency) [default], iteration 50 started ======
====== fj-kmeans (concurrency) [default], iteration 50 completed (4236.812 ms) ======
====== fj-kmeans (concurrency) [default], iteration 51 started ======
====== fj-kmeans (concurrency) [default], iteration 51 completed (4218.987 ms) ======
====== fj-kmeans (concurrency) [default], iteration 52 started ======
====== fj-kmeans (concurrency) [default], iteration 52 completed (4220.143 ms) ======
====== fj-kmeans (concurrency) [default], iteration 53 started ======
====== fj-kmeans (concurrency) [default], iteration 53 completed (4270.964 ms) ======
====== fj-kmeans (concurrency) [default], iteration 54 started ======
====== fj-kmeans (concurrency) [default], iteration 54 completed (4209.717 ms) ======
====== fj-kmeans (concurrency) [default], iteration 55 started ======
