benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
future-genetic,3079562574,-1,0,0,-1,564133888,822083584,-1,0,0,-1,861217438,1777065453993,16708267173322
future-genetic,2847995113,-1,0,0,-1,2246049792,3193962496,-1,0,0,-1,4085290131,1777065453993,16708267173322
future-genetic,2118666721,-1,0,0,-1,-1147142144,2046820352,-1,0,0,-1,6933793591,1777065453993,16708267173322
future-genetic,2422624273,-1,0,0,-1,2227175424,4273995776,-1,0,0,-1,9052962335,1777065453993,16708267173322
future-genetic,2246096749,-1,0,0,-1,-2875195392,1398800384,-1,0,0,-1,11476014756,1777065453993,16708267173322
future-genetic,2028814683,-1,0,0,-1,2231369728,3630170112,-1,0,0,-1,13722579438,1777065453993,16708267173322
future-genetic,2084993458,-1,0,0,-1,2233466880,5863636992,-1,0,0,-1,15751795885,1777065453993,16708267173322
future-genetic,2483643832,-1,0,0,-1,2231369728,8095006720,-1,0,0,-1,17837145821,1777065453993,16708267173322
future-genetic,2492833666,-1,0,0,-1,2233466880,10328473600,-1,0,0,-1,20321180917,1777065453993,16708267173322
future-genetic,2165679529,-1,0,0,-1,-8204058624,2124414976,-1,0,0,-1,22814415790,1777065453993,16708267173322
future-genetic,2082285716,-1,0,0,-1,2233466880,4357881856,-1,0,0,-1,24980566015,1777065453993,16708267173322
future-genetic,2031575380,-1,0,0,-1,2233466880,6591348736,-1,0,0,-1,27063249129,1777065453993,16708267173322
future-genetic,1923957256,-1,0,0,-1,2229272576,8820621312,-1,0,0,-1,29095205943,1777065453993,16708267173322
future-genetic,2067371189,-1,0,0,-1,2235564032,11056185344,-1,0,0,-1,31019531480,1777065453993,16708267173322
future-genetic,2482077727,-1,0,0,-1,2233466880,13289652224,-1,0,0,-1,33087383107,1777065453993,16708267173322
future-genetic,2469750728,-1,0,0,-1,2233466880,15523119104,-1,0,0,-1,35569801502,1777065453993,16708267173322
future-genetic,2233000647,-1,0,0,-1,-14011072512,1512046592,-1,0,0,-1,38039916760,1777065453993,16708267173322
future-genetic,2069287209,-1,0,0,-1,-463470592,1048576000,-1,0,0,-1,40273490888,1777065453993,16708267173322
future-genetic,2003463413,-1,0,0,-1,2231369728,3279945728,-1,0,0,-1,42343230659,1777065453993,16708267173322
future-genetic,2031780473,-1,0,0,-1,2235564032,5515509760,-1,0,0,-1,44347043255,1777065453993,16708267173322
future-genetic,2232099076,-1,0,0,-1,2243952640,7759462400,-1,0,0,-1,46379170008,1777065453993,16708267173322
future-genetic,2155389320,-1,0,0,-1,2241855488,10001317888,-1,0,0,-1,48611575910,1777065453993,16708267173322
future-genetic,2232057898,-1,0,0,-1,2246049792,12247367680,-1,0,0,-1,50767286885,1777065453993,16708267173322
future-genetic,2258638335,-1,0,0,-1,2243952640,14491320320,-1,0,0,-1,52999754079,1777065453993,16708267173322
future-genetic,2325818961,-1,0,0,-1,-13134462976,1356857344,-1,0,0,-1,55258725024,1777065453993,16708267173322
future-genetic,2079659888,-1,0,0,-1,2235564032,3592421376,-1,0,0,-1,57584987931,1777065453993,16708267173322
future-genetic,2041127094,-1,0,0,-1,2229272576,5821693952,-1,0,0,-1,59664958712,1777065453993,16708267173322
future-genetic,1944836743,-1,0,0,-1,2233466880,8055160832,-1,0,0,-1,61706377722,1777065453993,16708267173322
future-genetic,1956448175,-1,0,0,-1,2233466880,10288627712,-1,0,0,-1,63651637289,1777065453993,16708267173322
future-genetic,1958326251,-1,0,0,-1,2235564032,12524191744,-1,0,0,-1,65608397664,1777065453993,16708267173322
future-genetic,1950700842,-1,0,0,-1,2233466880,14757658624,-1,0,0,-1,67567048469,1777065453993,16708267173322
future-genetic,2075474459,-1,0,0,-1,-13071548416,1686110208,-1,0,0,-1,69518068607,1777065453993,16708267173322
future-genetic,1969742484,-1,0,0,-1,2237661184,3923771392,-1,0,0,-1,71593987029,1777065453993,16708267173322
future-genetic,2043192312,-1,0,0,-1,2233466880,6157238272,-1,0,0,-1,73564091856,1777065453993,16708267173322
future-genetic,2029111038,-1,0,0,-1,2237661184,8394899456,-1,0,0,-1,75607653822,1777065453993,16708267173322
future-genetic,2027416697,-1,0,0,-1,2225078272,10619977728,-1,0,0,-1,77637067593,1777065453993,16708267173322
future-genetic,2056336683,-1,0,0,-1,2239758336,12859736064,-1,0,0,-1,79664772815,1777065453993,16708267173322
future-genetic,2156409466,-1,0,0,-1,-11001659392,1858076672,-1,0,0,-1,81721586718,1777065453993,16708267173322
future-genetic,1979319067,-1,0,0,-1,2235564032,4093640704,-1,0,0,-1,83878402250,1777065453993,16708267173322
future-genetic,1879520410,-1,0,0,-1,2233466880,6327107584,-1,0,0,-1,85858001312,1777065453993,16708267173322
future-genetic,1945256638,-1,0,0,-1,2233466880,8560574464,-1,0,0,-1,87737877952,1777065453993,16708267173322
future-genetic,2010485075,-1,0,0,-1,2229272576,10789847040,-1,0,0,-1,89683441180,1777065453993,16708267173322
future-genetic,2129067639,-1,0,0,-1,-9401532416,1388314624,-1,0,0,-1,91694219472,1777065453993,16708267173322
future-genetic,2018055601,-1,0,0,-1,2233466880,3621781504,-1,0,0,-1,93823763706,1777065453993,16708267173322
future-genetic,1918821760,-1,0,0,-1,2231369728,5853151232,-1,0,0,-1,95842101313,1777065453993,16708267173322
future-genetic,1957057603,-1,0,0,-1,2231369728,8084520960,-1,0,0,-1,97761284066,1777065453993,16708267173322
future-genetic,2039471147,-1,0,0,-1,2235564032,10320084992,-1,0,0,-1,99718734559,1777065453993,16708267173322
future-genetic,2119306748,-1,0,0,-1,-8457814016,1862270976,-1,0,0,-1,101758507117,1777065453993,16708267173322
future-genetic,2023275021,-1,0,0,-1,2233466880,4095737856,-1,0,0,-1,103878220788,1777065453993,16708267173322
future-genetic,2019493888,-1,0,0,-1,2231369728,6327107584,-1,0,0,-1,105901792364,1777065453993,16708267173322
future-genetic,2003062358,-1,0,0,-1,2233466880,8560574464,-1,0,0,-1,107921667000,1777065453993,16708267173322
future-genetic,2098423610,-1,0,0,-1,-7730102272,830472192,-1,0,0,-1,109925037739,1777065453993,16708267173322
future-genetic,2031863590,-1,0,0,-1,2235564032,3066036224,-1,0,0,-1,112023886814,1777065453993,16708267173322
future-genetic,2083916489,-1,0,0,-1,2233466880,5299503104,-1,0,0,-1,114056035505,1777065453993,16708267173322
future-genetic,1987702453,-1,0,0,-1,2233466880,7532969984,-1,0,0,-1,116140231221,1777065453993,16708267173322
future-genetic,2063977993,-1,0,0,-1,2233466880,9766436864,-1,0,0,-1,118128198805,1777065453993,16708267173322
future-genetic,2091506284,-1,0,0,-1,-7570718720,2195718144,-1,0,0,-1,120192545823,1777065453993,16708267173322
future-genetic,1974324660,-1,0,0,-1,2229272576,4424990720,-1,0,0,-1,122284449163,1777065453993,16708267173322
future-genetic,2072918898,-1,0,0,-1,2231369728,6656360448,-1,0,0,-1,124259061325,1777065453993,16708267173322
future-genetic,2090972311,-1,0,0,-1,2233466880,8889827328,-1,0,0,-1,126332254994,1777065453993,16708267173322
future-genetic,2068759378,-1,0,0,-1,-7426015232,1463812096,-1,0,0,-1,128423543664,1777065453993,16708267173322
future-genetic,1978205827,-1,0,0,-1,2233466880,3697278976,-1,0,0,-1,130492709824,1777065453993,16708267173322
future-genetic,2020549806,-1,0,0,-1,2233466880,5930745856,-1,0,0,-1,132471405055,1777065453993,16708267173322
future-genetic,2030126724,-1,0,0,-1,2231369728,8162115584,-1,0,0,-1,134492338693,1777065453993,16708267173322
future-genetic,2141945213,-1,0,0,-1,-7275020288,887095296,-1,0,0,-1,136522913614,1777065453993,16708267173322
future-genetic,2086907600,-1,0,0,-1,2239758336,3126853632,-1,0,0,-1,138665292873,1777065453993,16708267173322
future-genetic,2032807602,-1,0,0,-1,2227175424,5354029056,-1,0,0,-1,140752495876,1777065453993,16708267173322
future-genetic,2080254911,-1,0,0,-1,2239758336,7593787392,-1,0,0,-1,142785561996,1777065453993,16708267173322
future-genetic,2136156350,-1,0,0,-1,-6933184512,660602880,-1,0,0,-1,144866081457,1777065453993,16708267173322
future-genetic,2160819845,-1,0,0,-1,2231369728,2891972608,-1,0,0,-1,147002746402,1777065453993,16708267173322
future-genetic,1962090133,-1,0,0,-1,2237661184,5129633792,-1,0,0,-1,149163843102,1777065453993,16708267173322
future-genetic,1955350099,-1,0,0,-1,2233466880,7363100672,-1,0,0,-1,151126179667,1777065453993,16708267173322
future-genetic,2035081539,-1,0,0,-1,-7012876288,350224384,-1,0,0,-1,153081785574,1777065453993,16708267173322
