benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
log-regression,9695094782,-1,0,0,-1,2153775104,2415919104,-1,0,0,-1,8465364346,1777076579209,27833483173323
log-regression,1927313511,-1,0,0,-1,2692743168,5108662272,-1,0,0,-1,18164065063,1777076579209,27833483173323
log-regression,1979267251,-1,0,0,-1,-2189426688,2919235584,-1,0,0,-1,20091995903,1777076579209,27833483173323
log-regression,1365232221,-1,0,0,-1,2669674496,5588910080,-1,0,0,-1,22072195197,1777076579209,27833483173323
log-regression,1561765109,-1,0,0,-1,-4678746112,910163968,-1,0,0,-1,23437848910,1777076579209,27833483173323
log-regression,1277770248,-1,0,0,-1,2675965952,3586129920,-1,0,0,-1,25000092624,1777076579209,27833483173323
log-regression,1326173323,-1,0,0,-1,-1948254208,1637875712,-1,0,0,-1,26278176251,1777076579209,27833483173323
log-regression,1252951960,-1,0,0,-1,2631925760,4269801472,-1,0,0,-1,27604735467,1777076579209,27833483173323
log-regression,1218614751,-1,0,0,-1,2659188736,6928990208,-1,0,0,-1,28858086809,1777076579209,27833483173323
log-regression,1457946959,-1,0,0,-1,2659188736,9588178944,-1,0,0,-1,30077158816,1777076579209,27833483173323
log-regression,1483603758,-1,0,0,-1,-7165968384,2422210560,-1,0,0,-1,31535431388,1777076579209,27833483173323
log-regression,1151802069,-1,0,0,-1,2634022912,5056233472,-1,0,0,-1,33019455887,1777076579209,27833483173323
log-regression,1182192768,-1,0,0,-1,2659188736,7715422208,-1,0,0,-1,34171614805,1777076579209,27833483173323
log-regression,1159177508,-1,0,0,-1,2650800128,10366222336,-1,0,0,-1,35354070690,1777076579209,27833483173323
log-regression,1505767448,-1,0,0,-1,-8990490624,1375731712,-1,0,0,-1,36513543674,1777076579209,27833483173323
log-regression,1111214653,-1,0,0,-1,2665480192,4043309056,-1,0,0,-1,38019696128,1777076579209,27833483173323
log-regression,1126657433,-1,0,0,-1,2657091584,6700400640,-1,0,0,-1,39131306156,1777076579209,27833483173323
log-regression,1110286569,-1,0,0,-1,2629828608,9330229248,-1,0,0,-1,40258258421,1777076579209,27833483173323
log-regression,1075999297,-1,0,0,-1,2654994432,11985223680,-1,0,0,-1,41368805549,1777076579209,27833483173323
log-regression,1400597676,-1,0,0,-1,-9128902656,2856321024,-1,0,0,-1,42445065989,1777076579209,27833483173323
log-regression,1075744710,-1,0,0,-1,2663383040,5519704064,-1,0,0,-1,43846021482,1777076579209,27833483173323
log-regression,1100227977,-1,0,0,-1,2625634304,8145338368,-1,0,0,-1,44922145982,1777076579209,27833483173323
log-regression,1076483812,-1,0,0,-1,2659188736,10806624256,-1,0,0,-1,46022676157,1777076579209,27833483173323
log-regression,1327381621,-1,0,0,-1,-7713325056,3093299200,-1,0,0,-1,47099442493,1777076579209,27833483173323
log-regression,1188253591,-1,0,0,-1,2657091584,5752487936,-1,0,0,-1,48427118135,1777076579209,27833483173323
log-regression,1085344179,-1,0,0,-1,2657091584,8409579520,-1,0,0,-1,49615600227,1777076579209,27833483173323
log-regression,1267488057,-1,0,0,-1,-6327107584,2082471936,-1,0,0,-1,50701205081,1777076579209,27833483173323
log-regression,1064491720,-1,0,0,-1,2627731456,4710203392,-1,0,0,-1,51969144205,1777076579209,27833483173323
log-regression,1094104896,-1,0,0,-1,2661285888,7371489280,-1,0,0,-1,53033917723,1777076579209,27833483173323
log-regression,1118963149,-1,0,0,-1,2652897280,10024386560,-1,0,0,-1,54128256248,1777076579209,27833483173323
log-regression,1355549351,-1,0,0,-1,-7386169344,2638217216,-1,0,0,-1,55247469723,1777076579209,27833483173323
log-regression,1042087414,-1,0,0,-1,2455764992,5083496448,-1,0,0,-1,56603366456,1777076579209,27833483173323
log-regression,1022749443,-1,0,0,-1,2623537152,7707033600,-1,0,0,-1,57645657733,1777076579209,27833483173323
log-regression,1261137630,-1,0,0,-1,-5452595200,2254438400,-1,0,0,-1,58668674038,1777076579209,27833483173323
log-regression,1028357957,-1,0,0,-1,2661285888,4915724288,-1,0,0,-1,59930083957,1777076579209,27833483173323
log-regression,1001367085,-1,0,0,-1,2657091584,7574913024,-1,0,0,-1,60958723808,1777076579209,27833483173323
log-regression,1188083975,-1,0,0,-1,2640314368,10215227392,-1,0,0,-1,61960368567,1777076579209,27833483173323
log-regression,1061673457,-1,0,0,-1,-5899288576,4315938816,-1,0,0,-1,63148722949,1777076579209,27833483173323
log-regression,1047227826,-1,0,0,-1,2663383040,6979321856,-1,0,0,-1,64210652433,1777076579209,27833483173323
log-regression,1011332601,-1,0,0,-1,2627731456,9607053312,-1,0,0,-1,65258085700,1777076579209,27833483173323
log-regression,1258931949,-1,0,0,-1,-7170162688,2436890624,-1,0,0,-1,66269654386,1777076579209,27833483173323
log-regression,1028424229,-1,0,0,-1,2615148544,5052039168,-1,0,0,-1,67528930944,1777076579209,27833483173323
log-regression,995876430,-1,0,0,-1,2625634304,7677673472,-1,0,0,-1,68557562644,1777076579209,27833483173323
log-regression,1256616824,-1,0,0,-1,-5853151232,1824522240,-1,0,0,-1,69553667583,1777076579209,27833483173323
log-regression,1002905500,-1,0,0,-1,2527068160,4336910336,-1,0,0,-1,70810648314,1777076579209,27833483173323
log-regression,995523941,-1,0,0,-1,2657091584,6994001920,-1,0,0,-1,71813790371,1777076579209,27833483173323
log-regression,1034216047,-1,0,0,-1,2627731456,9623830528,-1,0,0,-1,72809576159,1777076579209,27833483173323
log-regression,1259668929,-1,0,0,-1,-6679429120,2944401408,-1,0,0,-1,73844412453,1777076579209,27833483173323
log-regression,995504297,-1,0,0,-1,2667577344,5611978752,-1,0,0,-1,75104345429,1777076579209,27833483173323
log-regression,979808872,-1,0,0,-1,2619342848,8231321600,-1,0,0,-1,76100087689,1777076579209,27833483173323
log-regression,1180084187,-1,0,0,-1,-6096420864,2134900736,-1,0,0,-1,77080120366,1777076579209,27833483173323
log-regression,992214489,-1,0,0,-1,2659188736,4794089472,-1,0,0,-1,78260457710,1777076579209,27833483173323
log-regression,1011624556,-1,0,0,-1,2627731456,7421820928,-1,0,0,-1,79252901620,1777076579209,27833483173323
log-regression,1022725170,-1,0,0,-1,2675965952,10099884032,-1,0,0,-1,80264741528,1777076579209,27833483173323
log-regression,1232311906,-1,0,0,-1,-6494879744,3605004288,-1,0,0,-1,81287702819,1777076579209,27833483173323
log-regression,992353737,-1,0,0,-1,2627731456,6234832896,-1,0,0,-1,82520285843,1777076579209,27833483173323
log-regression,981682066,-1,0,0,-1,2667577344,8902410240,-1,0,0,-1,83512889364,1777076579209,27833483173323
log-regression,1250624302,-1,0,0,-1,-6008340480,2894069760,-1,0,0,-1,84494760495,1777076579209,27833483173323
log-regression,969927479,-1,0,0,-1,2665480192,5559549952,-1,0,0,-1,85745683650,1777076579209,27833483173323
log-regression,994820200,-1,0,0,-1,2627731456,8187281408,-1,0,0,-1,86715821327,1777076579209,27833483173323
log-regression,1127232448,-1,0,0,-1,2707423232,10896801792,-1,0,0,-1,87710882239,1777076579209,27833483173323
log-regression,1125924117,-1,0,0,-1,-6859784192,4037017600,-1,0,0,-1,88838289128,1777076579209,27833483173323
log-regression,994868962,-1,0,0,-1,2667577344,6704594944,-1,0,0,-1,89964504019,1777076579209,27833483173323
log-regression,982102174,-1,0,0,-1,2663383040,9367977984,-1,0,0,-1,90959597158,1777076579209,27833483173323
log-regression,1229803337,-1,0,0,-1,-6129975296,3238002688,-1,0,0,-1,91941951050,1777076579209,27833483173323
log-regression,979959045,-1,0,0,-1,2667577344,5905580032,-1,0,0,-1,93172048316,1777076579209,27833483173323
log-regression,983697974,-1,0,0,-1,2629828608,8535408640,-1,0,0,-1,94152213561,1777076579209,27833483173323
log-regression,1204248075,-1,0,0,-1,2709520384,11244929024,-1,0,0,-1,95136105758,1777076579209,27833483173323
log-regression,1010680652,-1,0,0,-1,-6677331968,4567597056,-1,0,0,-1,96340553065,1777076579209,27833483173323
log-regression,976229697,-1,0,0,-1,2634022912,7201619968,-1,0,0,-1,97351521287,1777076579209,27833483173323
log-regression,981345026,-1,0,0,-1,2663383040,9865003008,-1,0,0,-1,98327934897,1777076579209,27833483173323
log-regression,1216618827,-1,0,0,-1,-7119831040,2747269120,-1,0,0,-1,99309480516,1777076579209,27833483173323
log-regression,998495315,-1,0,0,-1,2619342848,5362417664,-1,0,0,-1,100526471369,1777076579209,27833483173323
log-regression,969036761,-1,0,0,-1,2665480192,8029995008,-1,0,0,-1,101525176044,1777076579209,27833483173323
log-regression,1141693411,-1,0,0,-1,2675965952,10705960960,-1,0,0,-1,102494394327,1777076579209,27833483173323
log-regression,1241274307,-1,0,0,-1,-6358564864,4347396096,-1,0,0,-1,103636350317,1777076579209,27833483173323
log-regression,1655227755,-1,0,0,-1,2665480192,7012876288,-1,0,0,-1,104877954974,1777076579209,27833483173323
log-regression,3192142316,-1,0,0,-1,2675965952,9688842240,-1,0,0,-1,106533975344,1777076579209,27833483173323
log-regression,1625328605,-1,0,0,-1,-5037359104,4653580288,-1,0,0,-1,109727859762,1777076579209,27833483173323
log-regression,2141288246,-1,0,0,-1,-484442112,4169138176,-1,0,0,-1,111353516058,1777076579209,27833483173323
log-regression,1686703759,-1,0,0,-1,-144703488,4024434688,-1,0,0,-1,113496009549,1777076579209,27833483173323
log-regression,1103374258,-1,0,0,-1,2747269120,6771703808,-1,0,0,-1,115182981792,1777076579209,27833483173323
log-regression,1113905933,-1,0,0,-1,2789212160,9563013120,-1,0,0,-1,116286583594,1777076579209,27833483173323
log-regression,1274859879,-1,0,0,-1,-6914310144,2648702976,-1,0,0,-1,117400674659,1777076579209,27833483173323
log-regression,1092175874,-1,0,0,-1,2891972608,5542772736,-1,0,0,-1,118675868106,1777076579209,27833483173323
log-regression,1318968700,-1,0,0,-1,-2912944128,2629828608,-1,0,0,-1,119768236808,1777076579209,27833483173323
log-regression,1091312820,-1,0,0,-1,2875195392,5505024000,-1,0,0,-1,121087491680,1777076579209,27833483173323
log-regression,1087609616,-1,0,0,-1,2889875456,8396996608,-1,0,0,-1,122179057481,1777076579209,27833483173323
log-regression,1377107895,-1,0,0,-1,-5964300288,2432696320,-1,0,0,-1,123266963096,1777076579209,27833483173323
log-regression,952441693,-1,0,0,-1,2657091584,5089787904,-1,0,0,-1,124644332559,1777076579209,27833483173323
log-regression,950326901,-1,0,0,-1,2625634304,7717519360,-1,0,0,-1,125597080466,1777076579209,27833483173323
log-regression,934585882,-1,0,0,-1,2659188736,10376708096,-1,0,0,-1,126547609285,1777076579209,27833483173323
log-regression,1284548561,-1,0,0,-1,-7690256384,2686451712,-1,0,0,-1,127482372175,1777076579209,27833483173323
log-regression,943650131,-1,0,0,-1,2661285888,5347737600,-1,0,0,-1,128767209385,1777076579209,27833483173323
log-regression,970656515,-1,0,0,-1,2654994432,8002732032,-1,0,0,-1,129711047305,1777076579209,27833483173323
log-regression,944106690,-1,0,0,-1,2627731456,10630463488,-1,0,0,-1,130681893890,1777076579209,27833483173323
log-regression,1320615387,-1,0,0,-1,-7541358592,3089104896,-1,0,0,-1,131626195238,1777076579209,27833483173323
log-regression,944779116,-1,0,0,-1,2627731456,5716836352,-1,0,0,-1,132947078779,1777076579209,27833483173323
log-regression,939928094,-1,0,0,-1,2659188736,8376025088,-1,0,0,-1,133892062595,1777076579209,27833483173323
log-regression,1262266113,-1,0,0,-1,2701131776,11077156864,-1,0,0,-1,134832192865,1777076579209,27833483173323
log-regression,1049688764,-1,0,0,-1,-6765412352,4311744512,-1,0,0,-1,136094754238,1777076579209,27833483173323
log-regression,949293490,-1,0,0,-1,2659188736,6970933248,-1,0,0,-1,137144751605,1777076579209,27833483173323
log-regression,936704259,-1,0,0,-1,2659188736,9630121984,-1,0,0,-1,138094226401,1777076579209,27833483173323
log-regression,1430673788,-1,0,0,-1,-6310330368,3319791616,-1,0,0,-1,139031110774,1777076579209,27833483173323
log-regression,952690394,-1,0,0,-1,2661285888,5981077504,-1,0,0,-1,140462044444,1777076579209,27833483173323
