>>> Starting benchmark: naive-bayes
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/naive-bayes
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
NOTE: 'naive-bayes' benchmark uses Spark local executor with 8 (out of 8) threads.
====== naive-bayes (apache-spark) [default], iteration 0 started ======
====== naive-bayes (apache-spark) [default], iteration 0 completed (18752.994 ms) ======
====== naive-bayes (apache-spark) [default], iteration 1 started ======
====== naive-bayes (apache-spark) [default], iteration 1 completed (1604.547 ms) ======
====== naive-bayes (apache-spark) [default], iteration 2 started ======
====== naive-bayes (apache-spark) [default], iteration 2 completed (1725.772 ms) ======
====== naive-bayes (apache-spark) [default], iteration 3 started ======
====== naive-bayes (apache-spark) [default], iteration 3 completed (1478.538 ms) ======
====== naive-bayes (apache-spark) [default], iteration 4 started ======
====== naive-bayes (apache-spark) [default], iteration 4 completed (1644.347 ms) ======
====== naive-bayes (apache-spark) [default], iteration 5 started ======
====== naive-bayes (apache-spark) [default], iteration 5 completed (1402.437 ms) ======
====== naive-bayes (apache-spark) [default], iteration 6 started ======
====== naive-bayes (apache-spark) [default], iteration 6 completed (1360.413 ms) ======
====== naive-bayes (apache-spark) [default], iteration 7 started ======
====== naive-bayes (apache-spark) [default], iteration 7 completed (1319.408 ms) ======
====== naive-bayes (apache-spark) [default], iteration 8 started ======
====== naive-bayes (apache-spark) [default], iteration 8 completed (1579.660 ms) ======
====== naive-bayes (apache-spark) [default], iteration 9 started ======
====== naive-bayes (apache-spark) [default], iteration 9 completed (1416.341 ms) ======
====== naive-bayes (apache-spark) [default], iteration 10 started ======
====== naive-bayes (apache-spark) [default], iteration 10 completed (1411.432 ms) ======
====== naive-bayes (apache-spark) [default], iteration 11 started ======
====== naive-bayes (apache-spark) [default], iteration 11 completed (1406.594 ms) ======
====== naive-bayes (apache-spark) [default], iteration 12 started ======
====== naive-bayes (apache-spark) [default], iteration 12 completed (1453.278 ms) ======
====== naive-bayes (apache-spark) [default], iteration 13 started ======
====== naive-bayes (apache-spark) [default], iteration 13 completed (1467.071 ms) ======
====== naive-bayes (apache-spark) [default], iteration 14 started ======
====== naive-bayes (apache-spark) [default], iteration 14 completed (1452.240 ms) ======
====== naive-bayes (apache-spark) [default], iteration 15 started ======
====== naive-bayes (apache-spark) [default], iteration 15 completed (1404.581 ms) ======
====== naive-bayes (apache-spark) [default], iteration 16 started ======
====== naive-bayes (apache-spark) [default], iteration 16 completed (1474.920 ms) ======
====== naive-bayes (apache-spark) [default], iteration 17 started ======
====== naive-bayes (apache-spark) [default], iteration 17 completed (1444.017 ms) ======
====== naive-bayes (apache-spark) [default], iteration 18 started ======
====== naive-bayes (apache-spark) [default], iteration 18 completed (1925.985 ms) ======
====== naive-bayes (apache-spark) [default], iteration 19 started ======
====== naive-bayes (apache-spark) [default], iteration 19 completed (1703.702 ms) ======
====== naive-bayes (apache-spark) [default], iteration 20 started ======
====== naive-bayes (apache-spark) [default], iteration 20 completed (1336.529 ms) ======
====== naive-bayes (apache-spark) [default], iteration 21 started ======
====== naive-bayes (apache-spark) [default], iteration 21 completed (1360.020 ms) ======
====== naive-bayes (apache-spark) [default], iteration 22 started ======
====== naive-bayes (apache-spark) [default], iteration 22 completed (1387.527 ms) ======
====== naive-bayes (apache-spark) [default], iteration 23 started ======
====== naive-bayes (apache-spark) [default], iteration 23 completed (1497.691 ms) ======
====== naive-bayes (apache-spark) [default], iteration 24 started ======
====== naive-bayes (apache-spark) [default], iteration 24 completed (1436.295 ms) ======
====== naive-bayes (apache-spark) [default], iteration 25 started ======
====== naive-bayes (apache-spark) [default], iteration 25 completed (1363.417 ms) ======
====== naive-bayes (apache-spark) [default], iteration 26 started ======
====== naive-bayes (apache-spark) [default], iteration 26 completed (1477.391 ms) ======
====== naive-bayes (apache-spark) [default], iteration 27 started ======
====== naive-bayes (apache-spark) [default], iteration 27 completed (1434.481 ms) ======
====== naive-bayes (apache-spark) [default], iteration 28 started ======
====== naive-bayes (apache-spark) [default], iteration 28 completed (1444.369 ms) ======
====== naive-bayes (apache-spark) [default], iteration 29 started ======
====== naive-bayes (apache-spark) [default], iteration 29 completed (1368.247 ms) ======
====== naive-bayes (apache-spark) [default], iteration 30 started ======
====== naive-bayes (apache-spark) [default], iteration 30 completed (1388.902 ms) ======
====== naive-bayes (apache-spark) [default], iteration 31 started ======
====== naive-bayes (apache-spark) [default], iteration 31 completed (1513.356 ms) ======
====== naive-bayes (apache-spark) [default], iteration 32 started ======
====== naive-bayes (apache-spark) [default], iteration 32 completed (1429.269 ms) ======
====== naive-bayes (apache-spark) [default], iteration 33 started ======
====== naive-bayes (apache-spark) [default], iteration 33 completed (1569.221 ms) ======
====== naive-bayes (apache-spark) [default], iteration 34 started ======
====== naive-bayes (apache-spark) [default], iteration 34 completed (1425.924 ms) ======
====== naive-bayes (apache-spark) [default], iteration 35 started ======
====== naive-bayes (apache-spark) [default], iteration 35 completed (1381.439 ms) ======
====== naive-bayes (apache-spark) [default], iteration 36 started ======
====== naive-bayes (apache-spark) [default], iteration 36 completed (1461.838 ms) ======
====== naive-bayes (apache-spark) [default], iteration 37 started ======
====== naive-bayes (apache-spark) [default], iteration 37 completed (1457.912 ms) ======
====== naive-bayes (apache-spark) [default], iteration 38 started ======
====== naive-bayes (apache-spark) [default], iteration 38 completed (1382.743 ms) ======
====== naive-bayes (apache-spark) [default], iteration 39 started ======
====== naive-bayes (apache-spark) [default], iteration 39 completed (1381.823 ms) ======
====== naive-bayes (apache-spark) [default], iteration 40 started ======
====== naive-bayes (apache-spark) [default], iteration 40 completed (1468.344 ms) ======
====== naive-bayes (apache-spark) [default], iteration 41 started ======
====== naive-bayes (apache-spark) [default], iteration 41 completed (1378.834 ms) ======
====== naive-bayes (apache-spark) [default], iteration 42 started ======
====== naive-bayes (apache-spark) [default], iteration 42 completed (1374.676 ms) ======
====== naive-bayes (apache-spark) [default], iteration 43 started ======
====== naive-bayes (apache-spark) [default], iteration 43 completed (1486.199 ms) ======
====== naive-bayes (apache-spark) [default], iteration 44 started ======
====== naive-bayes (apache-spark) [default], iteration 44 completed (1651.801 ms) ======
====== naive-bayes (apache-spark) [default], iteration 45 started ======
====== naive-bayes (apache-spark) [default], iteration 45 completed (1466.629 ms) ======
====== naive-bayes (apache-spark) [default], iteration 46 started ======
====== naive-bayes (apache-spark) [default], iteration 46 completed (1435.931 ms) ======
====== naive-bayes (apache-spark) [default], iteration 47 started ======
====== naive-bayes (apache-spark) [default], iteration 47 completed (1478.463 ms) ======
====== naive-bayes (apache-spark) [default], iteration 48 started ======
====== naive-bayes (apache-spark) [default], iteration 48 completed (1400.744 ms) ======
====== naive-bayes (apache-spark) [default], iteration 49 started ======
====== naive-bayes (apache-spark) [default], iteration 49 completed (1446.999 ms) ======
====== naive-bayes (apache-spark) [default], iteration 50 started ======
====== naive-bayes (apache-spark) [default], iteration 50 completed (1383.520 ms) ======
====== naive-bayes (apache-spark) [default], iteration 51 started ======
====== naive-bayes (apache-spark) [default], iteration 51 completed (1527.208 ms) ======
====== naive-bayes (apache-spark) [default], iteration 52 started ======
====== naive-bayes (apache-spark) [default], iteration 52 completed (1367.653 ms) ======
====== naive-bayes (apache-spark) [default], iteration 53 started ======
====== naive-bayes (apache-spark) [default], iteration 53 completed (1406.026 ms) ======
====== naive-bayes (apache-spark) [default], iteration 54 started ======
====== naive-bayes (apache-spark) [default], iteration 54 completed (1389.710 ms) ======
====== naive-bayes (apache-spark) [default], iteration 55 started ======
====== naive-bayes (apache-spark) [default], iteration 55 completed (1399.883 ms) ======
====== naive-bayes (apache-spark) [default], iteration 56 started ======
====== naive-bayes (apache-spark) [default], iteration 56 completed (1436.719 ms) ======
====== naive-bayes (apache-spark) [default], iteration 57 started ======
====== naive-bayes (apache-spark) [default], iteration 57 completed (1393.620 ms) ======
====== naive-bayes (apache-spark) [default], iteration 58 started ======
====== naive-bayes (apache-spark) [default], iteration 58 completed (1604.917 ms) ======
====== naive-bayes (apache-spark) [default], iteration 59 started ======
====== naive-bayes (apache-spark) [default], iteration 59 completed (1437.242 ms) ======
====== naive-bayes (apache-spark) [default], iteration 60 started ======
====== naive-bayes (apache-spark) [default], iteration 60 completed (1539.366 ms) ======
====== naive-bayes (apache-spark) [default], iteration 61 started ======
====== naive-bayes (apache-spark) [default], iteration 61 completed (1676.782 ms) ======
====== naive-bayes (apache-spark) [default], iteration 62 started ======
====== naive-bayes (apache-spark) [default], iteration 62 completed (1906.157 ms) ======
====== naive-bayes (apache-spark) [default], iteration 63 started ======
====== naive-bayes (apache-spark) [default], iteration 63 completed (1765.099 ms) ======
====== naive-bayes (apache-spark) [default], iteration 64 started ======
====== naive-bayes (apache-spark) [default], iteration 64 completed (1707.997 ms) ======
====== naive-bayes (apache-spark) [default], iteration 65 started ======
====== naive-bayes (apache-spark) [default], iteration 65 completed (1488.410 ms) ======
====== naive-bayes (apache-spark) [default], iteration 66 started ======
====== naive-bayes (apache-spark) [default], iteration 66 completed (1492.113 ms) ======
====== naive-bayes (apache-spark) [default], iteration 67 started ======
====== naive-bayes (apache-spark) [default], iteration 67 completed (1364.524 ms) ======
====== naive-bayes (apache-spark) [default], iteration 68 started ======
====== naive-bayes (apache-spark) [default], iteration 68 completed (1357.359 ms) ======
====== naive-bayes (apache-spark) [default], iteration 69 started ======
====== naive-bayes (apache-spark) [default], iteration 69 completed (1449.834 ms) ======
====== naive-bayes (apache-spark) [default], iteration 70 started ======
====== naive-bayes (apache-spark) [default], iteration 70 completed (1425.072 ms) ======
====== naive-bayes (apache-spark) [default], iteration 71 started ======
====== naive-bayes (apache-spark) [default], iteration 71 completed (1367.056 ms) ======
====== naive-bayes (apache-spark) [default], iteration 72 started ======
====== naive-bayes (apache-spark) [default], iteration 72 completed (1429.853 ms) ======
====== naive-bayes (apache-spark) [default], iteration 73 started ======
====== naive-bayes (apache-spark) [default], iteration 73 completed (1398.332 ms) ======
====== naive-bayes (apache-spark) [default], iteration 74 started ======
====== naive-bayes (apache-spark) [default], iteration 74 completed (1392.138 ms) ======
====== naive-bayes (apache-spark) [default], iteration 75 started ======
====== naive-bayes (apache-spark) [default], iteration 75 completed (1612.583 ms) ======
====== naive-bayes (apache-spark) [default], iteration 76 started ======
====== naive-bayes (apache-spark) [default], iteration 76 completed (1411.517 ms) ======
====== naive-bayes (apache-spark) [default], iteration 77 started ======
====== naive-bayes (apache-spark) [default], iteration 77 completed (1380.533 ms) ======
====== naive-bayes (apache-spark) [default], iteration 78 started ======
====== naive-bayes (apache-spark) [default], iteration 78 completed (1394.979 ms) ======
====== naive-bayes (apache-spark) [default], iteration 79 started ======
====== naive-bayes (apache-spark) [default], iteration 79 completed (1348.641 ms) ======
====== naive-bayes (apache-spark) [default], iteration 80 started ======
====== naive-bayes (apache-spark) [default], iteration 80 completed (1316.027 ms) ======
====== naive-bayes (apache-spark) [default], iteration 81 started ======
====== naive-bayes (apache-spark) [default], iteration 81 completed (1228.760 ms) ======
====== naive-bayes (apache-spark) [default], iteration 82 started ======
====== naive-bayes (apache-spark) [default], iteration 82 completed (1654.084 ms) ======
====== naive-bayes (apache-spark) [default], iteration 83 started ======
====== naive-bayes (apache-spark) [default], iteration 83 completed (1412.075 ms) ======
====== naive-bayes (apache-spark) [default], iteration 84 started ======
====== naive-bayes (apache-spark) [default], iteration 84 completed (1377.483 ms) ======
====== naive-bayes (apache-spark) [default], iteration 85 started ======
====== naive-bayes (apache-spark) [default], iteration 85 completed (1460.636 ms) ======
====== naive-bayes (apache-spark) [default], iteration 86 started ======
====== naive-bayes (apache-spark) [default], iteration 86 completed (1318.164 ms) ======
====== naive-bayes (apache-spark) [default], iteration 87 started ======
====== naive-bayes (apache-spark) [default], iteration 87 completed (1390.464 ms) ======
====== naive-bayes (apache-spark) [default], iteration 88 started ======
====== naive-bayes (apache-spark) [default], iteration 88 completed (1363.115 ms) ======
====== naive-bayes (apache-spark) [default], iteration 89 started ======
====== naive-bayes (apache-spark) [default], iteration 89 completed (1362.257 ms) ======
====== naive-bayes (apache-spark) [default], iteration 90 started ======
====== naive-bayes (apache-spark) [default], iteration 90 completed (1370.053 ms) ======
====== naive-bayes (apache-spark) [default], iteration 91 started ======
====== naive-bayes (apache-spark) [default], iteration 91 completed (1514.745 ms) ======
====== naive-bayes (apache-spark) [default], iteration 92 started ======
====== naive-bayes (apache-spark) [default], iteration 92 completed (1346.941 ms) ======
====== naive-bayes (apache-spark) [default], iteration 93 started ======
====== naive-bayes (apache-spark) [default], iteration 93 completed (1565.644 ms) ======
====== naive-bayes (apache-spark) [default], iteration 94 started ======
====== naive-bayes (apache-spark) [default], iteration 94 completed (1370.802 ms) ======
====== naive-bayes (apache-spark) [default], iteration 95 started ======
====== naive-bayes (apache-spark) [default], iteration 95 completed (1365.815 ms) ======
====== naive-bayes (apache-spark) [default], iteration 96 started ======
====== naive-bayes (apache-spark) [default], iteration 96 completed (1366.797 ms) ======
====== naive-bayes (apache-spark) [default], iteration 97 started ======
====== naive-bayes (apache-spark) [default], iteration 97 completed (1378.459 ms) ======
====== naive-bayes (apache-spark) [default], iteration 98 started ======
====== naive-bayes (apache-spark) [default], iteration 98 completed (1488.845 ms) ======
====== naive-bayes (apache-spark) [default], iteration 99 started ======
====== naive-bayes (apache-spark) [default], iteration 99 completed (1368.582 ms) ======
====== naive-bayes (apache-spark) [default], iteration 100 started ======
====== naive-bayes (apache-spark) [default], iteration 100 completed (1385.443 ms) ======
====== naive-bayes (apache-spark) [default], iteration 101 started ======
====== naive-bayes (apache-spark) [default], iteration 101 completed (1540.392 ms) ======
