benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
naive-bayes,18752994222,-1,0,0,-1,2566914048,2829058048,-1,0,0,-1,9020067051,1777073507217,24761491173340
naive-bayes,1604547030,-1,0,0,-1,7610564608,10439622656,-1,0,0,-1,27775222081,1777073507217,24761491173340
naive-bayes,1725772087,-1,0,0,-1,-7059013632,3380609024,-1,0,0,-1,29380191348,1777073507217,24761491173340
naive-bayes,1478537992,-1,0,0,-1,1172307968,4552916992,-1,0,0,-1,31106440566,1777073507217,24761491173340
naive-bayes,1644347468,-1,0,0,-1,-1237319680,3315597312,-1,0,0,-1,32586265181,1777073507217,24761491173340
naive-bayes,1402437093,-1,0,0,-1,-922746880,2392850432,-1,0,0,-1,34231026689,1777073507217,24761491173340
naive-bayes,1360412892,-1,0,0,-1,-209715200,2183135232,-1,0,0,-1,35633884421,1777073507217,24761491173340
naive-bayes,1319407578,-1,0,0,-1,7597981696,9781116928,-1,0,0,-1,36994625185,1777073507217,24761491173340
naive-bayes,1579660161,-1,0,0,-1,-5351931904,4429185024,-1,0,0,-1,38314358298,1777073507217,24761491173340
naive-bayes,1416341110,-1,0,0,-1,2250244096,6679429120,-1,0,0,-1,39894398200,1777073507217,24761491173340
naive-bayes,1411432039,-1,0,0,-1,163577856,6843006976,-1,0,0,-1,41311076190,1777073507217,24761491173340
naive-bayes,1406594429,-1,0,0,-1,-343932928,6499074048,-1,0,0,-1,42722860528,1777073507217,24761491173340
naive-bayes,1453277678,-1,0,0,-1,-666894336,5832179712,-1,0,0,-1,44129676477,1777073507217,24761491173340
naive-bayes,1467070900,-1,0,0,-1,-104857600,5727322112,-1,0,0,-1,45583170446,1777073507217,24761491173340
naive-bayes,1452240382,-1,0,0,-1,1107296256,6834618368,-1,0,0,-1,47050518975,1777073507217,24761491173340
naive-bayes,1404580942,-1,0,0,-1,488636416,7323254784,-1,0,0,-1,48503080988,1777073507217,24761491173340
naive-bayes,1474919738,-1,0,0,-1,1203765248,8527020032,-1,0,0,-1,49908138697,1777073507217,24761491173340
naive-bayes,1444017263,-1,0,0,-1,-4018143232,4508876800,-1,0,0,-1,51383306883,1777073507217,24761491173340
naive-bayes,1925984903,-1,0,0,-1,1008730112,5517606912,-1,0,0,-1,52827564016,1777073507217,24761491173340
naive-bayes,1703702434,-1,0,0,-1,-3535798272,1981808640,-1,0,0,-1,54753796963,1777073507217,24761491173340
naive-bayes,1336528826,-1,0,0,-1,788529152,2768240640,-1,0,0,-1,56457809878,1777073507217,24761491173340
naive-bayes,1360019856,-1,0,0,-1,1684013056,4452253696,-1,0,0,-1,57794633655,1777073507217,24761491173340
naive-bayes,1387527161,-1,0,0,-1,4328521728,8780775424,-1,0,0,-1,59154854027,1777073507217,24761491173340
naive-bayes,1497690548,-1,0,0,-1,-6501171200,2279604224,-1,0,0,-1,60542672752,1777073507217,24761491173340
naive-bayes,1436294862,-1,0,0,-1,1172307968,3439329280,-1,0,0,-1,62040637681,1777073507217,24761491173340
naive-bayes,1363416818,-1,0,0,-1,1419771904,4859101184,-1,0,0,-1,63477154460,1777073507217,24761491173340
naive-bayes,1477391458,-1,0,0,-1,876609536,5735710720,-1,0,0,-1,64840731259,1777073507217,24761491173340
naive-bayes,1434480667,-1,0,0,-1,2740977664,8476688384,-1,0,0,-1,66318329986,1777073507217,24761491173340
