benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
page-rank,11266979366,-1,0,0,-1,1080033280,2147483648,-1,0,0,-1,8516563578,1777064829369,16083643173309
page-rank,5605919322,-1,0,0,-1,-3493855232,1419771904,-1,0,0,-1,22815139757,1777064829369,16083643173309
page-rank,4355266796,-1,0,0,-1,4833935360,8982102016,-1,0,0,-1,30725723754,1777064829369,16083643173309
page-rank,4439945141,-1,0,0,-1,-6379536384,5333057536,-1,0,0,-1,37940948600,1777064829369,16083643173309
page-rank,4286919973,-1,0,0,-1,-3091202048,5014290432,-1,0,0,-1,44580168096,1777064829369,16083643173309
page-rank,4393119966,-1,0,0,-1,-3913285632,3833593856,-1,0,0,-1,51038755710,1777064829369,16083643173309
page-rank,4298400526,-1,0,0,-1,-4294967296,2269118464,-1,0,0,-1,57588619697,1777064829369,16083643173309
page-rank,4236857264,-1,0,0,-1,4825546752,9827254272,-1,0,0,-1,64098287209,1777064829369,16083643173309
page-rank,4219550735,-1,0,0,-1,4825546752,6073352192,-1,0,0,-1,70714055055,1777064829369,16083643173309
page-rank,4516616633,-1,0,0,-1,-6767509504,2036334592,-1,0,0,-1,77203087722,1777064829369,16083643173309
page-rank,4190209710,-1,0,0,-1,4825546752,8854175744,-1,0,0,-1,83950096821,1777064829369,16083643173309
page-rank,4173207150,-1,0,0,-1,4831838208,7092568064,-1,0,0,-1,90518261085,1777064829369,16083643173309
page-rank,4300359731,-1,0,0,-1,-5827985408,3986685952,-1,0,0,-1,96846662682,1777064829369,16083643173309
page-rank,4302439112,-1,0,0,-1,-4567597056,2149580800,-1,0,0,-1,103332508424,1777064829369,16083643173309
page-rank,4184508202,-1,0,0,-1,4825546752,9699328000,-1,0,0,-1,109782609863,1777064829369,16083643173309
page-rank,4237382436,-1,0,0,-1,-6788481024,5691670528,-1,0,0,-1,116313035143,1777064829369,16083643173309
page-rank,4495159785,-1,0,0,-1,-5567938560,2883584000,-1,0,0,-1,122773380450,1777064829369,16083643173309
page-rank,4181855812,-1,0,0,-1,4829741056,10439622656,-1,0,0,-1,129447452819,1777064829369,16083643173309
page-rank,4640916961,-1,0,0,-1,-8889827328,4282384384,-1,0,0,-1,135834373624,1777064829369,16083643173309
page-rank,4243079512,-1,0,0,-1,-6467616768,545259520,-1,0,0,-1,142715361929,1777064829369,16083643173309
page-rank,4240843451,-1,0,0,-1,4825546752,8097103872,-1,0,0,-1,149179841285,1777064829369,16083643173309
page-rank,4260607060,-1,0,0,-1,-7258243072,3571449856,-1,0,0,-1,155592156366,1777064829369,16083643173309
page-rank,4293345779,-1,0,0,-1,-3764387840,2533359616,-1,0,0,-1,162055594381,1777064829369,16083643173309
page-rank,4154124408,-1,0,0,-1,4829741056,10091495424,-1,0,0,-1,168529950796,1777064829369,16083643173309
page-rank,4150773445,-1,0,0,-1,4791992320,6524239872,-1,0,0,-1,174890262077,1777064829369,16083643173309
page-rank,4289735724,-1,0,0,-1,-7711227904,1579155456,-1,0,0,-1,181176313952,1777064829369,16083643173309
page-rank,4161539608,-1,0,0,-1,4827643904,9130999808,-1,0,0,-1,187614193341,1777064829369,16083643173309
page-rank,4241298633,-1,0,0,-1,-6402605056,5465178112,-1,0,0,-1,193955188264,1777064829369,16083643173309
page-rank,4208141802,-1,0,0,-1,-6134169600,2095054848,-1,0,0,-1,200370035157,1777064829369,16083643173309
page-rank,4144465130,-1,0,0,-1,4821352448,8854175744,-1,0,0,-1,206805399458,1777064829369,16083643173309
page-rank,4179053098,-1,0,0,-1,4794089472,6572474368,-1,0,0,-1,213109227363,1777064829369,16083643173309
page-rank,4260220298,-1,0,0,-1,-6601834496,2740977664,-1,0,0,-1,219467227678,1777064829369,16083643173309
page-rank,4153139855,-1,0,0,-1,4831838208,10334765056,-1,0,0,-1,225896633876,1777064829369,16083643173309
page-rank,4303923795,-1,0,0,-1,-8246001664,4817158144,-1,0,0,-1,232293451595,1777064829369,16083643173309
page-rank,4142854075,-1,0,0,-1,4827643904,12373196800,-1,0,0,-1,238767632234,1777064829369,16083643173309
page-rank,4141744163,-1,0,0,-1,4827643904,6153043968,-1,0,0,-1,245138349267,1777064829369,16083643173309
page-rank,4125808595,-1,0,0,-1,4827643904,13709082624,-1,0,0,-1,251460076274,1777064829369,16083643173309
page-rank,4158356410,-1,0,0,-1,4827643904,7048527872,-1,0,0,-1,257805042809,1777064829369,16083643173309
page-rank,4135903983,-1,0,0,-1,4829741056,14604566528,-1,0,0,-1,264180695426,1777064829369,16083643173309
page-rank,4643691117,-1,0,0,-1,1602224128,3898605568,-1,0,0,-1,270586495019,1777064829369,16083643173309
page-rank,4289441206,-1,0,0,-1,-3200253952,3426746368,-1,0,0,-1,277397834080,1777064829369,16083643173309
page-rank,4259658488,-1,0,0,-1,-4781506560,1375731712,-1,0,0,-1,283865613027,1777064829369,16083643173309
page-rank,4148695212,-1,0,0,-1,4827643904,8929673216,-1,0,0,-1,290322176934,1777064829369,16083643173309
page-rank,4252598419,-1,0,0,-1,-6608125952,5052039168,-1,0,0,-1,296618088250,1777064829369,16083643173309
page-rank,4261746495,-1,0,0,-1,-5605687296,2208301056,-1,0,0,-1,303001803938,1777064829369,16083643173309
page-rank,4166125357,-1,0,0,-1,4829741056,9764339712,-1,0,0,-1,309408969932,1777064829369,16083643173309
page-rank,4211274400,-1,0,0,-1,-7107248128,5395972096,-1,0,0,-1,315763361817,1777064829369,16083643173309
page-rank,4147999365,-1,0,0,-1,4823449600,12983468032,-1,0,0,-1,322125109127,1777064829369,16083643173309
page-rank,4153492956,-1,0,0,-1,4825546752,7103053824,-1,0,0,-1,328547850725,1777064829369,16083643173309
page-rank,4195919934,-1,0,0,-1,4466933760,14302576640,-1,0,0,-1,334927584527,1777064829369,16083643173309
page-rank,4189561621,-1,0,0,-1,4825546752,8638169088,-1,0,0,-1,341319851363,1777064829369,16083643173309
page-rank,4149371063,-1,0,0,-1,4827643904,7809794048,-1,0,0,-1,347671543878,1777064829369,16083643173309
page-rank,4337874027,-1,0,0,-1,-5813305344,4762632192,-1,0,0,-1,354026882389,1777064829369,16083643173309
page-rank,4142428537,-1,0,0,-1,4827643904,12322865152,-1,0,0,-1,360538118682,1777064829369,16083643173309
page-rank,4151207679,-1,0,0,-1,4827643904,7627341824,-1,0,0,-1,366897499979,1777064829369,16083643173309
page-rank,4304966670,-1,0,0,-1,-8541700096,1853882368,-1,0,0,-1,373180155456,1777064829369,16083643173309
page-rank,4144397634,-1,0,0,-1,4823449600,9401532416,-1,0,0,-1,379606539097,1777064829369,16083643173309
page-rank,4239029433,-1,0,0,-1,-6798966784,5337251840,-1,0,0,-1,385913684796,1777064829369,16083643173309
page-rank,4135663889,-1,0,0,-1,4827643904,12970885120,-1,0,0,-1,392418881445,1777064829369,16083643173309
page-rank,4149849951,-1,0,0,-1,4825546752,7677673472,-1,0,0,-1,398800406792,1777064829369,16083643173309
page-rank,4331596718,-1,0,0,-1,-8816427008,1625292800,-1,0,0,-1,405114318915,1777064829369,16083643173309
page-rank,4150646616,-1,0,0,-1,4825546752,9181331456,-1,0,0,-1,411627464418,1777064829369,16083643173309
page-rank,4162726233,-1,0,0,-1,4823449600,6396313600,-1,0,0,-1,418247074555,1777064829369,16083643173309
page-rank,4296790047,-1,0,0,-1,-7067402240,2105540608,-1,0,0,-1,424639862640,1777064829369,16083643173309
page-rank,4146165314,-1,0,0,-1,4825546752,9655287808,-1,0,0,-1,431053327240,1777064829369,16083643173309
page-rank,4287793489,-1,0,0,-1,-7614758912,4771020800,-1,0,0,-1,437330633650,1777064829369,16083643173309
page-rank,4128334450,-1,0,0,-1,4827643904,12331253760,-1,0,0,-1,443753173834,1777064829369,16083643173309
page-rank,4368968136,-1,0,0,-1,155189248,1822425088,-1,0,0,-1,450129833190,1777064829369,16083643173309
