benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
par-mnemonics,4130873212,-1,0,0,-1,4064280576,4322230272,-1,0,0,-1,858207987,1777074750460,26004734173311
par-mnemonics,7278080803,-1,0,0,-1,4116709376,8529117184,-1,0,0,-1,5358786847,1777074750460,26004734173311
par-mnemonics,5222943319,-1,0,0,-1,-7149191168,1432354816,-1,0,0,-1,12916154666,1777074750460,26004734173311
par-mnemonics,2740760054,-1,0,0,-1,9057599488,10542383104,-1,0,0,-1,18390627361,1777074750460,26004734173311
par-mnemonics,3782574667,-1,0,0,-1,-3670016000,6960447488,-1,0,0,-1,21387221691,1777074750460,26004734173311
par-mnemonics,2810463720,-1,0,0,-1,-6664749056,381681664,-1,0,0,-1,25420650137,1777074750460,26004734173311
par-mnemonics,10560901470,-1,0,0,-1,4791992320,5226102784,-1,0,0,-1,28481119960,1777074750460,26004734173311
par-mnemonics,2733974380,-1,0,0,-1,9053405184,14365491200,-1,0,0,-1,39288891475,1777074750460,26004734173311
par-mnemonics,3479166942,-1,0,0,-1,-6486491136,7933526016,-1,0,0,-1,42270244702,1777074750460,26004734173311
par-mnemonics,2823142052,-1,0,0,-1,-6698303488,1287651328,-1,0,0,-1,45999522628,1777074750460,26004734173311
par-mnemonics,2748445383,-1,0,0,-1,9057599488,10397679616,-1,0,0,-1,49073474720,1777074750460,26004734173311
par-mnemonics,2801186585,-1,0,0,-1,-6931087360,3552575488,-1,0,0,-1,52069381379,1777074750460,26004734173311
par-mnemonics,2745429716,-1,0,0,-1,9084862464,12689866752,-1,0,0,-1,55120182513,1777074750460,26004734173311
par-mnemonics,2750231152,-1,0,0,-1,9053405184,9229565952,-1,0,0,-1,58138749113,1777074750460,26004734173311
par-mnemonics,2811634467,-1,0,0,-1,-6683623424,2600468480,-1,0,0,-1,61138141151,1777074750460,26004734173311
par-mnemonics,2757527634,-1,0,0,-1,9086959616,11739856896,-1,0,0,-1,64199934557,1777074750460,26004734173311
par-mnemonics,2834184473,-1,0,0,-1,-8682209280,3110076416,-1,0,0,-1,67207862499,1777074750460,26004734173311
par-mnemonics,2756890571,-1,0,0,-1,9086959616,12249464832,-1,0,0,-1,70292263572,1777074750460,26004734173311
par-mnemonics,2785293829,-1,0,0,-1,-7031750656,5272240128,-1,0,0,-1,73297798970,1777074750460,26004734173311
par-mnemonics,2755487420,-1,0,0,-1,9055502336,14413725696,-1,0,0,-1,76334555454,1777074750460,26004734173311
par-mnemonics,2737323225,-1,0,0,-1,9057599488,9233760256,-1,0,0,-1,79378415846,1777074750460,26004734173311
par-mnemonics,2791440207,-1,0,0,-1,-6387924992,2900361216,-1,0,0,-1,82362079270,1777074750460,26004734173311
par-mnemonics,2738480549,-1,0,0,-1,9091153920,12043943936,-1,0,0,-1,85406408248,1777074750460,26004734173311
par-mnemonics,2795276001,-1,0,0,-1,-6796869632,5301600256,-1,0,0,-1,88393230734,1777074750460,26004734173311
par-mnemonics,2818126719,-1,0,0,-1,-939524096,4448059392,-1,0,0,-1,91440225581,1777074750460,26004734173311
par-mnemonics,2762436039,-1,0,0,-1,9055502336,13589544960,-1,0,0,-1,94506998720,1777074750460,26004734173311
par-mnemonics,2790803933,-1,0,0,-1,-7096762368,6547308544,-1,0,0,-1,97517063432,1777074750460,26004734173311
par-mnemonics,2839162730,-1,0,0,-1,-5981077504,618659840,-1,0,0,-1,100557957914,1777074750460,26004734173311
par-mnemonics,30374169354,-1,0,0,-1,5221908480,5892997120,-1,0,0,-1,103644620993,1777074750460,26004734173311
par-mnemonics,2807697277,-1,0,0,-1,1440743424,7419723776,-1,0,0,-1,134272020818,1777074750460,26004734173311
par-mnemonics,2791373602,-1,0,0,-1,-5490343936,1981808640,-1,0,0,-1,137326284750,1777074750460,26004734173311
par-mnemonics,2745166297,-1,0,0,-1,9086959616,11121197056,-1,0,0,-1,140365923030,1777074750460,26004734173311
par-mnemonics,2777204205,-1,0,0,-1,-6924795904,4250927104,-1,0,0,-1,143356442225,1777074750460,26004734173311
par-mnemonics,2764594856,-1,0,0,-1,9053405184,13390315520,-1,0,0,-1,146383115113,1777074750460,26004734173311
par-mnemonics,2870952008,-1,0,0,-1,-9189720064,4255121408,-1,0,0,-1,149395197675,1777074750460,26004734173311
par-mnemonics,2755317538,-1,0,0,-1,9053405184,13394509824,-1,0,0,-1,152512703574,1777074750460,26004734173311
par-mnemonics,2799114354,-1,0,0,-1,-7059013632,6390022144,-1,0,0,-1,155516236516,1777074750460,26004734173311
par-mnemonics,2742647691,-1,0,0,-1,9055502336,15497953280,-1,0,0,-1,158562583704,1777074750460,26004734173311
par-mnemonics,2853740161,-1,0,0,-1,-12832473088,2717908992,-1,0,0,-1,161552084089,1777074750460,26004734173311
par-mnemonics,2767027526,-1,0,0,-1,9086959616,11857297408,-1,0,0,-1,164657200388,1777074750460,26004734173311
par-mnemonics,2781972318,-1,0,0,-1,-6966738944,4945084416,-1,0,0,-1,167669222142,1777074750460,26004734173311
par-mnemonics,2754621167,-1,0,0,-1,9051308032,14082375680,-1,0,0,-1,170698888261,1777074750460,26004734173311
par-mnemonics,2831158278,-1,0,0,-1,-9057599488,5079302144,-1,0,0,-1,173698103090,1777074750460,26004734173311
par-mnemonics,2759531330,-1,0,0,-1,9057599488,14222884864,-1,0,0,-1,176777152109,1777074750460,26004734173311
par-mnemonics,2794768115,-1,0,0,-1,-7155482624,7119831040,-1,0,0,-1,179782023890,1777074750460,26004734173311
par-mnemonics,2826815416,-1,0,0,-1,-5188354048,1983905792,-1,0,0,-1,182823323837,1777074750460,26004734173311
par-mnemonics,2769214952,-1,0,0,-1,9086959616,11123294208,-1,0,0,-1,185896390920,1777074750460,26004734173311
par-mnemonics,2819150158,-1,0,0,-1,-6954156032,4223664128,-1,0,0,-1,188911264022,1777074750460,26004734173311
par-mnemonics,2816889769,-1,0,0,-1,-3571449856,738197504,-1,0,0,-1,191979632932,1777074750460,26004734173311
par-mnemonics,2749856216,-1,0,0,-1,9053405184,9844031488,-1,0,0,-1,195047867863,1777074750460,26004734173311
par-mnemonics,2804877038,-1,0,0,-1,-7021264896,2910846976,-1,0,0,-1,198044225554,1777074750460,26004734173311
par-mnemonics,2741654438,-1,0,0,-1,9084862464,12048138240,-1,0,0,-1,201098120789,1777074750460,26004734173311
par-mnemonics,2859133765,-1,0,0,-1,-8837398528,3265265664,-1,0,0,-1,204086794551,1777074750460,26004734173311
par-mnemonics,2763487353,-1,0,0,-1,9089056768,12406751232,-1,0,0,-1,207191744993,1777074750460,26004734173311
par-mnemonics,2823411787,-1,0,0,-1,-6981419008,5479858176,-1,0,0,-1,210200631320,1777074750460,26004734173311
par-mnemonics,2759938971,-1,0,0,-1,9053405184,14619246592,-1,0,0,-1,213274041271,1777074750460,26004734173311
par-mnemonics,2823858266,-1,0,0,-1,-9036627968,5637144576,-1,0,0,-1,216281555434,1777074750460,26004734173311
par-mnemonics,2777236648,-1,0,0,-1,9053405184,14742978560,-1,0,0,-1,219355018698,1777074750460,26004734173311
par-mnemonics,2782205017,-1,0,0,-1,-7090470912,7707033600,-1,0,0,-1,222380512398,1777074750460,26004734173311
par-mnemonics,2818366043,-1,0,0,-1,-6954156032,805306368,-1,0,0,-1,225411087268,1777074750460,26004734173311
par-mnemonics,2812582433,-1,0,0,-1,5496635392,6354370560,-1,0,0,-1,228476398223,1777074750460,26004734173311
par-mnemonics,2748745747,-1,0,0,-1,9051308032,15460204544,-1,0,0,-1,231537855865,1777074750460,26004734173311
par-mnemonics,2796279155,-1,0,0,-1,-7063207936,8449425408,-1,0,0,-1,234531973886,1777074750460,26004734173311
par-mnemonics,2795790179,-1,0,0,-1,-6757023744,1744830464,-1,0,0,-1,237575443299,1777074750460,26004734173311
par-mnemonics,2823322285,-1,0,0,-1,4284481536,6081740800,-1,0,0,-1,240619417353,1777074750460,26004734173311
par-mnemonics,2743779309,-1,0,0,-1,9055502336,15191769088,-1,0,0,-1,243690567544,1777074750460,26004734173311
par-mnemonics,2788439649,-1,0,0,-1,-7069499392,8176795648,-1,0,0,-1,246683478891,1777074750460,26004734173311
par-mnemonics,2811884446,-1,0,0,-1,-6408896512,1820327936,-1,0,0,-1,249719074983,1777074750460,26004734173311
par-mnemonics,2752358030,-1,0,0,-1,9051308032,10924064768,-1,0,0,-1,252779392626,1777074750460,26004734173311
par-mnemonics,2822719605,-1,0,0,-1,-6914310144,4097835008,-1,0,0,-1,255777195909,1777074750460,26004734173311
par-mnemonics,2754437650,-1,0,0,-1,9055502336,13239320576,-1,0,0,-1,258851095710,1777074750460,26004734173311
par-mnemonics,2817948754,-1,0,0,-1,-6283067392,7010779136,-1,0,0,-1,261853865217,1777074750460,26004734173311
par-mnemonics,2750787592,-1,0,0,-1,9049210880,16112418816,-1,0,0,-1,264917126294,1777074750460,26004734173311
par-mnemonics,2877657033,-1,0,0,-1,-15432941568,734003200,-1,0,0,-1,267915218410,1777074750460,26004734173311
par-mnemonics,2750959611,-1,0,0,-1,9053405184,9839837184,-1,0,0,-1,271045524380,1777074750460,26004734173311
par-mnemonics,2798936402,-1,0,0,-1,-6633291776,3294625792,-1,0,0,-1,274049381306,1777074750460,26004734173311
par-mnemonics,2764646680,-1,0,0,-1,9086959616,12434014208,-1,0,0,-1,277099083235,1777074750460,26004734173311
par-mnemonics,2852067138,-1,0,0,-1,-8797552640,3690987520,-1,0,0,-1,280107954738,1777074750460,26004734173311
par-mnemonics,2744510338,-1,0,0,-1,9084862464,12828278784,-1,0,0,-1,283208564037,1777074750460,26004734173311
par-mnemonics,2801654681,-1,0,0,-1,-7048527872,5834276864,-1,0,0,-1,286201281907,1777074750460,26004734173311
par-mnemonics,2781661032,-1,0,0,-1,9049210880,14938013696,-1,0,0,-1,289250005347,1777074750460,26004734173311
par-mnemonics,2840058989,-1,0,0,-1,-8986296320,6006243328,-1,0,0,-1,292276555630,1777074750460,26004734173311
par-mnemonics,2750486709,-1,0,0,-1,9053405184,15112077312,-1,0,0,-1,295361465836,1777074750460,26004734173311
par-mnemonics,2798899793,-1,0,0,-1,-7203717120,7962886144,-1,0,0,-1,298357792533,1777074750460,26004734173311
par-mnemonics,2812222556,-1,0,0,-1,-6908018688,1107296256,-1,0,0,-1,301404653276,1777074750460,26004734173311
par-mnemonics,2774411979,-1,0,0,-1,6931087360,8090812416,-1,0,0,-1,304462775223,1777074750460,26004734173311
par-mnemonics,2819821663,-1,0,0,-1,-6960447488,1184890880,-1,0,0,-1,307484408766,1777074750460,26004734173311
par-mnemonics,2756977005,-1,0,0,-1,9051308032,10288627712,-1,0,0,-1,310549794818,1777074750460,26004734173311
par-mnemonics,2789713769,-1,0,0,-1,-6610223104,3766484992,-1,0,0,-1,313551175229,1777074750460,26004734173311
par-mnemonics,2782279804,-1,0,0,-1,5037359104,8889827328,-1,0,0,-1,316592415163,1777074750460,26004734173311
par-mnemonics,2805169068,-1,0,0,-1,-6759120896,2183135232,-1,0,0,-1,319620329765,1777074750460,26004734173311
par-mnemonics,2755619987,-1,0,0,-1,9086959616,11322523648,-1,0,0,-1,322674854682,1777074750460,26004734173311
par-mnemonics,2860451491,-1,0,0,-1,-8680112128,2696937472,-1,0,0,-1,325676891159,1777074750460,26004734173311
par-mnemonics,2764459342,-1,0,0,-1,9086959616,11836325888,-1,0,0,-1,328786331350,1777074750460,26004734173311
par-mnemonics,2789190559,-1,0,0,-1,-7107248128,4783603712,-1,0,0,-1,331795460096,1777074750460,26004734173311
par-mnemonics,2752722780,-1,0,0,-1,9057599488,13927186432,-1,0,0,-1,334833659228,1777074750460,26004734173311
par-mnemonics,2817794474,-1,0,0,-1,-9086959616,4892655616,-1,0,0,-1,337831320893,1777074750460,26004734173311
par-mnemonics,2763556369,-1,0,0,-1,9053405184,14032044032,-1,0,0,-1,340898198809,1777074750460,26004734173311
par-mnemonics,2829292580,-1,0,0,-1,-7134511104,6952058880,-1,0,0,-1,343905648167,1777074750460,26004734173311
par-mnemonics,2737192038,-1,0,0,-1,9055502336,16059990016,-1,0,0,-1,346980168455,1777074750460,26004734173311
par-mnemonics,2834786122,-1,0,0,-1,-8984199168,7128219648,-1,0,0,-1,349964882521,1777074750460,26004734173311
par-mnemonics,2761873802,-1,0,0,-1,9057599488,16238247936,-1,0,0,-1,353048460288,1777074750460,26004734173311
par-mnemonics,2825764152,-1,0,0,-1,-7107248128,9183428608,-1,0,0,-1,356058295352,1777074750460,26004734173311
par-mnemonics,2799527394,-1,0,0,-1,-5576327168,3659530240,-1,0,0,-1,359133413221,1777074750460,26004734173311
par-mnemonics,2761960069,-1,0,0,-1,9086959616,12798918656,-1,0,0,-1,362179329781,1777074750460,26004734173311
par-mnemonics,2809102239,-1,0,0,-1,-4563402752,8290041856,-1,0,0,-1,365190558429,1777074750460,26004734173311
par-mnemonics,2803260348,-1,0,0,-1,-6794772480,1549795328,-1,0,0,-1,368245455505,1777074750460,26004734173311
par-mnemonics,2759043250,-1,0,0,-1,9055502336,10657726464,-1,0,0,-1,371296449691,1777074750460,26004734173311
par-mnemonics,2820039628,-1,0,0,-1,-8818524160,1927282688,-1,0,0,-1,374301759051,1777074750460,26004734173311
par-mnemonics,2748966826,-1,0,0,-1,9055502336,11035213824,-1,0,0,-1,377370164369,1777074750460,26004734173311
par-mnemonics,2801846267,-1,0,0,-1,-6895435776,4227858432,-1,0,0,-1,380364804667,1777074750460,26004734173311
par-mnemonics,2775004757,-1,0,0,-1,9055502336,13369344000,-1,0,0,-1,383414179297,1777074750460,26004734173311
par-mnemonics,2816175437,-1,0,0,-1,-6939475968,6484393984,-1,0,0,-1,386433105551,1777074750460,26004734173311
par-mnemonics,2833733057,-1,0,0,-1,-1296039936,5240782848,-1,0,0,-1,389494665193,1777074750460,26004734173311
par-mnemonics,2767310921,-1,0,0,-1,9049210880,14375976960,-1,0,0,-1,392575657311,1777074750460,26004734173311
par-mnemonics,2788538531,-1,0,0,-1,-6861881344,7568621568,-1,0,0,-1,395588134038,1777074750460,26004734173311
par-mnemonics,2807325948,-1,0,0,-1,-6949961728,671088640,-1,0,0,-1,398621458139,1777074750460,26004734173311
