benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
philosophers,3257234111,-1,0,0,-1,1696595968,1954545664,-1,0,0,-1,875220438,1777075969571,27223845173339
philosophers,2030932479,-1,0,0,-1,570425344,2524971008,-1,0,0,-1,4136536576,1777075969571,27223845173339
philosophers,2047695584,-1,0,0,-1,-1000341504,1524629504,-1,0,0,-1,6167806131,1777075969571,27223845173339
philosophers,2177494897,-1,0,0,-1,4594860032,6119489536,-1,0,0,-1,8215892265,1777075969571,27223845173339
philosophers,2142136018,-1,0,0,-1,3995074560,10114564096,-1,0,0,-1,10393647543,1777075969571,27223845173339
philosophers,2198692110,-1,0,0,-1,4026531840,14141095936,-1,0,0,-1,12536161616,1777075969571,27223845173339
philosophers,1838992210,-1,0,0,-1,-11463032832,2678063104,-1,0,0,-1,14735357602,1777075969571,27223845173339
philosophers,2087148027,-1,0,0,-1,4328521728,7006584832,-1,0,0,-1,16574622504,1777075969571,27223845173339
philosophers,1956002583,-1,0,0,-1,4148166656,11154751488,-1,0,0,-1,18662140118,1777075969571,27223845173339
philosophers,2084984329,-1,0,0,-1,-10640949248,513802240,-1,0,0,-1,20618400091,1777075969571,27223845173339
philosophers,2084033381,-1,0,0,-1,4305453056,4819255296,-1,0,0,-1,22703721474,1777075969571,27223845173339
philosophers,1992940509,-1,0,0,-1,4137680896,8956936192,-1,0,0,-1,24788173621,1777075969571,27223845173339
philosophers,1844236033,-1,0,0,-1,3531603968,12488540160,-1,0,0,-1,26781403384,1777075969571,27223845173339
philosophers,1845936869,-1,0,0,-1,-10081009664,2407530496,-1,0,0,-1,28626012108,1777075969571,27223845173339
philosophers,1986991779,-1,0,0,-1,4158652416,6566182912,-1,0,0,-1,30472204531,1777075969571,27223845173339
philosophers,2003390041,-1,0,0,-1,4137680896,10703863808,-1,0,0,-1,32459539529,1777075969571,27223845173339
philosophers,1987261442,-1,0,0,-1,4135583744,14839447552,-1,0,0,-1,34463228434,1777075969571,27223845173339
philosophers,1669582607,-1,0,0,-1,-11660165120,3179282432,-1,0,0,-1,36450824008,1777075969571,27223845173339
philosophers,1991445257,-1,0,0,-1,4221566976,7400849408,-1,0,0,-1,38120735089,1777075969571,27223845173339
philosophers,2000129371,-1,0,0,-1,4123000832,11523850240,-1,0,0,-1,40112429880,1777075969571,27223845173339
philosophers,1957940373,-1,0,0,-1,4137680896,15661531136,-1,0,0,-1,42112879906,1777075969571,27223845173339
philosophers,1569865664,-1,0,0,-1,-12108955648,3552575488,-1,0,0,-1,44071022591,1777075969571,27223845173339
philosophers,2055117328,-1,0,0,-1,4175429632,7728005120,-1,0,0,-1,45641192502,1777075969571,27223845173339
philosophers,1989171061,-1,0,0,-1,4146069504,11874074624,-1,0,0,-1,47696590489,1777075969571,27223845173339
philosophers,1846683273,-1,0,0,-1,4018143232,15892217856,-1,0,0,-1,49686027036,1777075969571,27223845173339
philosophers,1757723938,-1,0,0,-1,-12203327488,3688890368,-1,0,0,-1,51532890317,1777075969571,27223845173339
philosophers,1959705559,-1,0,0,-1,4070572032,7759462400,-1,0,0,-1,53290889010,1777075969571,27223845173339
philosophers,1742475859,-1,0,0,-1,3479175168,11238637568,-1,0,0,-1,55250773684,1777075969571,27223845173339
philosophers,1971123302,-1,0,0,-1,-10546577408,692060160,-1,0,0,-1,56993402482,1777075969571,27223845173339
philosophers,1856142263,-1,0,0,-1,3586129920,4278190080,-1,0,0,-1,58964766038,1777075969571,27223845173339
philosophers,2038822789,-1,0,0,-1,4123000832,8401190912,-1,0,0,-1,60821170357,1777075969571,27223845173339
philosophers,2014258485,-1,0,0,-1,4154458112,12555649024,-1,0,0,-1,62860203205,1777075969571,27223845173339
philosophers,1877825875,-1,0,0,-1,-11330912256,1224736768,-1,0,0,-1,64874791581,1777075969571,27223845173339
philosophers,1965503674,-1,0,0,-1,4148166656,5372903424,-1,0,0,-1,66752882815,1777075969571,27223845173339
philosophers,2061524800,-1,0,0,-1,4223664128,9596567552,-1,0,0,-1,68718564047,1777075969571,27223845173339
philosophers,1656152921,-1,0,0,-1,-6813646848,2782920704,-1,0,0,-1,70780284913,1777075969571,27223845173339
philosophers,2147254558,-1,0,0,-1,4236247040,7019167744,-1,0,0,-1,72436679768,1777075969571,27223845173339
philosophers,1978898932,-1,0,0,-1,4009754624,11028922368,-1,0,0,-1,74584166251,1777075969571,27223845173339
philosophers,2156112045,-1,0,0,-1,-10796138496,232783872,-1,0,0,-1,76563223502,1777075969571,27223845173339
philosophers,1863921418,-1,0,0,-1,3533701120,3766484992,-1,0,0,-1,78719590326,1777075969571,27223845173339
philosophers,2033519271,-1,0,0,-1,4123000832,7889485824,-1,0,0,-1,80583678414,1777075969571,27223845173339
philosophers,1988757483,-1,0,0,-1,4078960640,11968446464,-1,0,0,-1,82617467927,1777075969571,27223845173339
philosophers,2064712726,-1,0,0,-1,-11511267328,457179136,-1,0,0,-1,84606469155,1777075969571,27223845173339
philosophers,2021730533,-1,0,0,-1,4200595456,4657774592,-1,0,0,-1,86671520522,1777075969571,27223845173339
philosophers,1994239243,-1,0,0,-1,4076863488,8734638080,-1,0,0,-1,88693404252,1777075969571,27223845173339
philosophers,1972996428,-1,0,0,-1,4013948928,12748587008,-1,0,0,-1,90687861337,1777075969571,27223845173339
philosophers,1820324644,-1,0,0,-1,-11463032832,1285554176,-1,0,0,-1,92661024407,1777075969571,27223845173339
philosophers,2064341115,-1,0,0,-1,4259315712,5544869888,-1,0,0,-1,94481597628,1777075969571,27223845173339
philosophers,2036584294,-1,0,0,-1,4181721088,9726590976,-1,0,0,-1,96546202401,1777075969571,27223845173339
philosophers,1964820076,-1,0,0,-1,4032823296,13759414272,-1,0,0,-1,98583016621,1777075969571,27223845173339
philosophers,1874902002,-1,0,0,-1,-11236540416,2522873856,-1,0,0,-1,100548016650,1777075969571,27223845173339
philosophers,2024253500,-1,0,0,-1,4181721088,6704594944,-1,0,0,-1,102423131263,1777075969571,27223845173339
philosophers,1898097413,-1,0,0,-1,-4945084416,1759510528,-1,0,0,-1,104447584552,1777075969571,27223845173339
philosophers,1908367960,-1,0,0,-1,3565158400,5324668928,-1,0,0,-1,106345935700,1777075969571,27223845173339
philosophers,1989352741,-1,0,0,-1,4064280576,9388949504,-1,0,0,-1,108254455924,1777075969571,27223845173339
philosophers,2150151496,-1,0,0,-1,4240441344,13629390848,-1,0,0,-1,110244054256,1777075969571,27223845173339
philosophers,1825029038,-1,0,0,-1,-11555307520,2074083328,-1,0,0,-1,112394342461,1777075969571,27223845173339
philosophers,2027532975,-1,0,0,-1,4236247040,6310330368,-1,0,0,-1,114219579190,1777075969571,27223845173339
philosophers,1932288449,-1,0,0,-1,3927965696,10238296064,-1,0,0,-1,116247244680,1777075969571,27223845173339
philosophers,1928390929,-1,0,0,-1,4051697664,14289993728,-1,0,0,-1,118179659053,1777075969571,27223845173339
philosophers,1746134518,-1,0,0,-1,-11326717952,2963275776,-1,0,0,-1,120108195581,1777075969571,27223845173339
philosophers,1924621222,-1,0,0,-1,4108320768,7071596544,-1,0,0,-1,121854556233,1777075969571,27223845173339
philosophers,2065783917,-1,0,0,-1,4137680896,11209277440,-1,0,0,-1,123779356348,1777075969571,27223845173339
philosophers,2011727536,-1,0,0,-1,4179623936,15388901376,-1,0,0,-1,125845290233,1777075969571,27223845173339
philosophers,1967763737,-1,0,0,-1,-11343495168,4045406208,-1,0,0,-1,127857382540,1777075969571,27223845173339
philosophers,2085918723,-1,0,0,-1,4240441344,8285847552,-1,0,0,-1,129825419889,1777075969571,27223845173339
philosophers,2014828031,-1,0,0,-1,4152360960,12438208512,-1,0,0,-1,131911460699,1777075969571,27223845173339
philosophers,1911705579,-1,0,0,-1,-11494490112,943718400,-1,0,0,-1,133926408121,1777075969571,27223845173339
philosophers,1963362041,-1,0,0,-1,-2097152,941621248,-1,0,0,-1,135838308980,1777075969571,27223845173339
philosophers,2129802487,-1,0,0,-1,4234149888,5175771136,-1,0,0,-1,137801895100,1777075969571,27223845173339
philosophers,1965763875,-1,0,0,-1,3988783104,9164554240,-1,0,0,-1,139931949926,1777075969571,27223845173339
philosophers,1977835754,-1,0,0,-1,4114612224,13279166464,-1,0,0,-1,141897905177,1777075969571,27223845173339
philosophers,1873309365,-1,0,0,-1,-11418992640,1860173824,-1,0,0,-1,143875895670,1777075969571,27223845173339
philosophers,1830951398,-1,0,0,-1,3498049536,5358223360,-1,0,0,-1,145749424628,1777075969571,27223845173339
philosophers,2009895356,-1,0,0,-1,3607101440,8965324800,-1,0,0,-1,147580547766,1777075969571,27223845173339
philosophers,1974460256,-1,0,0,-1,4078960640,13044285440,-1,0,0,-1,149590612562,1777075969571,27223845173339
philosophers,1844326766,-1,0,0,-1,-10403971072,2640314368,-1,0,0,-1,151565255610,1777075969571,27223845173339
philosophers,2023514225,-1,0,0,-1,4131389440,6771703808,-1,0,0,-1,153409774712,1777075969571,27223845173339
philosophers,2033098415,-1,0,0,-1,4034920448,10806624256,-1,0,0,-1,155433420410,1777075969571,27223845173339
philosophers,2001796353,-1,0,0,-1,-3267362816,7539261440,-1,0,0,-1,157466652576,1777075969571,27223845173339
philosophers,2040687003,-1,0,0,-1,-3133145088,4271898624,-1,0,0,-1,159468653498,1777075969571,27223845173339
philosophers,2082871703,-1,0,0,-1,4183818240,8455716864,-1,0,0,-1,161509536628,1777075969571,27223845173339
philosophers,1902436642,-1,0,0,-1,3483369472,11939086336,-1,0,0,-1,163592575211,1777075969571,27223845173339
philosophers,1971068488,-1,0,0,-1,-11244929024,694157312,-1,0,0,-1,165495165324,1777075969571,27223845173339
philosophers,1737612818,-1,0,0,-1,998244352,1692401664,-1,0,0,-1,167466458871,1777075969571,27223845173339
philosophers,1859299013,-1,0,0,-1,3565158400,5257560064,-1,0,0,-1,169204281591,1777075969571,27223845173339
philosophers,1998763548,-1,0,0,-1,4190109696,9447669760,-1,0,0,-1,171063705010,1777075969571,27223845173339
philosophers,1771286115,-1,0,0,-1,3481272320,12928942080,-1,0,0,-1,173062641374,1777075969571,27223845173339
philosophers,1750096128,-1,0,0,-1,-11448352768,1480589312,-1,0,0,-1,174834134422,1777075969571,27223845173339
philosophers,1936761358,-1,0,0,-1,4076863488,5557452800,-1,0,0,-1,176584439691,1777075969571,27223845173339
philosophers,1898163068,-1,0,0,-1,4011851776,9569304576,-1,0,0,-1,178521354319,1777075969571,27223845173339
philosophers,1918771527,-1,0,0,-1,4005560320,13574864896,-1,0,0,-1,180419670451,1777075969571,27223845173339
philosophers,1693481584,-1,0,0,-1,-11855200256,1719664640,-1,0,0,-1,182338626177,1777075969571,27223845173339
philosophers,1946818589,-1,0,0,-1,4074766336,5794430976,-1,0,0,-1,184032297227,1777075969571,27223845173339
philosophers,1901375692,-1,0,0,-1,4045406208,9839837184,-1,0,0,-1,185979270689,1777075969571,27223845173339
philosophers,1893824436,-1,0,0,-1,3900702720,13740539904,-1,0,0,-1,187880796280,1777075969571,27223845173339
philosophers,1619696009,-1,0,0,-1,-11211374592,2529165312,-1,0,0,-1,189774772264,1777075969571,27223845173339
philosophers,1744469201,-1,0,0,-1,3477078016,6006243328,-1,0,0,-1,191394656182,1777075969571,27223845173339
philosophers,1962973648,-1,0,0,-1,4093640704,10099884032,-1,0,0,-1,193139268562,1777075969571,27223845173339
philosophers,1943070577,-1,0,0,-1,3965714432,14065598464,-1,0,0,-1,195102408858,1777075969571,27223845173339
philosophers,1754110505,-1,0,0,-1,-11293163520,2772434944,-1,0,0,-1,197045624090,1777075969571,27223845173339
philosophers,1927422620,-1,0,0,-1,4091543552,6863978496,-1,0,0,-1,198799965102,1777075969571,27223845173339
philosophers,1860736047,-1,0,0,-1,-4942987264,1920991232,-1,0,0,-1,200727517357,1777075969571,27223845173339
philosophers,1955171930,-1,0,0,-1,4102029312,6023020544,-1,0,0,-1,202588460552,1777075969571,27223845173339
philosophers,1952586002,-1,0,0,-1,4093640704,10116661248,-1,0,0,-1,204543779229,1777075969571,27223845173339
philosophers,1931893536,-1,0,0,-1,4016046080,14132707328,-1,0,0,-1,206496525827,1777075969571,27223845173339
philosophers,1689712805,-1,0,0,-1,-10588520448,3544186880,-1,0,0,-1,208428586865,1777075969571,27223845173339
philosophers,2000081170,-1,0,0,-1,4152360960,7696547840,-1,0,0,-1,210118527537,1777075969571,27223845173339
philosophers,1974960539,-1,0,0,-1,4114612224,11811160064,-1,0,0,-1,212118768186,1777075969571,27223845173339
philosophers,1897273393,-1,0,0,-1,-11016339456,794820608,-1,0,0,-1,214093912459,1777075969571,27223845173339
philosophers,1981813744,-1,0,0,-1,4185915392,4980736000,-1,0,0,-1,215991386454,1777075969571,27223845173339
philosophers,1926580743,-1,0,0,-1,4106223616,9086959616,-1,0,0,-1,217973348435,1777075969571,27223845173339
philosophers,1899326065,-1,0,0,-1,3923771392,13010731008,-1,0,0,-1,219900082201,1777075969571,27223845173339
philosophers,1828442035,-1,0,0,-1,-11360272384,1650458624,-1,0,0,-1,221799590498,1777075969571,27223845173339
philosophers,1986852234,-1,0,0,-1,4206886912,5857345536,-1,0,0,-1,223628224200,1777075969571,27223845173339
philosophers,1943638819,-1,0,0,-1,4137680896,9995026432,-1,0,0,-1,225615244182,1777075969571,27223845173339
philosophers,2085377936,-1,0,0,-1,4253024256,14248050688,-1,0,0,-1,227559069095,1777075969571,27223845173339
philosophers,1672910176,-1,0,0,-1,-11878268928,2369781760,-1,0,0,-1,229644584821,1777075969571,27223845173339
philosophers,1672846912,-1,0,0,-1,799014912,3168796672,-1,0,0,-1,231317680248,1777075969571,27223845173339
philosophers,2112507585,-1,0,0,-1,4173332480,7342129152,-1,0,0,-1,232990723972,1777075969571,27223845173339
philosophers,1939034252,-1,0,0,-1,4057989120,11400118272,-1,0,0,-1,235103392854,1777075969571,27223845173339
philosophers,1962805225,-1,0,0,-1,-4886364160,6513754112,-1,0,0,-1,237042618715,1777075969571,27223845173339
philosophers,1976338133,-1,0,0,-1,-2155872256,4357881856,-1,0,0,-1,239005913820,1777075969571,27223845173339
philosophers,1943555387,-1,0,0,-1,4110417920,8468299776,-1,0,0,-1,240982445538,1777075969571,27223845173339
philosophers,1969885726,-1,0,0,-1,4087349248,12555649024,-1,0,0,-1,242926161425,1777075969571,27223845173339
philosophers,1756118784,-1,0,0,-1,-10605297664,1952448512,-1,0,0,-1,244896219534,1777075969571,27223845173339
philosophers,2002012004,-1,0,0,-1,4164943872,6117392384,-1,0,0,-1,246652519899,1777075969571,27223845173339
philosophers,1943519207,-1,0,0,-1,4039114752,10156507136,-1,0,0,-1,248654654779,1777075969571,27223845173339
philosophers,1991593668,-1,0,0,-1,-5913968640,4242538496,-1,0,0,-1,250598348627,1777075969571,27223845173339
philosophers,1973019776,-1,0,0,-1,94371840,4336910336,-1,0,0,-1,252590401168,1777075969571,27223845173339
philosophers,1989239711,-1,0,0,-1,4217372672,8554283008,-1,0,0,-1,254563610741,1777075969571,27223845173339
philosophers,1945096156,-1,0,0,-1,3646947328,12201230336,-1,0,0,-1,256552975792,1777075969571,27223845173339
philosophers,1808271937,-1,0,0,-1,-10714349568,1486880768,-1,0,0,-1,258498215002,1777075969571,27223845173339
philosophers,1969763689,-1,0,0,-1,4150263808,5637144576,-1,0,0,-1,260306664120,1777075969571,27223845173339
philosophers,1936129435,-1,0,0,-1,4013948928,9651093504,-1,0,0,-1,262276548642,1777075969571,27223845173339
philosophers,2051433771,-1,0,0,-1,4097835008,13748928512,-1,0,0,-1,264212835049,1777075969571,27223845173339
philosophers,1682585394,-1,0,0,-1,-12515803136,1233125376,-1,0,0,-1,266264409667,1777075969571,27223845173339
philosophers,1924955012,-1,0,0,-1,4093640704,5326766080,-1,0,0,-1,267947221939,1777075969571,27223845173339
philosophers,2059219392,-1,0,0,-1,4183818240,9510584320,-1,0,0,-1,269872300546,1777075969571,27223845173339
philosophers,1767453739,-1,0,0,-1,3447717888,12958302208,-1,0,0,-1,271931660051,1777075969571,27223845173339
philosophers,1978767067,-1,0,0,-1,-10320084992,2638217216,-1,0,0,-1,273699273952,1777075969571,27223845173339
philosophers,1998518356,-1,0,0,-1,4190109696,6828326912,-1,0,0,-1,275678227478,1777075969571,27223845173339
philosophers,1830727736,-1,0,0,-1,3527409664,10355736576,-1,0,0,-1,277676871129,1777075969571,27223845173339
