>>> Starting benchmark: rx-scrabble
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/rx-scrabble
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== rx-scrabble (functional) [default], iteration 0 started ======
====== rx-scrabble (functional) [default], iteration 0 completed (691.498 ms) ======
====== rx-scrabble (functional) [default], iteration 1 started ======
====== rx-scrabble (functional) [default], iteration 1 completed (207.317 ms) ======
====== rx-scrabble (functional) [default], iteration 2 started ======
====== rx-scrabble (functional) [default], iteration 2 completed (209.140 ms) ======
====== rx-scrabble (functional) [default], iteration 3 started ======
====== rx-scrabble (functional) [default], iteration 3 completed (199.280 ms) ======
====== rx-scrabble (functional) [default], iteration 4 started ======
====== rx-scrabble (functional) [default], iteration 4 completed (247.006 ms) ======
====== rx-scrabble (functional) [default], iteration 5 started ======
====== rx-scrabble (functional) [default], iteration 5 completed (152.958 ms) ======
====== rx-scrabble (functional) [default], iteration 6 started ======
====== rx-scrabble (functional) [default], iteration 6 completed (129.340 ms) ======
====== rx-scrabble (functional) [default], iteration 7 started ======
====== rx-scrabble (functional) [default], iteration 7 completed (124.318 ms) ======
====== rx-scrabble (functional) [default], iteration 8 started ======
====== rx-scrabble (functional) [default], iteration 8 completed (125.443 ms) ======
====== rx-scrabble (functional) [default], iteration 9 started ======
====== rx-scrabble (functional) [default], iteration 9 completed (123.153 ms) ======
====== rx-scrabble (functional) [default], iteration 10 started ======
