benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
rx-scrabble,691498280,-1,0,0,-1,234881024,1069547520,-1,0,0,-1,1798913554,1777069171905,20426179173321
rx-scrabble,207317486,-1,0,0,-1,213909504,1285554176,-1,0,0,-1,2545258789,1777069171905,20426179173321
rx-scrabble,209139899,-1,0,0,-1,209715200,1497366528,-1,0,0,-1,2769517310,1777069171905,20426179173321
rx-scrabble,199279761,-1,0,0,-1,207618048,1707081728,-1,0,0,-1,2990446201,1777069171905,20426179173321
rx-scrabble,247005589,-1,0,0,-1,-1419771904,289406976,-1,0,0,-1,3200443097,1777069171905,20426179173321
rx-scrabble,152958107,-1,0,0,-1,218103808,509607936,-1,0,0,-1,3459267687,1777069171905,20426179173321
rx-scrabble,129339682,-1,0,0,-1,209715200,721420288,-1,0,0,-1,3620368887,1777069171905,20426179173321
rx-scrabble,124317532,-1,0,0,-1,213909504,937426944,-1,0,0,-1,3757618050,1777069171905,20426179173321
rx-scrabble,125443456,-1,0,0,-1,218103808,1157627904,-1,0,0,-1,3888733471,1777069171905,20426179173321
rx-scrabble,123153192,-1,0,0,-1,209715200,1369440256,-1,0,0,-1,4020903444,1777069171905,20426179173321
rx-scrabble,124617599,-1,0,0,-1,216006656,1587544064,-1,0,0,-1,4150660749,1777069171905,20426179173321
rx-scrabble,134900413,-1,0,0,-1,211812352,1801453568,-1,0,0,-1,4281792464,1777069171905,20426179173321
rx-scrabble,195065441,-1,0,0,-1,216006656,2019557376,-1,0,0,-1,4423096864,1777069171905,20426179173321
rx-scrabble,202249328,-1,0,0,-1,213909504,2235564032,-1,0,0,-1,4625269275,1777069171905,20426179173321
rx-scrabble,196239489,-1,0,0,-1,209715200,2447376384,-1,0,0,-1,4835033260,1777069171905,20426179173321
rx-scrabble,198005118,-1,0,0,-1,216006656,2665480192,-1,0,0,-1,5038605572,1777069171905,20426179173321
rx-scrabble,196389652,-1,0,0,-1,211812352,2879389696,-1,0,0,-1,5243720251,1777069171905,20426179173321
rx-scrabble,198827189,-1,0,0,-1,216006656,3097493504,-1,0,0,-1,5447223519,1777069171905,20426179173321
rx-scrabble,199987946,-1,0,0,-1,211812352,3311403008,-1,0,0,-1,5653237839,1777069171905,20426179173321
rx-scrabble,237203714,-1,0,0,-1,216006656,3529506816,-1,0,0,-1,5860269648,1777069171905,20426179173321
rx-scrabble,172745759,-1,0,0,-1,-3128950784,400556032,-1,0,0,-1,6111242813,1777069171905,20426179173321
rx-scrabble,124939652,-1,0,0,-1,220200960,622854144,-1,0,0,-1,6290598585,1777069171905,20426179173321
rx-scrabble,124164558,-1,0,0,-1,209715200,834666496,-1,0,0,-1,6421756352,1777069171905,20426179173321
rx-scrabble,122606758,-1,0,0,-1,213909504,1050673152,-1,0,0,-1,6552287770,1777069171905,20426179173321
rx-scrabble,122363000,-1,0,0,-1,213909504,1266679808,-1,0,0,-1,6681033398,1777069171905,20426179173321
rx-scrabble,124383167,-1,0,0,-1,213909504,1482686464,-1,0,0,-1,6809338783,1777069171905,20426179173321
rx-scrabble,124631223,-1,0,0,-1,213909504,1698693120,-1,0,0,-1,6939889146,1777069171905,20426179173321
rx-scrabble,123677746,-1,0,0,-1,211812352,1912602624,-1,0,0,-1,7070779250,1777069171905,20426179173321
rx-scrabble,123898401,-1,0,0,-1,216006656,2130706432,-1,0,0,-1,7200666516,1777069171905,20426179173321
rx-scrabble,123071300,-1,0,0,-1,213909504,2346713088,-1,0,0,-1,7330643876,1777069171905,20426179173321
