>>> Starting benchmark: scala-doku
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/scala-doku
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scala-doku (scala) [default], iteration 0 started ======
====== scala-doku (scala) [default], iteration 0 completed (3326.070 ms) ======
====== scala-doku (scala) [default], iteration 1 started ======
====== scala-doku (scala) [default], iteration 1 completed (2459.697 ms) ======
====== scala-doku (scala) [default], iteration 2 started ======
====== scala-doku (scala) [default], iteration 2 completed (2416.009 ms) ======
====== scala-doku (scala) [default], iteration 3 started ======
====== scala-doku (scala) [default], iteration 3 completed (2389.554 ms) ======
====== scala-doku (scala) [default], iteration 4 started ======
====== scala-doku (scala) [default], iteration 4 completed (2394.431 ms) ======
====== scala-doku (scala) [default], iteration 5 started ======
====== scala-doku (scala) [default], iteration 5 completed (2379.402 ms) ======
====== scala-doku (scala) [default], iteration 6 started ======
====== scala-doku (scala) [default], iteration 6 completed (2294.693 ms) ======
====== scala-doku (scala) [default], iteration 7 started ======
====== scala-doku (scala) [default], iteration 7 completed (2293.449 ms) ======
====== scala-doku (scala) [default], iteration 8 started ======
====== scala-doku (scala) [default], iteration 8 completed (2298.067 ms) ======
====== scala-doku (scala) [default], iteration 9 started ======
====== scala-doku (scala) [default], iteration 9 completed (2298.668 ms) ======
====== scala-doku (scala) [default], iteration 10 started ======
====== scala-doku (scala) [default], iteration 10 completed (2300.482 ms) ======
====== scala-doku (scala) [default], iteration 11 started ======
