benchmark,duration_ns,jmx_memory_old_collection_count,jmx_memory_old_collection_delta,jmx_memory_old_collection_time_ms,jmx_memory_old_collection_total_ms,jmx_memory_used_delta,jmx_memory_used_size,jmx_memory_young_collection_count,jmx_memory_young_collection_delta,jmx_memory_young_collection_time_ms,jmx_memory_young_collection_total_ms,uptime_ns,vm_start_unix_ms,vm_start_ns
scala-stm-bench7,2543676376,-1,0,0,-1,1447034880,1704984576,-1,0,0,-1,894238867,1777072897790,24152064173334
scala-stm-bench7,1743276553,-1,0,0,-1,-257949696,1447034880,-1,0,0,-1,3441298606,1777072897790,24152064173334
scala-stm-bench7,1461998529,-1,0,0,-1,1195376640,2642411520,-1,0,0,-1,5185173552,1777072897790,24152064173334
scala-stm-bench7,1704074733,-1,0,0,-1,1210056704,3852468224,-1,0,0,-1,6647488183,1777072897790,24152064173334
scala-stm-bench7,1888917659,-1,0,0,-1,-731906048,3120562176,-1,0,0,-1,8351878904,1777072897790,24152064173334
scala-stm-bench7,1329386391,-1,0,0,-1,587202560,3707764736,-1,0,0,-1,10241220877,1777072897790,24152064173334
scala-stm-bench7,1272371140,-1,0,0,-1,1197473792,4905238528,-1,0,0,-1,11570927002,1777072897790,24152064173334
scala-stm-bench7,1903815696,-1,0,0,-1,1237319680,6142558208,-1,0,0,-1,12843710536,1777072897790,24152064173334
scala-stm-bench7,2014668899,-1,0,0,-1,1163919360,7306477568,-1,0,0,-1,14747817899,1777072897790,24152064173334
scala-stm-bench7,1619969339,-1,0,0,-1,-2344615936,4961861632,-1,0,0,-1,16762840293,1777072897790,24152064173334
scala-stm-bench7,1570039689,-1,0,0,-1,1201668096,6163529728,-1,0,0,-1,18383113451,1777072897790,24152064173334
scala-stm-bench7,1634759409,-1,0,0,-1,1197473792,7361003520,-1,0,0,-1,19953521151,1777072897790,24152064173334
scala-stm-bench7,1583005553,-1,0,0,-1,-994050048,6366953472,-1,0,0,-1,21588473808,1777072897790,24152064173334
scala-stm-bench7,1524984014,-1,0,0,-1,1205862400,7572815872,-1,0,0,-1,23171700387,1777072897790,24152064173334
scala-stm-bench7,2059663535,-1,0,0,-1,-1751121920,5821693952,-1,0,0,-1,24697003148,1777072897790,24152064173334
scala-stm-bench7,1634988339,-1,0,0,-1,480247808,6297747456,-1,0,0,-1,26757029414,1777072897790,24152064173334
scala-stm-bench7,1673584535,-1,0,0,-1,1193279488,7491026944,-1,0,0,-1,28392320093,1777072897790,24152064173334
scala-stm-bench7,1522533534,-1,0,0,-1,-333447168,7157579776,-1,0,0,-1,30066136974,1777072897790,24152064173334
scala-stm-bench7,1557690963,-1,0,0,-1,782237696,7937720320,-1,0,0,-1,31588909598,1777072897790,24152064173334
scala-stm-bench7,1570390777,-1,0,0,-1,-220200960,7717519360,-1,0,0,-1,33146776580,1777072897790,24152064173334
scala-stm-bench7,1615971859,-1,0,0,-1,-2290089984,5427429376,-1,0,0,-1,34717300370,1777072897790,24152064173334
scala-stm-bench7,1515349882,-1,0,0,-1,1237319680,6664749056,-1,0,0,-1,36333486705,1777072897790,24152064173334
scala-stm-bench7,1680416197,-1,0,0,-1,1235222528,7899971584,-1,0,0,-1,37849054285,1777072897790,24152064173334
scala-stm-bench7,1607606515,-1,0,0,-1,-367001600,7532969984,-1,0,0,-1,39529646287,1777072897790,24152064173334
scala-stm-bench7,1637527313,-1,0,0,-1,37748736,7570718720,-1,0,0,-1,41137415102,1777072897790,24152064173334
scala-stm-bench7,1603311542,-1,0,0,-1,1235222528,8805941248,-1,0,0,-1,42775149482,1777072897790,24152064173334
scala-stm-bench7,1947397770,-1,0,0,-1,-1981808640,6824132608,-1,0,0,-1,44378639573,1777072897790,24152064173334
scala-stm-bench7,1475853680,-1,0,0,-1,-1711276032,5110759424,-1,0,0,-1,46326275394,1777072897790,24152064173334
scala-stm-bench7,1415233006,-1,0,0,-1,1201668096,6312427520,-1,0,0,-1,47802269244,1777072897790,24152064173334
scala-stm-bench7,1533922510,-1,0,0,-1,1226833920,7539261440,-1,0,0,-1,49217707965,1777072897790,24152064173334
scala-stm-bench7,1587117409,-1,0,0,-1,1235222528,8774483968,-1,0,0,-1,50751795639,1777072897790,24152064173334
scala-stm-bench7,1490884795,-1,0,0,-1,-1042284544,7732199424,-1,0,0,-1,52339099569,1777072897790,24152064173334
scala-stm-bench7,1411778133,-1,0,0,-1,1147142144,8879341568,-1,0,0,-1,53830172254,1777072897790,24152064173334
scala-stm-bench7,1526359201,-1,0,0,-1,1197473792,10076815360,-1,0,0,-1,55242141493,1777072897790,24152064173334
scala-stm-bench7,1853281122,-1,0,0,-1,1228931072,11305746432,-1,0,0,-1,56768645052,1777072897790,24152064173334
scala-stm-bench7,1933427882,-1,0,0,-1,1239416832,12545163264,-1,0,0,-1,58622081626,1777072897790,24152064173334
scala-stm-bench7,1671517902,-1,0,0,-1,-2973761536,9571401728,-1,0,0,-1,60555636992,1777072897790,24152064173334
scala-stm-bench7,1464046988,-1,0,0,-1,31457280,9602859008,-1,0,0,-1,62227360027,1777072897790,24152064173334
scala-stm-bench7,1430537516,-1,0,0,-1,1228931072,10831790080,-1,0,0,-1,63691574293,1777072897790,24152064173334
scala-stm-bench7,1432208443,-1,0,0,-1,1231028224,12062818304,-1,0,0,-1,65122221340,1777072897790,24152064173334
scala-stm-bench7,1507887914,-1,0,0,-1,-5114953728,6947864576,-1,0,0,-1,66554535601,1777072897790,24152064173334
scala-stm-bench7,1400181063,-1,0,0,-1,549453824,7497318400,-1,0,0,-1,68062585162,1777072897790,24152064173334
scala-stm-bench7,1633485457,-1,0,0,-1,1239416832,8736735232,-1,0,0,-1,69463015115,1777072897790,24152064173334
scala-stm-bench7,1781537486,-1,0,0,-1,1243611136,9980346368,-1,0,0,-1,71096656373,1777072897790,24152064173334
scala-stm-bench7,1519027095,-1,0,0,-1,-1400897536,8579448832,-1,0,0,-1,72878355197,1777072897790,24152064173334
scala-stm-bench7,1597636946,-1,0,0,-1,-497025024,8082423808,-1,0,0,-1,74397509027,1777072897790,24152064173334
scala-stm-bench7,1581394260,-1,0,0,-1,1239416832,9321840640,-1,0,0,-1,75995343198,1777072897790,24152064173334
scala-stm-bench7,1624493212,-1,0,0,-1,1233125376,10554966016,-1,0,0,-1,77576902853,1777072897790,24152064173334
scala-stm-bench7,1653785283,-1,0,0,-1,-2512388096,8042577920,-1,0,0,-1,79201544332,1777072897790,24152064173334
scala-stm-bench7,1502697727,-1,0,0,-1,880803840,8923381760,-1,0,0,-1,80855562964,1777072897790,24152064173334
scala-stm-bench7,1586011149,-1,0,0,-1,1231028224,10154409984,-1,0,0,-1,82358447358,1777072897790,24152064173334
scala-stm-bench7,1645562148,-1,0,0,-1,-589299712,9565110272,-1,0,0,-1,83944600488,1777072897790,24152064173334
scala-stm-bench7,1594230614,-1,0,0,-1,-318767104,9246343168,-1,0,0,-1,85590271065,1777072897790,24152064173334
scala-stm-bench7,1409384490,-1,0,0,-1,-1900019712,7346323456,-1,0,0,-1,87184670192,1777072897790,24152064173334
scala-stm-bench7,1416790341,-1,0,0,-1,1228931072,8575254528,-1,0,0,-1,88594171991,1777072897790,24152064173334
scala-stm-bench7,1535022844,-1,0,0,-1,1231028224,9806282752,-1,0,0,-1,90011083634,1777072897790,24152064173334
scala-stm-bench7,1520093167,-1,0,0,-1,1199570944,11005853696,-1,0,0,-1,91546268878,1777072897790,24152064173334
scala-stm-bench7,1424015111,-1,0,0,-1,-1679818752,9326034944,-1,0,0,-1,93066505743,1777072897790,24152064173334
scala-stm-bench7,1442932861,-1,0,0,-1,434110464,9760145408,-1,0,0,-1,94490676318,1777072897790,24152064173334
scala-stm-bench7,1450947201,-1,0,0,-1,1199570944,10959716352,-1,0,0,-1,95933722784,1777072897790,24152064173334
scala-stm-bench7,1568972999,-1,0,0,-1,1199570944,12159287296,-1,0,0,-1,97384821577,1777072897790,24152064173334
scala-stm-bench7,1708819667,-1,0,0,-1,1233125376,13392412672,-1,0,0,-1,98953945249,1777072897790,24152064173334
scala-stm-bench7,1785418180,-1,0,0,-1,-4200595456,9191817216,-1,0,0,-1,100662886460,1777072897790,24152064173334
scala-stm-bench7,1625172288,-1,0,0,-1,354418688,9544138752,-1,0,0,-1,102448515580,1777072897790,24152064173334
scala-stm-bench7,1549860452,-1,0,0,-1,1201668096,10745806848,-1,0,0,-1,104073952975,1777072897790,24152064173334
scala-stm-bench7,1630700803,-1,0,0,-1,1231028224,11976835072,-1,0,0,-1,105624045308,1777072897790,24152064173334
scala-stm-bench7,1664475529,-1,0,0,-1,1231028224,13207863296,-1,0,0,-1,107254893424,1777072897790,24152064173334
scala-stm-bench7,1555469709,-1,0,0,-1,-2128609280,11079254016,-1,0,0,-1,108919502219,1777072897790,24152064173334
scala-stm-bench7,1491470827,-1,0,0,-1,459276288,11538530304,-1,0,0,-1,110475127637,1777072897790,24152064173334
scala-stm-bench7,1553308510,-1,0,0,-1,1266679808,12805210112,-1,0,0,-1,111966704616,1777072897790,24152064173334
scala-stm-bench7,1641793315,-1,0,0,-1,1201668096,14006878208,-1,0,0,-1,113520161961,1777072897790,24152064173334
